time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705736274,16.56946298461816,1.593070799662284,0.176201403002688,0.2059303882195448,5.795871623827961,25.626052967927965,0.4319725132845341,0.08662393162393162,0.8742305270497219,1.5149555979749354,0,0.26368851857328485,10.263430918884097,0.8800373854210946,1.1243144492993822,194363392,69599232,4673536,430235648,85336064,312074240,36421632,2686976,271699968,89169920,4730880,2859008,286539776,5742592,34885632,1844377.4373818997,0,,541949.2520113532,35635.3835125448,0,,1164863.6432122944,12,6,4,3,10,25,8,4,3,11,1,3,6,12,7,6.333,4.267,22.6,2.2,3,2.733,15.8,0.019012766912137644,0.003010526315789474,0.03166102814346136,0.0670729289697132,0.0027826943440204008,0.00843547932058571,0.005132579751477909,0.05195287415231794,0.004618947368421052,0.0893630760022398,0.4803574915159685,0.0047004477415555045,0.02499620158887786,0.009260568481942922
1705736275,16.56946298461816,1.593070799662284,0.1745842676995661,0.2059303882195448,5.795871623827961,25.626052967927965,0.4319725132845341,0.08662393162393162,0.8967407757056357,1.5149555979749354,0,0.25808803463727187,10.054700506619,0.9002919931007423,1.1243144492993822,194363392,69599232,4673536,430235648,85336064,312074240,36421632,2686976,271699968,89169920,4730880,2859008,286539776,5742592,34885632,1844377.4373818997,0,,541949.2520113532,36552.946236559146,0,,1164863.6432122944,12,6,4,3,10,25,8,4,3,11,1,3,6,12,7,6.333,4.267,22.6,2.2,3,2.733,15.8,0.01898806685551181,0.003010526315789474,0.031571189183576015,0.06669962589023766,0.002780940287299834,0.008421007661707045,0.005133362637484865,0.051444633512440864,0.004618947368421052,0.08939092057734158,0.47745273373720115,0.004698360571669283,0.02493254655341391,0.009260837173873101
1705736276,16.56946298461816,1.593070799662284,0.1745842676995661,0.2059303882195448,5.795871623827961,25.626052967927965,0.4348126284720392,0.07789448729872167,0.9192510243615494,1.5149555979749354,0,0.25248755070125894,9.8459700943539,0.9205466007803901,1.2272621527308143,194363392,69599232,4673536,430235648,85336064,312074240,36454400,2809856,271699968,89169920,4730880,2859008,286539776,5742592,34885632,1844377.4373818997,0,,698030.5346193713,37470.508960573476,0,,1074774.7991451835,12,6,4,3,10,25,8,4,3,11,1,3,6,12,7,6.333,4.333,22.6,2.2,2.133,2.733,15.8,0.018964323057879304,0.0030112359550561797,0.031665104734838544,0.06634792696432658,0.002852927812207359,0.008407339367326822,0.005138981461424493,0.050952502441736304,0.004620224719101124,0.08954368130451164,0.4746352937639969,0.00472997813145836,0.02487053369880684,0.009261834258359138
1705736277,16.56946298461816,1.593070799662284,0.1745842676995661,0.2059303882195448,5.795871623827961,20.979515688739127,0.4348126284720392,0.07789448729872166,0.9417612730174629,1.5149555979749354,0,0.24688706676524613,9.215332769913365,0.9408012084600378,1.2272621527308143,194363392,69599232,4673536,430235648,85336064,312074240,36454400,2809856,271699968,89169920,4730880,2859008,288944128,5742592,34885632,1844377.4373818997,0,,698030.5346193713,38388.07168458781,0,,1074774.7991451835,12,6,4,3,10,25,8,4,3,11,1,3,6,12,7,6.333,4.333,24.467,2.2,2.133,2.733,15.8,0.018896688908694833,0.0030112359550561797,0.032123122202450505,0.06601600949013532,0.0028517548527221335,0.008394409348386185,0.005151943417911239,0.049530176139124124,0.004620224719101124,0.08775420174179288,0.47190129270134606,0.004728122545945828,0.02481010028653294,0.009263940326495808
1705736278,16.56946298461816,1.593070799662284,0.1745842676995661,0.2059303882195448,5.515678224108835,18.68825613387102,0.4348126284720392,0.07789448729872166,0.9642715216733768,1.5149555979749354,0,0.2447640025544629,9.215332769913365,0.9610558161396856,1.2272621527308143,194363392,69599232,4673536,430235648,92921856,311992320,36454400,2809856,271699968,89169920,4730880,2859008,288944128,5742592,34885632,1844377.4373818997,0,,698030.5346193713,39305.63440860215,0,,1074774.7991451835,12,6,4,3,10,22,8,4,3,11,1,3,6,12,7,5.267,4.333,24.467,1.133,1.067,1.667,12.6,0.019038806645220157,0.0030112359550561797,0.03220671139875623,0.05840283932270324,0.002698612431395546,0.008142536462585795,0.004947063478783008,0.04940063889780552,0.004620224719101124,0.08791048790873755,0.23477127807041878,0.00459320437653731,0.019696102045506775,0.009164449510992018
1705736279,11.593331246086414,1.593070799662284,0.1745842676995661,0.2059303882195448,5.515678224108835,18.68825613387102,0.46645374291250996,0.07789448729872166,0.9867817703292906,1.5149555979749354,0,0.23912008506844015,9.215332769913365,0.9813104238193331,1.2272621527308143,194363392,69599232,4673536,430235648,92921856,311992320,36454400,2809856,271699968,89169920,4730880,2859008,288944128,5742592,34885632,1844377.4373818997,0,,911332.8070049523,40223.19713261649,0,,1074774.7991451835,12,6,4,3,10,22,8,4,3,11,1,3,6,12,7,5.267,4.333,24.467,1.133,1.067,1,12.6,0.018969055455948527,0.0030112359550561797,0.032293607234189406,0.058341867728213447,0.0026989865399099193,0.007730737680134405,0.004980334511103017,0.048664247812247596,0.004620224719101124,0.0880726109209558,0.2358531920095495,0.004593366582541991,0.015641164249163193,0.009171931965153209
1705736280,11.593331246086414,1.593070799662284,0.1422112524269253,0.2059303882195448,5.515678224108835,18.68825613387102,0.46645374291250996,0.07789448729872166,1.0092920189852044,1.5149555979749354,0,0.23347616758241743,9.215332769913365,1.001565031498981,1.2272621527308143,194363392,69599232,4673536,430235648,92921856,311992320,36454400,2809856,271699968,89169920,4730880,2859008,288944128,5742592,34885632,1844377.4373818997,0,,911332.8070049523,41140.75985663082,0,,1074774.7991451835,12,6,4,3,10,22,8,4,3,11,1,3,6,12,7,5.267,4.333,24.467,1.133,1.067,1,12.6,0.018869950358267915,0.0030112359550561797,0.03238009846352511,0.058283913845276675,0.002699343205442191,0.007729492390876765,0.005018084745353981,0.04755259007765742,0.004620224719101124,0.08832790748107762,0.23690442771468684,0.004593521225616862,0.015650138171632917,0.00916350293311202
1705736281,11.593331246086414,1.593070799662284,0.1778301189684475,0.2059303882195448,4.08035685698271,18.68825613387102,0.46645374291250996,0.09019103701860606,1.0318022676411183,1.5149555979749354,0,0.3280985195050861,9.215332769913365,1.0218196391786287,1.2272621527308143,194363392,69599232,4833280,430235648,92921856,311992320,36454400,2809856,271699968,89169920,4730880,2863104,288944128,5742592,34885632,1844377.4373818997,0,,911332.8070049523,42058.32258064517,0,,1074774.7991451835,12,6,4,3,10,22,8,4,3,11,1,3,6,12,7,5.267,4.333,24.467,1.133,1.067,1,12.6,0.01875350217895363,0.0030112359550561797,0.03246618790610192,0.05822875904751508,0.002699683620130986,0.007728300980276249,0.005045231316294903,0.046689336007010425,0.004620224719101124,0.08866158676607606,0.23792627179064196,0.004593668822649494,0.015658674197601648,0.009169377040124655
1705736282,11.593331246086414,1.4019138313609463,0.1778301189684475,0.2059303882195448,4.164664363557968,18.68825613387102,0.46645374291250996,0.09019103701860606,1.0543125162970317,1.5149555979749354,0,0.3280985195050861,9.215332769913365,1.215276460778864,1.2126114135914503,194363392,69599232,4833280,430235648,92921856,311992320,36454400,2809856,271699968,89169920,4730880,2863104,288944128,5742592,35164160,1653648.9151873768,0,,911332.8070049523,42975.885304659496,0,,1222440.0080661427,12,6,4,3,10,22,8,4,3,11,1,3,6,12,7,5.267,4.333,24.467,1.133,1.067,1,12.6,0.018666388962203292,0.0030112359550561797,0.03248815849541054,0.05817620532922605,0.002700008869899261,0.007727160025705358,0.005046351224424614,0.04601426611898144,0.004620224719101124,0.08873206110398307,0.23891993988942972,0.00459380984447447,0.01566680361544783,0.009148483456418468
1705736283,11.593331246086414,1.4019138313609463,0.1778301189684475,0.2059303882195448,4.248971870133229,18.68825613387102,0.46645374291250996,0.09019103701860606,1.0768227649529454,1.5149555979749354,0.00011230783393169206,0.3280985195050861,9.215332769913365,1.215276460778864,1.2126114135914503,194363392,69599232,4833280,430235648,92921856,311992320,36454400,2809856,271699968,89169920,4730880,2863104,288944128,5742592,35164160,1653648.9151873768,0,,911332.8070049523,43893.44802867383,0,,1222440.0080661427,12,6,4,3,10,22,8,4,3,11,1,3,6,12,7,5.267,4.333,24.467,1.133,1.067,1,12.6,0.01863809117948896,0.0030112359550561797,0.032487448618904534,0.05812607293022947,0.002700319946025888,0.007726066388420725,0.0050432843137408635,0.045938920740249446,0.004620224719101124,0.0887774859852692,0.2398865815348211,0.004593944720890574,0.015674554802089038,0.009150147422590203
