time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,catalogue_error,front-end_error,orders_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705601592,1.0982271283201983,6.077508665896469,0.1667606666479404,0.19680043383947374,4.438004276550244,0.9771064346418609,0.39757974350542785,0.07071908226077145,0.28786004289871475,0.8142544791982809,0,0.25347529661767143,0.28591150144503613,0.7732447252354071,0.9706273830156043,214110208,100204544,6422528,430956544,98181120,329613312,49590272,4595712,268869632,98693120,4575232,2883584,306024448,8445952,65978368,2275353.301928718,0,987745.2592349007,47066.03339972422,0,0,1779429.2316580012,11,7,6,4,8,18,5,5,3,11,1,3,6,17,8,8.533,4,23.733,1.733,1.933,1.8,17.467,,0,0,0.019674999999999998,0.003,0.028657205240174677,0.03419117647058823,0.0016530612244897963,0.003,0.003346268656716418,0.043802083333333346,0.0046,0.06509554140127387,0.04683823529411765,0.00439591836734694,0.0046,0.006684684684684685
1705601593,1.3098171783374624,6.077508665896469,0.1667606666479404,0.16462356290671976,4.438004276550244,0.9771064346418609,0.39757974350542785,0.07071908226077145,0.2848840479660272,0.8142544791982809,0,0.25347529661767143,0.28591150144503613,0.7732447252354071,0.9706273830156043,214110208,100204544,6422528,430956544,98181120,329613312,49590272,4595712,268869632,98693120,4575232,2883584,306024448,8445952,65978368,2275353.301928718,0,987745.2592349007,20945.514049755824,0,0,1779429.2316580012,11,7,6,4,8,18,5,5,3,11,1,3,6,17,8,8.933,4,23.733,1.733,1.933,2,17.467,,0,0,0.019337499999999997,0.003,0.028657205240174677,0.03419117647058823,0.0016530612244897963,0.003,0.003346268656716418,0.04268617021276596,0.0046,0.06509554140127387,0.04683823529411765,0.00439591836734694,0.0046,0.006684684684684685
1705601594,1.1172194774060915,6.077508665896469,0.1667606666479404,0.16134355567606187,4.438004276550244,0.9771064346418609,0.39757974350542785,0.07071908226077145,0.2848840479660272,0.8142544791982809,0,0.25347529661767143,0.28591150144503613,0.7503375412466053,0.9706273830156043,214110208,100204544,6422528,430956544,98181120,329613312,49590272,4595712,268869632,98693120,4575232,2883584,306024448,8445952,65978368,2275353.301928718,0,987745.2592349007,20945.514049755824,0,0,1779429.2316580012,11,7,6,4,8,18,5,5,3,11,1,3,6,17,8,8.2,3.733,22.867,2.067,1.933,2,17.733,,0,0,0.019014778325123154,0.003,0.028248898678414097,0.033203125,0.0016530612244897963,0.003,0.0033106508875739645,0.041388888888888885,0.0046,0.062377622377622316,0.046640625,0.004395918367346941,0.0046,0.006345000000000002
1705601595,1.0953891911004672,6.077508665896469,0.1667606666479404,0.15806354844540396,4.438004276550244,0.9771064346418609,0.3948626770742832,0.07071908226077145,0.2848840479660272,0.8142544791982809,0,0.25347529661767143,0.2820620201415952,0.7503375412466053,0.9706273830156043,214110208,100204544,6422528,430956544,98181120,329613312,49590272,4595712,268869632,98693120,4575232,2883584,306032640,8445952,65978368,2275353.301928718,0,1018375.252963284,20945.514049755824,0,0,1779429.2316580012,11,7,6,4,8,18,5,5,3,11,1,3,6,17,8,8.2,3.733,22.867,2.067,1.933,2,18.533,,0,0,0.019014778325123154,0.003,0.028248898678414097,0.033203125,0.0016530612244897963,0.003,0.003306547619047619,0.041388888888888885,0.0046,0.062377622377622316,0.046640625,0.004395918367346941,0.0046,0.006301020408163271
1705601596,1.3740294682895786,6.077508665896469,0.1667606666479404,0.15478354121474608,4.438004276550244,0.9771064346418609,0.3948626770742832,0.07227869429169129,0.2848840479660272,0.8142544791982809,0,0.25347529661767143,0.2820620201415952,0.7503375412466053,0.9706273830156043,214122496,100204544,6422528,430956544,98181120,329613312,49590272,4595712,268869632,98693120,4575232,2883584,306032640,8445952,65978368,2275353.301928718,0,1018375.252963284,20945.514049755824,0,0,1779429.2316580012,12,7,6,4,8,18,5,5,3,11,1,3,6,17,8,8.2,3.733,22.867,2.067,1.933,2,18.533,,0,0,0.019014778325123154,0.003,0.028248898678414097,0.033203125,0.0016530612244897963,0.003,0.003306547619047619,0.041388888888888885,0.0046,0.062377622377622316,0.046640625,0.004395918367346941,0.0046,0.006301020408163271
1705601597,1.3740294682895786,6.077508665896469,0.1667606666479404,0.1515035339840882,4.381674438239967,0.9771064346418609,0.3948626770742832,0.07227869429169129,0.2848840479660272,0.8142544791982809,0,0.25347529661767143,0.2820620201415952,0.7503375412466053,0.9706273830156043,214122496,100204544,6422528,430956544,99328000,329613312,49590272,4595712,268869632,98693120,4575232,2883584,306032640,8445952,65978368,2275353.301928718,0,1018375.252963284,20945.514049755824,0,0,1779429.2316580012,12,7,6,4,8,18,5,5,3,11,1,3,6,17,8,8.2,3.8,22.867,2.067,1.933,2,18.533,,0,0,0.019014778325123154,0.003,0.028248898678414097,0.033203125,0.0016530612244897963,0.003,0.003306547619047619,0.041388888888888885,0.0046,0.062377622377622316,0.046640625,0.004395918367346941,0.0046,0.006301020408163271
1705601598,1.3740294682895786,6.077508665896469,0.17012828229636623,0.14822352675343028,4.381674438239967,0.9771064346418609,0.3948626770742832,0.07227869429169129,0.2848840479660272,0.8142544791982809,0,0.25347529661767143,0.2820620201415952,0.7503375412466053,0.9706273830156043,214122496,100204544,6430720,430956544,99328000,329613312,49590272,4595712,268869632,98693120,4575232,2883584,306032640,8445952,65978368,2275353.301928718,0,1018375.252963284,20945.514049755824,0,0,1779429.2316580012,12,7,6,4,8,18,5,5,3,11,1,3,6,17,8,8.2,3.8,24.2,2.067,1.933,2,18.533,,0,0,0.019014778325123154,0.003,0.02791576673866091,0.033203125,0.0016530612244897963,0.003,0.003306547619047619,0.041388888888888885,0.0046,0.056747967479674755,0.046640625,0.004395918367346941,0.0046,0.006301020408163271
1705601599,1.3740294682895786,6.077508665896469,0.17012828229636623,0.14494351952277237,4.381674438239967,0.9771064346418609,0.3948626770742832,0.07227869429169129,0.2923007280546244,0.8142544791982809,0.00010329268071689016,0.25347529661767143,0.2820620201415952,0.7503375412466053,0.9706273830156043,214122496,100204544,6430720,430956544,99328000,329613312,49590272,4595712,268873728,98693120,4575232,2883584,306032640,8445952,65978368,2275353.301928718,0,1018375.252963284,30902.7122863933,0,0,1779429.2316580012,12,7,6,4,8,18,5,5,3,11,1,3,6,17,8,8.2,3.8,24.2,2.067,1.933,2,18.533,,0,0,0.019014778325123154,0.003,0.02791576673866091,0.033203125,0.0016530612244897963,0.003,0.003306547619047619,0.041388888888888885,0.0046,0.056747967479674755,0.046640625,0.004395918367346941,0.0046,0.006301020408163271
1705601600,1.3740294682895786,6.077508665896469,0.17012828229636623,0.1416635122921145,4.381674438239967,0.9771064346418609,0.3855105512046489,0.07227869429169129,0.2923007280546244,0.8142544791982809,0.00010329268071689016,0.25371106578629266,0.2820620201415952,0.7503375412466053,0.9706273830156043,214122496,100204544,6430720,430956544,99328000,329613312,49623040,4595712,268873728,98693120,4575232,2883584,306032640,8445952,65978368,2275353.301928718,0,834496.5514663277,30902.7122863933,0,0,1779429.2316580012,12,7,6,4,8,18,5,5,3,11,1,3,6,17,8,8.2,3.8,24.2,2.067,1.933,2,18.533,,0,0,0.019014778325123154,0.003,0.02791576673866091,0.033203125,0.0016530612244897963,0.003,0.003306547619047619,0.041388888888888885,0.0046,0.056747967479674755,0.046640625,0.004395918367346941,0.0046,0.006301020408163271
1705601601,1.3740294682895786,4.910887125896585,0.17012828229636623,0.1383835050614566,4.381674438239967,0.8329904334144161,0.3855105512046489,0.07227869429169129,0.2923007280546244,0.8142544791982809,0.00010329268071689016,0.25371106578629266,0.2820620201415952,0.7704919030804822,0.9692337245040655,214122496,100335616,6430720,430956544,99328000,329613312,49623040,4595712,268873728,98693120,4575232,2883584,306032640,8417280,66019328,1967176.8955434277,0,834496.5514663277,30902.7122863933,0,0,1652305.1131601005,12,7,6,4,8,18,5,5,3,11,1,3,6,17,8,8.2,3.8,24.2,2.067,1.933,2,18.533,,0,0,0.019014778325123154,0.003,0.02791576673866091,0.033203125,0.0016530612244897963,0.003,0.003306547619047619,0.041388888888888885,0.0046,0.056747967479674755,0.046640625,0.004395918367346941,0.0046,0.006301020408163271
