time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,currencyservice_diskio,emailservice_diskio,frontend_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705737339,0.6681317047791269,2.34901037174631,0.5938381874095372,35.579572477936416,0.34849686797106927,8.895544455942062,0.9237303632283549,4.247512928202047,3.202667396598276,0.32534450978671015,0.3421312295380168,109727744,44437504,12275712,44589056,43753472,15454208,38219776,11370496,45678592,2965504,8953856,60887.446423704874,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,3,14.067,26.533,1.2,81.333,1.2,12.933,13.867,1,151.6,20.067,9.4,0,0,0.003021472392638037,0.0032249297094657917,0.1338709677419355,0.004077557755775577,0.0030400000000000006,0.05409836065573769,0.003173913043478261,0.00237908890226771,0.007641025641025641,0.002916201117318436,0.004638650306748467,0.0050570175438596435,0.2267741935483871,0.047976878612716725,0.004672000000000001,0.19933774834437087,0.004913043478260869,0.0045053582179409996,0.009800000000000001,0.0045921787709497204
1705737340,0.6355496805463822,2.34901037174631,0.5938381874095372,35.579572477936416,0.34849686797106927,8.895544455942062,0.9237303632283549,4.247512928202047,3.202667396598276,0.32534450978671015,0.3421312295380168,109727744,44437504,12275712,44589056,43753472,15454208,38219776,11370496,45678592,2965504,8953856,72192.11280017626,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,3,14.067,26.8,1.333,82.8,1.333,12.933,13.867,1.133,152.933,20.067,9.667,0,0,0.003021472392638037,0.0032286245353159854,0.14342105263157892,0.0040807046292503065,0.003,0.05409836065573769,0.0031960784313725486,0.002382617382617382,0.007641025641025641,0.002924119241192412,0.004638650306748467,0.005132478632478639,0.2286842105263158,0.048437499999999946,0.0046,0.19933774834437087,0.004952941176470589,0.004507212787212786,0.009800000000000001,0.004602168021680218
1705737341,0.6355496805463822,2.34901037174631,0.5938381874095372,35.579572477936416,0.34849686797106927,8.895544455942062,0.9237303632283549,4.247512928202047,3.202667396598276,0.32534450978671015,0.3421312295380168,109727744,44437504,12275712,44589056,43753472,15454208,38219776,11370496,45678592,2965504,8953856,72192.11280017626,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,3,14.067,26.8,1.333,82.8,1.333,12.933,13.867,1.133,152.933,20.067,9.667,0,0,0.003021472392638037,0.0032286245353159854,0.14342105263157892,0.0040807046292503065,0.003,0.05409836065573769,0.0031960784313725486,0.002382617382617382,0.007641025641025641,0.002924119241192412,0.004638650306748467,0.005132478632478639,0.2286842105263158,0.048437499999999946,0.0046,0.19933774834437087,0.004952941176470589,0.004507212787212786,0.009800000000000001,0.004602168021680218
1705737342,0.6355496805463822,2.34901037174631,0.5938381874095372,35.579572477936416,0.34849686797106927,8.895544455942062,0.9237303632283549,4.247512928202047,3.202667396598276,0.32534450978671015,0.3421312295380168,109727744,44437504,12275712,44589056,43753472,15454208,38219776,11370496,45678592,2965504,8953856,72192.11280017626,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,3,14.133,25.733,1.333,80.2,1.333,12.933,12.933,1.133,148.2,18.6,9,0,0,0.0030426179604261796,0.003243093922651934,0.14891304347826087,0.004137629937629937,0.003,0.056832298136645955,0.0031960784313725486,0.0024144634525660965,0.007621506682867557,0.0029255319148936173,0.004676712328767124,0.005408,0.22978260869565215,0.048183060109289556,0.0046,0.20082278481012655,0.004952941176470589,0.004537013996889581,0.009786755771567434,0.004602127659574468
1705737343,0.6355496805463822,2.34901037174631,0.5938381874095372,35.579572477936416,0.34849686797106927,8.895544455942062,0.9237303632283549,4.247512928202048,3.202667396598276,0.32534450978671015,0.3421312295380168,109727744,44437504,12275712,44589056,43753472,15454208,38219776,11370496,45678592,2965504,8953856,72192.11280017626,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,3,14.133,25.733,1.333,80.2,1.333,12.933,12.933,1.133,148.2,18.6,9,0,0,0.0030426179604261796,0.003243093922651934,0.14891304347826087,0.004137629937629937,0.003,0.056832298136645955,0.0031960784313725486,0.0024144634525660965,0.007621506682867557,0.0029255319148936173,0.004676712328767124,0.005408,0.22978260869565215,0.048183060109289556,0.0046,0.20082278481012655,0.004952941176470589,0.004537013996889581,0.009786755771567434,0.004602127659574468
1705737344,0.6355496805463822,2.34901037174631,0.5938381874095372,35.579572477936416,0.34849686797106927,8.895544455942062,0.9237303632283549,4.247512928202048,3.202667396598276,0.1978500000000061,0.3421312295380168,109727744,44437504,12275712,44589056,43753472,15454208,38219776,11370496,45678592,2965504,8953856,72192.11280017626,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,3,14.133,25.733,1.333,80.2,1.333,12.933,12.933,1.133,148.2,18.6,9,0,0,0.0030426179604261796,0.003243093922651934,0.14891304347826087,0.004137629937629937,0.003,0.056832298136645955,0.0031960784313725486,0.0024144634525660965,0.007621506682867557,0.0029255319148936173,0.004676712328767124,0.005408,0.22978260869565215,0.048183060109289556,0.0046,0.20082278481012655,0.004952941176470589,0.004537013996889581,0.009786755771567434,0.004602127659574468
1705737345,0.6355496805463822,2.34901037174631,0.5938381874095372,35.579572477936416,0.34849686797106927,8.895544455942062,0.9237303632283549,4.292406475772581,2.8388064185197583,0.1978500000000061,0.3421312295380167,109727744,44437504,12275712,44589056,43753472,15454208,38219776,11014144,45678592,2965504,8953856,72192.11280017626,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,3,14.133,25.733,1.333,80.2,1.333,12.933,12.933,1.133,148.2,18.6,9,0,0,0.0030426179604261796,0.003243093922651934,0.14891304347826087,0.004137629937629937,0.003,0.056832298136645955,0.0031960784313725486,0.0024144634525660965,0.007621506682867557,0.0029255319148936173,0.004676712328767124,0.005408,0.22978260869565215,0.048183060109289556,0.0046,0.20082278481012655,0.004952941176470589,0.004537013996889581,0.009786755771567434,0.004602127659574468
1705737346,0.4822180238672295,2.183882571715882,0.5938381874095372,35.14339904059299,0.34849686797106927,8.895544455942062,0.9237303632283549,4.292406475772581,2.8946354995784613,0.2731548065819833,0.3421312295380167,109727744,44437504,12275712,44777472,43753472,15454208,38219776,11014144,45678592,2961408,8953856,54775.16398619373,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,3,14.133,25.733,1.333,80.2,1.333,12.933,12.933,1.333,148.2,18.6,9,0,0,0.0030426179604261796,0.003243093922651934,0.14891304347826087,0.004137629937629937,0.003,0.056832298136645955,0.0031818181818181815,0.0024144634525660965,0.007621506682867557,0.0029255319148936173,0.004676712328767124,0.005408,0.22978260869565215,0.048183060109289556,0.0046,0.20082278481012655,0.004927272727272727,0.004537013996889581,0.009786755771567434,0.004602127659574468
1705737347,0.47162552919145656,2.1838825717158823,0.5938381874095372,35.14339904059299,0.34849686797106927,8.895544455942062,0.9237303632283549,4.292406475772581,3.3497448635221616,0.2790006495381033,0.3421312295380167,109727744,44437504,12275712,44777472,43753472,15454208,38219776,11014144,45678592,2961408,8953856,53571.96210619079,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,3,14.133,25.733,1.333,80.2,1.333,14.067,12.933,1.333,148.2,18.6,9,0,0,0.0030426179604261796,0.003243093922651934,0.14891304347826087,0.004137629937629937,0.003,0.05728527607361963,0.0031818181818181815,0.0024144634525660965,0.007621506682867557,0.0029255319148936173,0.004676712328767124,0.005408,0.22978260869565215,0.048183060109289556,0.0046,0.20070093457943924,0.004927272727272727,0.004537013996889581,0.009786755771567434,0.004602127659574468
1705737348,0.7092426314642005,2.1838825717158823,0.5729950730400194,35.14339904059299,0.34849686797106927,8.895544455942062,0.9237303632283549,4.292406475772581,3.3497448635221616,0.2848464924942234,0.3421312295380167,109613056,44437504,11829248,44777472,43753472,15454208,38219776,11014144,45678592,2961408,8953856,64950.149650155596,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,3,14.133,25.733,1.333,80.2,1.333,14.067,12.933,1.333,148.2,18.6,9,0,0,0.0030426179604261796,0.003243093922651934,0.14891304347826087,0.004137629937629937,0.003,0.05728527607361963,0.0031818181818181815,0.0024144634525660965,0.007621506682867557,0.0029255319148936173,0.004676712328767124,0.005408,0.22978260869565215,0.048183060109289556,0.0046,0.20070093457943924,0.004927272727272727,0.004537013996889581,0.009786755771567434,0.004602127659574468
