time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,currencyservice_diskio,emailservice_diskio,frontend_diskio,paymentservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705689337,0.7647616778915609,2.5908259708238486,0.3754957999900729,33.793005343341065,0.32849385181947793,8.210167777249428,0.6268297449177435,3.6698363276812187,2.9180747311443067,0.23872440894495253,0.2715056703359449,110137344,44658688,12070912,45850624,43962368,16326656,45850624,10223616,45645824,2953216,9035776,79831.95097126275,0,0,0,0,0,0,0,0,4,4,9,4,3,27,3,3,4,4,2,14.2,24.8,1,76.933,0.867,13.467,12.8,0.733,147.4,19.6,7.533,,0,0,0.003014858841010401,0.003268020304568528,0.08958333333333333,0.004606625258799172,0.003,0.06585195530726255,0.0031904761904761906,0.002046528274874731,0.0075279850746268655,0.0029473684210526317,0.004626745913818722,0.0057992125984251955,0.2358333333333333,0.05317415730337074,0.0046,0.21512773722627726,0.004942857142857143,0.004435266046289668,0.009585199004975125,0.004652631578947368
1705689338,0.7647616778915609,2.5908259708238486,0.3754957999900729,33.793005343341065,0.32849385181947793,8.210167777249428,0.7414383740120211,3.6698363276812187,2.9180747311443067,0.2436033719857655,0.23062219566027478,110137344,44658688,12070912,45850624,43962368,16326656,46325760,10223616,45645824,2953216,9035776,79831.95097126275,0,0,0,0,0,0,0,0,4,4,9,4,3,27,3,3,4,4,2,14.2,25.267,1.2,78,1.067,13.467,12.8,0.933,148.2,19.6,8,,0,0,0.003014858841010401,0.003267620020429009,0.115,0.004603322949117341,0.003,0.06585195530726255,0.0032051282051282055,0.002043769433149964,0.0075279850746268655,0.0029527027027027026,0.004626745913818722,0.005793650793650797,0.24699999999999997,0.053739612188365704,0.0046,0.21512773722627726,0.004969230769230769,0.004434011002152595,0.009585199004975125,0.004666216216216217
1705689339,0.7647616778915609,2.5908259708238486,0.3754957999900729,33.240195184416336,0.32849385181947793,8.210167777249428,0.7414383740120211,3.6698363276812196,2.9180747311443067,0.24848233502657852,0.2260971011546757,110137344,44658688,12070912,46063616,43962368,16326656,46325760,10223616,45645824,2953216,9035776,79831.95097126275,0,0,0,0,0,0,0,0,4,4,9,4,3,27,3,3,4,4,2,14.2,25.267,1.2,78,1.067,13.467,12.8,0.933,148.2,19.6,8,,0,0,0.003014858841010401,0.003267620020429009,0.115,0.004603322949117341,0.003,0.06585195530726255,0.0032051282051282055,0.002043769433149964,0.0075279850746268655,0.0029527027027027026,0.004626745913818722,0.005793650793650797,0.24699999999999997,0.053739612188365704,0.0046,0.21512773722627726,0.004969230769230769,0.004434011002152595,0.009585199004975125,0.004666216216216217
1705689340,0.7647616778915609,2.5908259708238486,0.37549579999007293,33.24019518441634,0.32849385181947793,8.210167777249428,0.6028333518374822,3.6698363276812196,2.9180747311443067,0.2533612980673915,0.2032074881732644,110137344,44658688,12070912,46063616,43962368,16326656,46325760,10223616,45645824,2953216,9035776,79831.95097126275,0,0,0,0,0,0,0,0,4,4,9,4,3,27,3,3,4,4,2,14.2,25.267,1.2,78,1.067,13.467,12.8,1.133,148.2,19.6,8,,0,0,0.003014858841010401,0.003267620020429009,0.115,0.004603322949117341,0.003,0.06585195530726255,0.0032941176470588232,0.002043769433149964,0.0075279850746268655,0.0029527027027027026,0.004626745913818722,0.005793650793650797,0.24699999999999997,0.053739612188365704,0.0046,0.21512773722627726,0.006833333333333328,0.004434011002152595,0.009585199004975125,0.004666216216216217
1705689341,0.7614551754006088,2.5908259708238486,0.37549579999007293,33.24019518441634,0.32849385181947793,8.210167777249428,0.6028333518374822,3.6248678872183913,2.9180747311443067,0.29273778244877957,0.2738550417851817,110137344,44658688,12070912,46063616,43962368,16326656,46325760,10612736,45645824,2953216,9039872,68228.00413099244,0,0,0,0,0,0,0,0,4,4,9,4,3,27,3,3,4,4,2,14.2,25.267,1.2,78,1.067,13.467,12.8,1.133,148.2,19.6,8,,0,0,0.003014858841010401,0.003267620020429009,0.115,0.004603322949117341,0.003,0.06585195530726255,0.0032941176470588232,0.002043769433149964,0.0075279850746268655,0.0029527027027027026,0.004626745913818722,0.005793650793650797,0.24699999999999997,0.053739612188365704,0.0046,0.21512773722627726,0.006833333333333328,0.004434011002152595,0.009585199004975125,0.004666216216216217
1705689342,0.7614551754006088,2.5908259708238486,0.37549579999007293,33.24019518441634,0.3330752670365012,8.210167777249428,0.6028333518374822,3.6248678872183913,2.9180747311443067,0.29273778244877957,0.2738550417851817,110137344,44658688,12070912,46063616,43958272,16326656,46325760,10612736,45645824,2953216,9039872,68228.00413099244,0,0,0,0,0,0,0,0,4,4,9,4,3,27,3,3,4,4,2,14.2,25.267,1.2,78,1.067,13.467,12.8,1.133,148.2,19.6,8,,0,0,0.003014858841010401,0.003267620020429009,0.115,0.004603322949117341,0.003,0.06585195530726255,0.0032941176470588232,0.002043769433149964,0.0075279850746268655,0.0029527027027027026,0.004626745913818722,0.005793650793650797,0.24699999999999997,0.053739612188365704,0.0046,0.21512773722627726,0.006833333333333328,0.004434011002152595,0.009585199004975125,0.004666216216216217
1705689343,0.7758678259361574,1.92597497369002,0.38382958964537195,33.24019518441634,0.3330752670365012,8.210167777249428,0.6028333518374822,2.3088974927208197,2.9180747311443067,0.29273778244877957,0.2738550417851817,110137344,44658688,11599872,46063616,43958272,16326656,46325760,10612736,45645824,2953216,9039872,44404.93484529824,0,0,0,0,0,0,0,0,4,4,9,4,3,27,3,3,4,4,2,14.2,25.267,1.2,78,1.067,13.467,12.8,1.133,137.333,18.333,8,,0,0,0.003014858841010401,0.003267620020429009,0.115,0.004603322949117341,0.003,0.06585195530726255,0.0032941176470588232,0.00196295142397545,0.007509479671415781,0.0029527027027027026,0.004626745913818722,0.005793650793650797,0.24699999999999997,0.053739612188365704,0.0046,0.21512773722627726,0.006833333333333328,0.004419029928435866,0.009567634017803719,0.004666216216216217
1705689344,0.7758678259361574,1.872993057050093,0.38382958964537195,33.24019518441634,0.3330752670365012,6.842728964358889,0.6028333518374822,2.3714378855515363,2.9180747311443067,0.29273778244877957,0.2738550417851817,110137344,44621824,11599872,46063616,43958272,16326656,46325760,10612736,45645824,2953216,9039872,44404.93484529824,0,0,0,0,0,0,0,0,4,4,9,4,3,27,3,3,4,4,2,14.2,25.267,1.2,78,1.067,13.467,12.8,1.133,137.333,18.333,8,,0,0,0.003014858841010401,0.003267620020429009,0.115,0.004603322949117341,0.003,0.06585195530726255,0.0032941176470588232,0.00196295142397545,0.007509479671415781,0.0029527027027027026,0.004626745913818722,0.005793650793650797,0.24699999999999997,0.053739612188365704,0.0046,0.21512773722627726,0.006833333333333328,0.004419029928435866,0.009567634017803719,0.004666216216216217
1705689345,0.7758678259361574,2.217821116341751,0.38382958964537195,33.24019518441634,0.3330752670365012,6.982557700871696,0.6028333518374822,2.433978278382253,2.9180747311443067,0.29273778244877957,0.2738550417851817,110137344,44621824,11599872,46063616,43958272,16326656,46325760,10612736,45645824,2953216,9039872,44404.93484529824,0,0,0,0,0,0,0,0,4,4,9,4,3,27,3,3,4,4,2,14.933,25.267,1.2,78,1.067,13.467,12.8,1.133,137.333,18.333,8,,0,0,0.003015151515151515,0.003267620020429009,0.115,0.004603322949117341,0.003,0.06585195530726255,0.0032941176470588232,0.00196295142397545,0.007509479671415781,0.0029527027027027026,0.004627272727272727,0.005793650793650797,0.24699999999999997,0.053739612188365704,0.0046,0.21512773722627726,0.006833333333333328,0.004419029928435866,0.009567634017803719,0.004666216216216217
1705689346,0.7758678259361574,2.217821116341751,0.38382958964537195,33.24019518441634,0.3330752670365012,8.38972419076831,0.6028333518374822,2.49651867121297,2.9090887156643976,0.29273778244877957,0.2738550417851817,110137344,44621824,11599872,46063616,43958272,16326656,46325760,10612736,45633536,2953216,9039872,44404.93484529824,0,0,0,0,0,0,0,0,4,4,9,4,3,27,3,3,4,4,2,15.533,25,1.133,81.067,1.067,13.467,13.2,1.133,133.733,17.8,7.4,,0,0,0.003006125574272588,0.0031989949748743723,0.11875,0.0044181271907861785,0.003,0.06190828402366863,0.0032941176470588232,0.0019377306427451396,0.007519352468877464,0.002945392491467577,0.004611026033690658,0.00495819095477387,0.24175000000000002,0.05155072463768117,0.0046,0.21095330739299614,0.006833333333333328,0.004406331258800405,0.00958644905659241,0.0046546075085324235
