time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705706226,0.848697499999993,3.2755173252246355,18.108571754650747,0.17267000000000368,4.896344158714459,1.0689338679931928,0.42426280973203057,0.08555478421844233,0.3943138707432418,0.7903771217224697,0.0001569972465098366,0.3143548358614867,0.42555130513052075,0.8641161106494125,1.0263836017569508,209854464,80953344,6361088,430612480,106835968,319709184,41148416,4452352,278351872,92778496,4669440,2891776,299163648,7962624,46845952,1215961.6653943271,17477132848.713432,0,956758.9789587774,55168.698228836955,0,0,1299365.5441678867,12,7,5,4,8,15,6,5,3,11,1,3,5,17,8,9,4.933,26.933,1.867,1.733,1.933,18.667,0.015882352941176472,0.0031222222222222224,0.030703551912568308,0.03723684210526316,0.0023150684931506848,0.0031123595505617974,0.003458100558659218,0.026547619047619053,0.0048200000000000005,0.07972727272727272,0.04744736842105263,0.004463013698630137,0.004802247191011235,0.007317073170731709
1705706227,0.848697499999993,3.208564137525221,17.68345797305461,0.20697804591958566,4.896344158714459,1.0484120451433845,0.42426280973203057,0.08555478421844233,0.3943138707432418,0.7903771217224697,0.0001569972465098366,0.22646085289563736,0.42555130513052075,0.8641161106494125,1.0263836017569508,209854464,80953344,6361088,430612480,106835968,319709184,41148416,4452352,278351872,92778496,4669440,2891776,299163648,7962624,46845952,1191106.8099516511,17066842620.558558,0,956758.9789587774,55168.698228836955,0,0,1299365.5441678867,12,7,5,4,8,15,6,5,3,11,1,3,5,17,8,9,4.933,26.933,1.867,1.733,1.933,18.667,0.015882352941176472,0.0031222222222222224,0.030703551912568308,0.03723684210526316,0.0023150684931506848,0.0031123595505617974,0.003458100558659218,0.026547619047619053,0.0048200000000000005,0.07972727272727272,0.04744736842105263,0.004463013698630137,0.004802247191011235,0.007317073170731709
1705706228,1.3459386136337725,3.1416109498258056,13.710220589599468,0.2028697899119719,4.998466059916566,1.0278902222935764,0.42426280973203057,0.09615891472868249,0.3943138707432418,0.8001325944310349,0.0001569972465098366,0.23160742728434788,0.42555130513052075,0.8641161106494125,1.0263836017569508,209903616,80953344,6393856,430612480,108322816,319709184,41148416,4452352,278351872,92778496,4669440,2891776,299163648,7962624,46845952,1166251.954508975,12864924955.010109,0,956758.9789587774,55168.698228836955,0,0,1299365.5441678867,10,7,5,4,8,15,6,5,3,11,1,3,5,17,8,9,4.533,26.933,1.867,1.733,1.933,18.667,0.015882352941176472,0.0031092896174863384,0.030703551912568308,0.03723684210526316,0.0023150684931506848,0.0031123595505617974,0.003458100558659218,0.026547619047619053,0.004796721311475409,0.07972727272727272,0.04744736842105263,0.004463013698630137,0.004802247191011235,0.007317073170731709
1705706229,1.3459386136337725,3.0746577621263906,13.710220589599468,0.19876153390435825,4.998466059916566,1.007368399443768,0.42426280973203057,0.09615891472868249,0.37710416103752287,0.8001325944310349,0.0001569972465098366,0.2367540016730584,0.42555130513052075,0.8641161106494125,1.0263836017569508,209903616,80953344,6393856,430612480,108322816,319709184,41148416,4452352,278351872,92778496,4669440,2891776,299163648,7962624,46845952,1141397.0990662987,12864924955.010109,0,956758.9789587774,55336.39556876519,0,0,1299365.5441678867,10,7,5,4,8,15,6,5,3,11,1,3,5,17,8,9,4.533,26.933,1.867,1.733,1.933,18.667,0.015882352941176472,0.0031092896174863384,0.030703551912568308,0.03723684210526316,0.0023150684931506848,0.0031123595505617974,0.003458100558659218,0.026547619047619053,0.004796721311475409,0.07972727272727272,0.04744736842105263,0.004463013698630137,0.004802247191011235,0.007317073170731709
1705706230,1.3459386136337725,3.0077045744269753,13.710220589599468,0.19465327789674453,4.998466059916566,1.2486463516121533,0.42426280973203057,0.09615891472868249,0.3187410070476156,0.7849184005630697,0.0001569972465098366,0.24190057606176893,0.42555130513052075,0.8641161106494125,1.0471985775356583,209903616,80953344,6393856,430612480,108322816,319709184,41148416,4452352,278351872,92766208,4669440,2891776,299163648,7962624,46862336,1116542.2436236225,12864924955.010109,0,956758.9789587774,46772.1660812393,0,0,1611561.3059433282,10,7,5,4,8,15,6,5,3,11,1,3,5,17,8,8.8,4.267,25.867,1.933,1.733,1.933,18.8,0.0158745247148289,0.0030855614973262033,0.030415531335149865,0.03722826086956522,0.0023150684931506848,0.0031123595505617974,0.0034600280504908836,0.025000000000000026,0.004754010695187166,0.07943014705882355,0.04744565217391305,0.004463013698630137,0.004802247191011235,0.007326219512195123
1705706231,1.3459386136337725,2.9407513867275603,13.710220589599468,0.19054502188913083,4.998466059916566,1.2486463516121533,0.42426280973203057,0.09615891472868249,0.930695171112442,0.7849184005630697,0.0001569972465098366,0.24704715045047945,0.42555130513052075,0.8641161106494125,1.0471985775356583,209903616,80953344,6393856,430612480,108322816,319709184,41148416,4452352,278163456,92766208,4669440,2891776,299163648,7962624,46862336,1091687.3881809462,12864924955.010109,0,956758.9789587774,35131.65794665065,0,0,1611561.3059433282,10,7,5,4,8,15,6,5,3,11,1,3,5,17,8,8.8,4.267,25.867,1.933,1.733,1.933,18.8,0.0158745247148289,0.0030855614973262033,0.030415531335149865,0.03722826086956522,0.0023150684931506848,0.0031123595505617974,0.0034600280504908836,0.025000000000000026,0.004754010695187166,0.07943014705882355,0.04744565217391305,0.004463013698630137,0.004802247191011235,0.007326219512195123
1705706232,1.3459386136337725,2.873798199028145,13.710220589599468,0.18643676588151717,4.998466059916566,1.2486463516121533,0.42426280973203057,0.09615891472868249,0.930695171112442,0.7849184005630696,0.0001569972465098366,0.25219372483918995,0.4605941687741766,0.89064012251148,1.0471985775356583,209903616,80953344,6393856,430612480,108322816,319709184,41148416,4452352,278163456,92766208,4669440,2891776,299163648,7958528,46862336,1066832.53273827,12864924955.010109,0,956758.9789587774,35131.65794665065,0,0,1611561.3059433282,10,7,5,4,8,15,6,5,3,11,1,3,5,17,8,9.133,4.267,25.867,2.267,2.333,2.267,19.8,0.015704633204633205,0.0030855614973262033,0.030415531335149865,0.03709239130434783,0.0023866666666666667,0.0030652173913043477,0.003458100558659218,0.0249942084942085,0.004754010695187166,0.07943014705882355,0.04741847826086956,0.004477333333333334,0.004717391304347826,0.007317073170731709
1705706233,1.3459386136337725,2.0214133333333466,13.710220589599468,0.18232850987390345,4.998466059916566,1.1943829953029363,0.33885650318477123,0.09615891472868249,0.930695171112442,0.7849184005630696,0.0001569972465098366,0.25734029922790047,0.4605941687741766,0.89064012251148,1.0471985775356583,209903616,80953344,6393856,430612480,108322816,319709184,41148416,4452352,278163456,92766208,4669440,2891776,299163648,7958528,46862336,737280,12864924955.010109,0,560250.8979413053,35131.65794665065,0,0,1611561.3059433282,10,7,5,4,8,15,6,5,3,11,1,3,5,17,8,9.133,4.267,25.867,2.267,2.333,2.267,19.8,0.015704633204633205,0.0030855614973262033,0.030415531335149865,0.03709239130434783,0.0023866666666666667,0.0030652173913043477,0.003458100558659218,0.0249942084942085,0.004754010695187166,0.07943014705882355,0.04741847826086956,0.004477333333333334,0.004717391304347826,0.007317073170731709
1705706234,1.3459386136337725,2.6106998851609204,7.1044339672617545,0.2447614006195355,4.998466059916566,1.1943829953029363,0.3456386520386185,0.09615891472868249,0.930695171112442,0.7849184005630696,0.0001569972465098366,0.30879446332263105,0.4605941687741766,0.89064012251148,1.0471985775356583,209903616,80953344,6393856,430612480,108322816,319709184,41148416,4452352,278163456,92766208,4669440,2891776,299163648,7958528,46862336,952213.3744697261,6332341791.598242,0,571464.2137538327,35131.65794665065,0,0,1611561.3059433282,10,7,5,4,8,15,6,5,3,11,1,3,5,17,8,9.133,4.267,24.6,2.267,2.333,2.267,19.8,0.015704633204633205,0.0030855614973262033,0.030404509283819624,0.03709239130434783,0.0023866666666666667,0.0030652173913043477,0.003458100558659218,0.0249942084942085,0.004754010695187166,0.07920370370370369,0.04741847826086956,0.004477333333333334,0.004717391304347826,0.007317073170731709
1705706235,1.3459386136337725,2.545736093756713,7.1044339672617545,0.2447614006195355,4.9222016094058985,1.1943829953029363,0.3524208008924657,0.09615891472868249,0.930695171112442,0.7849184005630696,0.0001569972465098366,0.30879446332263105,0.4605941687741766,0.89064012251148,1.0471985775356583,209903616,80953344,6393856,430612480,108322816,319709184,41148416,4452352,278163456,92766208,4669440,2891776,299163648,7958528,46862336,928518.8121866564,6332341791.598242,0,582677.52956636,35131.65794665065,0,0,1611561.3059433282,10,7,5,4,8,15,6,5,3,11,1,3,5,17,8,9.133,4.267,24.6,2.267,2.333,2.267,19.8,0.015704633204633205,0.0030855614973262033,0.030404509283819624,0.03709239130434783,0.0023866666666666667,0.0030652173913043477,0.003458100558659218,0.0249942084942085,0.004754010695187166,0.07920370370370369,0.04741847826086956,0.004477333333333334,0.004717391304347826,0.007317073170731709
