time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705488502,0.7973962153439828,1.9357687353506194,0.40088262835966637,32.40919710693849,0.2879984536580658,7.806655011654798,0.5538721313991926,3.6769144821658473,2.8536742128048918,0.29020278634286883,0.24482955669354964,106778624,43253760,11497472,45174784,43438080,15794176,38371328,10158080,46542848,2973696,8732672,260368.6861278177,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,21.467,0.533,73.733,0.533,11.333,11.667,0.6,116.333,15.733,5.533,0,0,0.0030060698027314114,0.0030828282828282826,0.08333333333333333,0.003533185020393029,0.0031111111111111114,0.045094235033259426,0.003242424242424243,0.0019902503293807642,0.00750354609929078,0.0029783393501805052,0.004615781487101669,0.00474909090909091,0.214,0.03150306748466259,0.0048,0.16645251396648045,0.005375000000000003,0.004405638998682477,0.009585815602836879,0.004607220216606498
1705488503,0.7973962153439828,1.9357687353506194,0.40088262835966637,32.40919710693849,0.2879984536580658,7.806655011654798,0.5538721313991926,3.6769144821658473,2.8536742128048918,0.29020278634286883,0.24482955669354964,106778624,43253760,11497472,45174784,43438080,15794176,38371328,10158080,46542848,2973696,8732672,260368.6861278177,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,21.467,0.533,73.733,0.533,11.333,11.667,0.6,116.333,15.733,5.533,0,0,0.0030060698027314114,0.0030828282828282826,0.08333333333333333,0.003533185020393029,0.0031111111111111114,0.045094235033259426,0.003242424242424243,0.0019902503293807642,0.00750354609929078,0.0029783393501805052,0.004615781487101669,0.00474909090909091,0.214,0.03150306748466259,0.0048,0.16645251396648045,0.005375000000000003,0.004405638998682477,0.009585815602836879,0.004607220216606498
1705488504,0.7973962153439828,1.8894622093023088,0.40088262835966637,32.40919710693849,0.2879984536580658,7.670803242854266,0.5538721313991926,3.6769144821658473,2.8536742128048918,0.29020278634286883,0.24482955669354964,106778624,43257856,11497472,45174784,43438080,15794176,38371328,10158080,46542848,2973696,8732672,260368.6861278177,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,21.933,0.533,75.2,0.533,11.333,11.667,0.6,116.333,15.733,5.533,0,0,0.0030060698027314114,0.0030726895119418483,0.08333333333333333,0.0035098622999627837,0.0031111111111111114,0.045094235033259426,0.003242424242424243,0.0019902503293807642,0.00750354609929078,0.0029783393501805052,0.004615781487101669,0.004730841121495327,0.214,0.030935483870967822,0.0048,0.16645251396648053,0.005375000000000003,0.004405638998682477,0.009585815602836879,0.004607220216606498
1705488505,0.7973962153439828,1.5378196383079015,0.3313202820107145,32.40919710693849,0.2879984536580658,7.670803242854266,0.5538721313991926,3.600544275389197,2.7883531252404667,0.2856807884905799,0.24482955669354964,106778624,43257856,11497472,45174784,43438080,15794176,38371328,10276864,46542848,2977792,8732672,260368.6861278177,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,21.933,0.533,75.2,0.533,11.333,11.667,0.6,116.333,15.733,5.533,0,0,0.0030060698027314114,0.0030726895119418483,0.08333333333333333,0.0035098622999627837,0.0031111111111111114,0.045094235033259426,0.003242424242424243,0.0019902503293807642,0.00750354609929078,0.0029783393501805052,0.004615781487101669,0.004730841121495327,0.214,0.030935483870967822,0.0048,0.16645251396648053,0.005375000000000003,0.004405638998682477,0.009585815602836879,0.004607220216606498
1705488506,0.7973962153439828,1.80507621410844,0.3395252394037809,32.40919710693849,0.2879984536580658,7.670803242854266,0.5538721313991926,3.600544275389197,2.7883531252404667,0.2856807884905799,0.24482955669354964,106778624,43257856,11497472,45174784,43438080,15794176,38371328,10276864,46542848,2977792,8732672,260368.6861278177,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,21.933,0.533,75.2,0.533,11.333,11.667,0.6,116.333,15.733,5.533,0,0,0.0030060698027314114,0.0030726895119418483,0.08333333333333333,0.0035098622999627837,0.0031111111111111114,0.045094235033259426,0.003242424242424243,0.0019902503293807642,0.00750354609929078,0.0029783393501805052,0.004615781487101669,0.004730841121495327,0.214,0.030935483870967822,0.0048,0.16645251396648053,0.005375000000000003,0.004405638998682477,0.009585815602836879,0.004607220216606498
1705488507,0.7973962153439828,1.80507621410844,0.34773019679684714,32.01704255429999,0.2879984536580658,7.670803242854266,0.5538721313991926,3.600544275389197,2.7883531252404667,0.2856807884905799,0.24482955669354964,106778624,43257856,11497472,45162496,43438080,15794176,38371328,10276864,46542848,2977792,8732672,260368.6861278177,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,21.933,0.533,75.2,0.533,11.333,11.667,0.6,116.333,15.733,5.867,0,0,0.0030060698027314114,0.0030726895119418483,0.08333333333333333,0.0035098622999627837,0.0031111111111111114,0.045094235033259426,0.003242424242424243,0.0019902503293807642,0.00750354609929078,0.0029924528301886796,0.004615781487101669,0.004730841121495327,0.214,0.030935483870967822,0.0048,0.16645251396648053,0.005375000000000003,0.004405638998682477,0.009585815602836879,0.00461056603773585
1705488508,0.7973962153439828,1.80507621410844,0.2956000000000003,32.01704255429999,0.2879984536580658,7.670803242854266,0.5538721313991926,3.600544275389197,2.7883531252404667,0.2856807884905799,0.24482955669354964,106778624,43257856,11497472,45162496,43438080,15794176,38371328,10276864,46542848,2977792,8732672,260368.6861278177,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,21.933,0.533,75.2,0.533,11.333,11.667,0.6,116.333,15.733,5.867,0,0,0.0030060698027314114,0.0030726895119418483,0.08333333333333333,0.0035098622999627837,0.0031111111111111114,0.045094235033259426,0.003242424242424243,0.0019902503293807642,0.00750354609929078,0.0029924528301886796,0.004615781487101669,0.004730841121495327,0.214,0.030935483870967822,0.0048,0.16645251396648053,0.005375000000000003,0.004405638998682477,0.009585815602836879,0.00461056603773585
1705488509,0.7973962153439828,1.80507621410844,0.2956000000000003,31.559931872829385,0.2973898716614654,7.670803242854266,0.5538721313991926,2.8842223360074715,2.7883531252404667,0.2856807884905799,0.24938911977001182,106778624,43257856,11497472,45162496,43438080,15794176,38371328,10276864,46542848,2977792,8732672,260368.6861278177,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,22.333,0.733,76.467,0.733,11.333,11.667,0.8,117.4,15.733,6.267,0,0,0.0030060698027314114,0.0030702479338842975,0.08,0.003507971820541342,0.0030512820512820517,0.045094235033259426,0.003363636363636364,0.0019923744412306075,0.00750354609929078,0.002985185185185185,0.004615781487101669,0.0047264462809917356,0.212,0.030700636942675125,0.004692307692307693,0.16645251396648053,0.006749999999999999,0.004406047856955035,0.009585815602836879,0.004597037037037037
1705488510,0.7973962153439828,1.80507621410844,0.2956000000000003,31.559931872829385,0.2973898716614654,7.634053916581989,0.6592029629629687,2.943973371888631,2.7883531252404667,0.2856807884905799,0.24938911977001182,106778624,43257856,11497472,45162496,43438080,16306176,38371328,10276864,46542848,2977792,8732672,260368.6861278177,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,22.333,0.733,76.467,0.733,11.333,11.667,0.867,117.4,15.733,6.267,0,0,0.0030060698027314114,0.0030702479338842975,0.08,0.003507971820541342,0.0030512820512820517,0.045094235033259426,0.0034,0.0019923744412306075,0.00750354609929078,0.002985185185185185,0.004615781487101669,0.0047264462809917356,0.212,0.030700636942675125,0.004692307692307693,0.16645251396648053,0.007000000000000002,0.004406047856955035,0.009585815602836879,0.004597037037037037
1705488511,0.7973962153439828,1.80507621410844,0.36292776806723215,31.559931872829385,0.2973898716614654,7.634053916581989,0.6592029629629687,3.0037244077697904,2.803080393532139,0.2856807884905799,0.24938911977001182,106778624,43257856,11550720,45162496,43438080,16306176,38371328,10276864,46542848,2977792,8732672,260368.6861278177,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,22.333,0.733,76.467,0.733,11.333,11.667,0.867,117.4,15.733,6.267,0,0,0.0030060698027314114,0.0030702479338842975,0.08,0.003507971820541342,0.0030512820512820517,0.045094235033259426,0.0034,0.0019923744412306075,0.00750354609929078,0.002985185185185185,0.004615781487101669,0.0047264462809917356,0.212,0.030700636942675125,0.004692307692307693,0.16645251396648053,0.007000000000000002,0.004406047856955035,0.009585815602836879,0.004597037037037037
