time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,currencyservice_diskio,emailservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,currencyservice_error,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705388221,0.4773904655250396,2.361631330353963,0.3857667724683809,19.00423167905202,0.29207671613295644,6.593099270349148,0.5138850532388496,3.3890305449890024,2.559560773991855,0.2600735519460653,0.2306472451446081,116432896,43741184,12021760,41299968,43634688,17014784,40407040,10588160,45916160,3035136,9244672,44883.01412994137,0,0,0,0,0,4,4,9,3,3,44,3,3,4,4,3,15.067,22.2,0.533,64.26,0.533,11.533,11.667,0.533,132.933,17.733,5.467,0,0,0,0,0.00297427652733119,0.0033054083522965003,0.3125,0.06009643016252889,0.003,0.17936422413793104,0.003720018134058696,0.0020425639193950035,0.007453083109919572,0.00290666821935173,0.004641157556270097,0.006801022174902466,0.8833333333333336,0.0962613825665483,0.0046,0.645348837209302,0.008111146091053203,0.004435453828452939,0.009683646112600537,0.0046240014294184634
1705388222,0.4668711443030853,2.361631330353963,0.3857667724683809,19.004231679052022,0.29207671613295644,6.460059549128467,0.5138850532388496,3.293685756240692,2.5405713314059923,0.2600735519460653,0.2306472451446081,116432896,43741184,12021760,41299968,43634688,17465344,40407040,10588160,45916160,3035136,9244672,43894.01481567333,0,0,0,0,0,4,4,9,3,3,44,3,3,4,4,3,15.067,22.2,0.533,64.26,0.533,11.533,11.667,0.533,132.933,17.733,5.467,0,0,0,0,0.00297427652733119,0.0033054083522965003,0.3125,0.06009643016252889,0.003,0.17936422413793104,0.003720018134058696,0.0020425639193950035,0.007453083109919572,0.00290666821935173,0.004641157556270097,0.006801022174902466,0.8833333333333336,0.0962613825665483,0.0046,0.645348837209302,0.008111146091053203,0.004435453828452939,0.009683646112600537,0.0046240014294184634
1705388223,0.4563518230811309,2.361631330353963,0.3771583014258728,19.004231679052022,0.29207671613295644,6.460059549128467,0.5272985165776902,3.293685756240692,2.5405713314059923,0.2600735519460653,0.2306472451446081,116432896,43741184,12025856,41299968,43634688,17465344,40767488,10588160,45916160,3035136,9244672,42905.015501405265,0,0,0,0,0,4,4,9,3,3,44,3,3,4,4,3,15.067,22.2,0.533,64.26,0.533,11.533,11.667,0.533,133,17.8,5.467,0,0,0,0,0.00297427652733119,0.0033054083522965003,0.3125,0.06009643016252889,0.003,0.17936422413793104,0.003720018134058696,0.002040544487071526,0.007463037634408602,0.00290666821935173,0.004641157556270097,0.006801022174902466,0.8833333333333336,0.0962613825665483,0.0046,0.645348837209302,0.008111146091053203,0.004435106766268571,0.009675403225806452,0.0046240014294184634
1705388224,0.5304965954156688,2.361631330353963,0.3771583014258728,19.004231679052022,0.29207671613295644,6.460059549128467,0.5272985165776902,3.293685756240692,2.5405713314059923,0.2600735519460653,0.22399519257643685,116543488,43741184,12025856,41299968,43634688,17465344,40767488,10588160,45916160,3035136,9244672,91946.22502681265,0,0,0,0,0,4,4,9,3,3,44,3,3,4,4,3,15.067,22.2,0.533,64.26,0.667,11.533,11.667,0.533,133,17.8,5.467,0,0,0,0,0.00297427652733119,0.0033054083522965003,0.3125,0.06009643016252889,0.003,0.17936422413793104,0.003720018134058696,0.002040544487071526,0.007463037634408602,0.00290666821935173,0.004641157556270097,0.006801022174902466,0.8833333333333336,0.0962613825665483,0.0046,0.645348837209302,0.008111146091053203,0.004435106766268571,0.009675403225806452,0.0046240014294184634
1705388225,0.5304965954156688,2.361631330353963,0.33300796360680324,19.004231679052022,0.29207671613295644,6.460059549128467,0.5272985165776902,3.293685756240692,2.5405713314059923,0.2600735519460653,0.22399519257643685,116543488,43741184,12025856,41299968,43634688,17465344,40767488,10588160,45916160,3035136,9244672,91946.22502681265,0,0,0,0,0,4,4,9,3,3,44,3,3,4,4,3,15.067,22.2,0.533,64.26,0.667,11.533,11.667,0.533,133,17.8,5.467,0,0,0,0,0.00297427652733119,0.0033054083522965003,0.3125,0.06009643016252889,0.003,0.17936422413793104,0.003720018134058696,0.002040544487071526,0.007463037634408602,0.00290666821935173,0.004641157556270097,0.006801022174902466,0.8833333333333336,0.0962613825665483,0.0046,0.645348837209302,0.008111146091053203,0.004435106766268571,0.009675403225806452,0.0046240014294184634
1705388226,0.5304965954156688,2.361631330353963,0.3878135605287479,19.004231679052022,0.29207671613295644,6.460059549128467,0.5272985165776902,3.293685756240692,2.5405713314059923,0.2600735519460653,0.22399519257643685,116543488,43741184,12025856,41299968,43634688,17465344,40767488,10588160,45916160,3035136,9244672,91946.22502681265,0,0,0,0,0,4,4,9,3,3,44,3,3,4,4,3,15.067,22.2,0.533,64.26,0.667,11.533,11.667,0.533,133,17.8,7,0,0,0,0,0.00297427652733119,0.0033054083522965003,0.3125,0.06009643016252889,0.003,0.17936422413793104,0.003720018134058696,0.002040544487071526,0.007463037634408602,0.0028847475002469073,0.004641157556270097,0.006801022174902466,0.8833333333333336,0.0962613825665483,0.0046,0.645348837209302,0.008111146091053203,0.004435106766268571,0.009675403225806452,0.004620340463173292
1705388227,0.5304965954156688,2.361631330353963,0.3878135605287479,19.004231679052022,0.29207671613295644,6.460059549128467,0.5272985165776902,3.293685756240692,2.5405713314059923,0.2600735519460653,0.22399519257643685,116543488,43741184,12025856,41299968,43634688,17465344,40767488,10588160,45916160,3035136,9244672,91946.22502681265,0,0,0,0,0,4,4,9,3,3,44,3,3,4,4,3,13.6,23.533,0.867,82.128,0.667,11.533,13.6,0.533,136.6,18.067,8.067,0,0,0,0,0.0029769736842105267,0.0032704404023320864,0.29166722224444536,0.05838383729274223,0.003,0.17549559471365636,0.003720018134058696,0.0020287077977154907,0.0074728629579375845,0.0028707501443396414,0.004642763157894737,0.006246991372939631,0.7875047917465292,0.09504680968371033,0.0046,0.5986607142857147,0.008111146091053203,0.004433072497917104,0.009689959294436907,0.0045959200297160515
1705388228,0.5304965954156688,2.361631330353963,0.3878135605287479,19.004231679052022,0.29207671613295644,6.460059549128467,0.5272985165776902,3.293685756240692,2.5405713314059923,0.26234880140752453,0.22399519257643685,116543488,43741184,12025856,41299968,43634688,17465344,40767488,10588160,45916160,3031040,9244672,91946.22502681265,0,0,0,0,0,4,4,9,3,3,44,3,3,4,4,3,13.6,23.533,0.867,82.128,0.667,11.533,13.6,0.867,136.6,18.067,8.067,0,0,0,0,0.0029769736842105267,0.0032704404023320864,0.29166722224444536,0.05838383729274223,0.003,0.17549559471365636,0.003551743639377352,0.0020287077977154907,0.0074728629579375845,0.0028707501443396414,0.004642763157894737,0.006246991372939631,0.7875047917465292,0.09504680968371033,0.0046,0.5986607142857147,0.007687564063033859,0.004433072497917104,0.009689959294436907,0.0045959200297160515
1705388229,0.5304965954156688,2.361631330353963,0.3878135605287479,19.004231679052022,0.29207671613295644,6.460059549128467,0.5272985165776902,3.293685756240692,2.5405713314059923,0.26234880140752453,0.22399519257643685,116543488,43741184,12025856,41299968,43634688,17465344,40767488,10588160,45916160,3031040,9244672,91946.22502681265,0,0,0,0,0,4,4,9,3,3,44,3,3,4,4,3,13.6,23.533,0.867,82.128,0.667,13.333,13.6,0.867,141.4,18.067,8.067,0,0,0,0,0.0029769736842105267,0.0032704404023320864,0.29166722224444536,0.05838383729274223,0.003,0.17230941704035874,0.003551743639377352,0.0020373035240483714,0.0074728629579375845,0.0028707501443396414,0.004642763157894737,0.006246991372939631,0.7875047917465292,0.09504680968371033,0.0046,0.5479591836734695,0.007687564063033859,0.004435007310380869,0.009689959294436907,0.0045959200297160515
1705388230,0.5304965954156688,2.2924120245929487,0.3878135605287479,16.108673035086234,0.29207671613295644,6.4600595491284665,0.5272985165776902,3.313581370882881,2.5331431983855546,0.26234880140752453,0.246612542519405,116543488,43741184,12025856,41299968,43634688,17465344,40767488,10870784,45887488,3031040,9261056,91946.22502681265,0,0,0,0,0,4,4,9,3,3,44,3,3,4,4,3,13.6,25.467,0.867,82.128,0.667,13.333,13.6,0.867,141.4,18.067,8.067,0,0,0,0,0.0029769736842105267,0.003264583494946791,0.29166722224444536,0.05838383729274223,0.003,0.17230941704035874,0.003551743639377352,0.0020373035240483714,0.0074728629579375845,0.0028707501443396414,0.004642763157894737,0.006129633425026464,0.7875047917465292,0.09504680968371033,0.0046,0.5479591836734695,0.007687564063033859,0.004435007310380869,0.009689959294436907,0.0045959200297160515
