time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,currencyservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705474785,0.5929068812626843,2.486389856645105,0.3752185046452022,29.87524096385593,0.22345771196533573,8.447993159104104,0.5701372670511241,3.5674596774192513,2.3164165567483934,0.2810858143607768,0.272960664779746,109268992,43454464,11943936,44564480,43536384,16302080,40366080,10244096,45346816,3018752,8908800,53828.545145923454,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.333,23,0.733,71.8,0.733,11.533,11.6,0.733,130.867,17,6.533,0,0,0,0.0029908256880733946,0.0034561403508771927,0.14,0.004131294964028778,0.0030512820512820517,0.06574074074074075,0.003285714285714286,0.002088572096284179,0.007522464698331194,0.0026870748299319728,0.004607951070336392,0.007696629213483145,0.228,0.06417695473251023,0.004692307692307693,0.21828947368421062,0.006000000000000001,0.004436410376256135,0.00964826700898588,0.004537414965986395
1705474786,0.6052587219606351,2.486389856645105,0.3752185046452022,25.82415828915707,0.3020463157894644,8.447993159104104,0.5701372670511241,3.5674596774192513,2.713252318810405,0.2810858143607768,0.272960664779746,109268992,43454464,11943936,44564480,43532288,16302080,40366080,10244096,45346816,3018752,8908800,54949.938126266214,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.333,23,0.733,71.8,0.733,11.533,11.6,0.733,130.867,17,6.533,0,0,0,0.0029908256880733946,0.0034561403508771927,0.14,0.004131294964028778,0.0030512820512820517,0.06574074074074075,0.003285714285714286,0.002088572096284179,0.007522464698331194,0.0026870748299319728,0.004607951070336392,0.007696629213483145,0.228,0.06417695473251023,0.004692307692307693,0.21828947368421062,0.006000000000000001,0.004436410376256135,0.00964826700898588,0.004537414965986395
1705474787,0.7411104418770467,2.486389856645105,0.3752185046452022,25.326237606426144,0.3020463157894644,8.447993159104104,0.5701372670511241,3.5674596774192513,2.713252318810405,0.2810858143607768,0.272960664779746,109268992,43454464,11943936,44564480,43532288,16302080,40366080,10244096,45346816,3018752,8908800,67283.57882056617,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.333,23,0.733,71.8,0.733,11.533,11.6,0.733,130.867,17,6.533,0,0,0,0.0029908256880733946,0.0034561403508771927,0.14,0.004131294964028778,0.0030512820512820517,0.06574074074074075,0.003285714285714286,0.002088572096284179,0.007522464698331194,0.0026870748299319728,0.004607951070336392,0.007696629213483145,0.228,0.06417695473251023,0.004692307692307693,0.21828947368421062,0.006000000000000001,0.004436410376256135,0.00964826700898588,0.004537414965986395
1705474788,0.7411104418770467,2.486389856645105,0.3752185046452022,24.82831692369521,0.3020463157894644,8.27915979324749,0.5701372670511241,3.5674596774192513,2.713252318810405,0.2810858143607768,0.25847926582105757,109268992,43454464,11943936,44564480,43532288,16109568,40366080,10244096,45346816,3018752,8908800,67283.57882056617,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.333,23,0.733,71.8,0.733,11.533,11.6,0.733,130.867,17,6.533,0,0,0,0.0029908256880733946,0.0034561403508771927,0.14,0.004131294964028778,0.0030512820512820517,0.06574074074074075,0.003285714285714286,0.002088572096284179,0.007522464698331194,0.0026870748299319728,0.004607951070336392,0.007696629213483145,0.228,0.06417695473251023,0.004692307692307693,0.21828947368421062,0.006000000000000001,0.004436410376256135,0.00964826700898588,0.004537414965986395
1705474789,0.7411104418770467,2.486389856645105,0.3752185046452022,24.33039624096428,0.3020463157894644,8.27915979324749,0.5701372670511241,3.5674596774192513,2.713252318810405,0.2810858143607768,0.25847926582105757,109268992,43454464,11943936,44564480,43532288,16109568,40366080,10244096,45346816,3018752,8908800,67283.57882056617,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.333,23,0.733,72.867,0.733,13,11.6,0.733,130.867,17,6.533,0,0,0,0.0029908256880733946,0.0034561403508771927,0.14,0.004207441860465115,0.0030512820512820517,0.06635273972602738,0.003285714285714286,0.002088572096284179,0.007522464698331194,0.0026870748299319728,0.004607951070336392,0.007696629213483145,0.228,0.0653815261044177,0.004692307692307693,0.21995575221238942,0.006000000000000001,0.004436410376256135,0.00964826700898588,0.004537414965986395
1705474790,0.7411104418770467,2.486389856645105,0.3752185046452022,23.832475558233345,0.3020463157894644,8.27915979324749,0.5701372670511241,3.5674596774192513,2.713252318810405,0.2810858143607768,0.25847926582105757,109268992,43454464,11943936,44564480,43532288,16109568,40366080,10244096,45346816,3018752,8908800,67283.57882056617,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.333,23,0.733,72.867,0.733,13,11.6,0.733,130.867,17,6.533,0,0,0,0.0029908256880733946,0.0034561403508771927,0.14,0.004207441860465115,0.0030512820512820517,0.06635273972602738,0.003285714285714286,0.002088572096284179,0.007522464698331194,0.0026870748299319728,0.004607951070336392,0.007696629213483145,0.228,0.0653815261044177,0.004692307692307693,0.21995575221238942,0.006000000000000001,0.004436410376256135,0.00964826700898588,0.004537414965986395
1705474791,0.7411104418770467,2.1837922987164538,0.3752185046452022,23.334554875502413,0.3020463157894644,8.27915979324749,0.5701372670511241,3.5674596774192513,2.713252318810405,0.2867976440377468,0.25847926582105757,109268992,43454464,11943936,44564480,43532288,16109568,40366080,10244096,45346816,3149824,8908800,67283.57882056617,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.8,24.733,0.733,74.933,0.733,13,13.133,0.733,139.867,18.267,7.133,0,0,0,0.002993865030674847,0.003517514124293785,0.14326923076923076,0.0043204071740184195,0.0030512820512820517,0.06730103806228374,0.003285714285714286,0.002083195851991515,0.007542539267015707,0.0026838487972508595,0.0046134969325153374,0.008015384615384613,0.22865384615384618,0.06648727984344421,0.004692307692307693,0.22097345132743362,0.006000000000000001,0.004439264671223191,0.009686518324607329,0.0045367697594501715
1705474792,0.7411104418770467,2.1837922987164538,0.27062346529317277,28.876564328801496,0.3020463157894644,8.27915979324749,0.5701372670511241,3.5674596774192513,2.713252318810405,0.2867976440377468,0.25847926582105757,109268992,43454464,11943936,43794432,43532288,16109568,40366080,10244096,45346816,3149824,8908800,67283.57882056617,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.8,24.733,0.733,74.933,0.733,13,13.133,0.733,139.867,18.267,7.133,0,0,0,0.002993865030674847,0.003517514124293785,0.14326923076923076,0.0043204071740184195,0.0030512820512820517,0.06730103806228374,0.003285714285714286,0.002083195851991515,0.007542539267015707,0.0026838487972508595,0.0046134969325153374,0.008015384615384613,0.22865384615384618,0.06648727984344421,0.004692307692307693,0.22097345132743362,0.006000000000000001,0.004439264671223191,0.009686518324607329,0.0045367697594501715
1705474793,0.7411104418770467,2.1837922987164538,0.27062346529317277,28.876564328801496,0.3020463157894644,6.6037056206112235,0.5701372670511241,2.8973123770160445,2.713252318810405,0.2867976440377468,0.25847926582105757,109268992,43454464,11943936,43794432,43532288,16109568,40366080,10244096,45346816,3149824,8908800,67283.57882056617,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.8,24.667,0.667,74.467,0.667,13,13.133,0.667,139.533,18.267,7,0,0,0,0.002993865030674847,0.003533333333333333,0.14891304347826087,0.00433235438081253,0.0030606060606060605,0.06730103806228374,0.003125,0.002079943235572374,0.007542539267015707,0.0026702508960573476,0.0046134969325153374,0.008075757575757578,0.22978260869565217,0.06649606299212593,0.004709090909090909,0.22097345132743362,0.004825000000000001,0.004438694418164617,0.009686518324607329,0.004534050179211469
1705474794,0.7411104418770467,2.1837922987164538,0.27062346529317277,28.876564328801496,0.3020463157894644,8.070482118670817,0.5701372670511241,2.837854715725724,2.7132523188104054,0.2867976440377468,0.25847926582105757,109268992,43454464,11943936,43794432,43532288,16109568,40366080,10244096,45346816,3149824,8908800,67283.57882056617,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.8,24.667,0.667,74.467,0.667,13,13.133,0.667,139.533,18.267,7,0,0,0,0.002993865030674847,0.003533333333333333,0.14891304347826087,0.00433235438081253,0.0030606060606060605,0.06730103806228374,0.003125,0.002079943235572374,0.007542539267015707,0.0026702508960573476,0.0046134969325153374,0.008075757575757578,0.22978260869565217,0.06649606299212593,0.004709090909090909,0.22097345132743362,0.004825000000000001,0.004438694418164617,0.009686518324607329,0.004534050179211469
1705474795,0.7411104418770467,2.1837922987164538,0.27062346529317277,28.876564328801496,0.3020463157894644,8.070482118670817,0.4859058207028434,2.7783970544354033,2.7132523188104054,0.2867976440377468,0.25847926582105757,109268992,43454464,11943936,43794432,43532288,16109568,40366080,10244096,45346816,3149824,8908800,67283.57882056617,0,0,0,4,5,9,3,3,23,3,4,4,4,2,14.8,24.667,0.667,74.467,0.667,13,13.133,0.667,139.533,18.267,7,0,0,0,0.002993865030674847,0.003533333333333333,0.14891304347826087,0.00433235438081253,0.0030606060606060605,0.06730103806228374,0.003125,0.002079943235572374,0.007542539267015707,0.0026702508960573476,0.0046134969325153374,0.008075757575757578,0.22978260869565217,0.06649606299212593,0.004709090909090909,0.22097345132743362,0.004825000000000001,0.004438694418164617,0.009686518324607329,0.004534050179211469
