time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,istio-init_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,istio-init_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705727953,20.179303839511082,1.6859750844102923,0.1668180162680588,0.17704321402070622,5.177359741277143,25.244634464751957,0.40817334064728444,0.08033645200209429,7.58382172974657,1.369343675002608,0.00020399512531129303,0.3260056711683568,7.644014196916482,0.782249208707448,0.9907600062644027,202563584,69443584,4878336,430563328,90144768,2723840,315609088,36306944,2863104,242102272,93052928,4644864,2871296,293572608,5443584,34770944,,1621422.750029107,0,566595.9121371842,72910.13060988364,92601.99645229729,,1246293.9347159762,12,6,5,4,9,0,19,7,4,3,11,1,3,6,10,5,5.666,4,22.2,2.667,2.6,2.733,21.8,0.018656621976672505,0.003051948051948052,0.02836489128314871,0.0660317377400385,0.002817599973590843,0.00826875671293686,0.00331908982085098,0.04834603132799041,0.0046935064935064936,0.08677584300295661,0.41700749220588784,0.004840638818630403,0.023996200619034368,0.006452614020271711
1705727954,17.660450505050505,1.6859750844102923,0.1668180162680588,0.17704321402070622,5.177359741277143,25.244634464751957,0.40817334064728444,0.08033645200209429,7.58382172974657,1.369343675002608,0.00020399512531129303,0.3260056711683568,2.48441997281685,0.782249208707448,0.9907600062644027,221298688,69443584,4878336,430563328,90144768,2723840,315609088,36306944,2863104,242102272,93052928,4644864,2871296,293572608,5443584,34770944,,1621422.750029107,0,566595.9121371842,72910.13060988364,92601.99645229729,,1246293.9347159762,14,6,5,4,9,0,19,7,4,3,11,1,3,6,10,5,5.666,4,22.2,2.667,2.6,2.733,21.8,0.01857104426858517,0.003051948051948052,0.02844771148230388,0.06563005781022309,0.0028153870542340018,0.008259204442400114,0.003319560728029801,0.04755919506307221,0.0046935064935064936,0.0869866341532604,0.40885865585613657,0.004836762685463009,0.02383025969713205,0.0064562671099695984
1705727955,17.660450505050505,1.6859750844102923,0.1668180162680588,0.17704321402070622,5.177359741277143,25.244634464751957,0.40817334064728444,0.08033645200209429,7.58382172974657,1.3291701457121103,0.00020399512531129303,0.3260056711683568,2.551334968852641,0.782249208707448,0.9907600062644027,221298688,69443584,4878336,430563328,90144768,2723840,315609088,36306944,2863104,242102272,93052928,4644864,2871296,293572608,5443584,34770944,,1621422.750029107,0,566595.9121371842,72910.13060988364,0,,1246293.9347159762,14,6,5,4,9,0,19,7,4,3,11,1,3,6,10,5,5.4,4.067,22.933,2.133,2.6,2.733,19.933,0.01810632356998465,0.0030625,0.028421437140433475,0.061630855434200146,0.0028132848398325677,0.008250237752623658,0.0033134635750121087,0.043926838147804514,0.0047125,0.08637448273430026,0.4195551694214369,0.004833080462276168,0.023672881921082266,0.006393054922282247
1705727956,17.660450505050505,1.6859750844102923,0.1668180162680588,0.17704321402070622,5.177359741277143,25.244634464751957,0.40817334064728444,0.0803364520020943,7.58382172974657,1.5652795168299323,0.00020399512531129303,0.3260056711683568,2.618249964888432,0.6619280916517745,0.9907600062644027,221298688,69443584,4878336,430563328,90144768,2723840,315609088,36306944,2863104,242102272,93052928,4644864,2871296,293572608,5443584,34770944,,1621422.750029107,0,566595.9121371842,72910.13060988364,0,,1246293.9347159762,14,6,5,4,9,0,19,7,4,3,11,1,3,6,10,5,5.4,4.067,22.933,2.133,2.6,2.733,19.933,0.018079817250467343,0.0030625,0.02850186980098632,0.0611843149655079,0.0028112852258108693,0.008241804398401028,0.0033140978851913076,0.04380888370332089,0.0047125,0.08658875484140582,0.4120707599420584,0.004829577953155116,0.023523421129515658,0.006398640679144165
1705727957,17.660450505050505,1.557615301505841,0.1668180162680588,0.19060534270076018,4.286929288644595,25.244634464751957,0.40817334064728444,0.0803364520020943,7.58382172974657,1.5652795168299323,0.00020399512531129303,0.3260056711683568,2.8026240427367943,0.5274015638235006,0.9907600062644027,221298688,69570560,4878336,430563328,90144768,2723840,315609088,36306944,2863104,242102272,93052928,4644864,2871296,293625856,5517312,34770944,,1749422.648389493,0,566595.9121371842,72910.13060988364,0,,1246293.9347159762,14,6,5,4,9,0,19,7,4,3,11,1,3,6,10,5,5.4,4.067,22.933,2.133,2.6,2.733,19.933,0.01805356313288977,0.0030625,0.02858154088175063,0.06075915043177567,0.002809380879849476,0.00823385817008238,0.0033158977625866864,0.04385482461495161,0.0047125,0.08680055443837173,0.40464684202656653,0.004826242314863407,0.02338129457705236,0.00641667460645646
1705727958,17.660450505050505,1.4529460561789975,0.1668180162680588,0.19060534270076018,5.167231819492964,25.244634464751957,0.40817334064728444,0.0803364520020943,7.58382172974657,1.5652795168299323,0.00020399512531129303,0.3260056711683568,2.8728526326576556,0.5412362268130931,0.9907600062644027,221298688,69570560,4878336,430563328,90144768,2723840,315609088,36306944,2863104,242102272,93052928,4644864,2871296,293625856,5517312,34770944,,1670603.9587989952,0,566595.9121371842,72910.13060988364,0,,1246293.9347159762,14,6,5,4,9,0,19,7,4,3,11,1,3,6,10,5,5.4,4,22.933,2.133,2.6,2.733,15.067,0.018021582962220752,0.003060240963855422,0.028938682184510994,0.06035386281011054,0.0028075651520434288,0.008226358046477544,0.0033257270478705917,0.04382585849966086,0.00470843373493976,0.0884833266208785,0.39728268525636623,0.004823061899476728,0.02324597534084567,0.006519669220820528
1705727959,17.660450505050505,1.4529460561789975,0.1668180162680588,0.19060534270076018,5.167231819492964,25.244634464751957,0.4055313281048006,0.0803364520020943,7.205746771938484,1.5652795168299323,0.00020399512531129303,0.3260056711683568,2.9430812225785163,0.5550708898026857,1.0841382528413834,221298688,69570560,4878336,430563328,90144768,2723840,315609088,36405248,2863104,243200000,93052928,4644864,2871296,293625856,5517312,34770944,,1670603.9587989952,0,727205.0331810738,101060.94251171971,0,,1146765.3234676532,14,6,5,4,9,0,19,7,4,3,11,1,3,6,10,5,5.4,4,23.667,2.133,2.6,1.867,15.067,0.017960474395923205,0.003060240963855422,0.02937408357567501,0.05996709003804932,0.0028058319973175614,0.00825669020697633,0.0033261061169864428,0.04343506262648697,0.00470843373493976,0.08700344330164728,0.3899775709251844,0.004820026118486161,0.023271184503307226,0.006522240580482999
1705727960,17.660450505050505,1.4529460561789975,0.1668180162680588,0.19060534270076018,5.167231819492964,25.244634464751957,0.4055313281048006,0.0803364520020943,7.205746771938484,1.5652795168299323,0.00020399512531129303,0.3260056711683568,3.013309812499378,0.5689055527922783,0.9116292706007185,221298688,69570560,4878336,430563328,90144768,2723840,315609088,36405248,2863104,243200000,93052928,4644864,2871296,293625856,5517312,34770944,,1670603.9587989952,0,727205.0331810738,101060.94251171971,0,,964291.0695597108,14,6,5,4,9,0,19,7,4,3,11,1,3,6,10,5,5.4,4,23.667,2.133,2.6,1.867,15.067,0.017884813427347337,0.003060240963855422,0.029447773105704917,0.059597591720879375,0.0028041759081913428,0.008249231376980649,0.0033264708517720307,0.04286677770920383,0.00470843373493976,0.08719370239507,0.3827307918052487,0.004817125325029568,0.02314219834907769,0.006524705193087041
1705727961,17.660450505050505,1.4529460561789975,0.1668180162680588,0.19060534270076018,4.923961350520707,25.244634464751957,0.2702819743270107,0.0803364520020943,7.205746771938484,1.5652795168299323,0.0001650677555237656,0.3260056711683568,3.083538402420239,0.5827402157818709,0.8935602997200287,221298688,69570560,4878336,430563328,101445632,2723840,315609088,36405248,2863104,243200000,93052928,4644864,2871296,293625856,5517312,34770944,,1670603.9587989952,0,671322.3732354032,101060.94251171971,0,,945178.314168583,14,6,5,4,9,0,19,7,4,3,11,1,3,6,10,5,5.4,4,23.667,2.133,1.733,1.867,15.067,0.017809858913121354,0.003060240963855422,0.029568361068111462,0.05924423584325402,0.0028947278952864324,0.008242149218117518,0.0033268220502091898,0.04262283889720355,0.00470843373493976,0.08748545089241602,0.3755416519190469,0.0048502172744082465,0.02301885183781737,0.0065270695706856705
1705727962,17.660450505050505,1.4529460561789975,0.1668180162680588,0.19060534270076018,4.923961350520707,25.244634464751957,0.27704185438496015,0.07348714523063223,7.205746771938484,1.5652795168299323,0.00016166783676857736,0.3260056711683568,3.1537669923411005,0.5965748787714634,0.8754913288393389,221298688,69570560,4878336,430563328,101445632,2723840,315609088,36405248,2981888,243200000,93052928,4644864,2871296,293625856,5517312,34770944,,1670603.9587989952,0,688112.4634165515,101060.94251171971,0,,926065.5587774554,14,6,5,4,9,0,19,7,4,3,11,1,3,6,10,5,5.4,4,23.667,2.133,1.733,1.867,15.067,0.017735601004866076,0.003060240963855422,0.02968962009803922,0.05890598718518478,0.0028931197577071826,0.008235415900243664,0.0033309082932976883,0.04244323506917678,0.00470843373493976,0.08777410839993027,0.3684094663165027,0.004847383185503178,0.02290078301052572,0.00656511277397111
