time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,payment_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705611034,1.5049839736355228,12.791741904417902,0.17586467448265558,0.17605255342416687,3.5304253911849064,0.6302594738041156,0.3931660726442613,0.07809963511801862,0.26937045342665916,0.8046965090679935,0.00011851721791804422,0.26988455242527126,0.24448802519759089,0.6539964290200978,1.1575014766685903,216748032,127877120,6299648,432451584,99803136,331444224,64794624,4829184,267444224,98451456,4575232,2883584,307040256,8720384,100745216,2919022.511135187,0,852957.4306195187,22403.32549362796,0,26466.787283535803,2177436.503248671,14,10,7,4,8,15,6,5,3,11,1,3,7,17,8,8.4,3.733,23.933,2.067,1.733,2.133,19.4,0,0,0,0,,0.03904109589041096,0.003056497175141243,0.03780211480362538,0.039285714285714285,0.002096774193548387,0.003,0.00489423076923077,0.0962921348314607,0.004701694915254237,0.09233542319749216,0.06375,0.004419354838709677,0.0046,0.009086161879895563
1705611035,1.5049839736355228,12.791741904417902,0.17586467448265558,0.20738157234658014,3.6032401873318567,0.6160235604537488,0.3931660726442613,0.07809963511801862,0.26937045342665916,0.8046965090679935,0.00011851721791804422,0.26988455242527126,0.2645318886037128,0.6384959448283055,1.1575014766685903,216748032,127877120,6299648,432451584,99803136,331444224,64794624,4829184,267444224,98451456,4575232,2883584,307040256,8720384,100745216,2919022.511135187,0,852957.4306195187,22403.32549362796,0,26466.787283535803,2177436.503248671,14,10,7,4,8,15,6,5,3,11,1,3,6,17,8,8.4,3.733,23.933,2.067,1.733,2.133,19.4,0,0,0,0,,0.03904109589041096,0.003056497175141243,0.03780211480362538,0.039285714285714285,0.002096774193548387,0.003,0.00489423076923077,0.0962921348314607,0.004701694915254237,0.09233542319749216,0.06375,0.004419354838709677,0.0046,0.009086161879895563
1705611036,1.5049839736355228,12.791741904417902,0.17586467448265558,0.20738157234658014,3.6760549834788074,0.601787647103382,0.3931660726442613,0.07809963511801862,0.26937045342665916,0.8046965090679935,0.00011851721791804422,0.26988455242527126,0.2645318886037128,1.039327533965392,1.1575014766685903,216748032,127877120,6299648,432451584,99803136,331444224,64794624,4829184,267444224,98451456,4575232,2883584,307040256,8720384,100745216,2919022.511135187,0,852957.4306195187,22403.32549362796,0,26466.787283535803,2177436.503248671,14,10,7,4,8,15,6,5,3,11,1,3,6,17,8,8.4,3.733,23.933,2.067,1.733,2.133,19.4,0,0,0,0,,0.03904109589041096,0.003056497175141243,0.03780211480362538,0.039285714285714285,0.002096774193548387,0.003,0.00489423076923077,0.0962921348314607,0.004701694915254237,0.09233542319749216,0.06375,0.004419354838709677,0.0046,0.009086161879895563
1705611037,1.5049839736355228,12.791741904417902,0.17586467448265558,0.20738157234658014,4.368887768817044,0.5875517337530152,0.3931660726442613,0.07809963511801862,0.26937045342665916,0.8046965090679935,0.00016895591502142767,0.26988455242527126,0.2645318886037128,1.039327533965392,1.1575014766685903,216748032,127877120,6299648,432451584,99803136,331444224,64794624,4829184,267444224,98451456,4575232,2883584,307040256,8720384,100745216,2919022.511135187,0,852957.4306195187,22403.32549362796,0,26466.787283535803,2177436.503248671,14,10,7,4,8,15,6,5,3,11,1,3,6,17,8,8.4,3.733,23.933,2.067,2.133,2.133,19.4,0,0,0,0,,0.03904109589041096,0.003056497175141243,0.03780211480362538,0.039285714285714285,0.0022835820895522386,0.003,0.00489423076923077,0.0962921348314607,0.004701694915254237,0.09233542319749216,0.06375,0.004456716417910448,0.0046,0.009086161879895563
1705611038,1.5049839736355228,12.791741904417902,0.17586467448265558,0.20738157234658014,4.368887768817044,1.0499388994377534,0.3931660726442613,0.07809963511801862,0.2942413197053847,0.8046965090679935,0.00016895591502142767,0.26988455242527126,0.2645318886037128,1.039327533965392,1.1575014766685903,216748032,127877120,6299648,432451584,99803136,331468800,64794624,4829184,267444224,98451456,4575232,2883584,307040256,8720384,100745216,2919022.511135187,0,852957.4306195187,30783.1053660003,0,26466.787283535803,2177436.503248671,14,10,7,4,8,21,6,5,3,11,1,3,6,17,8,8.8,3.733,23.933,2.467,2.533,2.533,20.6,0,0,0,0,,0.03887931034482759,0.003056497175141243,0.03780211480362538,0.03908227848101266,0.0022941176470588232,0.003,0.00478139534883721,0.09572222222222225,0.004701694915254237,0.09233542319749216,0.056875000000000016,0.004458823529411765,0.0046,0.00902266666666667
1705611039,1.5049839736355228,12.791741904417902,0.17586467448265558,0.20738157234658014,4.245069837592042,1.0499388994377534,0.3931660726442613,0.07809963511801862,0.2942413197053847,0.8046965090679935,0.00016895591502142767,0.26988455242527126,0.2645318886037128,1.039327533965392,1.1575014766685903,216748032,127877120,6299648,432451584,100765696,331468800,64794624,4829184,267444224,98451456,4575232,2883584,307040256,8720384,100745216,2919022.511135187,0,852957.4306195187,30783.1053660003,0,26466.787283535803,2177436.503248671,14,10,7,4,8,21,6,5,3,11,1,3,6,17,8,8.8,3.733,23.933,2.467,2.533,2.533,20.6,0,0,0,0,,0.03887931034482759,0.003056497175141243,0.03780211480362538,0.03908227848101266,0.0022941176470588232,0.003,0.00478139534883721,0.09572222222222225,0.004701694915254237,0.09233542319749216,0.056875000000000016,0.004458823529411765,0.0046,0.00902266666666667
1705611040,1.5049839736355228,12.791741904417902,0.17586467448265558,0.20738157234658014,4.245069837592042,1.0499388994377534,0.3931660726442613,0.06357800386164433,0.29424131970538464,0.8046965090679935,0.00016895591502142767,0.26988455242527126,0.2645318886037128,1.039327533965392,1.1575014766685903,216748032,127877120,6299648,432451584,100765696,331468800,64794624,4829184,267444224,98451456,4575232,2883584,307040256,8720384,100745216,2919022.511135187,0,852957.4306195187,30783.105366000298,0,26466.787283535803,2177436.503248671,14,10,7,4,8,21,6,5,3,11,1,3,6,17,8,8.8,3.733,23.933,2.467,2.533,2.533,20.6,0,0,0,0,,0.03887931034482759,0.003056497175141243,0.03780211480362538,0.03908227848101266,0.0022941176470588232,0.003,0.00478139534883721,0.09572222222222225,0.004701694915254237,0.09233542319749216,0.056875000000000016,0.004458823529411765,0.0046,0.00902266666666667
1705611041,1.5049839736355228,12.791741904417902,0.17586467448265558,0.20738157234658014,4.245069837592042,1.0499388994377534,0.37481262841104124,0.06488814767415568,0.29424131970538464,0.8046965090679935,0.00013941467726291028,0.26988455242527126,0.2645318886037128,1.039327533965392,1.1575014766685903,216748032,127877120,6299648,432451584,100765696,331468800,64794624,4829184,267444224,98451456,4575232,2883584,307040256,8720384,100745216,2919022.511135187,0,592644.0373875047,30783.105366000298,0,26466.787283535803,2177436.503248671,14,10,7,4,8,21,6,5,3,11,1,3,6,17,8,8.8,3.733,23.933,2.467,2.533,2.533,20.6,0,0,0,0,,0.03887931034482759,0.003056497175141243,0.03780211480362538,0.03908227848101266,0.0022941176470588232,0.003,0.00478139534883721,0.09572222222222225,0.004701694915254237,0.09233542319749216,0.056875000000000016,0.004458823529411765,0.0046,0.00902266666666667
1705611042,1.5049839736355228,12.791741904417902,0.17586467448265558,0.20738157234658014,4.245069837592042,1.0499388994377534,0.37481262841104124,0.07860862875068077,0.29424131970538464,0.8046965090679935,0.00013659874534588647,0.27213105298071916,0.2645318886037128,1.039327533965392,1.1575014766685903,216748032,127877120,6299648,432451584,100765696,331468800,64794624,4829184,267444224,98451456,4575232,2883584,307040256,8720384,100745216,2919022.511135187,0,592644.0373875047,30783.105366000298,0,35439.679289360596,2177436.503248671,14,10,7,4,8,21,6,5,3,11,1,3,6,17,8,8.8,3.733,23.933,2.467,2.533,2.533,20.6,0,0,0,0,,0.03887931034482759,0.003056497175141243,0.03780211480362538,0.03908227848101266,0.0022941176470588232,0.003,0.00478139534883721,0.09572222222222225,0.004701694915254237,0.09233542319749216,0.056875000000000016,0.004458823529411765,0.0046,0.00902266666666667
1705611043,1.5049839736355228,12.791741904417902,0.17586467448265558,0.20738157234658014,4.245069837592042,1.0499388994377534,0.37481262841104124,0.07860862875068077,0.29424131970538464,0.646166144266136,0.0001337828134288627,0.27213105298071916,0.2725839947653979,1.039327533965392,1.1575014766685903,216748032,127877120,6299648,432451584,100765696,331468800,64794624,4829184,267444224,98451456,4575232,2883584,307040256,8720384,100745216,2919022.511135187,0,592644.0373875047,30783.105366000298,0,35439.679289360596,2177436.503248671,14,10,7,4,8,21,6,5,3,11,1,3,6,17,8,8.133,3.733,23.933,2.467,2.533,2.333,20.6,0,0,0,0,,0.038356164383561646,0.003056497175141243,0.03780211480362538,0.03908227848101266,0.0022941176470588232,0.003,0.00478139534883721,0.09454545454545456,0.004701694915254237,0.09233542319749216,0.056875000000000016,0.004458823529411765,0.0046,0.00902266666666667
