time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705661904,22.00401553260966,2.162239346077387,0.16960848478879353,0.16799961063132804,4.5565825305856835,1.2486833747184778,0.3142445789376557,0.07079077759685334,0.3678954630490568,0.8039944845142147,0,0.33047719624829874,0.5994154228855731,1.09126197171188,1.077699619771866,401129472,76136448,6094848,430706688,110383104,329191424,39292928,4382720,265977856,96030720,4718592,3006464,302764032,7675904,40640512,,1855921.957309257,0,743494.3495422343,46682.5119974283,0,21994.70179709315,1535165.67083107,29,8,6,4,10,13,5,4,3,11,1,3,6,15,8,7.467,4,24.267,2,2,1.4,16.533,0,0,0,0,0,0.018369565217391304,0.0031614906832298137,0.033688524590163936,0.03838235294117647,0.002822784810126582,0.0033870967741935483,0.006059602649006623,0.04926470588235294,0.0048906832298136645,0.0878787878787879,0.049088235294117655,0.004564556962025317,0.007299999999999999,0.009529801324503312
1705661905,22.00401553260966,2.11702691411692,0.198533207932283,0.1647383688207265,4.5565825305856835,1.2486833747184778,0.3780518561806048,0.06923179266356802,0.37530740536955437,0.8039944845142147,0,0.33047719624829874,0.5994154228855731,1.09126197171188,1.077699619771866,401129472,76136448,6094848,430706688,110383104,329191424,39292928,4382720,265977856,96030720,4718592,3006464,302764032,7675904,40640512,,1817114.622972747,0,894460.6772675544,47623.0185299993,0,21994.70179709315,1535165.67083107,29,8,6,4,10,13,5,4,3,11,1,3,6,15,8,7.467,4,24.267,2,2,1.4,16.533,0,0,0,0,0,0.018369565217391304,0.0031614906832298137,0.033688524590163936,0.03838235294117647,0.002822784810126582,0.0033870967741935483,0.006059602649006623,0.04926470588235294,0.0048906832298136645,0.0878787878787879,0.049088235294117655,0.004564556962025317,0.007299999999999999,0.009529801324503312
1705661906,22.00401553260966,2.0718144821564524,0.198533207932283,0.16147712701012498,4.5565825305856835,1.2486833747184778,0.3780518561806048,0.09394754170324855,0.46523553008595964,0.8039944845142147,0.00015483412442571402,0.33047719624829874,0.5994154228855731,1.09126197171188,1.077699619771866,401129472,76136448,6094848,430706688,110383104,329191424,39292928,4407296,265768960,96030720,4718592,3006464,302764032,7675904,40640512,,1778307.2886362367,0,894460.6772675544,75112.89398280802,0,21994.70179709315,1535165.67083107,29,8,6,4,10,13,5,4,3,11,1,3,6,15,8,7.467,4,24.267,2,2,1.4,16.533,0,0,0,0,0,0.018369565217391304,0.0031614906832298137,0.033688524590163936,0.03838235294117647,0.002822784810126582,0.0033870967741935483,0.006059602649006623,0.04926470588235294,0.0048906832298136645,0.0878787878787879,0.049088235294117655,0.004564556962025317,0.007299999999999999,0.009529801324503312
1705661907,22.00401553260966,2.0266020501959856,0.198533207932283,0.1874420043303427,4.5565825305856835,1.2486833747184778,0.3841253631082055,0.09394754170324855,0.46523553008595964,0.8039944845142147,0.00015483412442571402,0.2774198111001485,0.5994154228855731,1.09126197171188,1.077699619771866,401129472,76136448,6094848,430698496,110383104,329191424,39301120,4407296,265768960,96030720,4718592,3006464,302764032,7675904,40640512,,1739499.954299727,0,873783.5875090777,75112.89398280802,0,26254.079039452266,1535165.67083107,29,8,6,4,10,13,5,4,3,11,1,3,6,15,8,7.467,4,23.667,2,2,1.4,18.733,0,0,0,0,0,0.018369565217391304,0.0031614906832298137,0.031782334384858044,0.03838235294117647,0.002822784810126582,0.0033870967741935483,0.00591648590021692,0.04926470588235294,0.0048906832298136645,0.08325423728813561,0.049088235294117655,0.004564556962025317,0.007299999999999999,0.009495661605206073
1705661908,22.00401553260966,1.9813896182355184,0.198533207932283,0.1874420043303427,4.5565825305856835,1.0181452066610788,0.3841253631082055,0.09394754170324855,0.46523553008595964,0.8039944845142147,0.00015483412442571402,0.2828938876100685,0.5994154228855731,1.09126197171188,1.077699619771866,401129472,76136448,6094848,430698496,110383104,329191424,39301120,4407296,265768960,96030720,4718592,3006464,302764032,7675904,40640512,,1700692.6199632168,0,873783.5875090777,75112.89398280802,0,26772.127252337712,1535165.67083107,29,8,6,4,10,13,5,4,3,11,1,3,6,15,8,8.133,4,23.667,2.667,2.667,2.067,20.733,0,0,0,0,0,0.01804054054054054,0.0031614906832298137,0.031782334384858044,0.03762626262626263,0.002849462365591398,0.0032857142857142855,0.005914760914760914,0.04746987951807227,0.0048906832298136645,0.08325423728813561,0.047727272727272736,0.00456989247311828,0.006222222222222219,0.009457380457380458
1705661909,22.00401553260966,1.9361771862750505,0.198533207932283,0.1907082178920605,4.5565825305856835,0.9973338170824374,0.3841253631082055,0.09394754170324855,0.46523553008595964,0.8039944845142147,0.00015483412442571402,0.3284445905951974,0.42167498372747647,1.09126197171188,1.077699619771866,401129472,76136448,6094848,430698496,110383104,329191424,39301120,4407296,265768960,96030720,4718592,3006464,302764032,7675904,40640512,,1661885.285626707,0,873783.5875090777,75112.89398280802,0,31082.892773126252,1535165.67083107,29,8,6,4,10,13,5,4,3,11,1,3,6,15,8,8.133,4,23.667,2.667,2.667,2.067,20.733,0,0,0,0,0,0.01804054054054054,0.0031614906832298137,0.031782334384858044,0.03762626262626263,0.002849462365591398,0.0032857142857142855,0.005914760914760914,0.04746987951807227,0.0048906832298136645,0.08325423728813561,0.047727272727272736,0.00456989247311828,0.006222222222222219,0.009457380457380458
1705661910,22.00401553260966,1.5715199999999996,0.198533207932283,0.1907082178920605,4.5565825305856835,0.976522427503796,0.3841253631082055,0.09394754170324855,0.46523553008595964,0.8511036534735736,0.00015483412442571402,0.3284445905951974,0.42167498372747647,1.09126197171188,1.077699619771866,401129472,76136448,6094848,430698496,110383104,329191424,39301120,4407296,265768960,96030720,4718592,3006464,302764032,7675904,40640512,,1515520,0,873783.5875090777,75112.89398280802,0,31082.892773126252,1535165.67083107,29,8,6,4,10,13,5,4,3,11,1,3,6,15,8,8.133,4,23.667,2.667,2.667,2.8,20.733,0,0,0,0,0,0.01804054054054054,0.0031614906832298137,0.031782334384858044,0.03762626262626263,0.002849462365591398,0.0032444444444444443,0.005914760914760914,0.04746987951807227,0.0048906832298136645,0.08325423728813561,0.047727272727272736,0.00456989247311828,0.0055,0.009457380457380458
1705661911,22.00401553260966,2.6081681808578034,0.198533207932283,0.1907082178920605,4.5565825305856835,0.9557110379251548,0.3841253631082055,0.09394754170324855,0.46523553008595964,0.8511036534735736,0.00015483412442571402,0.3284445905951974,0.42167498372747647,1.09126197171188,1.077699619771866,401129472,76214272,6094848,430698496,110383104,329191424,39301120,4407296,265768960,96030720,4718592,3006464,302764032,7675904,40640512,,1817367.420240862,0,873783.5875090777,75112.89398280802,0,31082.892773126252,1535165.67083107,29,8,6,4,10,13,5,4,3,11,1,3,6,15,8,7.733,3.6,23.667,2.667,2.667,2.8,20.733,0,0,0,0,0,0.020289256198347105,0.0031366459627329194,0.031782334384858044,0.03762626262626263,0.002849462365591398,0.0032444444444444443,0.005914760914760914,0.04454022988505746,0.0048459627329192545,0.08325423728813561,0.047727272727272736,0.00456989247311828,0.0055,0.009457380457380458
1705661912,22.00401553260966,2.6081681808578034,0.198533207932283,0.1907082178920605,4.017564435627266,0.9348996483465136,0.3841253631082055,0.10171623494297036,0.46523553008595964,0.8511036534735736,0.00015483412442571402,0.3284445905951974,0.42167498372747647,1.09126197171188,1.077699619771866,401129472,76214272,6094848,430698496,110383104,329191424,39301120,4407296,265768960,96030720,4718592,3006464,302764032,7675904,40640512,,1817367.420240862,0,873783.5875090777,75112.89398280802,0,31082.892773126252,1535165.67083107,29,8,6,4,10,13,5,4,3,11,1,3,6,15,8,7.733,3.6,23.667,2.667,2.667,2.8,20.733,0,0,0,0,0,0.020289256198347105,0.0031366459627329194,0.031782334384858044,0.03762626262626263,0.002849462365591398,0.0032444444444444443,0.005914760914760914,0.04454022988505746,0.0048459627329192545,0.08325423728813561,0.047727272727272736,0.00456989247311828,0.0055,0.009457380457380458
1705661913,22.00401553260966,2.6081681808578034,0.198533207932283,0.1907082178920605,4.099051243000558,0.9140882587678721,0.3841253631082055,0.10171623494297036,0.46523553008595964,0.8511036534735736,0.00015483412442571402,0.3284445905951974,0.43708627125674004,1.1326627663235624,1.077699619771866,401129472,76214272,6094848,430698496,110383104,329191424,39301120,4407296,265768960,96030720,4718592,3006464,302759936,7675904,40640512,,1817367.420240862,0,873783.5875090777,75112.89398280802,0,31082.892773126252,1535165.67083107,29,8,6,4,10,13,5,4,3,11,1,3,6,15,8,7.733,3.6,23.667,2.667,2.667,2.8,20.733,0,0,0,0,0,0.020289256198347105,0.0031366459627329194,0.031782334384858044,0.03762626262626263,0.002849462365591398,0.0032444444444444443,0.005914760914760914,0.04454022988505746,0.0048459627329192545,0.08325423728813561,0.047727272727272736,0.00456989247311828,0.0055,0.009457380457380458
