time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,frontend-check_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,checkoutservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,frontend-check_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1708488421,2.1995706321373976,1.9095878649922853,0.06302163711379169,2.599692126843741,0.19819637069212614,0.632453727446501,0.10620419779437938,0.18064040173949053,0.13947312518689392,0.15833288006527063,0.06042048850870865,81027072,26681344,8097792,25640960,43294720,9740288,2854912,24596480,7417856,41181184,2891776,7032832,257818.54149806668,,0,0,,4,4,9,3,3,13,0,2,4,2,4,3,4.067,7.2,,32.467,,,0,,34.067,,,0.733,,0.007863938279980436,0.004259282529499622,,0.004548690689190371,,NaN,,0.001383693867258209,,,0.013696878525761562,0.04129647264214578,,0.0637354759901379,,NaN,,0.004303159929865389,,
1708488422,2.1995706321373976,5.078739618268335,0.06302163711379169,8.08486561815648,0.19819637069212614,0.632453727446501,0.10620419779437938,0.18064040173949053,0.13603320891537443,0.15833288006527063,0.06042048850870865,81027072,33476608,8097792,28413952,43294720,9740288,2854912,24596480,7417856,41181184,2891776,7032832,257818.54149806668,,0,0,,4,4,9,3,3,13,0,2,4,2,4,3,4.067,7.2,,32.467,,,0,,34.067,,,0.733,,0.00786004448930198,0.004254888554390236,,0.004543384700763434,,NaN,,0.001368907448568853,,,0.013548594119770552,0.04107431320579331,,0.06374133202469136,,NaN,,0.004299590788927828,,
1708488423,2.1995706321373976,5.078739618268335,0.06302163711379169,8.08486561815648,0.19819637069212614,0.632453727446501,0.10620419779437938,0.18064040173949053,0.5643980635894527,0.15833288006527063,0.06042048850870865,81027072,33476608,8097792,28413952,43294720,9740288,2854912,24596480,7417856,41775104,2891776,7032832,257818.54149806668,,0,0,,4,4,9,3,3,13,0,2,4,4,4,3,4.067,7.2,,32.467,,,0,,37.4,3.333,,0.733,,0.007856487420069277,0.004250917687841694,,0.004538596791670655,,NaN,,0.0016066625632684955,0.0074988771549986755,,0.01341174655817361,0.04087341075721513,,0.06374662971663829,,NaN,,0.0043514813309526645,0.00965512343617442,
1708488424,2.1995706321373976,5.078739618268335,0.06302163711379169,8.08486561815648,0.19819637069212614,0.632453727446501,0.10620419779437938,0.18064040173949053,0.5643980635894527,0.15833288006527063,0.06042048850870865,81027072,33476608,8097792,28413952,43294720,9740288,2854912,24596480,7417856,41775104,2891776,7032832,257818.54149806668,,0,0,,4,4,9,3,3,13,0,2,4,4,4,3,4.067,7.2,,32.467,,,0,,37.4,3.333,,0.733,,0.007853225204813285,0.004247311623575029,,0.004534254615593577,,NaN,,0.0015986067942903234,0.007495923340700087,,0.013285061824663035,0.04069085367941651,,0.06375144528505129,,NaN,,0.004348994469595678,0.009650547919907979,
1708488425,2.5603279754874264,5.932155605740512,0.06302163711379169,8.08486561815648,0.19819637069212614,0.632453727446501,0.39315654764402314,0.18064040173949053,0.5643980635894527,0.15833288006527063,0.06042048850870865,82784256,33476608,8097792,28413952,43294720,9740288,2854912,26009600,7417856,41775104,2891776,7032832,252411.0306578339,,0,0,,4,4,9,3,3,13,0,3,4,4,4,3,4.067,7.2,,32.467,,5.467,0,,37.4,3.333,,0.733,,0.007850222640825296,0.004244022297975707,,0.004530298697332013,,0.09336423885392957,,0.0015912787371731522,0.007493286670314119,,0.013167448354874505,0.040524238884825765,,0.06375584167994948,,0.22118930178303614,,0.0043467322569979904,0.009646463665780694,
1708488426,1.8548071825369379,5.932155605740512,0.06302163711379169,8.08486561815648,0.19819637069212614,0.632453727446501,0.39315654764402314,0.18064040173949053,0.5643980635894527,0.15833288006527063,0.06042048850870865,82784256,33476608,8097792,28413952,43294720,9740288,2854912,26009600,7417856,41775104,2891776,7032832,264361.6163013161,,0,0,,4,4,9,3,3,13,0,3,4,4,4,3,4.067,7.2,,32.467,,5.467,0,,37.4,3.333,,0.733,,0.007847449914734912,0.004241009735554432,,0.0045266796923213075,,0.09330442241707967,,0.001584584047235648,0.00749091866965421,,0.013057965504130528,0.04037156543840021,,0.06375987134939554,,0.22119461502125648,,0.004344665568423911,0.009642795586327111,
1708488427,1.8548071825369379,5.932155605740512,1.1827720495974037,8.08486561815648,0.19819637069212614,0.632453727446501,0.39315654764402314,0.18064040173949053,0.818475624545234,0.15833288006527063,0.06042048850870865,82784256,33476608,10502144,28413952,43294720,9740288,2854912,26009600,7417856,41775104,2891776,7032832,264361.6163013161,,0,0,,4,4,9,3,3,13,0,3,4,4,4,3,4.067,7.2,,32.467,0.2,5.467,0,,37.4,3.333,,0.733,0.467,0.007844881609181278,0.004238240416299496,,0.004523356317745861,0.003,0.09325039303422424,,0.0015784440127203456,0.00748878026440515,,0.012955798336173205,0.04023115381140257,,0.06376357834186379,0.0046,0.22119937322787644,,0.004342770105109604,0.009639483154666803,
1708488428,1.8548071825369379,5.932155605740512,1.2042195745405038,8.08486561815648,0.19819637069212614,0.632453727446501,0.39315654764402314,0.18064040173949053,0.818475624545234,0.1769379158997593,0.06042048850870865,82784256,33476608,10502144,28413952,43294720,9740288,2854912,26009600,7417856,41775104,2932736,7032832,264361.6163013161,,0,0,,4,4,9,3,3,13,0,3,4,4,4,3,6.2,7.2,,32.467,0.2,5.467,0,0.2,37.4,3.333,,0.733,0.467,0.007143514439668318,0.004235686023157136,,0.004520293770768423,0.003,0.0932013496366363,0.008333333333333331,0.001572792445619794,0.007486839607003268,,0.00997402956242903,0.04010158383924176,,0.06376699992300736,0.0046,0.2212036590554531,0.04000000000000001,0.004341025434443545,0.00963647703829918,
1708488429,1.8548071825369379,5.932155605740512,1.2256670994836036,8.08486561815648,0.19819637069212614,0.632453727446501,0.39315654764402314,0.18064040173949053,0.818475624545234,0.1769379158997593,0.06042048850870865,82784256,33476608,10502144,28413952,43294720,9740288,2854912,26009600,7417856,41775104,2932736,7032832,264361.6163013161,,0,0,,4,4,9,3,3,13,0,3,4,4,4,3,6.2,7.2,,32.467,0.2,5.467,0,0.2,37.4,3.333,,0.733,0.467,0.007142934633934658,0.004233322470241354,,0.004517462505121889,0.003,0.09315663248428713,0.008333333333333333,0.001567573286161687,0.007485070479747475,,0.009971008859683115,0.0399816465165553,,0.06377016783283079,0.0046,0.2212075395216862,0.04000000000000001,0.004339414250457571,0.009633736625491187,
1708488430,1.8548071825369379,5.932155605740512,1.2471146244267042,8.08486561815648,0.19819637069212614,0.5332076830828685,0.39315654764402314,0.18064040173949053,0.818475624545234,0.1769379158997593,0.0638920959030431,82784256,33476608,10502144,28413952,43294720,9740288,2854912,26009600,7417856,41775104,2932736,7032832,264361.6163013161,,0,0,,4,4,9,3,3,13,0,3,4,4,4,3,6.2,7.2,,32.467,0.2,5.467,0,0.2,37.4,3.333,,0.733,0.467,0.007142392905548088,0.004231129141009451,,0.0045148372747887,0.003,0.09311569331502799,0.008333333333333331,0.001562738736884671,0.007483451103424864,,0.009968186534325064,0.03987030615810555,,0.06377310927324234,0.004600000000000001,0.22121106953941425,0.040000000000000015,0.004337921797805562,0.009631228179814984,
