time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705817228,30.552525207359892,2.4888995152911484,0.18716800577773776,0.21460769721454329,2.2084500000000182,1.3511525223377296,0.409217801753204,0.08155556936075065,0.5285866191516182,0.8046391988293403,0.00009029844216815864,0.29518351892188993,1.3882610781577087,0.8033977022732834,0.9814736277664015,191533056,75948032,6049792,431173632,99508224,335237120,39297024,4546560,271966208,96653312,4538368,2891776,298680320,7782400,40628224,0,2181233.2905862154,0,759541.469993257,94171.74387860674,0,0,1697182.4120113095,14,8,6,4,10,17,7,5,3,11,1,3,6,17,8,7.533,4.4,24.067,2.2,1.933,1.866,18.332,0,0,0.015067826350131689,0.003129032258064516,0.029333726415094335,0.032849285451486354,0.0016894623919573345,0.0031572925987472834,0.0032937056099695667,0.10000199965931764,0.004832258064516128,0.08334374999999997,0.15750422184694707,0.004337892478391467,0.004883126677745111,0.006095230169067529
1705817229,30.552525207359892,2.4888995152911484,0.1863308384039632,0.21460769721454329,3.016753654742319,1.4393153184846572,0.409217801753204,0.08155556936075065,0.5285866191516182,0.8046391988293403,0.0001088348271446841,0.29518351892188993,1.3882610781577087,0.8033977022732834,0.9814736277664015,191533056,75948032,6049792,431173632,98340864,335237120,39297024,4546560,271966208,96653312,4538368,2891776,298680320,7782400,40628224,0,2181233.2905862154,0,759541.469993257,94171.74387860674,0,0,1697182.4120113095,14,8,6,4,10,17,7,5,3,11,1,3,6,17,8,7.533,4.067,23.733,1.866,1.933,1.866,17.332,0,0,0.01372664547856018,0.003063157894736842,0.028211805555555552,0.030278033442226637,0.0016894623919573345,0.0031572925987472834,0.003284177090887116,0.0683343998104042,0.004713684210526315,0.07619205298013244,0.09099868453798837,0.004337892478391467,0.004883126677745111,0.005981067503090072
1705817230,30.552525207359892,2.4888995152911484,0.1863308384039632,0.21460769721454329,3.094398476082678,1.4393153184846572,0.409217801753204,0.08155556936075065,0.5285866191516182,0.8046391988293403,0.0001088348271446841,0.29518351892188993,1.3882610781577087,0.8033977022732834,0.9814736277664015,191533056,75948032,6049792,431173632,98340864,335237120,39297024,4546560,271966208,96653312,4538368,2891776,298680320,7782400,40628224,0,2181233.2905862154,0,759541.469993257,94171.74387860674,0,0,1697182.4120113095,14,8,6,4,10,17,7,5,3,11,1,3,6,17,8,7.533,4.067,23.733,1.866,1.933,1.866,17.332,0,0,0.01372664547856018,0.003063157894736842,0.028211805555555552,0.030278033442226637,0.0016894623919573345,0.0031572925987472834,0.003284177090887116,0.0683343998104042,0.004713684210526315,0.07619205298013244,0.09099868453798837,0.004337892478391467,0.004883126677745111,0.005981067503090072
1705817231,30.552525207359892,2.4888995152911484,0.1863308384039632,0.1770200532461544,3.172043297423037,1.4393153184846572,0.409217801753204,0.08155556936075065,0.5285866191516182,0.8046391988293403,0.0001088348271446841,0.29518351892188993,1.3882610781577087,0.9015251856311481,0.9779237092454078,191533056,75948032,6049792,431173632,98340864,335237120,39297024,4546560,271966208,96653312,4538368,2891776,298680320,7782400,40640512,0,2181233.2905862154,0,759541.469993257,94171.74387860674,0,0,1581350.3278839937,14,8,6,4,10,17,7,5,3,11,1,3,6,17,8,7.533,4.067,23.733,1.866,1.933,1.866,17.332,0,0,0.01372664547856018,0.003063157894736842,0.028211805555555552,0.030278033442226637,0.0016894623919573345,0.0031572925987472834,0.003284177090887116,0.0683343998104042,0.004713684210526315,0.07619205298013244,0.09099868453798837,0.004337892478391467,0.004883126677745111,0.005981067503090072
1705817232,30.552525207359892,2.515491211899681,0.1863308384039632,0.17344325829257867,3.249688118763397,1.4393153184846572,0.409217801753204,0.08155556936075065,0.4743114900744102,0.8046391988293403,0.0001088348271446841,0.29518351892188993,1.3882610781577087,0.7599331425178963,0.9779237092454078,191533056,75948032,6049792,431173632,98340864,335237120,39297024,4546560,271978496,96653312,4538368,2891776,298680320,7782400,40640512,0,2304268.5058640307,0,759541.469993257,93549.79920443082,0,0,1581350.3278839937,14,8,6,4,10,17,7,5,3,11,1,3,6,17,8,7.533,4.067,23.733,1.866,1.933,1.866,17.332,0,0,0.01372664547856018,0.003063157894736842,0.028211805555555552,0.030278033442226637,0.0016894623919573345,0.0031572925987472834,0.003284177090887116,0.0683343998104042,0.004713684210526315,0.07619205298013244,0.09099868453798837,0.004337892478391467,0.004883126677745111,0.005981067503090072
1705817233,30.552525207359892,2.427062527138508,0.1863308384039632,0.169866463339003,3.3273329401037564,1.4393153184846572,0.409217801753204,0.08155556936075065,0.4743114900744102,0.8046391988293403,0.0001088348271446841,0.29518351892188993,1.3882610781577087,0.844916664910767,0.9779237092454078,191533056,75849728,6049792,431173632,98340864,335237120,39297024,4546560,271978496,96653312,4538368,2891776,298680320,7782400,40640512,0,2000868.4324793743,0,759541.469993257,93549.79920443082,0,0,1581350.3278839937,14,8,6,4,10,17,7,5,3,11,1,3,6,17,8,7.533,3.733,23.733,1.866,1.933,1.866,16.865,0,0,0.01372664547856018,0.003054644808743169,0.028211805555555552,0.030278033442226637,0.0016894623919573345,0.0031572925987472834,0.0032868028313209016,0.0683343998104042,0.004698360655737705,0.07619205298013244,0.09099868453798837,0.004337892478391467,0.004883126677745111,0.0060132840725651455
1705817234,30.552525207359892,2.427062527138508,0.1863308384039632,0.16628966838542725,3.4049777614441155,1.4393153184846572,0.409217801753204,0.08029608006672251,0.4743114900744102,0.8046391988293403,0.0001088348271446841,0.29518351892188993,1.3882610781577087,0.844916664910767,0.9779237092454078,191533056,75849728,6049792,431173632,98340864,335237120,39297024,4546560,271978496,96653312,4538368,2891776,298680320,7782400,40640512,0,2000868.4324793743,0,759541.469993257,93549.79920443082,0,0,1581350.3278839937,14,8,6,4,10,17,7,5,3,11,1,3,6,17,8,7.533,3.733,23.733,1.866,1.933,1.866,16.865,0,0,0.01372664547856018,0.003054644808743169,0.028211805555555552,0.030278033442226637,0.0016894623919573345,0.0031572925987472834,0.0032868028313209016,0.0683343998104042,0.004698360655737705,0.07619205298013244,0.09099868453798837,0.004337892478391467,0.004883126677745111,0.0060132840725651455
1705817235,30.552525207359892,2.427062527138508,0.1863308384039632,0.1627128734318515,3.4826225827844746,1.4393153184846572,0.409217801753204,0.08029608006672251,0.4743114900744102,0.8046605516439607,0.00009083898847631058,0.29518351892188993,1.3882610781577087,0.844916664910767,0.9779237092454078,191533056,75849728,6049792,431173632,98340864,335237120,39297024,4546560,271978496,96653312,4538368,2891776,298680320,7782400,40640512,0,2000868.4324793743,0,759541.469993257,93549.79920443082,0,0,1581350.3278839937,14,8,6,4,10,17,7,5,3,11,1,3,6,17,8,7.533,3.733,23.733,1.866,1.933,1.866,16.865,0,0,0.01372664547856018,0.003054644808743169,0.028211805555555552,0.030278033442226637,0.0016894623919573345,0.0031572925987472834,0.0032868028313209016,0.0683343998104042,0.004698360655737705,0.07619205298013244,0.09099868453798837,0.004337892478391467,0.004883126677745111,0.0060132840725651455
1705817236,30.552525207359892,2.427062527138508,0.1863308384039632,0.21172320410490297,3.5602674041248346,1.4393153184846572,0.409217801753204,0.08029608006672251,0.4743114900744102,0.6684382257552351,0.00008902507469056585,0.29518351892188993,1.3882610781577087,0.844916664910767,0.9779237092454078,191533056,75849728,6049792,431173632,98340864,335237120,39297024,4546560,271978496,96653312,4538368,2891776,298680320,7782400,40640512,0,2000868.4324793743,0,759541.469993257,93549.79920443082,0,0,1581350.3278839937,14,8,6,4,10,17,7,5,3,11,1,3,6,17,8,7.666,3.733,23.733,1.866,1.933,1.866,16.865,0,0,0.011538678902385809,0.003054644808743169,0.028211805555555552,0.030278033442226637,0.0016894623919573345,0.0031572925987472834,0.0032868028313209016,0.03868441978819753,0.004698360655737705,0.07619205298013244,0.09099868453798837,0.004337892478391467,0.004883126677745111,0.0060132840725651455
1705817237,30.552525207359892,2.427062527138508,0.18471238938053142,0.21172320410490297,3.6379122254651937,1.4393153184846572,0.409217801753204,0.08029608006672251,0.4743114900744102,0.6550272165611692,0.00008721116090482111,0.1896669979459607,1.3882610781577087,0.844916664910767,0.9749834334940465,191533056,75849728,6062080,431173632,98340864,335237120,39297024,4546560,271978496,96653312,4538368,2891776,298680320,7782400,40640512,0,2000868.4324793743,0,759541.469993257,93549.79920443082,0,0,1226095.1031693441,14,8,6,4,10,17,7,5,3,11,1,3,6,17,8,7.666,3.733,23.733,1.866,1.866,1.866,16.865,0,0,0.011538678902385809,0.003054644808743169,0.028211805555555552,0.030278033442226637,0.0015962811180348937,0.0031572925987472834,0.0032868028313209016,0.03868441978819753,0.004698360655737705,0.07619205298013244,0.09099868453798837,0.00431925622360698,0.004883126677745111,0.0060132840725651455
