time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,currencyservice_diskio,emailservice_diskio,frontend_diskio,paymentservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705694113,0.7825041307141543,2.0233144743045743,0.34570006851042956,34.15964546968965,0.3049558103007573,5.199554280761828,0.5529024997038825,3.648730554877671,2.764272976111664,0.29386017114363505,0.29485464207564954,110755840,44609536,11968512,44519424,43970560,17399808,45555712,10559488,45936640,2953216,9084928,42969.917910252036,0,0,0,0,0,0,0,0,4,4,9,4,3,33,3,3,4,4,2,14.8,24.733,0.667,79.933,0.667,12.733,13.6,0.667,133.8,17.6,7.333,0,0,0,0.0030062015503875966,0.003193359375,0.0925,0.004047389558232931,0.003,0.05508356545961003,0.0031481447339613854,0.001991282689912827,0.007484015345268542,0.0029174603174603173,0.004611162790697674,0.004948046875,0.217,0.047476415094339676,0.0046,0.19711764705882345,0.004866660521130494,0.004422166874221668,0.009542838874680307,0.004664761904761905
1705694114,0.7825041307141543,2.0233144743045743,0.34570006851042956,34.15964546968965,0.3049558103007573,5.33557212889958,0.5529024997038825,3.648730554877671,2.764272976111664,0.29386017114363505,0.29485464207564954,110755840,44609536,11968512,44519424,43970560,17399808,45555712,10559488,45936640,2953216,9084928,42969.91791025204,0,0,0,0,0,0,0,0,4,4,9,4,3,33,3,3,4,4,2,14.8,24.733,0.667,79.933,0.667,12.733,13.6,0.667,133.8,17.6,7.333,0,0,0,0.0030062015503875966,0.003193359375,0.0925,0.004047389558232931,0.003,0.05508356545961003,0.0031481447339613854,0.001991282689912827,0.007484015345268542,0.0029174603174603173,0.004611162790697674,0.004948046875,0.217,0.047476415094339676,0.0046,0.19711764705882345,0.004866660521130494,0.004422166874221668,0.009542838874680307,0.004664761904761905
1705694115,0.7825041307141543,2.0233144743045743,0.34570006851042956,34.15964546968965,0.3049558103007573,5.471589977037331,0.5529024997038825,3.648730554877671,2.764272976111664,0.29158027812894954,0.28688379557238275,110755840,44609536,11968512,44519424,43970560,17399808,45555712,10559488,45936640,2953216,9076736,42969.91791025204,0,0,0,0,0,0,0,0,4,4,9,4,3,33,3,3,4,4,2,14.133,24.733,0.667,79.933,0.667,12.733,13.6,0.667,133.8,17.6,7.333,0,0,0,0.0030062794348508634,0.003193359375,0.0925,0.004047389558232931,0.003,0.05508356545961003,0.0031481447339613854,0.001991282689912827,0.007484015345268542,0.0029174603174603173,0.004611302982731554,0.004948046875,0.217,0.047476415094339676,0.0046,0.19711764705882345,0.004866660521130494,0.004422166874221668,0.009542838874680307,0.004664761904761905
1705694116,0.7825041307141543,2.0233144743045743,0.34570006851042956,34.15964546968965,0.3049558103007573,5.607607825175083,0.5694111487696134,3.648730554877671,2.764272976111664,0.29158027812894954,0.28688379557238275,110755840,44609536,11968512,44519424,43970560,17399808,45555712,10559488,45936640,2953216,9076736,42969.91791025204,0,0,0,0,0,0,0,0,4,4,9,4,3,33,3,3,4,4,2,13.333,23.733,0.8,72.267,0.667,12.733,12,0.667,134.133,17.733,7.267,0,0,0,0.0030032102728731946,0.00316600790513834,0.085,0.003960655737704918,0.003,0.0537292817679558,0.0031481447339613854,0.0019796737766624843,0.007493573264781491,0.0029108280254777066,0.00460577849117175,0.004898814229249013,0.21307692307692302,0.04290404040404043,0.0046,0.18882608695652167,0.004866660521130494,0.004413601003764116,0.009560411311053982,0.0046535031847133755
1705694117,0.7825041307141543,2.0233144743045743,0.34570006851042956,32.67847428482125,0.3049558103007573,5.743625673312834,0.5694111487696134,3.8354215974219863,2.764272976111664,0.29158027812894954,0.28688379557238275,110755840,44609536,11968512,44519424,43970560,17399808,45555712,10559488,45936640,2953216,9076736,42969.91791025204,0,0,0,0,0,0,0,0,4,4,9,4,3,33,3,3,4,4,2,13.333,23.733,0.8,72.267,0.667,12.733,12,0.667,134.133,17.733,7.267,0,0,0,0.0030032102728731946,0.00316600790513834,0.085,0.003960655737704918,0.003,0.0537292817679558,0.0031481447339613854,0.0019796737766624843,0.007493573264781491,0.0029108280254777066,0.00460577849117175,0.004898814229249013,0.21307692307692302,0.04290404040404043,0.0046,0.18882608695652167,0.004866660521130494,0.004413601003764116,0.009560411311053982,0.0046535031847133755
1705694118,0.7341340911934707,2.0233144743045743,0.36197362332251465,32.67847428482125,0.3049558103007573,5.8796435214505856,0.5694111487696134,3.8354215974219863,2.764272976111664,0.29158027812894954,0.28688379557238275,110870528,44609536,11968512,44519424,43970560,17399808,45555712,10559488,45936640,2953216,9076736,65890.93248967774,0,0,0,0,0,0,0,0,4,4,9,4,3,33,3,3,4,4,2,13.333,23.733,0.8,68.319,0.667,12.533,12,0.667,134.133,17.733,7.267,0,0,0,0.0030032102728731946,0.00316600790513834,0.085,0.0038899505942302554,0.003,0.051881720430107504,0.0031481447339613854,0.0019796737766624843,0.007493573264781491,0.0029108280254777066,0.00460577849117175,0.004898814229249013,0.21307692307692302,0.03644081083707261,0.0046,0.17583756345177654,0.004866660521130494,0.004413601003764116,0.009560411311053982,0.0046535031847133755
1705694119,0.7341340911934707,2.0233144743045743,0.36197362332251465,32.67847428482125,0.3049558103007573,6.0156613695883365,0.5694111487696134,3.8354215974219863,2.764272976111664,0.29158027812894954,0.28688379557238275,110870528,44609536,11968512,44519424,43970560,17399808,45555712,10559488,45936640,2953216,9076736,65890.93248967774,0,0,0,0,0,0,0,0,4,4,9,4,3,33,3,3,4,4,2,13.333,23.733,0.8,68.319,0.667,12.533,12,0.667,134.133,17.733,7.267,0,0,0,0.0030032102728731946,0.00316600790513834,0.085,0.0038899505942302554,0.003,0.051881720430107504,0.0031481447339613854,0.0019796737766624843,0.007493573264781491,0.0029108280254777066,0.00460577849117175,0.004898814229249013,0.21307692307692302,0.03644081083707261,0.0046,0.17583756345177654,0.004866660521130494,0.004413601003764116,0.009560411311053982,0.0046535031847133755
1705694120,0.7341340911934707,2.0233144743045743,0.36197362332251465,32.67847428482125,0.3049558103007573,6.1516792177260875,0.6202760705288781,3.8354215974219863,2.8507533383725145,0.29158027812894954,0.28688379557238275,110870528,44609536,11968512,44519424,43970560,17399808,44888064,10559488,45920256,2953216,9076736,65890.93248967774,0,0,0,0,0,0,0,0,4,4,9,4,3,33,3,3,4,4,2,13.333,23.933,0.8,68.319,0.667,12.533,12,0.667,134.133,17.733,7.267,0,0,0,0.0030032102728731946,0.003166499498495487,0.085,0.0038899505942302554,0.003,0.051881720430107504,0.0031481447339613854,0.0019796737766624843,0.007493573264781491,0.0029108280254777066,0.00460577849117175,0.004899699097291877,0.21307692307692302,0.03644081083707261,0.0046,0.17583756345177654,0.004866660521130494,0.004413601003764116,0.009560411311053982,0.0046535031847133755
1705694121,0.7341340911934707,2.0233144743045743,0.36197362332251465,32.67847428482125,0.3049558103007573,6.3306302841575235,0.6202760705288781,3.8354215974219863,2.945747923661533,0.29158027812894954,0.28688379557238275,110870528,44609536,11968512,44519424,43970560,16424960,44888064,10559488,45920256,2953216,9076736,65890.93248967774,0,0,0,0,0,0,0,0,4,4,9,4,3,33,3,3,4,4,2,13.333,23.933,0.8,68.319,0.667,12.533,12,0.667,134.133,17.733,7.4,0,0,0,0.0030032102728731946,0.003166499498495487,0.085,0.0038899505942302554,0.003,0.051881720430107504,0.0031481447339613854,0.0019796737766624843,0.007493573264781491,0.002925465838509317,0.00460577849117175,0.004899699097291877,0.21307692307692302,0.03644081083707261,0.0046,0.17583756345177654,0.004866660521130494,0.004413601003764116,0.009560411311053982,0.004654658385093167
1705694122,0.7235041260912586,2.0233144743045743,0.36197362332251465,32.67847428482125,0.3132766944093472,6.467709579431304,0.6202760705288781,3.8354215974219863,2.945747923661533,0.29158027812894954,0.28688379557238275,110870528,44609536,11968512,44519424,43974656,16424960,44888064,10559488,45920256,2953216,9076736,97816.22310080398,0,0,0,0,0,0,0,0,4,4,9,4,3,33,3,3,4,4,2,13.333,23.933,0.8,68.319,0.933,12.533,12,0.667,134.133,17.733,7.4,0,0,0,0.0030032102728731946,0.003166499498495487,0.085,0.0038899505942302554,0.003,0.05188172043010752,0.0031481447339613854,0.0019796737766624843,0.007493573264781491,0.002925465838509317,0.00460577849117175,0.004899699097291877,0.21307692307692302,0.03644081083707261,0.0046,0.1758375634517766,0.004866660521130494,0.004413601003764116,0.009560411311053982,0.004654658385093167
