time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,payment_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705632217,48.76569806376475,4.473752255593454,0.15256885327993291,0.19698819336156714,4.679100151609672,0.9010806994678813,0.3068919419417251,0.027398482070774346,0.1013305744655017,0.7829799795106549,0.00009998913161613818,0.28918895113273285,0.16488331178328575,1.014040467344132,1.0949806228696604,409149440,192917504,6496256,432447488,101134336,331300864,101003264,4747264,267943936,98463744,4575232,2891776,306454528,8712192,177876992,810843.6761740133,0,366068.8624255551,11656.416800368146,0,0,1080562.1702385955,40,8,6,4,14,17,5,5,3,11,1,3,6,20,10,7.867,3.4,22.733,1.867,1.533,1.667,18.267,1.733,0,0,0.2,0,0,0.000371342512908778,0.003135135135135135,0.04260089686098655,0.065,0.0015,0.003,0.005772946859903381,0.08586021505376354,0.004843243243243244,0.1754918032786887,0.235,0.004300000000000001,0.004600000000000001,0.009521739130434782
1705632218,48.76569806376475,4.385244891001127,0.15256885327993291,0.2044418132611749,4.679100151609672,0.9010806994678813,0.3609660345613316,0.053220585700331356,0.09911629141636182,0.7888971383721124,0.00009998913161613818,0.28918895113273285,0.16488331178328575,1.014040467344132,1.0949806228696604,409149440,192917504,6496256,432447488,101134336,331300864,101011456,4747264,267943936,98463744,4575232,2891776,306454528,8712192,177876992,794802.189570729,0,538399.5232920888,11401.69993656953,0,0,1080562.1702385955,40,8,6,4,14,17,5,5,3,11,1,3,6,20,10,8.133,3.4,22.733,2.133,2,2.133,19.067,1.533,0,0,0,0,0,0.0003747848537005164,0.003135135135135135,0.04260089686098655,0.07702702702702703,0.0023793103448275857,0.003068965517241379,0.005945330296127564,0.091968085106383,0.004843243243243244,0.1754918032786887,0.4250000000000017,0.004475862068965517,0.004724137931034482,0.009589977220956723
1705632219,48.76569806376475,4.296737526408802,0.13161521649141503,0.20721444201312142,4.679100151609672,0.9010806994678813,0.3609660345613316,0.053220585700331356,0.09690200836722193,0.7888971383721124,0.00009998913161613818,0.2348028366058773,0.16488331178328575,1.014040467344132,1.0949806228696604,409149440,192917504,6496256,432447488,101134336,331300864,101011456,4747264,267943936,98463744,4575232,2891776,306454528,8712192,177876992,778760.7029674447,0,538399.5232920888,11146.983072770916,0,0,1080562.1702385955,40,8,6,4,14,17,5,5,3,11,1,3,6,20,10,8.133,3.4,22.733,2.133,2,2.133,19.067,1.533,0,0,0,0,0,0.0003747848537005164,0.003135135135135135,0.04260089686098655,0.07702702702702703,0.0023793103448275857,0.003068965517241379,0.005945330296127564,0.091968085106383,0.004843243243243244,0.1754918032786887,0.4250000000000017,0.004475862068965517,0.004724137931034482,0.009589977220956723
1705632220,48.76569806376475,4.208230161816475,0.1656058351780012,0.20721444201312142,4.679100151609672,0.5364010093849859,0.3609660345613316,0.053220585700331356,0.09468772531808203,0.7888971383721124,0.00009998913161613818,0.23955819262758554,0.16488331178328575,1.014040467344132,1.0949806228696604,409149440,192917504,6496256,432447488,101134336,331300864,101011456,4747264,267943936,98463744,4575232,2891776,306454528,8712192,177876992,762719.2163641603,0,538399.5232920888,10892.2662089723,0,0,1080562.1702385955,40,8,6,4,14,17,5,5,3,11,1,3,6,20,10,8.133,3.4,22.733,2.133,2,2.133,19.067,1.533,0,0,0,0,0,0.0003747848537005164,0.003135135135135135,0.04260089686098655,0.07702702702702703,0.0023793103448275857,0.003068965517241379,0.005945330296127564,0.091968085106383,0.004843243243243244,0.1754918032786887,0.4250000000000017,0.004475862068965517,0.004724137931034482,0.009589977220956723
1705632221,42.22103866175594,4.119722797224148,0.1656058351780012,0.20721444201312142,4.679100151609672,0.5505493106658212,0.2879042170173688,0.053220585700331356,0.09247344226894216,0.7888971383721124,0.00009998913161613818,0.24431354864929383,0.16488331178328575,1.014040467344132,1.0949806228696604,402108416,192917504,6496256,432447488,101134336,331300864,101011456,4747264,267943936,98463744,4575232,2891776,306454528,8712192,177876992,746677.7297608758,0,309337.75548142305,10637.549345173687,0,0,1080562.1702385955,39,8,6,4,14,17,5,5,3,11,1,3,6,20,10,8.133,3.4,22.733,2.133,2,2.133,19.067,1.533,0,0,0,0,0,0.0003747848537005164,0.003135135135135135,0.04260089686098655,0.07702702702702703,0.0023793103448275857,0.003068965517241379,0.005945330296127564,0.091968085106383,0.004843243243243244,0.1754918032786887,0.4250000000000017,0.004475862068965517,0.004724137931034482,0.009589977220956723
1705632222,42.22103866175594,4.0312154326318215,0.1656058351780012,0.20721444201312142,4.679100151609672,0.5646976119466564,0.29372895578501385,0.053220585700331356,0.09025915921980227,0.7888971383721124,0.00009998913161613818,0.2853213613024949,0.16488331178328575,1.014040467344132,1.0949806228696604,402108416,192917504,6496256,432447488,101134336,331300864,101011456,4747264,267943936,98463744,4575232,2891776,306454528,8712192,177876992,730636.2431575914,0,315596.12722503755,10382.832481375073,0,0,1080562.1702385955,39,8,6,4,14,17,5,5,3,11,1,3,6,20,10,8.133,3.4,22.733,2.133,2,2.133,19.067,1.533,0,0,0,0,0,0.0003747848537005164,0.003135135135135135,0.04260089686098655,0.07702702702702703,0.0023793103448275857,0.003068965517241379,0.005945330296127564,0.091968085106383,0.004843243243243244,0.1754918032786887,0.4250000000000017,0.004475862068965517,0.004724137931034482,0.009589977220956723
1705632223,42.22103866175594,3.942708068039496,0.1656058351780012,0.20721444201312142,4.679100151609672,0.5788459132274917,0.29955369455265896,0.053220585700331356,0.08804487617066238,0.7888971383721124,0.00009998913161613818,0.2853213613024949,0.1708835307436288,1.014040467344132,1.1761905580284389,402108416,192917504,6496256,432447488,101134336,331300864,101011456,4747264,267943936,98463744,4575232,2891776,306454528,8712192,177950720,714594.7565543072,0,321854.4989686521,10128.115617576457,0,0,2527134.9270455604,39,8,6,4,14,17,5,5,3,11,1,3,6,20,10,7.267,3.4,22.733,2.133,2,1.467,19.067,0,0,0,0,0,0,0.004499999999999987,0.003135135135135135,0.04260089686098655,0.07702702702702703,0.0023793103448275857,0.0030476190476190477,0.005945330296127564,0.24209090909090875,0.004843243243243244,0.1754918032786887,0.4250000000000017,0.004475862068965517,0.004685714285714286,0.009589977220956723
1705632224,42.22103866175594,3.8542007034471695,0.1656058351780012,0.20721444201312142,4.49258732526272,0.5929942145083269,0.34948432605870755,0.053220585700331356,0.2309953006829033,0.7888971383721124,0.00009998913161613818,0.2853213613024949,0.18783515933003253,1.014040467344132,1.1761905580284389,402108416,192917504,6496256,432447488,108212224,331300864,101011456,4747264,267948032,98463744,4575232,2891776,306454528,8712192,177950720,698553.2699510228,0,375502.30461687327,37594.537043835815,0,0,2527134.9270455604,39,8,6,4,14,17,5,5,3,11,1,3,6,20,10,8.2,4.133,24.333,1.533,2,1.467,17.533,0,0,0,0,0,0,0.0004954407294832826,0.0031012658227848097,0.04262672811059909,0.08513513513513513,0.002379310344827586,0.0030476190476190477,0.005911697247706423,0.4029411764705876,0.004782278481012657,0.21007042253521155,0.42500000000000043,0.004475862068965517,0.004685714285714286,0.009586009174311926
1705632225,42.22103866175594,4.727442500000053,0.17230137466510057,0.20721444201312142,4.49258732526272,0.6071425157891621,0.34948432605870755,0.05939645495601274,0.2309953006829033,0.7888971383721124,0.0001315074759141324,0.2853213613024949,0.1878351593300325,1.0044123093201938,1.2120885874266767,402108416,192917504,6496256,432447488,108212224,331300864,101011456,4747264,267948032,98463744,4575232,2891776,306454528,8724480,177950720,706560.0000000001,0,375502.30461687327,37594.537043835815,0,0,3067291.846861201,39,8,6,4,14,17,5,5,3,11,1,3,6,20,10,8.2,4.133,24.333,1.533,2,1.467,15,0,0,0,0,0,0,0.0004954407294832826,0.0031012658227848097,0.04262672811059909,0.08513513513513513,0.002379310344827586,0.0030476190476190477,0.005799278846153846,0.4029411764705876,0.004782278481012657,0.21007042253521155,0.42500000000000043,0.004475862068965517,0.004685714285714286,0.00953485576923077
1705632226,42.22103866175594,4.727442500000053,0.17230137466510057,0.20721444201312142,2.46513663346408,0.6212908170699973,0.3494843260587076,0.05939645495601274,0.2309953006829033,0.7888971383721124,0.0001315074759141324,0.2853213613024949,0.1878351593300325,1.0044123093201938,1.2120885874266767,402108416,192917504,6496256,432447488,108212224,331300864,101011456,4747264,267948032,98463744,4575232,2891776,306454528,8724480,177950720,706560.0000000001,0,375502.3046168733,37594.537043835815,0,0,3067291.846861201,39,8,6,4,14,17,5,5,3,11,1,3,6,20,10,8.2,4.133,24.333,1.533,2,1.467,15,0,0,0,0,0,0,0.0004954407294832826,0.0031012658227848097,0.04262672811059909,0.08513513513513513,0.002379310344827586,0.0030476190476190477,0.005799278846153846,0.4029411764705876,0.004782278481012657,0.21007042253521155,0.42500000000000043,0.004475862068965517,0.004685714285714286,0.00953485576923077
