time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,orders_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705794699,1.2808016864453913,4.705245717495055,0.19253690984803368,0.22940385203301883,3.7427426270740307,1.1874952667334482,0.4561743117141658,0.09644147730752764,0.34553698435276253,0.8330612355589357,0,0.3248027548929846,0.2968585623438968,0.8725549927384715,1.068023380907983,205053952,88866816,6213632,430878720,99205120,324399104,43433984,4440064,258646016,92401664,4128768,3944448,303538176,9695232,54632448,0,1564324.6279135076,0,844105.8651909139,18207.6813655761,0,0,0,1579000.2151617298,12,7,7,4,7,16,5,4,3,11,1,3,6,43,22,9.2,3.733,24.133,1.8,1.4,1.667,18.267,0,,,0.01788659793814433,0.0031411764705882358,0.03159153005464481,0.036079545454545454,0.0023043478260869566,0.0030652173913043477,0.0033232876712328764,0.04,0.004854117647058825,0.08055160142348754,0.04721590909090909,0.004460869565217392,0.004717391304347826,0.0064067796610169465
1705794700,1.254903884632762,4.705245717495055,0.18906748724221623,0.22940385203301883,3.6564635637590075,1.1874952667334482,0.4561743117141658,0.09644147730752764,0.34553698435276253,0.8330612355589357,0,0.3248027548929846,0.29064628018145516,0.6689874303416274,1.068023380907983,205053952,88866816,6201344,430878720,99205120,324399104,43433984,4440064,258646016,92401664,4128768,3944448,303538176,9695232,54632448,0,1564324.6279135076,0,844105.8651909139,18207.6813655761,0,0,0,1579000.2151617298,12,7,7,4,7,16,5,4,3,11,1,3,6,43,22,9.2,3.733,24.133,1.8,1.4,1.667,18.267,0,,0,0.01788659793814433,0.0031411764705882358,0.03159153005464481,0.036079545454545454,0.0023043478260869566,0.0030652173913043477,0.0033232876712328764,0.04,0.004854117647058825,0.08055160142348754,0.04721590909090909,0.004460869565217392,0.004717391304347826,0.0064067796610169465
1705794701,1.5981796569876119,4.705245717495055,0.18906748724221623,0.22940385203301883,3.5701845004439847,1.2187042989861576,0.4561743117141658,0.09644147730752764,0.34553698435276253,0.8330612355589357,0,0.3248027548929846,0.2844339980190135,0.6830676215259074,1.0841219512195166,205033472,88866816,6201344,430878720,99205120,324395008,43433984,4440064,258646016,92401664,4128768,3944448,303538176,9695232,54632448,0,1564324.6279135076,0,844105.8651909139,18207.6813655761,0,0,0,1680177.3835920175,11,7,7,4,7,15,5,4,3,11,1,3,6,43,22,9.2,3.733,24.133,1.8,1.4,1.667,18.267,0,,0,0.01788659793814433,0.0031411764705882358,0.03159153005464481,0.036079545454545454,0.0023043478260869566,0.0030652173913043477,0.0033232876712328764,0.04,0.004854117647058825,0.08055160142348754,0.04721590909090909,0.004460869565217392,0.004717391304347826,0.0064067796610169465
1705794702,1.5775562429070276,4.735651899607668,0.18906748724221623,0.22940385203301883,3.4839054371289624,1.2187042989861576,0.4561743117141658,0.09644147730752764,0.34553698435276253,0.8330612355589357,0,0.3248027548929846,0.27822171585657185,0.6971478127101871,1.0841219512195166,205033472,88899584,6201344,430878720,99205120,324395008,43433984,4440064,258646016,92401664,4128768,3944448,303538176,9695232,54632448,0,1574732.3593777723,0,844105.8651909139,18207.6813655761,0,0,0,1680177.3835920175,11,7,7,4,7,15,5,4,3,11,1,3,6,43,22,9.2,3.733,24.133,1.8,1.4,1.667,18.267,0,,0,0.01788659793814433,0.0031411764705882358,0.03159153005464481,0.036079545454545454,0.0023043478260869566,0.0030652173913043477,0.0033232876712328764,0.04,0.004854117647058825,0.08055160142348754,0.04721590909090909,0.004460869565217392,0.004717391304347826,0.0064067796610169465
1705794703,1.5775562429070276,4.735651899607669,0.18906748724221623,0.22940385203301883,3.3976263738139396,1.2187042989861576,0.4561743117141658,0.09644147730752764,0.3384543141056675,0.8330612355589357,0,0.3248027548929846,0.27200943369413016,0.711228003894467,1.0841219512195166,205033472,88899584,6201344,430878720,99205120,324395008,43433984,4440064,258646016,92401664,4128768,3944448,303538176,9695232,54632448,0,1574732.3593777728,0,844105.8651909139,24818.225884634026,0,0,0,1680177.3835920175,11,7,7,4,7,15,5,4,3,11,1,3,6,43,22,9.2,3.733,24.133,1.8,2.067,1.667,18.267,0,,0,0.01788659793814433,0.0031411764705882358,0.03159153005464481,0.036079545454545454,0.0024324324324324323,0.0030652173913043477,0.0033232876712328764,0.04,0.004854117647058825,0.08055160142348754,0.04721590909090909,0.004486486486486486,0.004717391304347826,0.0064067796610169465
1705794704,1.5775562429070276,4.735651899607669,0.18906748724221623,0.22940385203301883,4.92570927111297,1.2187042989861576,0.4561743117141658,0.09644147730752764,0.3384543141056675,0.8330612355589357,0,0.3248027548929846,0.2637582577530712,0.7253081950787469,1.0841219512195166,205033472,88899584,6201344,430878720,106688512,324395008,43433984,4440064,258646016,92401664,4128768,3944448,303538176,9695232,54632448,0,1574732.3593777728,0,844105.8651909139,24818.225884634026,0,0,0,1680177.3835920175,11,7,7,4,8,15,5,4,3,11,1,3,6,43,22,9.2,3.733,24.133,1.8,2.067,1.667,18.267,0,,0,0.01788659793814433,0.0031411764705882358,0.03159153005464481,0.036079545454545454,0.0024324324324324323,0.0030652173913043477,0.0033232876712328764,0.04,0.004854117647058825,0.08055160142348754,0.04721590909090909,0.004486486486486486,0.004717391304347826,0.0064067796610169465
1705794705,1.5775562429070276,4.735651899607669,0.18906748724221623,0.22940385203301883,4.92570927111297,1.1210344334223286,0.3889101423010461,0.09399277232834305,0.3384543141056675,0.8330612355589357,0,0.3248027548929846,0.25769171166019395,0.8448114710567914,1.0841219512195166,205033472,88899584,6201344,430878720,106688512,324395008,43433984,4440064,258646016,92401664,4128768,3944448,303538176,9695232,54632448,0,1574732.3593777728,0,719640.1106299993,24818.225884634026,0,0,0,1680177.3835920175,11,7,7,4,8,15,5,4,3,11,1,3,6,43,22,9.2,3.733,24.133,1.8,2.067,1.667,18.267,0,,0,0.01788659793814433,0.0031411764705882358,0.03159153005464481,0.036079545454545454,0.0024324324324324323,0.0030652173913043477,0.0033232876712328764,0.04,0.004854117647058825,0.08055160142348754,0.04721590909090909,0.004486486486486486,0.004717391304347826,0.0064067796610169465
1705794706,1.5775562429070276,4.735651899607669,0.18906748724221623,0.2310247681652757,4.92570927111297,1.1210344334223286,0.4485523590333716,0.09399277232834305,0.28235551154265315,0.8330612355589357,0,0.3248027548929846,0.2516251655673167,0.8448114710567914,1.0841219512195166,205033472,88899584,6201344,430878720,106688512,324395008,43593728,4440064,258646016,92401664,4128768,3944448,303538176,9695232,54632448,0,1574732.3593777728,0,622177.2151898735,20704.604944255938,0,0,0,1680177.3835920175,11,7,7,4,8,15,5,4,3,11,1,3,6,43,22,9.2,3.733,26,1.8,2.067,1.667,18.267,0,,0,0.01788659793814433,0.0031411764705882358,0.03126702997275204,0.036079545454545454,0.0024324324324324323,0.0030652173913043477,0.0033232876712328764,0.04,0.004854117647058825,0.08028268551236749,0.04721590909090909,0.004486486486486486,0.004717391304347826,0.0064067796610169465
1705794707,1.5775562429070276,4.735651899607669,0.18906748724221623,0.2310247681652757,4.92570927111297,1.1210344334223286,0.4485523590333716,0.09399277232834305,0.27671460630755873,0.8330612355589357,0,0.3248027548929846,0.24555861947443938,0.8448114710567914,1.0841219512195166,205033472,88899584,6201344,430878720,106688512,324395008,43593728,4440064,258646016,92401664,4128768,3944448,303538176,9695232,54632448,0,1574732.3593777728,0,622177.2151898735,20290.967846178708,0,0,0,1680177.3835920175,11,7,7,4,8,15,5,4,3,11,1,3,6,43,22,9.533,3.733,26,2.267,2.533,2.133,19.533,0,,0,0.018,0.0031411764705882358,0.03126702997275204,0.03681318681318681,0.002416666666666667,0.0030666666666666668,0.0033352435530085954,0.04005434782608695,0.004854117647058825,0.08028268551236749,0.047362637362637364,0.004483333333333333,0.00472,0.0065170940170940165
1705794708,1.5775562429070276,4.735651899607669,0.14986210088990132,0.2310247681652757,4.92570927111297,1.1210344334223286,0.4485523590333716,0.09399277232834305,0.34981868318664205,0.8330612355589357,0,0.3248027548929846,0.23949207338156217,0.8448114710567914,1.0841219512195166,205033472,88899584,6201344,430878720,106688512,324395008,43593728,4440064,258646016,92401664,4128768,3944448,303538176,9695232,54632448,0,1574732.3593777728,0,622177.2151898735,30944.736146262232,0,0,0,1680177.3835920175,11,7,7,4,8,15,5,4,3,11,1,3,6,43,22,9.533,4.2,26,2.267,2.533,2.267,19.533,0,,0,0.018,0.00313953488372093,0.03126702997275204,0.03681318681318681,0.002416666666666667,0.0030681818181818184,0.0033352435530085954,0.04005434782608695,0.004851162790697675,0.08028268551236749,0.047362637362637364,0.004483333333333333,0.004722727272727273,0.0065170940170940165
