time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705679156,1.2943446485899444,6.121439964057088,0.19631950774840404,0.2130132434613369,5.0319256716770235,0.9536145398615063,0.3914782468924144,0.0877043673012315,0.3202644583945386,0.9191119523126002,0.006429196757446586,0.2773668310453671,0.3345155122432522,0.7810180609599527,1.0357951971001331,217665536,91353088,6184960,430624768,107147264,329117696,45903872,4562944,270008320,97837056,4157440,2867200,302866432,8310784,59379712,0,2410764.9107042574,0,746163.7376768108,65649.79297448912,0,0,2012200.4149476546,11,7,6,4,8,24,5,5,3,11,1,3,6,17,8,9.067,4.467,25.067,1.933,1.733,1.933,17.4,0,0,0,0,0.01851449275362319,0.0030319148936170212,0.03091939546599496,0.030753968253968252,0.0026455696202531643,0.003,0.0033886524822695037,0.04076732673267327,0.004657446808510638,0.07825581395348837,0.04615079365079365,0.004529113924050633,0.0046,0.006941176470588239
1705679157,1.2943446485899444,6.121439964057088,0.19631950774840404,0.2130132434613369,5.0319256716770235,0.9725519332928605,0.3914782468924144,0.0877043673012315,0.3202644583945386,0.9191119523126002,0.006575952753850193,0.2773668310453671,0.3345155122432522,0.7964307110316852,1.0357951971001331,217665536,91353088,6184960,430624768,107147264,329117696,45903872,4562944,270008320,97837056,4157440,2867200,302866432,8310784,59379712,0,2410764.9107042574,0,746163.7376768108,65649.79297448912,0,0,2012200.4149476546,11,7,6,4,8,24,5,5,3,11,1,3,6,17,8,9.067,4.467,25.067,1.933,1.733,1.933,17.4,0,0,0,0,0.01851449275362319,0.0030319148936170212,0.03091939546599496,0.030753968253968252,0.0026455696202531643,0.003,0.0033886524822695037,0.04076732673267327,0.004657446808510638,0.07825581395348837,0.04615079365079365,0.004529113924050633,0.0046,0.006941176470588239
1705679158,1.2943446485899444,6.121439964057088,0.19631950774840404,0.2130132434613369,5.0319256716770235,0.9914893267242147,0.3914782468924144,0.0877043673012315,0.3202644583945386,0.9191119523126002,0.006722708750253801,0.2773668310453671,0.3345155122432522,0.9247590043039405,1.0357951971001331,217665536,91353088,6184960,430624768,107147264,329117696,45903872,4562944,270008320,97837056,4157440,2867200,302866432,8310784,59379712,0,2410764.9107042574,0,746163.7376768108,65649.79297448912,0,0,2012200.4149476546,11,7,6,4,8,24,5,5,3,11,1,3,6,17,8,9.067,4.467,25.067,1.933,1.733,1.933,17.4,0,0,0,0,0.01851449275362319,0.0030319148936170212,0.03091939546599496,0.030753968253968252,0.0026455696202531643,0.003,0.0033886524822695037,0.04076732673267327,0.004657446808510638,0.07825581395348837,0.04615079365079365,0.004529113924050633,0.0046,0.006941176470588239
1705679159,1.2943446485899444,6.121439964057088,0.19631950774840404,0.2130132434613369,5.0319256716770235,1.1362436058812468,0.3914782468924144,0.0877043673012315,0.3202644583945386,0.9191119523126002,0.006869464746657411,0.2773668310453671,0.27579410169821794,0.9247590043039405,1.0357951971001331,217665536,91353088,6184960,430624768,107147264,329117696,45903872,4562944,270008320,97837056,4157440,2867200,302866432,8310784,59379712,0,2410764.9107042574,0,746163.7376768108,65649.79297448912,0,0,2012200.4149476546,11,7,6,4,8,24,5,5,3,11,1,3,6,17,8,9.067,4.133,24.6,2.133,1.8,2,17.933,0,0,0,0,0.01877427184466019,0.0030312500000000005,0.03079710144927536,0.030645161290322576,0.002641025641025641,0.003,0.0033792134831460677,0.041721698113207535,0.004656250000000001,0.0775,0.046129032258064515,0.004528205128205128,0.0046,0.006890977443609024
1705679160,1.2943446485899444,6.121439964057088,0.19631950774840404,0.2130132434613369,5.0319256716770235,1.1362436058812468,0.3914782468924144,0.0877043673012315,0.3202644583945386,0.9191119523126002,0.007016220743061019,0.2773668310453671,0.32506516241974903,0.9247590043039405,1.0357951971001331,217665536,91353088,6184960,430624768,107147264,329117696,45903872,4562944,270008320,97837056,4157440,2867200,302866432,8310784,59379712,0,2410764.9107042574,0,746163.7376768108,65649.79297448912,0,0,2012200.4149476546,11,7,6,4,8,24,5,5,3,11,1,3,6,17,8,9.067,4.133,24.6,2.133,1.8,2.133,17.933,0,0,0,0,0.01877427184466019,0.0030312500000000005,0.03079710144927536,0.030645161290322576,0.002641025641025641,0.003,0.0033792134831460677,0.041721698113207535,0.004656250000000001,0.0775,0.046129032258064515,0.004528205128205128,0.0046,0.006890977443609024
1705679161,1.2943446485899444,6.121439964057088,0.19631950774840404,0.2130132434613369,5.0319256716770235,1.1362436058812468,0.3914782468924144,0.0877043673012315,0.3202644583945386,0.9191119523126002,0.007162976739464627,0.2773668310453671,0.32506516241974903,0.9247590043039405,1.0357951971001331,217665536,91353088,6184960,430624768,107147264,329117696,45903872,4562944,270008320,97837056,4157440,2867200,302866432,8310784,59379712,0,2410764.9107042574,0,746163.7376768108,65649.79297448912,0,0,2012200.4149476546,11,7,6,4,8,24,5,5,3,11,1,3,6,17,8,9.067,4.133,23.133,2.133,1.8,2.133,17.933,0,0,0,0,0.01877427184466019,0.0030312500000000005,0.030668257756563247,0.030645161290322576,0.002641025641025641,0.003,0.0033792134831460677,0.041721698113207535,0.004656250000000001,0.0767241379310345,0.046129032258064515,0.004528205128205128,0.0046,0.006890977443609024
1705679162,1.2943446485899444,6.121439964057088,0.19631950774840404,0.2130132434613369,5.0319256716770235,1.1362436058812468,0.3914782468924144,0.08706812312417052,0.3202644583945386,0.9191119523126002,0.008805359784216512,0.2773668310453671,0.32506516241974903,0.9247590043039405,0.8860508608971431,217665536,91353088,6184960,430624768,107147264,329117696,45903872,4562944,270008320,97837056,4157440,2867200,302866432,8310784,59379712,0,2410764.9107042574,0,746163.7376768108,65649.79297448912,0,0,1721297.718847792,11,7,6,4,8,24,5,5,3,11,1,3,6,17,8,9.067,4.133,23.133,2.133,1.8,2.133,17.933,0,0,0,0,0.01877427184466019,0.0030312500000000005,0.030668257756563247,0.030645161290322576,0.002641025641025641,0.003,0.0033792134831460677,0.041721698113207535,0.004656250000000001,0.0767241379310345,0.046129032258064515,0.004528205128205128,0.0046,0.006890977443609024
1705679163,2.061512451128884,6.025641970552284,0.19631950774840404,0.2130132434613369,5.0319256716770235,0.9928717564447036,0.3914782468924144,0.08706812312417052,0.32026445839453865,0.9191119523126002,0.008805359784216512,0.2773668310453671,0.32506516241974903,0.9247590043039405,0.868787607612141,217673728,91394048,6184960,430624768,107147264,329117696,45903872,4562944,270008320,97837056,4157440,2867200,302866432,8310784,59379712,129843.96463668063,2181825.4912142586,0,746163.7376768108,65649.79297448913,0,0,1687761.045265331,11,7,6,4,8,24,5,5,3,11,1,3,6,17,8,9.067,4.133,23.133,2.133,1.8,2.133,17.933,0,0,0,0,0.01877427184466019,0.0030312500000000005,0.030668257756563247,0.030645161290322576,0.002641025641025641,0.003,0.0033792134831460677,0.041721698113207535,0.004656250000000001,0.0767241379310345,0.046129032258064515,0.004528205128205128,0.0046,0.006890977443609024
1705679164,2.061512451128884,5.826575035634312,0.19631950774840404,0.11406333333333409,5.0319256716770235,0.9739343630133493,0.3914782468924144,0.08706812312417052,0.3202644583945386,0.9430230539545996,0.008805359784216512,0.2773668310453671,0.32506516241974903,0.9247590043039405,0.8515243543271387,217673728,91394048,6184960,430624768,107147264,329117696,45903872,4562944,270008320,97832960,4157440,2867200,302866432,8310784,59379712,129843.96463668063,1609708.8169415598,0,746163.7376768108,65649.79297448912,0,0,1654224.37168287,11,7,6,4,8,24,5,5,3,11,1,3,6,17,8,9.067,4.133,23.133,2.133,1.8,2.133,17.933,0,0,0,0,0.01877427184466019,0.0030312500000000005,0.030668257756563247,0.030645161290322576,0.002641025641025641,0.003,0.0033792134831460677,0.041721698113207535,0.004656250000000001,0.0767241379310345,0.046129032258064515,0.004528205128205128,0.0046,0.006890977443609024
1705679165,2.061512451128884,5.826575035634312,0.19631950774840404,0.1480397970369081,5.0319256716770235,0.9549969695819952,0.3914782468924144,0.06247335093896659,0.3202644583945386,0.9430230539545996,0.008805359784216512,0.2773668310453671,0.32506516241974903,0.9247590043039405,0.7963753115300701,217673728,91394048,6184960,430620672,107147264,329117696,45903872,4562944,270008320,97832960,4157440,2867200,302866432,8310784,59379712,129843.96463668063,1609708.8169415598,0,746163.7376768108,65649.79297448912,0,0,974519.0654524371,11,7,6,4,8,24,5,5,3,11,1,3,6,17,8,9.067,3.8,23.133,2.133,1.8,2.133,17.933,0,0,0,0,0.01877427184466019,0.0030317460317460317,0.030668257756563247,0.030645161290322576,0.002641025641025641,0.003,0.0033792134831460677,0.041721698113207535,0.004657142857142856,0.0767241379310345,0.046129032258064515,0.004528205128205128,0.0046,0.006890977443609024
