time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,checkoutservice_diskio,emailservice_diskio,paymentservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705508957,5.14617036348342,3.0094027760091673,0.35899289700659565,33.82223926711752,0.32483933676386517,7.675393629305195,0.7458184475479059,2.907732214553165,2.52979486220227,0.26638200374921894,0.2809237738822139,94896128,34963456,8749056,39690240,43098112,12767232,28618752,8847360,43696128,2940928,7487488,54402.97516270422,0,0,0,0,0,,4,4,9,4,3,15,3,4,4,4,2,14.067,25.667,0.8,76.333,0.8,12.733,13.333,0.733,136.067,18.667,8.4,0.004352456244199028,0.0033280481355271586,0.1222299399434579,0.004222815596357966,0.003020085163221442,0.0679516116782766,0.006915407623413624,0.0019168000547604808,0.007405954020438003,0.002987666902598277,0.00891624869699378,0.00711669295197666,0.22444598798869156,0.06463245112219294,0.004636153293798596,0.22329625352117113,0.009597602888237187,0.004409904753943378,0.009621840654919571,0.004620352327254121
1705508958,5.14617036348342,2.5859881648768335,0.35899289700659565,33.82223926711752,0.32483933676386517,7.806087603689694,0.7458184475479059,2.907732214553165,2.52979486220227,0.26638200374921894,0.2809237738822139,94896128,34963456,8749056,39690240,43098112,12767232,28618752,8847360,43696128,2940928,7487488,54402.97516270422,0,0,0,0,0,,4,4,9,4,3,15,3,4,4,4,2,14.067,25.667,0.8,76.333,0.8,12.733,13.333,0.733,136.067,18.667,8.4,0.004338083787080934,0.003325071306846139,0.12144124816356952,0.004223036363095329,0.003004279108125017,0.06590037019707436,0.006884767297971486,0.0019143533675374713,0.007400003194725235,0.002987337719451146,0.00890641878820763,0.007071739745795016,0.22428824963271393,0.06466431500985677,0.004607702394625031,0.2201673879716554,0.009543306734245659,0.0044078723520714035,0.009612779008914935,0.004619907028407186
1705508959,5.14617036348342,2.86967706622879,0.35899289700659565,33.82223926711752,0.32483933676386517,7.841638463069877,0.7458184475479059,2.907732214553165,2.52979486220227,0.26638200374921894,0.2809237738822139,94896128,35659776,8749056,39690240,43098112,12767232,28618752,8847360,43696128,2940928,7487488,54402.97516270422,0,0,0,0,0,,4,4,9,4,3,15,3,4,4,4,2,14.067,25.667,0.733,76.4,0.733,12.733,13.333,0.733,136.667,19.2,8.4,0.004301620827979814,0.003326150283257158,0.11463113760387442,0.0042223055319336854,0.003052911514897825,0.06581507352322787,0.0069503071033477195,0.0019320952755172058,0.007423591240590725,0.00299108733597727,0.008879667270784769,0.007088310295766508,0.22292622752077493,0.06453708603773675,0.0046952407268160854,0.22011058507156353,0.009673957127514189,0.00441453595583204,0.009635503394040774,0.004626647709401357
1705508960,5.14617036348342,2.86967706622879,0.35899289700659565,33.82223926711752,0.32483933676386517,7.841638463069877,0.7458184475479059,2.907732214553165,2.52979486220227,0.26638200374921894,0.2809237738822139,94896128,35659776,8749056,39690240,43098112,12767232,28618752,8847360,43696128,2940928,7487488,54402.97516270422,0,0,0,0,0,,4,4,9,4,3,15,3,4,4,4,2,14.067,25.667,0.733,76.4,0.733,12.733,13.333,0.733,136.667,19.2,8.4,0.0042416688261393,0.0033243556767704762,0.11451435697265823,0.004222542774893513,0.003051874604095904,0.06573290787262873,0.006921733857385704,0.001932095534487304,0.007423192327712281,0.002990863237472334,0.00880990816086535,0.007056402330886959,0.22290287139453163,0.06454388962112385,0.004693374287372627,0.2200554954125551,0.009619257123997882,0.004414437964477507,0.0096353215116253,0.00462629326222092
1705508961,5.14617036348342,2.86967706622879,0.3218626400389675,33.82223926711752,0.32483933676386517,8.01388853381056,0.7458184475479059,2.907732214553165,2.52979486220227,0.26638200374921894,0.2809237738822139,94896128,35659776,8667136,39690240,43098112,12267520,28618752,8847360,43696128,2940928,7487488,54402.97516270422,0,0,0,0,0,,4,4,9,4,3,16,3,4,4,4,2,14.067,25.667,0.733,76.4,0.733,12.733,13.333,0.733,136.667,19.2,8.4,0.0041838552533655605,0.0033173776707178114,0.11440182843757492,0.004222779959248024,0.003050877552993211,0.06532543081209367,0.006894280626896632,0.001932095784559937,0.007422807515612644,0.0029906471179981142,0.008772897675751767,0.006919651736475779,0.222880365687515,0.06455068790519852,0.00469157959538778,0.21983932339421364,0.009566701253856887,0.004414343339822904,0.009635146058392356,0.004625951435137795
1705508962,5.14617036348342,2.86967706622879,0.3218626400389675,33.82223926711752,0.32483933676386517,8.01388853381056,0.7458184475479059,2.907732214553165,2.52979486220227,0.26638200374921894,0.2809237738822139,94896128,35659776,8667136,39690240,43098112,12267520,28618752,8847360,43696128,2940928,7487488,54402.97516270422,0,0,0,0,0,,4,4,9,4,3,16,3,4,4,4,2,14.067,25.667,0.733,69.6,0.733,12.733,13.333,0.667,136.667,19.2,8.4,0.00412806770091426,0.003286095417228237,0.11429332391654821,0.004212981667168035,0.0030499181065729393,0.0646591230585238,0.0069522195823231055,0.0019320960261858984,0.007422436069624497,0.002990438558868014,0.008733511337445229,0.006291006513778694,0.22285866478330968,0.06310731671652525,0.004689852591831291,0.21934121647621327,0.009682264903743657,0.004414251911293334,0.009634976699373902,0.004625621565933002
1705508963,5.14617036348342,2.86967706622879,0.3218626400389675,33.82223926711752,0.32483933676386517,8.01388853381056,0.7458184475479059,2.907732214553165,2.611037831276553,0.2801145577234922,0.2809237738822139,94896128,35659776,8667136,39690240,43098112,12267520,28618752,8847360,43761664,2940928,7487488,54402.97516270422,0,0,0,0,0,,4,4,9,4,3,16,3,4,4,4,2,14.067,25.667,0.733,69.6,0.733,12.733,13.333,0.667,136.667,19.2,8.4,0.004074201502880749,0.003249921932815412,0.1141886313533643,0.004213321977051951,0.003048994176769901,0.06354710915368401,0.006947648640516721,0.001929164327657319,0.007422639615096815,0.002990237170185069,0.008691512786011046,0.005575803402245263,0.2228377262706729,0.06312169418468738,0.004688189518185822,0.21883002990371833,0.009675327258018803,0.004409474249507259,0.00963615318296213,0.004625303037922906
1705508964,4.832011391954434,2.7861516998311173,0.3218626400389675,33.01462592598929,0.32483933676386517,8.01388853381056,0.7458184475479059,2.907732214553165,2.611037831276553,0.2801145577234922,0.2809237738822139,95436800,35659776,8667136,38850560,43098112,12267520,28618752,8847360,43761664,2940928,7487488,80199.3592025632,0,0,0,0,0,,4,4,9,4,3,16,3,4,4,4,2,14.067,25.667,0.733,69.6,0.733,12.733,13.333,0.667,136.667,19.2,8.4,0.004055320266106255,0.0032308898374042543,0.11408755333442665,0.004213662107015816,0.0030481038273008462,0.062339736493739084,0.006943262579600867,0.00192894737197983,0.007420460920693784,0.0029888279658256273,0.008675753543351216,0.005193205368908148,0.22281751066688532,0.06313604978677588,0.004686586889141523,0.21772924660393805,0.00966867021926164,0.004409517142880677,0.009635126688029782,0.004623053399642538
1705508965,4.832011391954434,2.7861516998311173,0.3218626400389675,33.01462592598929,0.33752311756935244,8.01388853381056,0.7458184475479057,2.907732214553165,2.611037831276553,0.2801145577234922,0.2809237738822139,95436800,35659776,8667136,38850560,43098112,12267520,28618752,8847360,43761664,2940928,7487488,80199.3592025632,0,0,0,0,0,,4,4,9,4,3,16,3,4,4,4,2,14.067,25.667,0.733,69.6,0.733,12.733,13.333,0.667,136.667,19.2,8.4,0.0040385409235034735,0.003230803743385397,0.11398990584635052,0.004214002057202274,0.0030473861035512726,0.06162061445212767,0.006939050405105697,0.0019294130084788117,0.007418317359378263,0.0029842930880036793,0.008661256650470824,0.005191335084257361,0.22279798116927013,0.06315038357263564,0.004685294986392291,0.21714210803318224,0.009662277100377929,0.004409691058623283,0.009634116746101028,0.004615403071917146
1705508966,4.832011391954434,2.7861516998311173,0.3218626400389675,28.579317415763523,0.33754501165007395,8.01388853381056,0.8646618265189155,2.907732214553165,2.611037831276553,0.2801145577234922,0.2809237738822139,95436800,35659776,8667136,38850560,43122688,12267520,28618752,8847360,43761664,2940928,7487488,80199.3592025632,0,0,0,0,0,,4,4,9,4,3,16,3,4,4,4,2,14.067,25.667,0.733,69.6,0.733,12.733,13.333,0.667,136.667,19.2,8.4,0.004021944873354743,0.0032307178545599997,0.11389551715794657,0.004214341827753822,0.003046965727021627,0.061364167030154404,0.006935001977373466,0.001931453860877817,0.007416208088126222,0.0029839745978305584,0.008646438841426001,0.005189468306205074,0.22277910343158933,0.0631646955919602,0.00468453830863893,0.21653320858045821,0.00965613251168295,0.004410167520502641,0.009633122959983914,0.004615483289696163
