time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,currencyservice_diskio,emailservice_diskio,frontend_diskio,paymentservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705684496,0.6632210998877828,2.5414594643914974,0.405370965550026,34.86603533307447,0.345906104245386,8.50656197574264,0.6798004675237868,3.8430329378825423,3.084089202411959,0.30966333107191435,0.2518034018212187,109883392,44732416,11644928,45654016,43950080,16429056,45154304,10489856,45535232,2945024,9031680,73553.31088664422,0,0,0,0,0,0,0,0,4,4,9,4,3,26,3,3,4,4,2,15.067,26.333,1.067,80.533,0.867,13.267,13.6,0.867,152.733,20.067,7.6,0,0,0.003,0.003265654648956357,0.06388888888888888,0.004225776965265082,0.003,0.05561079545454545,0.00315,0.0019082929082929077,0.007511862396204033,0.002958333333333333,0.004614349775784753,0.005971698113207555,0.207,0.04682783018867925,0.0046,0.21508968609865473,0.00487,0.004392746592746592,0.009602016607354685,0.004639285714285714
1705684497,0.6632210998877828,2.5414594643914974,0.4665543898398585,34.86603533307447,0.345906104245386,8.50656197574264,0.6798004675237868,3.8430329378825423,3.084089202411959,0.30966333107191435,0.2569851104138191,109883392,44732416,11644928,45654016,43950080,16429056,45154304,10489856,45535232,2945024,9031680,73553.31088664422,0,0,0,0,0,0,0,0,4,4,9,4,3,26,3,3,4,4,2,15.067,26.333,1.067,80.533,0.867,13.267,13.6,0.867,152.733,20.067,7.6,0,0,0.003,0.003265654648956357,0.06388888888888888,0.004225776965265082,0.003,0.05561079545454545,0.00315,0.0019082929082929077,0.007511862396204033,0.002958333333333333,0.004614349775784753,0.005971698113207555,0.207,0.04682783018867925,0.0046,0.21508968609865473,0.00487,0.004392746592746592,0.009602016607354685,0.004639285714285714
1705684498,0.6632210998877828,2.5414594643914974,0.4665543898398585,34.86603533307447,0.345906104245386,8.50656197574264,0.6798004675237868,3.8348768454355877,2.1787622143581165,0.31187054596857006,0.2621668190064195,109883392,44732416,11644928,45654016,43950080,16429056,45154304,10567680,45535232,2945024,9031680,73553.31088664422,0,0,0,0,0,0,0,0,4,4,9,4,3,26,3,3,4,4,2,15.067,26.333,1.067,80.533,0.867,13.267,13.6,0.867,146.933,18.867,7.6,0,0,0.003,0.003265654648956357,0.06388888888888888,0.004225776965265082,0.003,0.05561079545454545,0.00315,0.0018289381563593929,0.0075206124852767965,0.002958333333333333,0.004614349775784753,0.005971698113207555,0.207,0.04682783018867925,0.0046,0.21508968609865473,0.00487,0.004376242707117852,0.009612485276796232,0.004639285714285714
1705684499,0.6632210998877828,2.5414594643914974,0.4665543898398585,34.86603533307447,0.3313990892760131,8.50656197574264,0.6798004675237868,3.8348768454355877,2.0999995791450803,0.31187054596857006,0.26734852759901995,109883392,44732416,11644928,45654016,43950080,16429056,45154304,10567680,45531136,2945024,9031680,73553.31088664422,0,0,0,0,0,0,0,0,4,4,9,4,3,26,3,3,4,4,2,15.067,26.333,1.067,80.533,0.867,13.267,13.6,0.867,146.933,18.867,7.6,0,0,0.003,0.003265654648956357,0.06388888888888888,0.004225776965265082,0.003,0.05561079545454545,0.00315,0.0018289381563593929,0.0075206124852767965,0.002958333333333333,0.004614349775784753,0.005971698113207555,0.207,0.04682783018867925,0.0046,0.21508968609865473,0.00487,0.004376242707117852,0.009612485276796232,0.004639285714285714
1705684500,0.6632210998877828,2.5414594643914974,0.4056042427449459,34.866035333074464,0.3313990892760131,8.526589726610876,0.6798004675237868,3.8348768454355877,2.150562989988408,0.31187054596857006,0.3109025155560238,109883392,44732416,11644928,45654016,43950080,16232448,45154304,10567680,45531136,2945024,9031680,73553.31088664422,0,0,0,0,0,0,0,0,4,4,9,4,3,26,3,3,4,4,2,14.933,26.333,1.067,80.533,0.867,13.267,13.6,0.867,146.933,18.867,7.6,0,0,0.003,0.003265654648956357,0.06388888888888888,0.004225776965265082,0.003,0.05561079545454545,0.00315,0.0018289381563593929,0.0075206124852767965,0.002958333333333333,0.004614349775784753,0.005971698113207555,0.207,0.04682783018867925,0.0046,0.21508968609865473,0.00487,0.004376242707117852,0.009612485276796232,0.004639285714285714
1705684501,0.6632210998877828,2.5414594643914974,0.3978283362476149,34.866035333074464,0.3313990892760131,8.526589726610876,0.6798004675237868,3.8348768454355877,2.2011264008317357,0.31187054596857006,0.3109025155560238,109883392,44732416,11644928,45654016,43950080,16232448,45154304,10567680,45531136,2945024,9031680,73553.31088664422,0,0,0,0,0,0,0,0,4,4,9,4,3,26,3,3,4,4,2,14.867,25.867,0.8,81.267,0.867,13.267,13.2,0.867,147.133,18.733,7.867,0,0,0.003,0.003263257575757576,0.0675,0.00420126069338136,0.003,0.053008595988538694,0.00315,0.0018320148906468122,0.0075265957446808505,0.0029473684210526317,0.004614414414414415,0.005928571428571436,0.207,0.04476010101010105,0.0046,0.21314285714285716,0.00487,0.004376081898557468,0.00962352245862884,0.004617543859649124
1705684502,0.6632210998877828,2.5414594643914974,0.390052429750284,34.866035333074464,0.3313990892760131,8.526589726610876,0.6798004675237868,3.8348768454355877,2.251689811675063,0.31187054596857006,0.3109025155560238,109883392,44732416,11644928,45654016,43950080,16232448,45154304,10567680,45531136,2945024,9031680,73553.31088664422,0,0,0,0,0,0,0,0,4,4,9,4,3,26,3,3,4,4,2,14.867,25.867,0.8,81.267,0.867,13.267,13.2,0.867,147.133,18.733,7.867,0,0,0.003,0.003263257575757576,0.0675,0.00420126069338136,0.003,0.053008595988538694,0.00315,0.0018320148906468122,0.0075265957446808505,0.0029473684210526317,0.004614414414414415,0.005928571428571436,0.207,0.04476010101010105,0.0046,0.21314285714285716,0.00487,0.004376081898557468,0.00962352245862884,0.004617543859649124
1705684503,0.6632210998877828,2.5414594643914974,0.38227652325295297,34.866035333074464,0.3313990892760131,8.526589726610876,0.6798004675237868,3.8348768454355877,2.302253222518391,0.31187054596857006,0.3109025155560238,109883392,44732416,11644928,45654016,43950080,16232448,45154304,10567680,45531136,2945024,9031680,73553.31088664422,0,0,0,0,0,0,0,0,4,4,9,4,3,26,3,3,4,4,2,14.867,25.867,0.8,78.533,0.867,13,13.2,0.867,147.133,18.733,7.867,0,0,0.003,0.003263257575757576,0.0675,0.004211902614968439,0.003,0.05072674418604651,0.00315,0.0018320148906468122,0.0075265957446808505,0.0029473684210526317,0.004614414414414415,0.005928571428571436,0.207,0.04392473118279568,0.0046,0.21235,0.00487,0.004376081898557468,0.00962352245862884,0.004617543859649124
1705684504,0.7046749919948937,2.522470047068903,0.374500616755622,34.866035333074464,0.3313990892760131,8.526589726610876,0.6798004675237868,3.8348768454355877,2.3528166333617184,0.304590928038205,0.3109025155560238,109883392,44695552,11644928,45654016,43950080,16232448,45154304,10567680,45531136,2945024,9031680,58291.52880065465,0,0,0,0,0,0,0,0,4,4,9,4,3,26,3,3,4,4,2,14.867,25.867,0.8,78.533,0.867,13,13.2,0.867,147.133,18.733,7.867,0,0,0.003,0.003263257575757576,0.0675,0.004211902614968439,0.003,0.05072674418604651,0.00315,0.0018320148906468122,0.0075265957446808505,0.0029473684210526317,0.004614414414414415,0.005928571428571436,0.207,0.04392473118279568,0.0046,0.21235,0.00487,0.004376081898557468,0.00962352245862884,0.004617543859649124
1705684505,0.7046749919948937,2.522470047068903,0.40312682641729985,34.866035333074464,0.3313990892760131,8.526589726610876,0.6402560980757361,2.6890263956524776,2.403380044205046,0.304590928038205,0.3109025155560238,109883392,44695552,11292672,45654016,43950080,16232448,45154304,10567680,45531136,2945024,9031680,58291.52880065465,0,0,0,0,0,0,0,0,4,4,9,4,3,26,3,3,4,4,2,14.867,24.467,0.8,78.533,0.867,13,13.2,0.867,147.133,18.733,7.867,0,0,0.003,0.0032566539923954375,0.0675,0.004211902614968439,0.003,0.05072674418604651,0.00315,0.0018320148906468122,0.0075265957446808505,0.0029473684210526317,0.004614414414414415,0.005806930693069314,0.207,0.04392473118279568,0.0046,0.21235,0.00487,0.004376081898557468,0.00962352245862884,0.004617543859649124
