time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,emailservice_diskio,frontend_diskio,paymentservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705710438,0.7255275697753157,2.2603113561599315,0.40480648404115266,33.86763418567145,0.3079345196217893,8.546428384803603,0.6052975222424032,3.940359229193438,2.9277266096195507,0.31077033119469993,0.2918036149796301,112664576,44793856,12152832,43876352,43978752,17928192,44904448,10870784,46657536,3084288,9117696,58089.403222146575,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,24,0.533,71.8,0.533,13.533,12.667,0.533,144.936,19.203,6.2,0,0,0,0.0030267857142857145,0.003272541066196015,0.11875,0.0045895833333333335,0.0030571428571428572,0.060510510510510505,0.0033225806451612906,0.002106769016050244,0.007547110552763819,0.0030469798657718123,0.004657738095238095,0.005889705501504873,0.22375,0.05063583815028903,0.004702857142857143,0.2112937062937063,0.006400000000000004,0.004460804838334495,0.009640075376884424,0.004791946308724831
1705710439,0.7255275697753157,2.2603113561599315,0.40480648404115266,25.370556371113167,0.2619727273813638,8.546428384803603,0.5161842759122716,3.940001032551338,2.9277266096195507,0.31356626431246776,0.2918036149796301,112664576,44793856,12152832,43876352,43978752,17928192,44904448,10870784,46657536,3084288,9117696,58089.403222146575,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,24,0.533,71.8,0.533,13.533,12.667,0.533,144.936,19.203,6.2,0,0,0,0.0030267857142857145,0.003272541066196015,0.11875,0.0045895833333333335,0.0030571428571428572,0.060510510510510505,0.0033225806451612906,0.002106769016050244,0.007547110552763819,0.0030469798657718123,0.004657738095238095,0.005889705501504873,0.22375,0.05063583815028903,0.004702857142857143,0.2112937062937063,0.006400000000000004,0.004460804838334495,0.009640075376884424,0.004791946308724831
1705710440,0.6928273451593551,2.2603113561599315,0.40480648404115266,25.698675549030508,0.26720827272180353,8.546428384803603,0.5060959838748982,3.940001032551338,2.9093386673338415,0.31356626431246776,0.2918036149796301,112664576,44793856,12152832,44199936,43978752,17928192,44904448,10870784,46657536,3084288,9117696,69272.3992784125,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,25.467,0.533,71.8,0.533,13.533,12.667,0.533,144.936,19.203,6.2,0,0,0,0.0030267857142857145,0.00323898139079334,0.11875,0.0045895833333333335,0.0030571428571428572,0.060510510510510505,0.0033225806451612906,0.002106769016050244,0.007547110552763819,0.0030469798657718123,0.004657738095238095,0.00534375000000001,0.22375,0.05063583815028903,0.004702857142857143,0.2112937062937063,0.006400000000000004,0.004460804838334495,0.009640075376884424,0.004791946308724831
1705710441,0.6928273451593551,2.2603113561599315,0.3655527632972458,26.275098749556054,0.3141327204263849,8.762813883064464,0.4960076918375249,3.940001032551338,2.9093386673338415,0.31356626431246776,0.2918036149796301,112664576,44793856,12165120,44199936,43978752,17928192,44904448,10870784,46657536,3084288,9117696,69272.3992784125,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,25.467,0.533,71.8,0.533,13.533,12.667,0.533,144.936,19.203,7.2,0,0,0,0.0030267857142857145,0.00323898139079334,0.11875,0.0045895833333333335,0.0030571428571428572,0.060510510510510505,0.0033225806451612906,0.002106769016050244,0.007547110552763819,0.0030066889632107017,0.004657738095238095,0.00534375000000001,0.22375,0.05063583815028903,0.004702857142857143,0.2112937062937063,0.006400000000000004,0.004460804838334495,0.009640075376884424,0.004783277591973244
1705710442,0.6928273451593551,2.2603113561599315,0.3655527632972458,26.851521950081597,0.3141327204263849,8.762813883064464,0.44894074411781737,3.940001032551338,2.970892901931677,0.31356626431246776,0.2918036149796301,112664576,44793856,12165120,44199936,43978752,17928192,45080576,10870784,46657536,3084288,9117696,69272.3992784125,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,25.467,0.533,71.8,0.6,13.533,12.667,0.533,144.936,19.203,7.2,0,0,0,0.0030267857142857145,0.00323898139079334,0.11875,0.0045895833333333335,0.0030571428571428572,0.06051051051051051,0.0033225806451612906,0.002106769016050244,0.007547110552763819,0.0030066889632107017,0.004657738095238095,0.00534375000000001,0.22375,0.05063583815028903,0.004702857142857143,0.2112937062937063,0.006400000000000004,0.004460804838334495,0.009640075376884424,0.004783277591973244
1705710443,0.6928273451593551,2.2603113561599315,0.3655527632972458,27.427945150607147,0.3141327204263849,8.762813883064464,0.4581650168988777,3.940001032551338,2.970892901931677,0.2621609948567425,0.2918036149796301,112664576,44793856,12165120,44199936,43978752,17928192,45080576,10870784,46657536,3084288,9117696,69272.3992784125,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,25.6,0.6,72.4,0.667,13.533,12.667,0.6,145.469,19.203,7.333,0,0,0,0.0030267857142857145,0.003234604105571848,0.11875,0.00459105098855359,0.0031176470588235292,0.06051051051051051,0.00325,0.002107549361207897,0.007547110552763819,0.0030066889632107017,0.004657738095238095,0.005259090909090921,0.22375,0.050420289855072485,0.004811764705882353,0.2112937062937063,0.005500000000000003,0.004460162601626015,0.009640075376884424,0.004783277591973244
1705710444,0.6928273451593551,2.2603113561599315,0.3655527632972458,28.004368351132698,0.3141327204263849,8.762813883064464,0.46738928967993804,3.939530006663863,2.970892901931677,0.31316465627142237,0.2918036149796301,112664576,44793856,12165120,44199936,43978752,17928192,45080576,10493952,46657536,2953216,9117696,69272.3992784125,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,25.6,0.6,72.4,0.667,13.533,12.667,0.6,145.469,19.203,7.333,0,0,0,0.0030267857142857145,0.003234604105571848,0.11875,0.00459105098855359,0.0031176470588235292,0.06051051051051051,0.00325,0.002107549361207897,0.007547110552763819,0.0030066889632107017,0.004657738095238095,0.005259090909090921,0.22375,0.050420289855072485,0.004811764705882353,0.2112937062937063,0.005500000000000003,0.004460162601626015,0.009640075376884424,0.004783277591973244
1705710445,0.6928273451593551,2.2603113561599315,0.3655527632972458,28.580791551658248,0.3141327204263849,8.762813883064464,0.4766135624609984,3.939530006663863,2.970892901931677,0.31316465627142237,0.2918036149796301,112664576,44793856,12165120,44199936,43978752,17928192,45080576,10493952,46657536,2953216,9117696,69272.3992784125,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,25.6,0.6,72.4,0.667,13.533,12.667,0.6,145.469,19.203,7.333,0,0,0,0.0030267857142857145,0.003234604105571848,0.11875,0.00459105098855359,0.0031176470588235292,0.06051051051051051,0.003242424242424243,0.002107549361207897,0.007547110552763819,0.0030066889632107017,0.004657738095238095,0.005259090909090921,0.22375,0.050420289855072485,0.004811764705882353,0.2112937062937063,0.005375000000000003,0.004460162601626015,0.009640075376884424,0.004783277591973244
1705710446,0.6928273451593551,2.2603113561599315,0.3655527632972458,29.15721475218379,0.3141327204263849,8.762813883064464,0.5534563668636218,3.939530006663863,2.970892901931677,0.31316465627142237,0.2918036149796301,112664576,44793856,12165120,44199936,43978752,17928192,45080576,10493952,46657536,2953216,9117696,69272.3992784125,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,25.6,0.6,72.4,0.667,13.533,12.667,0.6,145.469,19.203,7.333,0,0,0,0.0030267857142857145,0.003234604105571848,0.11875,0.00459105098855359,0.0031176470588235292,0.06051051051051051,0.003242424242424243,0.002107549361207897,0.007547110552763819,0.0030066889632107017,0.004657738095238095,0.005259090909090921,0.22375,0.050420289855072485,0.004811764705882353,0.2112937062937063,0.005375000000000003,0.004460162601626015,0.009640075376884424,0.004783277591973244
1705710447,0.674557783869565,2.2603113561599315,0.3655527632972458,29.73363795270934,0.3141327204263849,8.762813883064464,0.5534563668636218,3.939530006663863,2.970892901931677,0.31316465627142237,0.2918036149796301,112664576,44793856,12165120,44199936,43978752,17928192,45080576,10493952,46657536,2953216,9117696,94554.89828307604,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,25.6,0.6,72.4,0.667,13.533,12.667,0.6,145.469,19.203,7.333,0,0,0,0.0030267857142857145,0.003234604105571848,0.11875,0.00459105098855359,0.0031176470588235292,0.06051051051051051,0.003242424242424243,0.002107549361207897,0.007547110552763819,0.0030066889632107017,0.004657738095238095,0.005259090909090921,0.22375,0.050420289855072485,0.004811764705882353,0.2112937062937063,0.005375000000000003,0.004460162601626015,0.009640075376884424,0.004783277591973244
1705710448,0.674557783869565,2.1343199808925144,0.3655527632972458,34.58539203153287,0.3141327204263849,8.762813883064464,0.5534563668636218,3.939530006663863,2.970892901931677,0.31316465627142237,0.2837040196615688,112664576,44720128,12165120,44199936,43978752,17928192,45080576,10493952,46657536,2953216,9117696,94554.89828307604,0,0,0,0,0,0,0,4,4,9,4,3,59,3,3,4,4,2,15,25.6,0.6,72.4,0.667,13.533,12.667,0.6,144,18.733,7.333,0,0,0,0.0030267857142857145,0.003234604105571848,0.11875,0.00459105098855359,0.0031176470588235292,0.06051051051051051,0.003242424242424243,0.001958929828678714,0.007536764705882352,0.0030066889632107017,0.004657738095238095,0.005259090909090921,0.22375,0.050420289855072485,0.004811764705882353,0.2112937062937063,0.005375000000000003,0.0044308378314949545,0.009644607843137256,0.004783277591973244
