time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705793107,1.7683715476161173,3.8747612303446144,0.21177996003911068,0.22804568812692377,4.402113305884725,1.0408614860402061,0.4425945623962925,0.08665284843916836,0.4770100711887878,0.8871600727603555,0,0.31511375568778516,0.5922694592059812,0.913239651611775,1.0723144143349002,204939264,82006016,6135808,430878720,99487744,323837952,41345024,4517888,258379776,94740480,4194304,3940352,303517696,9359360,48279552,0,1985750.0817082468,0,949802.152916649,39008.59503345158,0,0,0,1572742.5191985173,10,7,7,4,8,15,6,4,3,11,1,3,6,37,18,7.133,3.867,24.2,2.333,2.6,2.267,17.867,0.01688995215311005,0.003138728323699422,0.031043256997455467,0.03567073170731708,0.002314285714285714,0.0031573033707865163,0.00345014245014245,0.03793749999999999,0.0048497109826589595,0.07951672862453532,0.047621951219512196,0.0044628571428571425,0.00488314606741573,0.007352941176470586
1705793108,1.7683715476161173,3.8747612303446144,0.19869011255125316,0.22804568812692377,4.032985491537597,1.2581339865800445,0.4425945623962925,0.08665284843916836,0.4770100711887878,0.8871600727603555,0,0.31511375568778516,0.5922694592059812,0.913239651611775,1.0723144143349002,204939264,82006016,6135808,430878720,99409920,323837952,41345024,4517888,258379776,94740480,4194304,3940352,303517696,9359360,48279552,0,1985750.0817082468,0,949802.152916649,39008.59503345158,0,0,0,1572742.5191985173,10,7,7,4,9,16,6,4,3,11,1,3,6,37,18,7.133,3.867,24.2,2.333,2.6,2.267,17.867,0.01688995215311005,0.003138728323699422,0.031043256997455467,0.03567073170731708,0.002314285714285714,0.0031573033707865163,0.00345014245014245,0.03793749999999999,0.0048497109826589595,0.07951672862453532,0.047621951219512196,0.0044628571428571425,0.00488314606741573,0.007352941176470586
1705793109,1.7683715476161173,3.8747612303446144,0.19869011255125316,0.22804568812692377,4.121898719987969,1.2581339865800445,0.4425945623962925,0.09037608708172573,0.4770100711887878,0.8871600727603555,0,0.31511375568778516,0.5922694592059812,0.913239651611775,1.0723144143349002,204939264,82006016,6135808,430878720,99409920,323837952,41345024,4517888,258379776,94740480,4194304,3940352,303517696,9359360,48279552,0,1985750.0817082468,0,949802.152916649,39008.59503345158,0,0,0,1572742.5191985173,10,7,7,4,9,16,6,4,3,11,1,3,6,37,18,7.133,3.867,24.2,2.333,2.6,2.267,17.867,0.01688995215311005,0.003138728323699422,0.031043256997455467,0.03567073170731708,0.002314285714285714,0.0031573033707865163,0.00345014245014245,0.03793749999999999,0.0048497109826589595,0.07951672862453532,0.047621951219512196,0.0044628571428571425,0.00488314606741573,0.007352941176470586
1705793110,1.504329114841092,3.8747612303446144,0.18951572057505656,0.22804568812692377,4.210811948438342,1.2581339865800445,0.4425945623962925,0.09037608708172573,0.4770100711887878,0.8871600727603555,0,0.31511375568778516,0.5922694592059812,0.913239651611775,1.0723144143349002,204939264,82006016,6131712,430878720,99409920,323837952,41345024,4517888,258379776,94740480,4194304,3940352,303517696,9359360,48279552,0,1985750.0817082468,0,949802.152916649,39008.59503345158,0,0,0,1572742.5191985173,10,7,7,4,9,16,6,4,3,11,1,3,6,37,18,7.133,3.867,24.2,2.333,2.6,2.267,17.867,0.01688995215311005,0.003138728323699422,0.031043256997455467,0.03567073170731708,0.002314285714285714,0.0031573033707865163,0.00345014245014245,0.03793749999999999,0.0048497109826589595,0.07951672862453532,0.047621951219512196,0.0044628571428571425,0.00488314606741573,0.007352941176470586
1705793111,1.4748562557141567,3.8747612303446144,0.18951572057505656,0.22804568812692377,4.299725176888713,1.2581339865800445,0.4425945623962925,0.09037608708172573,0.4770100711887878,0.8871600727603555,0,0.31511375568778516,0.4895057724549168,0.913239651611775,1.0723144143349002,204939264,82006016,6131712,430878720,99409920,323837952,41345024,4517888,258379776,94740480,4194304,3940352,303517696,9359360,48279552,0,1985750.0817082468,0,949802.152916649,39008.59503345158,0,0,0,1572742.5191985173,10,7,7,4,9,16,6,4,3,11,1,3,6,37,18,7.133,3.867,24.2,2.333,2.6,2.267,17.867,0.01688995215311005,0.003138728323699422,0.031043256997455467,0.03567073170731708,0.002314285714285714,0.0031573033707865163,0.00345014245014245,0.03793749999999999,0.0048497109826589595,0.07951672862453532,0.047621951219512196,0.0044628571428571425,0.00488314606741573,0.007352941176470586
1705793112,1.4453833965872214,3.613208768450636,0.18951572057505656,0.22804568812692377,4.388638405339084,1.2581339865800445,0.4425945623962925,0.09037608708172573,0.4770100711887878,0.8871600727603555,0,0.31511375568778516,0.6722235284896866,0.913239651611775,1.0723144143349002,204939264,82006016,6131712,430878720,99409920,323837952,41345024,4517888,258379776,94740480,4194304,3940352,303517696,9359360,48279552,0,1998015.8650466914,0,949802.152916649,39008.59503345158,0,0,0,1572742.5191985173,10,7,7,4,9,16,6,4,3,11,1,3,5,37,18,7.133,3.867,24.2,2.333,2.6,2.267,17.867,0.01688995215311005,0.003138728323699422,0.031043256997455467,0.03567073170731708,0.002314285714285714,0.0031573033707865163,0.00345014245014245,0.03793749999999999,0.0048497109826589595,0.07951672862453532,0.047621951219512196,0.0044628571428571425,0.00488314606741573,0.007352941176470586
1705793113,1.625525571832419,4.183703183050494,0.18951572057505656,0.22804568812692377,4.4775516337894565,1.2581339865800445,0.4425945623962925,0.09037608708172573,0.4465743493076181,0.8871600727603555,0,0.26862134698401646,0.6722235284896866,0.913239651611775,0.7691849999999967,204939264,82006016,6131712,430878720,99409920,323837952,41345024,4517888,258379776,94740480,4194304,3940352,303517696,9359360,48279552,0,2313485.2896877197,0,949802.152916649,59392.44544334083,0,0,0,1259520,11,7,7,4,9,16,6,4,3,11,1,3,5,37,18,7.133,3.867,24.2,2.333,2.067,2.267,17.867,0.01688995215311005,0.003138728323699422,0.031043256997455467,0.03567073170731708,0.002397260273972603,0.0031573033707865163,0.00345014245014245,0.03793749999999999,0.0048497109826589595,0.07951672862453532,0.047621951219512196,0.0044794520547945214,0.00488314606741573,0.007352941176470586
1705793114,1.625525571832419,4.183703183050494,0.18951572057505656,0.22804568812692377,4.566464862239828,1.2581339865800445,0.4425945623962925,0.09037608708172573,0.4465743493076181,0.8871600727603555,0,0.3143340014267776,0.6722235284896866,0.913239651611775,0.7691849999999967,204939264,82006016,6131712,430878720,99409920,323837952,41345024,4517888,258379776,94740480,4194304,4075520,303517696,9359360,48279552,0,2313485.2896877197,0,949802.152916649,59392.44544334083,0,0,0,1259520,11,7,7,4,9,16,6,4,3,11,1,3,5,37,18,7.133,3.867,24.2,2.333,2.067,2.267,17.867,0.01688995215311005,0.003138728323699422,0.031043256997455467,0.03567073170731708,0.002397260273972603,0.0031573033707865163,0.00345014245014245,0.03793749999999999,0.0048497109826589595,0.07951672862453532,0.047621951219512196,0.0044794520547945214,0.00488314606741573,0.007352941176470586
1705793115,1.7362375823485918,4.183703183050494,0.18951572057505656,0.22804568812692377,5.334793707022308,1.2581339865800445,0.4425945623962925,0.09037608708172573,0.4465743493076181,0.8871600727603555,0,0.3271468263369896,0.6722235284896866,0.913239651611775,0.7691849999999967,204939264,82006016,6131712,430878720,99409920,323837952,41345024,4517888,258379776,94740480,4194304,4075520,303517696,9359360,48279552,0,2313485.2896877197,0,949802.152916649,59392.44544334083,0,0,0,1259520,11,7,7,4,9,16,6,4,3,11,1,3,5,37,18,7.133,3.867,24.2,2.333,2.067,2.267,17.867,0.01688995215311005,0.003138728323699422,0.031043256997455467,0.03567073170731708,0.002397260273972603,0.0031573033707865163,0.00345014245014245,0.03793749999999999,0.0048497109826589595,0.07951672862453532,0.047621951219512196,0.0044794520547945214,0.00488314606741573,0.007352941176470586
1705793116,1.7362375823485918,4.183703183050494,0.18951572057505656,0.22716294315535465,5.334793707022308,1.2581339865800445,0.4425945623962925,0.09139098651130922,0.4465743493076181,0.8871600727603555,0,0.3271468263369896,0.6722235284896866,0.913239651611775,0.9189252517302929,204939264,82006016,6131712,430882816,99409920,323837952,41345024,4517888,258379776,94740480,4194304,4075520,303517696,9359360,48279552,0,2313485.2896877197,0,949802.152916649,59392.44544334083,0,0,0,1504715.6835603185,11,7,7,4,9,16,6,4,3,11,1,3,5,37,18,7.133,3.867,24.4,2.333,2.067,2.267,17.867,0.01688995215311005,0.003138728323699422,0.031411917098445596,0.03567073170731708,0.002397260273972603,0.0031573033707865163,0.00345014245014245,0.03793749999999999,0.0048497109826589595,0.08017857142857145,0.047621951219512196,0.0044794520547945214,0.00488314606741573,0.007352941176470586
