time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705722814,1.5896688601145248,4.452696061466061,0.20025749817117383,0.2080504308599821,4.610712583412823,1.1036015906078742,0.4231587869655307,0.10686815700387221,1.2488624294258985,0.8454565174521913,0,0.3005315529852025,0.3324067660268696,1.0820205859065695,1.1126336490427027,218574848,86081536,6225920,431038464,109379584,318906368,43364352,4538368,271994880,93413376,4616192,2846720,304816128,8364032,52092928,0,1502651.0694261785,0,0,617216.0482200037,53425.755119533416,0,26126.89232862732,1083279.4593006172,12,7,7,4,7,15,5,6,3,11,1,3,7,20,10,8.4,4.533,25.867,1.8,1.8,1.8,15.8,0.01845121951219512,0.0031235955056179775,0.03108108108108108,0.03723404255319149,0.002675,0.0030666666666666668,0.005063131313131313,0.04153614457831324,0.004822471910112359,0.08221843003412968,0.047446808510638296,0.004535,0.00472,0.009164141414141415
1705722815,1.5896688601145248,4.452696061466061,0.20025749817117383,0.2080504308599821,4.610712583412823,1.1036015906078742,0.4231587869655307,0.09577473413484154,1.2488624294258985,0.8454565174521913,0,0.3005315529852025,0.3324067660268696,1.0820205859065695,1.1126336490427027,218574848,86081536,6225920,431038464,109379584,318906368,43364352,4538368,271994880,93413376,4616192,2846720,304816128,8364032,52092928,0,1502651.0694261785,0,0,617216.0482200037,53425.755119533416,0,26126.89232862732,1083279.4593006172,12,7,7,4,7,15,5,6,3,11,1,3,7,20,10,8.4,4.533,25.867,1.8,1.8,1.8,15.8,0.01845121951219512,0.0031235955056179775,0.03108108108108108,0.03723404255319149,0.002675,0.0030666666666666668,0.005063131313131313,0.04153614457831324,0.004822471910112359,0.08221843003412968,0.047446808510638296,0.004535,0.00472,0.009164141414141415
1705722816,2.144802892820706,4.452696061466061,0.20025749817117383,0.2080504308599821,4.610712583412823,1.1036015906078742,0.4231587869655307,0.09577473413484154,1.2488624294258985,0.8454565174521913,0,0.3005315529852025,0.3324067660268696,1.0820205859065695,1.1126336490427027,218705920,86081536,6225920,431038464,109379584,318906368,43364352,4538368,271994880,93413376,4616192,2846720,304816128,8364032,52092928,145794.32843259408,1502651.0694261785,0,0,617216.0482200037,53425.755119533416,0,26126.89232862732,1083279.4593006172,11,7,7,4,7,15,5,6,3,11,1,3,7,20,10,8.4,4.533,25.867,1.8,1.8,1.8,15.8,0.01845121951219512,0.0031235955056179775,0.03108108108108108,0.03723404255319149,0.002675,0.0030666666666666668,0.005063131313131313,0.04153614457831324,0.004822471910112359,0.08221843003412968,0.047446808510638296,0.004535,0.00472,0.009164141414141415
1705722817,2.189849159121897,4.452696061466061,0.20025749817117383,0.2080504308599821,4.610712583412823,1.0236931801907816,0.4231587869655307,0.09577473413484154,1.2488624294258985,0.8454565174521913,0,0.3005315529852025,0.3324067660268696,1.0820205859065695,1.1126336490427027,218705920,86081536,6225920,431038464,109379584,318906368,43364352,4538368,271994880,93413376,4616192,2846720,304816128,8364032,52092928,148856.3767754797,1502651.0694261785,0,0,617216.0482200037,53425.755119533416,0,26126.89232862732,1083279.4593006172,11,7,7,4,7,15,5,6,3,11,1,3,7,20,10,8.4,4.533,25.867,1.8,1.8,1.8,15.8,0.01845121951219512,0.0031235955056179775,0.03108108108108108,0.03723404255319149,0.002675,0.0030666666666666668,0.005063131313131313,0.04153614457831324,0.004822471910112359,0.08221843003412968,0.047446808510638296,0.004535,0.00472,0.009164141414141415
1705722818,2.2348954254230877,4.452696061466061,0.20025749817117383,0.2080504308599821,4.610712583412823,1.0236931801907816,0.4231587869655307,0.09577473413484154,1.2488624294258985,0.8454565174521913,0,0.3005315529852025,0.3324067660268696,0.8989922953813653,1.1126336490427027,218705920,86081536,6225920,431038464,109379584,318906368,43364352,4538368,271994880,93413376,4616192,2846720,304816128,8364032,52092928,151918.4251183653,1502651.0694261785,0,0,617216.0482200037,53425.755119533416,0,26126.89232862732,1083279.4593006172,11,7,7,4,7,15,5,6,3,11,1,3,7,20,10,8.4,4.533,25.867,1.8,1.8,1.8,15.8,0.01845121951219512,0.0031235955056179775,0.03108108108108108,0.03723404255319149,0.002675,0.0030666666666666668,0.005063131313131313,0.04153614457831324,0.004822471910112359,0.08221843003412968,0.047446808510638296,0.004535,0.00472,0.009164141414141415
1705722819,2.279941691724279,4.601312089971899,0.19894433414783128,0.2080504308599821,4.610712583412823,1.0236931801907816,0.4231587869655307,0.09577473413484154,1.7079719479032667,0.8454565174521913,0,0.3005315529852025,0.3324067660268696,0.880958618949589,1.1126336490427027,218705920,86245376,6230016,431038464,109379584,318906368,43364352,4538368,271994880,93413376,4616192,2846720,304816128,8364032,52092928,154980.47346125095,2187391.911725699,0,0,617216.0482200037,46898.525833691136,0,26126.89232862732,1083279.4593006172,11,7,7,4,7,15,5,6,3,11,1,3,7,20,10,8.4,4.533,25.867,1.8,1.8,1.8,15.8,0.01845121951219512,0.0031235955056179775,0.03108108108108108,0.03723404255319149,0.002675,0.0030666666666666668,0.005063131313131313,0.04153614457831324,0.004822471910112359,0.08221843003412968,0.047446808510638296,0.004535,0.00472,0.009164141414141415
1705722820,2.3249879580254698,4.601312089971899,0.19894433414783128,0.20998857997952097,4.610712583412823,1.0660292513523697,0.4231587869655307,0.09577473413484154,1.7079719479032667,0.8381695667007838,0,0.3005315529852025,0.3324067660268696,1.033797169811319,1.1126336490427027,218705920,86245376,6230016,431034368,109379584,318918656,43364352,4538368,271994880,93413376,4616192,2846720,304816128,8368128,52092928,158042.52180413654,2187391.911725699,0,0,617216.0482200037,46898.525833691136,0,26126.89232862732,1083279.4593006172,11,7,7,4,7,19,5,6,3,11,1,3,7,20,10,8.267,4.533,25.867,1.667,1.667,1.667,15.4,0.018682266009852216,0.0031235955056179775,0.03108108108108108,0.037209302325581395,0.002638888888888889,0.003023809523809524,0.0049898734177215185,0.04177710843373494,0.004822471910112359,0.08221843003412968,0.04744186046511628,0.004527777777777776,0.004642857142857143,0.00913421052631579
1705722821,2.702775978071458,4.601312089971899,0.19894433414783128,0.20998857997952095,4.558393318314204,1.0660292513523697,0.4231587869655307,0.09577473413484154,1.7079719479032667,0.8381695667007838,0,0.3005315529852025,0.3324067660268696,1.033797169811319,1.1126336490427027,218705920,86245376,6230016,431034368,109379584,318918656,43364352,4538368,271994880,93413376,4616192,2846720,304816128,8368128,52092928,183722.9005731373,2187391.911725699,0,0,617216.0482200037,46898.525833691136,0,26126.89232862732,1083279.4593006172,11,7,7,4,7,19,5,6,3,11,1,3,7,20,10,8.267,4.533,25.867,1.667,1.667,1.667,15.4,0.018682266009852216,0.0031235955056179775,0.03108108108108108,0.037209302325581395,0.002638888888888889,0.003023809523809524,0.0049898734177215185,0.04177710843373494,0.004822471910112359,0.08221843003412968,0.04744186046511628,0.004527777777777776,0.004642857142857143,0.00913421052631579
1705722822,2.702775978071458,4.601312089971899,0.19894433414783128,0.20998857997952095,4.558393318314204,1.0660292513523697,0.35668524329754553,0.09577473413484154,1.7079719479032667,0.8381695667007838,0,0.3005315529852025,0.3324067660268696,1.033797169811319,1.1461087295750896,218705920,86245376,6230016,431034368,109379584,318918656,43364352,4538368,271994880,93413376,4616192,2846720,304816128,8368128,52117504,183722.9005731373,2187391.911725699,0,0,520258.2650007326,46898.525833691136,0,26126.89232862732,1484031.3525729557,11,7,7,4,7,19,5,6,3,11,1,3,7,20,10,8.267,4.533,25.867,1.667,1.667,1.667,15.4,0.018682266009852216,0.0031235955056179775,0.03108108108108108,0.037209302325581395,0.002638888888888889,0.003023809523809524,0.0049898734177215185,0.04177710843373494,0.004822471910112359,0.08221843003412968,0.04744186046511628,0.004527777777777776,0.004642857142857143,0.00913421052631579
1705722823,2.702775978071458,4.487164499582503,0.19894433414783128,0.20998857997952095,4.558393318314204,1.0660292513523697,0.43121171548117265,0.09577473413484154,1.7079719479032667,0.8381695667007838,0,0.3005315529852025,0.3463660685377456,1.033797169811319,1.1461087295750896,218705920,86245376,6230016,431034368,109379584,318918656,43413504,4538368,271994880,93413376,4616192,2846720,304816128,8368128,52117504,183722.9005731373,2247596.32589765,0,0,802061.9246861924,46898.525833691136,0,26126.89232862732,1484031.3525729557,11,7,7,4,7,19,5,6,3,11,1,3,7,20,10,8.267,4.533,25.867,1.667,1.667,1.667,15.4,0.018682266009852216,0.0031235955056179775,0.03108108108108108,0.037209302325581395,0.002638888888888889,0.003023809523809524,0.0049898734177215185,0.04177710843373494,0.004822471910112359,0.08221843003412968,0.04744186046511628,0.004527777777777776,0.004642857142857143,0.00913421052631579
