time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,currencyservice_diskio,emailservice_diskio,frontend_diskio,paymentservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705659635,0.7780271529482438,1.9537247348962676,0.3098367335850585,32.864179070663276,0.29566181487377774,6.567368334475647,0.2451974999999962,3.7670081416102037,2.7472651822921126,0.29287718540902286,0.24016126934581994,104726528,44453888,11739136,44781568,43319296,15183872,40128512,10432512,44220416,2940928,8675328,51300.03506838334,0,0,0,0,0,0,0,0,4,4,9,3,3,23,3,3,4,4,2,15.133,24.533,0.733,81.933,0.667,13.533,13.267,0.667,148.923,19.267,6.8,0,0,0.0029970238095238092,0.0031775510204081633,0.09642857142857142,0.004048422923145268,0.0031818181818181815,0.05707395498392283,0.0035714285714285718,0.002054727009012536,0.007512755102040816,0.0029345454545454544,0.004599404761904762,0.004919591836734695,0.7812500000000002,0.04111250000000008,0.004927272727272728,0.20560483870967744,0.007750000000000002,0.004451991033401711,0.009599489795918369,0.004668363636363636
1705659636,0.7672762090717911,1.9537247348962676,0.3098367335850585,32.864179070663276,0.29566181487377774,6.706839427425866,0.4046338788437125,3.7670081416102037,2.7472651822921126,0.29287718540902286,0.24016126934581994,104726528,44453888,11739136,44781568,43319296,15183872,40677376,10432512,44220416,2940928,8675328,69209.9729648543,0,0,0,0,0,0,0,0,4,4,9,3,3,23,3,3,4,4,2,15.133,24.533,0.733,81.933,0.667,13.533,13.267,0.667,148.923,19.267,6.733,0,0,0.0029970238095238092,0.0031775510204081633,0.09642857142857142,0.004048422923145268,0.0031818181818181815,0.05707395498392283,0.0035714285714285718,0.002054727009012536,0.007512755102040816,0.0029424460431654673,0.004599404761904762,0.004919591836734695,0.7812500000000002,0.04111250000000008,0.004927272727272728,0.20560483870967744,0.007750000000000002,0.004451991033401711,0.009599489795918369,0.004669064748201439
1705659637,0.7672762090717911,1.9537247348962676,0.3098367335850585,32.864179070663276,0.29566181487377774,6.846310520376085,0.41280200265754713,3.7670081416102037,2.682248468941394,0.29287718540902286,0.24016126934581994,104726528,44453888,11739136,44781568,43319296,15183872,40677376,10432512,44220416,2940928,8675328,69209.9729648543,0,0,0,0,0,0,0,0,4,4,9,3,3,23,3,3,4,4,2,15.133,24.533,0.733,81.933,0.6,13.533,13.267,0.667,148.923,19.267,6.733,0,0,0.0029970238095238092,0.0031775510204081633,0.09642857142857142,0.004048422923145268,0.003193548387096774,0.05707395498392283,0.0035714285714285718,0.002054727009012536,0.007512755102040816,0.0029424460431654673,0.004599404761904762,0.004919591836734695,0.7812500000000002,0.04111250000000008,0.004948387096774194,0.20560483870967744,0.007750000000000002,0.004451991033401711,0.009599489795918369,0.004669064748201439
1705659638,0.7672762090717911,1.9537247348962676,0.3098367335850585,32.864179070663276,0.29566181487377774,6.985781613326307,0.4209701264713818,3.239365403997163,2.682248468941394,0.29287718540902286,0.24016126934581994,104726528,44453888,11739136,44781568,43319296,15183872,40677376,10432512,44220416,2940928,8675328,69209.9729648543,0,0,0,0,0,0,0,0,4,4,9,3,3,23,3,3,4,4,2,15.133,24.533,0.733,82.467,0.6,13.533,13.267,0.667,149.457,19.267,6.733,0,0,0.0029970238095238092,0.0031782786885245903,0.13409090909090907,0.0040524444444444445,0.003206896551724138,0.05707395498392283,0.0036153846153846154,0.0020558694841979557,0.007512755102040816,0.002934545454545455,0.004599404761904762,0.004920901639344262,0.7937500000000001,0.04124378109452735,0.0049724137931034485,0.20560483870967744,0.007875000000000004,0.0044521699198960575,0.009599489795918369,0.004656727272727273
1705659639,0.7672762090717911,1.9537247348962676,0.3098367335850585,32.519849268561686,0.29566181487377774,7.125252706276526,0.49008742883008205,3.1765819349703266,2.682248468941394,0.29287718540902286,0.24016126934581994,104726528,44453888,11739136,43864064,43319296,15183872,40677376,10432512,44220416,2940928,8675328,69209.9729648543,0,0,0,0,0,0,0,0,4,4,9,3,3,23,3,3,4,4,2,15.133,24.533,0.733,82.467,0.6,13.533,13.267,0.667,149.457,19.267,6.733,0,0,0.0029970238095238092,0.0031782786885245903,0.13409090909090907,0.0040524444444444445,0.003206896551724138,0.05707395498392283,0.0036153846153846154,0.0020558694841979557,0.007512755102040816,0.002934545454545455,0.004599404761904762,0.004920901639344262,0.7937500000000001,0.04124378109452735,0.0049724137931034485,0.20560483870967744,0.007875000000000004,0.0044521699198960575,0.009599489795918369,0.004656727272727273
1705659640,0.7672762090717911,2.057626778913582,0.3098367335850585,32.519849268561686,0.29566181487377774,7.264723799226748,0.49008742883008205,3.11379846594349,2.682248468941394,0.29287718540902286,0.24016126934581994,104726528,44453888,11739136,43864064,43319296,15183872,40677376,10432512,44220416,2940928,8675328,69209.9729648543,0,0,0,0,0,0,0,0,4,4,9,3,3,23,3,3,4,4,2,15.133,24.533,0.733,82.467,0.6,13.533,13.267,0.6,149.457,19.267,6.733,0,0,0.0029970238095238092,0.0031782786885245903,0.13409090909090907,0.0040524444444444445,0.003206896551724138,0.05707395498392283,0.003666666666666667,0.0020558694841979557,0.007512755102040816,0.002934545454545455,0.004599404761904762,0.004920901639344262,0.7937500000000001,0.04124378109452735,0.0049724137931034485,0.20560483870967744,0.008,0.0044521699198960575,0.009599489795918369,0.004656727272727273
1705659641,0.7672762090717911,2.057626778913582,0.3098367335850585,32.519849268561686,0.2957652872844973,8.368265577013204,0.49008742883008205,3.0510149969166536,2.682248468941394,0.29287718540902286,0.24016126934581994,104726528,44453888,11739136,43864064,43319296,15183872,40677376,10432512,44220416,2940928,8675328,69209.9729648543,0,0,0,0,0,0,0,0,4,4,9,3,3,23,3,3,4,4,2,15.133,24.533,0.733,82.467,0.6,13.533,13.267,0.6,149.457,19.267,6.733,0,0,0.0029970238095238092,0.0031782786885245903,0.13409090909090907,0.0040524444444444445,0.003206896551724138,0.05707395498392283,0.003666666666666667,0.0020558694841979557,0.007512755102040816,0.002934545454545455,0.004599404761904762,0.004920901639344262,0.7937500000000001,0.04124378109452735,0.0049724137931034485,0.20560483870967744,0.008,0.0044521699198960575,0.009599489795918369,0.004656727272727273
1705659642,0.7672762090717911,1.7349394593104595,0.3098367335850585,32.519849268561686,0.2957652872844973,8.368265577013204,0.49008742883008205,2.9156983721318146,2.682248468941394,0.29287718540902286,0.24016126934581994,104726528,44453888,11739136,43864064,43319296,15183872,40677376,10432512,44220416,2940928,8675328,69209.9729648543,0,0,0,0,0,0,0,0,4,4,9,3,3,23,3,3,4,4,2,15.133,24.533,0.733,82.467,0.6,13.533,13.267,0.6,149.457,19.267,6.733,0,0,0.0029970238095238092,0.0031782786885245903,0.13409090909090907,0.0040524444444444445,0.003206896551724138,0.05707395498392283,0.003666666666666667,0.0020558694841979557,0.007512755102040816,0.002934545454545455,0.004599404761904762,0.004920901639344262,0.7937500000000001,0.04124378109452735,0.0049724137931034485,0.20560483870967744,0.008,0.0044521699198960575,0.009599489795918369,0.004656727272727273
1705659643,0.7477897221438279,2.2258536789998957,0.3098367335850585,28.036101100903586,0.2957652872844973,8.368265577013204,0.49008742883008205,2.854251537842961,2.682248468941394,0.29287718540902286,0.24016126934581994,104726528,44462080,11739136,43864064,43319296,15183872,40677376,10432512,44220416,2940928,8675328,94578.85419606435,0,0,0,0,0,0,0,0,4,4,9,3,3,23,3,3,4,4,2,15.133,24.533,0.733,82.467,0.6,13.533,13.267,0.6,132.875,17.533,6.733,0,0,0.0029970238095238092,0.0031782786885245903,0.13409090909090907,0.0040524444444444445,0.003206896551724138,0.05707395498392283,0.003666666666666667,0.0020575787401574796,0.007525906735751296,0.002934545454545455,0.004599404761904762,0.004920901639344262,0.7937500000000001,0.04124378109452735,0.0049724137931034485,0.20560483870967744,0.008,0.004454822834645668,0.009603626943005181,0.004656727272727273
1705659644,0.7477897221438279,2.2258536789998957,0.3098367335850585,28.586679631133066,0.2957652872844973,8.368265577013204,0.49008742883008205,3.6992406016610335,2.682248468941394,0.29287718540902286,0.24016126934581994,104726528,44462080,11739136,43864064,43319296,15183872,40677376,10338304,44220416,2940928,8675328,94578.85419606435,0,0,0,0,0,0,0,0,4,4,9,3,3,23,3,3,4,4,2,15.133,24.533,0.733,82.467,0.6,13.533,13.267,0.6,132.875,17.533,6.733,0,0,0.0029970238095238092,0.0031782786885245903,0.13409090909090907,0.0040524444444444445,0.003206896551724138,0.05707395498392283,0.003666666666666667,0.0020575787401574796,0.007525906735751296,0.002934545454545455,0.004599404761904762,0.004920901639344262,0.7937500000000001,0.04124378109452735,0.0049724137931034485,0.20560483870967744,0.008,0.004454822834645668,0.009603626943005181,0.004656727272727273
