time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,currencyservice_error,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705359979,0.742605625985197,2.2456547285448427,0.354753891459799,19.350643368103977,0.3109580068411742,6.847720565059051,0.6557750107342277,1.7854901292014738,2.099411001598302,0.27790806049127154,0.22350236042530183,112812032,43610112,12120064,41062400,43470848,17186816,40095744,10502144,45326336,3014656,8949760,90939.36635509868,0,,0,0,4,4,9,4,3,48,3,4,4,4,3,14.333,25.269,0.933,78.067,0.933,13.067,13.2,0.933,135.4,18,7.733,0,0,0,0,0.00303486529318542,0.0033677685950413224,0.20344827586206896,0.06480922973719755,0.003,0.19442446043165468,0.0035,0.0021424043468417473,0.0075478796169630635,0.002872340425531915,0.00467797147385103,0.007297101449275362,0.44444444444444453,0.12960350891942404,0.0046,0.6858552631578948,0.0075,0.004445868236359519,0.009837893296853625,0.004574468085106383
1705359980,0.742605625985197,2.2456547285448427,0.354753891459799,19.350643368103977,0.3109580068411742,6.847720565059051,0.6557750107342277,1.8392885873782967,2.05647013851892,0.27790806049127154,0.2594562585993705,112812032,43610112,12120064,41062400,43470848,17186816,40095744,10502144,45326336,3014656,8966144,90939.36635509868,0,,0,0,4,4,9,4,3,48,3,4,4,4,3,14.333,25.269,0.933,78.067,0.933,13.067,13.2,0.933,135.4,18,7.733,0,0,0,0,0.00303486529318542,0.0033677685950413224,0.20344827586206896,0.06480922973719755,0.003,0.19442446043165468,0.0035,0.0021424043468417473,0.0075478796169630635,0.002872340425531915,0.00467797147385103,0.007297101449275362,0.44444444444444453,0.12960350891942404,0.0046,0.6858552631578948,0.0075,0.004445868236359519,0.009837893296853625,0.004574468085106383
1705359981,0.742605625985197,2.401934210234521,0.354753891459799,19.350643368103977,0.3109580068411742,6.847720565059051,0.6557750107342277,1.8930870455551192,2.013529275439538,0.27790806049127154,0.2594562585993705,112812032,43610112,12120064,41062400,43470848,17186816,40095744,10502144,45326336,3014656,8966144,90939.36635509868,0,,0,0,4,4,9,4,3,48,3,4,4,4,3,14.333,25.269,0.933,78.067,0.933,13.067,13.2,0.933,135.4,18,7.4,0,0,0,0,0.00303486529318542,0.0033677685950413224,0.20344827586206896,0.06480922973719755,0.003,0.19442446043165468,0.0035,0.0021424043468417473,0.0075478796169630635,0.002896341463414634,0.00467797147385103,0.007297101449275362,0.44444444444444453,0.12960350891942404,0.0046,0.6858552631578948,0.0075,0.004445868236359519,0.009837893296853625,0.004579268292682927
1705359982,0.742605625985197,2.401934210234521,0.354753891459799,19.350643368103977,0.3109580068411742,6.847720565059051,0.6557750107342277,2.104034522510984,2.6166267574316704,0.27790806049127154,0.2594562585993705,112812032,43610112,12120064,41062400,43470848,17186816,40095744,10469376,45207552,3014656,8966144,90939.36635509868,0,,0,0,4,4,9,4,3,48,3,4,4,4,3,14.4,25.269,0.933,73.4,0.933,13.067,12.867,0.933,141.667,18.867,7.533,0,0,0,0,0.0030064000000000002,0.0033634496919917865,0.2125,0.0657358286342713,0.003,0.19466357308584684,0.0035,0.002148106146518485,0.007619718309859156,0.002897280966767372,0.00463712,0.007179577464788736,0.6099999999999998,0.1405707668404046,0.0046,0.7138364779874216,0.0075,0.004458652755726923,0.009974647887323943,0.004579456193353474
1705359983,0.742605625985197,2.401934210234521,0.354753891459799,19.350643368103977,0.3109580068411742,6.847720565059051,0.6557750107342277,2.1614359376757575,2.6166267574316704,0.23113266005983435,0.25844914495689786,112812032,43610112,12120064,41062400,43470848,17186816,40095744,10469376,45207552,3014656,8966144,90939.36635509868,0,,0,0,4,4,9,4,3,48,3,4,4,4,3,14.4,25.269,0.933,73.4,0.933,13.067,12.867,0.867,141.667,18.867,7.533,0,0,0,0,0.0030064000000000002,0.0033634496919917865,0.2125,0.0657358286342713,0.003,0.19466357308584684,0.0034375,0.002148106146518485,0.007619718309859156,0.002897280966767372,0.00463712,0.007179577464788736,0.6099999999999998,0.1405707668404046,0.0046,0.7138364779874216,0.007214285714285715,0.004458652755726923,0.009974647887323943,0.004579456193353474
1705359984,0.742605625985197,2.401934210234521,0.354753891459799,19.350643368103977,0.3109580068411742,6.847720565059051,0.53439217606825,2.218837352840531,2.594307711725356,0.22650085905164657,0.25844914495689786,112812032,43610112,12120064,41062400,43470848,17186816,40095744,10469376,45207552,3014656,8966144,90939.36635509868,0,,0,0,4,4,9,4,3,48,3,4,4,4,3,14.4,25.269,0.933,73.4,0.933,12.533,12.867,0.867,147.133,18.867,7.533,0,0,0,0,0.0030064000000000002,0.0033634496919917865,0.2125,0.0657358286342713,0.003,0.19815668202764977,0.0034375,0.002212608987256875,0.007619718309859156,0.002897280966767372,0.00463712,0.007179577464788736,0.6099999999999998,0.1405707668404046,0.0046,0.754385964912281,0.007214285714285715,0.004471853342275878,0.009974647887323943,0.004579456193353474
1705359985,0.742605625985197,2.401934210234521,0.2592808319545647,19.350643368103977,0.26573002851836663,6.705984943063704,0.5238871721402517,2.2762387680053044,2.594307711725356,0.27349853240008876,0.25844914495689786,112812032,43610112,12120064,41062400,43470848,17399808,40095744,10469376,45207552,3014656,8966144,90939.36635509868,0,,0,0,4,4,9,4,3,48,3,4,4,4,3,14.4,24.8,0.933,73.4,0.933,12.533,12.867,0.867,147.133,18.867,7.533,0,0,0,0,0.0030064000000000002,0.0033429752066115705,0.2125,0.0657358286342713,0.003,0.19815668202764977,0.0034375,0.002212608987256875,0.007619718309859156,0.002897280966767372,0.00463712,0.006892086330935259,0.6099999999999998,0.1405707668404046,0.0046,0.754385964912281,0.007214285714285715,0.004471853342275878,0.009974647887323943,0.004579456193353474
1705359986,0.7182637133938077,2.401934210234521,0.265045318313856,19.350643368103977,0.26054739507101377,6.705984943063704,0.5133821682122536,2.3336401831700786,2.594307711725356,0.27349853240008876,0.25844914495689786,112812032,43610112,12120064,41062400,43470848,17399808,40095744,10469376,45207552,3014656,8966144,109600.11892374014,0,,0,0,4,4,9,4,3,48,3,4,4,4,3,14.4,24.8,0.933,73.4,0.933,12.533,12.867,0.867,147.133,18.867,7.533,0,0,0,0,0.0030064000000000002,0.0033429752066115705,0.2125,0.0657358286342713,0.003,0.19815668202764977,0.0034375,0.002212608987256875,0.007619718309859156,0.002897280966767372,0.00463712,0.006892086330935259,0.6099999999999998,0.1405707668404046,0.0046,0.754385964912281,0.007214285714285715,0.004471853342275878,0.009974647887323943,0.004579456193353474
1705359987,0.7182637133938077,2.401934210234521,0.2708098046731474,19.350643368103977,0.25536476162366084,6.705984943063704,0.6584591800799642,2.391041598334852,2.594307711725356,0.27349853240008876,0.25844914495689786,112812032,43610112,12120064,41062400,43470848,17399808,39981056,10469376,45207552,3014656,8966144,109600.11892374014,0,,0,0,4,4,9,4,3,48,3,4,4,4,3,14.4,25.067,1.067,73.933,1.067,12.533,12.867,1,147.533,18.867,7.8,0,0,0,0,0.0030064000000000002,0.0033405572755417956,0.22717391304347825,0.06573388615241607,0.003,0.19815668202764977,0.003363636363636364,0.002214190093708166,0.007619718309859156,0.002897280966767372,0.00463712,0.006869565217391307,0.6750000000000003,0.14049973832683987,0.0046,0.754385964912281,0.006749999999999999,0.004472110664881749,0.009974647887323943,0.004579456193353474
1705359988,0.7182637133938077,2.401934210234521,0.20904333333334077,19.350643368103977,0.2501821281763079,6.705984943063704,0.6584591800799642,2.4484430134996256,2.594307711725356,0.27349853240008876,0.25844914495689786,112812032,43610112,12120064,41062400,43470848,17399808,39981056,10469376,45207552,3014656,8966144,109600.11892374014,0,,0,0,4,4,9,4,3,48,3,4,4,4,3,14.4,25.067,1.067,73.933,1.067,12.533,12.867,1,147.533,18.867,7.8,0,0,0,0,0.0030064000000000002,0.0033405572755417956,0.22717391304347825,0.06573388615241607,0.003,0.19815668202764977,0.003363636363636364,0.002214190093708166,0.007619718309859156,0.002897280966767372,0.00463712,0.006869565217391307,0.6750000000000003,0.14049973832683987,0.0046,0.754385964912281,0.006749999999999999,0.004472110664881749,0.009974647887323943,0.004579456193353474
