time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,currencyservice_diskio,emailservice_diskio,frontend_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705749169,0.5812628721287376,2.9859756532914585,0.286674885099286,32.10742734351708,0.3006823328725634,8.213736398438767,0.45114251776213476,4.162635893780029,2.961420683238613,0.32985473511790026,0.2566441562924617,111939584,45191168,12255232,44662784,43352064,15736832,39944192,11554816,46022656,2961408,8896512,43300.04045174763,0,0,0,0,0,0,17655.93344540713,4,4,9,3,3,26,3,3,4,4,3,15.467,24.533,0.8,71.262,0.733,11.933,13,0.734,143.469,19.469,7,0,0,0,0.0030458015267175575,0.003244979919678715,0.08653846153846154,0.003935049846525311,0.003,0.04835526315789474,0.003285714285714286,0.0023689134594939397,0.00763764404609475,0.0029461279461279457,0.004682442748091603,0.005447368421052638,0.2125,0.04196544491832186,0.0046,0.1862815126050421,0.006,0.0044996385285987674,0.00979897567221511,0.004610774410774411
1705749170,0.6762889894716031,2.9859756532914585,0.29267826473269143,32.10742734351708,0.3006823328725634,6.978258075570907,0.44159412380340357,4.162635893780029,2.961420683238613,0.32985473511790026,0.2566441562924617,111939584,45191168,12255232,44662784,43352064,15736832,39944192,11554816,46022656,2961408,8896512,50378.82515005412,0,0,0,0,0,0,17655.93344540713,4,4,9,3,3,26,3,3,4,4,3,15.467,24.733,0.8,71.262,0.733,11.933,13,0.734,143.469,19.469,7,0,0,0,0.0030458015267175575,0.0032507583417593524,0.08653846153846154,0.003935049846525311,0.003,0.04835526315789474,0.003285714285714286,0.0023689134594939397,0.00763764404609475,0.0029461279461279457,0.004682442748091603,0.005533613445378146,0.2125,0.04196544491832186,0.0046,0.1862815126050421,0.006,0.0044996385285987674,0.00979897567221511,0.004610774410774411
1705749171,0.6762889894716031,2.9859756532914585,0.3602027780043278,32.10742734351708,0.3006823328725634,8.425176892073354,0.4320457298446722,4.308447581125869,3.1470682078141383,0.32985473511790026,0.2566441562924617,111939584,45191168,12255232,44662784,43352064,15736832,39944192,11554816,46022656,2961408,8896512,50378.82515005412,0,0,0,0,0,0,17655.93344540713,4,4,9,3,3,26,3,3,4,4,3,15.467,24.733,0.8,71.262,0.733,11.933,13,0.734,140.602,19.469,7,0,0,0,0.0030458015267175575,0.0032507583417593524,0.08653846153846154,0.003935049846525311,0.003,0.04835526315789474,0.003285714285714286,0.0023536585365853658,0.00763764404609475,0.0029461279461279457,0.004682442748091603,0.005533613445378146,0.2125,0.04196544491832186,0.0046,0.1862815126050421,0.006,0.004496299411269975,0.00979897567221511,0.004610774410774411
1705749172,0.6762889894716031,3.169329607408005,0.3602027780043278,32.10742734351708,0.3006823328725634,8.425176892073354,0.42249733588594107,4.308447581125869,3.1470682078141383,0.3227927588802995,0.2566441562924617,111939584,45191168,12255232,44662784,43352064,15736832,39944192,11554816,46022656,2957312,8896512,50378.82515005412,0,0,0,0,0,0,14016.836629936353,4,4,9,3,3,26,3,3,4,4,3,15.467,24.733,0.8,71.262,0.733,11.933,13,0.734,140.602,19.469,7,0,0,0,0.0030458015267175575,0.0032507583417593524,0.08653846153846154,0.003935049846525311,0.003,0.04835526315789474,0.003285714285714286,0.0023536585365853658,0.00763764404609475,0.0029461279461279457,0.004682442748091603,0.005533613445378146,0.2125,0.04196544491832186,0.0046,0.1862815126050421,0.006,0.004496299411269975,0.00979897567221511,0.004610774410774411
1705749173,0.6762889894716031,3.169329607408005,0.3602027780043278,32.10742734351708,0.3006823328725634,8.425176892073354,0.4129489419272098,4.308447581125869,3.1470682078141383,0.26492260500377557,0.2566441562924617,111939584,45191168,12255232,44662784,43352064,15736832,39944192,11554816,46022656,2957312,8896512,50378.82515005412,0,0,0,0,0,0,16602.7569707691,4,4,9,3,3,26,3,3,4,4,3,15.467,24.733,0.8,71.262,0.733,11.933,13,0.734,140.602,19.469,6.6,0,0,0,0.0030458015267175575,0.0032507583417593524,0.08653846153846154,0.003935049846525311,0.003,0.04835526315789474,0.003285714285714286,0.0023536585365853658,0.00763764404609475,0.002965986394557824,0.004682442748091603,0.005533613445378146,0.2125,0.04196544491832186,0.0046,0.1862815126050421,0.006,0.004496299411269975,0.00979897567221511,0.0046149659863945584
1705749174,0.6762889894716031,3.169329607408005,0.3602027780043278,32.10742734351708,0.3006823328725634,8.425176892073354,0.4034005479684785,4.308447581125869,3.1470682078141383,0.2704282911296282,0.2566441562924617,111939584,45191168,12255232,44662784,43352064,15736832,39944192,11554816,46022656,2957312,8896512,50378.82515005412,0,0,0,0,0,0,16947.79951141437,4,4,9,3,3,26,3,3,4,4,3,15.467,24.733,0.8,71.262,0.733,11.933,13,0.734,140.602,19.469,6.6,0,0,0,0.0030458015267175575,0.0032507583417593524,0.08653846153846154,0.003935049846525311,0.003,0.04835526315789474,0.003285714285714286,0.0023536585365853658,0.00763764404609475,0.002965986394557824,0.004682442748091603,0.005533613445378146,0.2125,0.04196544491832186,0.0046,0.1862815126050421,0.006,0.004496299411269975,0.00979897567221511,0.0046149659863945584
1705749175,0.6762889894716031,3.169329607408005,0.3602027780043278,32.10742734351708,0.3006823328725634,8.425176892073354,0.55004496713936,4.308447581125869,3.1470682078141383,0.27593397725548074,0.2566441562924617,111939584,45191168,12255232,44662784,43352064,15736832,39292928,11554816,46022656,2957312,8896512,50378.82515005412,0,0,0,0,0,0,17292.84205205964,4,4,9,3,3,26,3,3,4,4,3,15.467,24.6,0.733,70.729,0.667,11.933,13,0.667,140.135,19.469,6.467,0,0,0,0.0030458015267175575,0.0032553191489361703,0.08392857142857144,0.003933223219668114,0.003,0.04835526315789474,0.003206896551724138,0.0023532631578947368,0.00763764404609475,0.002965986394557824,0.004682442748091603,0.005607438016528922,0.20961538461538465,0.04172959052185591,0.0046,0.1862815126050421,0.0049724137931034485,0.0044969263157894745,0.00979897567221511,0.0046149659863945584
1705749176,0.6762889894716031,3.169329607408005,0.3602027780043278,32.10742734351708,0.3006823328725634,8.425176892073354,0.55004496713936,4.308447581125869,2.9875928798890024,0.28143966338133336,0.2566441562924617,111939584,45191168,12255232,44662784,43352064,15736832,39292928,11554816,46014464,2957312,8896512,50378.82515005412,0,0,0,0,0,0,17637.88459270491,4,4,9,3,3,26,3,3,4,4,3,15.467,24.6,0.733,70.729,0.667,11.933,13,0.667,140.135,19.469,6.467,0,0,0,0.0030458015267175575,0.0032553191489361703,0.08392857142857144,0.003933223219668114,0.003,0.04835526315789474,0.003206896551724138,0.0023532631578947368,0.00763764404609475,0.002965986394557824,0.004682442748091603,0.005607438016528922,0.20961538461538465,0.04172959052185591,0.0046,0.1862815126050421,0.0049724137931034485,0.0044969263157894745,0.00979897567221511,0.0046149659863945584
1705749177,0.6762889894716031,3.169329607408005,0.3602027780043278,32.10742734351708,0.3006823328725634,8.393285311618845,0.55004496713936,4.308447581125869,2.9875928798890024,0.3303411675511562,0.2566441562924617,111939584,45191168,12255232,44662784,43352064,16080896,39292928,11554816,46014464,2957312,8896512,50378.82515005412,0,0,0,0,0,0,20702.5524387162,4,4,9,3,3,26,3,3,4,4,3,15.933,23.867,0.6,77.729,0.667,11.933,12.467,0.667,128.067,16.067,5.867,0,0,0,0.0030442477876106194,0.0032270916334661355,0.08,0.003918153681154355,0.003,0.04855421686746989,0.003206896551724138,0.0023491324587388914,0.007615681233933163,0.0029652777777777776,0.004679646017699115,0.005100917431192669,0.20363636363636364,0.04352280096263489,0.0046,0.18742187500000013,0.0049724137931034485,0.004494879390605163,0.009759640102827765,0.004615277777777777
1705749178,0.6762889894716031,2.85176710710068,0.3602027780043278,32.10742734351708,0.3006823328725634,8.393285311618845,0.5233690312438042,4.308447581125869,2.9875928798890024,0.3303411675511562,0.2837125825267371,111939584,45158400,12255232,44662784,43352064,16080896,39292928,11554816,46014464,2957312,8896512,50378.82515005412,0,0,0,0,0,0,20702.5524387162,4,4,9,3,3,26,3,3,4,4,3,15.933,23.867,0.6,77.729,0.667,11.933,12.467,0.667,128.067,16.067,5.867,0,0,0,0.0030442477876106194,0.0032270916334661355,0.08,0.003918153681154355,0.003,0.04855421686746989,0.003206896551724138,0.0023491324587388914,0.007615681233933163,0.0029652777777777776,0.004679646017699115,0.005100917431192669,0.20363636363636364,0.04352280096263489,0.0046,0.18742187500000013,0.0049724137931034485,0.004494879390605163,0.009759640102827765,0.004615277777777777
