time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,orders_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705732717,1.5289266801331767,5.216111431395127,0.18756828096931422,0.2073733832950556,4.444089066220518,1.0735050934174368,0.4505272963172442,0.08943366223599433,0.2622849219987364,0.8144859214470463,0.0001283147989734764,0.31624352019288676,0.24771905652091974,0.7778605249850485,1.0163304538265057,220676096,89157632,6193152,430665728,104210432,331898880,43876352,4567040,248266752,96980992,4644864,2846720,302538752,8130560,52862976,0,2454159.117114149,0,0,1062869.6896104328,24545.764954003458,0,0,1634612.483270471,18,12,6,4,7,16,5,4,3,11,1,3,5,16,8,8.533,4.333,24.667,1.8,2,1.867,16.267,0,0,0.018423645320197045,0.003045454545454545,0.0299618320610687,0.0375,0.00276,0.003024390243902439,0.0032244604316546766,0.04065476190476191,0.004681818181818182,0.07635135135135132,0.0475,0.004594666666666667,0.004643902439024391,0.005044871794871796
1705732718,1.5289266801331767,5.216111431395127,0.19481495397332316,0.17622302093825912,4.444089066220518,1.0735050934174368,0.4505272963172442,0.08943366223599433,0.2568972955185177,0.8144859214470463,0.0001283147989734764,0.31232433189240305,0.25324507682131225,0.7778605249850485,1.0163304538265057,220676096,89157632,6193152,430665728,104210432,331898880,43876352,4567040,248266752,96980992,4644864,2838528,302538752,8130560,52862976,0,2454159.117114149,0,0,1062869.6896104328,24041.56741098172,0,0,1634612.483270471,18,12,6,4,7,16,5,4,3,11,1,3,5,16,8,8.533,4.333,24.667,1.8,2,1.867,16.267,0,0,0.018423645320197045,0.003045454545454545,0.0299618320610687,0.0375,0.00276,0.003024390243902439,0.0032244604316546766,0.04065476190476191,0.004681818181818182,0.07635135135135132,0.0475,0.004594666666666667,0.004643902439024391,0.005044871794871796
1705732719,1.3184614285757328,3.989235232408999,0.19481495397332316,0.20065587423871678,4.444089066220518,1.0735050934174368,0.4505272963172442,0.08943366223599433,0.3279494320901897,0.8144859214470463,0.0001283147989734764,0.31232433189240305,0.2587710971217047,0.7778605249850485,1.0163304538265057,220676096,89157632,6193152,430669824,104210432,331898880,43876352,4567040,248262656,96980992,4644864,2838528,302538752,8130560,52862976,0,2394091.0585788563,0,0,1062869.6896104328,44562.42656338396,0,0,1634612.483270471,18,12,6,4,7,16,5,4,3,11,1,3,5,16,8,8.533,4.333,24.667,1.8,2,1.867,16.267,0,0,0.018423645320197045,0.003045454545454545,0.0299618320610687,0.0375,0.00276,0.003024390243902439,0.0032244604316546766,0.04065476190476191,0.004681818181818182,0.07635135135135132,0.0475,0.004594666666666667,0.004643902439024391,0.005044871794871796
1705732720,1.2929793172401798,4.073218248006919,0.19481495397332316,0.20065587423871678,4.444089066220518,1.0735050934174368,0.4505272963172442,0.08943366223599433,0.3279494320901897,0.8144859214470463,0.0001283147989734764,0.31232433189240305,0.26429711742209716,0.7778605249850485,1.0163304538265057,220676096,89157632,6193152,430669824,104210432,331898880,43876352,4567040,248262656,96980992,4644864,2838528,302538752,8130560,52862976,0,2444492.4450606583,0,0,1062869.6896104328,44562.42656338396,0,0,1634612.483270471,18,12,6,4,7,16,5,4,3,11,1,3,5,16,8,8.667,4.333,24.667,1.933,2.133,2,16.667,0,0,0.0182994923857868,0.003045454545454545,0.0299618320610687,0.03734939759036145,0.00272972972972973,0.003,0.0032231884057971017,0.04071428571428571,0.004681818181818182,0.07635135135135132,0.04746987951807229,0.004545945945945946,0.0046,0.005019480519480528
1705732721,1.477910770514802,4.157201263604839,0.19481495397332316,0.1901743979119717,4.444089066220518,1.0735050934174368,0.4505272963172442,0.08943366223599433,0.3279494320901897,0.8144859214470463,0.0001283147989734764,0.3120914876309901,0.26982313772248967,0.7778605249850485,1.0320611422733696,220684288,89157632,6193152,430669824,104210432,331898880,43876352,4567040,248262656,96980992,4644864,2838528,302538752,8130560,52928512,0,2494893.831542461,0,0,1062869.6896104328,44562.42656338396,0,0,1555373.0796661458,17,12,6,4,7,16,5,4,3,11,1,3,5,16,8,8.667,4.333,24.667,1.933,2.133,2,16.667,0,0,0.0182994923857868,0.003045454545454545,0.0299618320610687,0.03734939759036145,0.00272972972972973,0.003,0.0032231884057971017,0.04071428571428571,0.004681818181818182,0.07635135135135132,0.04746987951807229,0.004545945945945946,0.0046,0.005019480519480528
1705732722,1.477910770514802,4.241184279202759,0.19481495397332316,0.1901743979119717,4.444089066220518,1.0735050934174368,0.4505272963172442,0.08943366223599433,0.3279494320901897,0.8382189463508976,0.0001283147989734764,0.3120914876309901,0.27534915802288223,0.7778605249850485,1.0320611422733699,220684288,89157632,6193152,430669824,104210432,331898880,43876352,4567040,248262656,96980992,4644864,2838528,302538752,8130560,52928512,0,2545295.2180242636,0,0,1062869.6896104328,44562.42656338396,0,0,1555373.0796661463,17,12,6,4,7,16,5,4,3,11,1,3,5,16,8,8.4,4.333,24.667,1.933,2.133,2,16.667,0,0,0.01828947368421053,0.003045454545454545,0.0299618320610687,0.03734939759036145,0.00272972972972973,0.003,0.0032231884057971017,0.04132530120481927,0.004681818181818182,0.07635135135135132,0.04746987951807229,0.004545945945945946,0.0046,0.005019480519480528
1705732723,1.477910770514802,5.0389809358752,0.19481495397332316,0.1901743979119717,4.444089066220518,1.0735050934174368,0.4505272963172442,0.08943366223599433,0.3279494320901897,0.8382189463508976,0.0001283147989734764,0.3120914876309901,0.2808751783232747,0.7778605249850485,1.0320611422733699,220684288,89157632,6193152,430669824,104210432,331898880,43876352,4567040,248262656,96980992,4644864,2838528,302538752,8130560,52928512,0,3024083.1889081458,0,0,1062869.6896104328,44562.42656338396,0,0,1555373.0796661463,17,12,6,4,7,16,5,4,3,11,1,3,5,16,8,8.4,4.333,24.667,1.933,2.133,2,16.667,0,0,0.01828947368421053,0.003045454545454545,0.0299618320610687,0.03734939759036145,0.00272972972972973,0.003,0.0032231884057971017,0.04132530120481927,0.004681818181818182,0.07635135135135132,0.04746987951807229,0.004545945945945946,0.0046,0.005019480519480528
1705732724,1.477910770514802,4.264195625476589,0.19481495397332316,0.1901743979119717,4.444089066220518,1.0735050934174368,0.4505272963172442,0.08943366223599433,0.3279494320901897,0.8382189463508976,0.0001283147989734764,0.3120914876309901,0.3315612180235499,0.7778605249850485,1.0320611422733699,220684288,89157632,6193152,430669824,104210432,331898880,43876352,4567040,248262656,96980992,4644864,2838528,302538752,8130560,52928512,0,2559105.197920277,0,0,1062869.6896104328,44562.42656338396,0,0,1555373.0796661463,17,12,6,4,7,16,5,4,3,11,1,3,5,16,8,8.4,4.333,24.667,1.933,2.133,2,16.667,0,0,0.01828947368421053,0.003045454545454545,0.0299618320610687,0.03734939759036145,0.00272972972972973,0.003,0.0032231884057971017,0.04132530120481927,0.004681818181818182,0.07635135135135132,0.04746987951807229,0.004545945945945946,0.0046,0.005019480519480528
1705732725,1.477910770514802,4.1802126098786685,0.19481495397332316,0.1901743979119717,4.416734039468556,1.0735050934174368,0.4505272963172442,0.08943366223599433,0.3279494320901897,0.8382189463508976,0.0001283147989734764,0.3120914876309901,0.3315612180235499,0.7778605249850485,1.0320611422733699,220684288,89157632,6193152,430669824,109895680,331898880,43876352,4567040,248262656,96980992,4644864,2838528,302538752,8130560,52928512,0,2508703.8114384743,0,0,1062869.6896104328,44562.42656338396,0,0,1555373.0796661463,17,12,6,4,7,16,5,4,3,11,1,3,5,16,8,7.533,3.8,23.4,2.333,2.133,2,17,0,0,0.018145161290322585,0.0030484848484848485,0.02955452127659574,0.03735465116279069,0.00272972972972973,0.003,0.003248901903367497,0.04113924050632913,0.004687272727272727,0.07619158878504671,0.04747093023255814,0.004545945945945946,0.0046,0.005482352941176475
1705732726,1.477910770514802,4.788793450828222,0.1948149539733231,0.1901743979119717,4.2117802453658575,1.0735050934174368,0.4505272963172442,0.08943366223599433,0.3279494320901897,0.8382189463508976,0.0001283147989734764,0.3120914876309901,0.3315612180235499,0.7778605249850485,1.0320611422733699,220684288,89198592,6193152,430669824,109895680,331898880,43876352,4567040,248262656,96980992,4644864,2838528,302538752,8130560,52928512,0,2441042.6077919872,0,0,1062869.6896104328,44562.42656338396,0,0,1555373.0796661463,17,12,6,4,7,16,5,4,3,11,1,3,5,16,8,7.533,3.8,23.4,2.333,2.133,2,17,0,0,0.018145161290322585,0.0030484848484848485,0.02955452127659574,0.03735465116279069,0.00272972972972973,0.003,0.003248901903367497,0.04113924050632913,0.004687272727272727,0.07619158878504671,0.04747093023255814,0.004545945945945946,0.0046,0.005482352941176475
