time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders_diskio,orders-db_diskio,payment_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,orders_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705824258,1.4039289776561192,2.5355657891823755,0.16759295719187733,0.1907531208757934,4.995701907040834,35.38208842885947,0.41495441951916945,0.07518890292273277,0.27756484885049054,0.7879017257414436,0,0.27129901467926754,0.3159468638235236,1.3246439692754892,1.3733969986357466,202682368,74801152,5996544,430608384,105472000,464031744,38375424,4378624,251412480,93548544,4767744,2879488,303632384,7856128,40792064,1523519.383620785,0,0,366073.82250424527,,27301.897624793593,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,7,18,9,7.267,4.2,26.733,9.6,0,0,22.467,2.667,9.6,0.010557142857142859,0.0030444444444444447,0.02851049868766404,0.011363636363636367,0.0018421052631578947,0.0031176470588235292,0.005602040816326531,0.022385714285714287,0.00468,0.07842995169082123,0.045000000000000005,0.004368421052631579,0.004811764705882354,0.009120408163265306
1705824259,1.4039289776561192,2.5355657891823755,0.16759295719187733,0.1907531208757934,5.086210434743807,36.686296208101425,0.41495441951916945,0.07518890292273277,0.270953328464361,0.7879017257414436,0,0.27129901467926754,0.3159468638235236,1.3246439692754892,1.3733969986357466,202682368,74801152,5996544,430608384,105472000,464031744,38375424,4378624,251412480,93548544,4767744,2879488,303632384,7856128,40792064,1523519.383620785,0,0,366073.82250424527,,26651.57373301156,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,7,18,9,7.267,4.2,26.733,9.6,0,0,22.467,2.667,9.6,0.010557142857142859,0.0030444444444444447,0.02851049868766404,0.011363636363636367,0.0018421052631578947,0.0031176470588235292,0.005602040816326531,0.022385714285714287,0.00468,0.07842995169082123,0.045000000000000005,0.004368421052631579,0.004811764705882354,0.009120408163265306
1705824260,1.4039289776561192,2.5355657891823755,0.1637452541334965,0.1907531208757934,5.086210434743807,26.662405681195324,0.41495441951916945,0.07518890292273277,0.2643418080782315,0.7879017257414436,0,0.2712990146792675,0.3159468638235236,1.3246439692754892,1.3733969986357466,202682368,74801152,5996544,430608384,105472000,464031744,38375424,4378624,251412480,93548544,4767744,2879488,303632384,7856128,40792064,1523519.383620785,0,0,366073.82250424527,,26001.24984122952,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,7,18,9,7.267,4.2,26.733,9.6,0,0,22.467,2.667,9.6,0.010557142857142859,0.0030444444444444447,0.02851049868766404,0.011363636363636367,0.0018421052631578947,0.0031176470588235292,0.005602040816326531,0.022385714285714287,0.00468,0.07842995169082123,0.045000000000000005,0.004368421052631579,0.004811764705882354,0.009120408163265306
1705824261,1.0075887354066286,2.3118680258988973,0.16374525413349647,0.1907531208757934,5.086210434743807,39.22804694251385,0.41495441951916945,0.07518890292273277,0.2707401390184891,0.6743694642939111,0,0.2712990146792675,0.2522501034870342,1.3246439692754892,1.3733969986357466,202682368,74801152,5996544,430608384,105472000,566345728,38375424,4378624,251412480,93548544,4767744,2879488,303632384,7856128,40792064,1424769.2519630801,0,0,366073.82250424527,,45213.50387001154,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,6,18,9,7.6,4.467,29.6,11.533,0,0,28.2,4.4,11.533,0.010916666666666668,0.0030769230769230765,0.029915364583333333,0.01730263157894737,0.0018421052631578947,0.0031176470588235292,0.0059005145797598624,0.022650000000000007,0.004738461538461538,0.08165999999999998,0.06499999999999999,0.004368421052631579,0.004811764705882354,0.009180102915951973
1705824262,1.028067244731032,1.952295485604089,0.16374525413349647,0.19082400873903888,5.086210434743807,40.52992443567949,0.41495441951916945,0.07518890292273277,0.2640082402426206,0.6612377688648872,0,0.2712990146792675,0.2522501034870342,1.3246439692754892,1.3733969986357466,202682368,74801152,5996544,430608384,105472000,566345728,38375424,4378624,251412480,93548544,4767744,2879488,303632384,7856128,40792064,1203170.1409744225,0,0,366073.82250424527,,44089.27924466158,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,6,18,9,7.6,4.467,29.6,11.533,0,0,28.2,4.4,11.533,0.010916666666666668,0.0030769230769230765,0.029915364583333333,0.01730263157894737,0.0018421052631578947,0.0031176470588235292,0.0059005145797598624,0.022650000000000007,0.004738461538461538,0.08165999999999998,0.06499999999999999,0.004368421052631579,0.004811764705882354,0.009180102915951973
1705824263,1.2287105594642056,1.9137643518391072,0.16374525413349647,0.19082400873903888,5.086210434743807,41.831801928845124,0.41495441951916945,0.07518890292273277,0.25727634146675216,0.648106073435863,0,0.2712990146792675,0.2522501034870342,1.3246439692754892,1.3733969986357466,202682368,74801152,5996544,430608384,105472000,566345728,38375424,4378624,251412480,93548544,4767744,2879488,303632384,7856128,40792064,1179423.9867750378,0,0,366073.82250424527,,42965.05461931164,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,6,18,9,7.467,4.467,29.6,11.533,0,0,28.2,4.4,11.533,0.012103174603174605,0.0030769230769230765,0.029915364583333333,0.01730263157894737,0.0018421052631578947,0.0031509433962264156,0.0059005145797598624,0.022865079365079363,0.004738461538461538,0.08165999999999998,0.06499999999999999,0.004368421052631579,0.004871698113207547,0.009180102915951973
1705824264,1.2287105594642058,1.8752332180741258,0.16374525413349647,0.19082400873903888,5.086210434743807,43.13367942201076,0.41495441951916945,0.28861828472113904,0.2320001624992363,0.634974378006839,0,0.2294448161253269,0.2522501034870342,1.3246439692754892,1.3733969986357466,202682368,74801152,5996544,430608384,105472000,566345728,38375424,4485120,251412480,93548544,4767744,2879488,303632384,7856128,40792064,1155677.8325756532,0,0,366073.82250424527,,41599.80500091407,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,6,18,9,7.467,4.467,29.6,11.533,0,0,28.2,4.4,11.533,0.012103174603174605,0.0030769230769230765,0.029915364583333333,0.01730263157894737,0.0018421052631578947,0.0031509433962264156,0.0059005145797598624,0.022865079365079363,0.004738461538461538,0.08165999999999998,0.06499999999999999,0.004368421052631579,0.004871698113207547,0.009180102915951973
1705824265,1.2287105594642058,1.8367020843091442,0.16374525413349647,0.19141929223518075,5.086210434743807,44.435556915176406,0.41495441951916945,0.28861828472113904,0.2320001624992363,0.6218426825778149,0,0.23548042738627956,0.2522501034870342,1.4098507817608985,1.3733969986357466,202682368,74801152,5996544,430612480,105472000,566345728,38375424,4485120,251412480,93548544,4767744,3006464,303632384,7856128,40792064,1131931.6783762684,0,0,366073.82250424527,,41599.80500091407,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,6,18,9,7.467,4.467,29.6,11.533,0,0,28.2,4.4,11.533,0.012103174603174605,0.0030769230769230765,0.029915364583333333,0.01730263157894737,0.0018421052631578947,0.0031509433962264156,0.0059005145797598624,0.022865079365079363,0.004738461538461538,0.08165999999999998,0.06499999999999999,0.004368421052631579,0.004871698113207547,0.009180102915951973
1705824266,1.2287105594642058,1.7981709505441625,0.16374525413349647,0.19141929223518075,5.086210434743807,45.73743440834204,0.41495441951916945,0.28861828472113904,0.2320001624992363,0.6087109871487908,0,0.24016241222346574,0.2522501034870342,1.4098507817608985,1.3733969986357466,202682368,74801152,5996544,430612480,105472000,566345728,38375424,4485120,251412480,93548544,4767744,3006464,303632384,7856128,40792064,1108185.5241768837,0,0,366073.82250424527,,41599.80500091407,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,6,18,9,7.467,4.467,29.6,15.067,0,0,28.2,4.4,15.067,0.012712765957446807,0.0030769230769230765,0.029915364583333333,0.00035244360902255637,0.0004886363636363637,0.003162162162162162,0.005974199288256227,0.02298936170212766,0.004738461538461538,0.08165999999999998,0.04591346153846155,0.0041809523809523816,0.004891891891891891,0.009194839857651247
1705824267,1.2287105594642058,1.7596398167791807,0.16374525413349647,0.19141929223518075,5.086210434743807,47.03931190150768,0.41495441951916945,0.28861828472113904,0.2320001624992363,0.5955792917197669,0,0.28091909023117156,0.2522501034870342,1.4098507817608985,1.3733969986357466,202682368,74801152,5996544,430612480,105472000,566345728,38375424,4485120,251412480,93548544,4767744,3006464,303632384,7856128,40792064,1084439.3699774991,0,0,366073.82250424527,,41599.80500091407,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,6,18,9,7.467,4.467,29.6,15.067,0,0,28.2,4.4,15.067,0.012712765957446807,0.0030769230769230765,0.029915364583333333,0.00035244360902255637,0.0004886363636363637,0.003162162162162162,0.005974199288256227,0.02298936170212766,0.004738461538461538,0.08165999999999998,0.04591346153846155,0.0041809523809523816,0.004891891891891891,0.009194839857651247
1705824268,1.2287105594642058,1.7211086830141993,0.13997535625637872,0.19141929223518075,5.086210434743807,47.50811750735492,0.41495441951916945,0.28861828472113904,0.2320001624992363,0.5645832711046733,0,0.28091909023117156,0.2522501034870342,1.573631892635354,1.3733969986357466,202682368,74801152,5996544,430612480,105472000,566345728,38375424,4485120,251412480,93548544,4767744,3006464,303632384,7733248,40792064,1060693.2157781145,0,,366073.82250424527,,41599.80500091407,0,0,1658077.0693087024,10,6,6,4,5,16,2,5,3,11,1,3,6,18,9,7.467,4.467,29.6,15.067,0,0,28.2,4.4,15.067,0.012712765957446807,0.0030769230769230765,0.029915364583333333,0.00035244360902255637,0.0004886363636363637,0.003162162162162162,0.005974199288256227,0.02298936170212766,0.004738461538461538,0.08165999999999998,0.04591346153846155,0.0041809523809523816,0.004891891891891891,0.009194839857651247
1705824269,1.2287105594642058,1.6825775492492174,0.13724626868748713,0.19141929223518075,5.25687515988743,48.84164787058851,0.41495441951916945,0.28861828472113904,0.2320001624992363,0.5519846218041428,0,0.28091909023117156,0.2522501034870342,1.573631892635354,1.4182591041746013,202682368,74801152,5996544,430612480,105472000,566345728,38375424,4485120,251412480,93548544,4767744,3006464,303632384,7733248,40792064,1036947.0615787297,0,,366073.82250424527,,41599.80500091407,0,0,1767085.3952544094,10,6,6,4,5,16,2,5,3,11,1,3,6,18,9,7.467,4.067,29.6,15.067,0,0,30.067,4.4,15.067,0.012712765957446807,0.0031136363636363636,0.029915364583333333,0.00035244360902255637,0.0004886363636363637,0.003162162162162162,0.006202290076335878,0.02298936170212766,0.004804545454545455,0.08165999999999998,0.04591346153846155,0.0041809523809523816,0.004891891891891891,0.009252671755725191
