time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705756612,3.3855378815156842,3.7540366666666674,0.18126029752381864,21.575031440437602,0.23507616987903135,2.788420189940333,0.6193034429062461,0.9747240213450652,1.0497380419132938,0.2117592773847143,0.1570294623873646,90427392,32407552,9097216,34103296,43331584,12083200,24342528,8376320,42209280,2928640,7413760,78080.18977823906,0,0,,4,4,9,3,3,15,3,4,4,4,3,10.733,18.2,0.8,66,0.933,9.267,7.733,0.933,93.333,10.333,5.733,0,0.005762080570763003,0.003340357685705986,0.045433991818931846,0.003926210365950934,0.0031057175579244124,0.061710746010979874,0.006579507321621378,0.0013168391797105112,0.006937540748867795,0.0024144491873733607,0.009326559891174391,0.0075225004909323535,0.10832949999999997,0.04991607979659381,0.004790291604263942,0.21178890306580106,0.055601083438585386,0.004280904529299729,0.009477947267751901,0.004553981985129462
1705756613,3.3855378815156842,3.7540366666666674,0.18126029752381864,21.96069797204214,0.23507616987903135,2.842678723924575,0.6193034429062461,1.1647273195344925,1.0497380419132938,0.2117592773847143,0.1570294623873646,90427392,32407552,9097216,34103296,43331584,12083200,24342528,8376320,42209280,2928640,7413760,78080.18977823906,0,0,,4,4,9,3,3,15,3,4,4,4,3,10.733,18.2,0.8,66,0.933,9.267,7.733,0.933,93.333,10.333,5.733,0,0.005763742085048598,0.003339348045249356,0.04526464422964947,0.003926230764961456,0.003102118968598417,0.06169387609454286,0.006553950015752929,0.001318549185383323,0.0069371475445939535,0.0024106889267716436,0.009325849467861165,0.007507091239339564,0.1038295000000002,0.049907194043186436,0.004783814143477151,0.21175330052076977,0.05520096849041135,0.004281060500166241,0.009477464677435552,0.0045523084929263305
1705756614,3.3855378815156842,3.7540366666666674,0.18126029752381864,22.34636450364668,0.23507616987903135,2.8969372579088177,0.6193034429062461,1.186136998616499,1.0497380419132938,0.2117592773847143,0.1570294623873646,90427392,32407552,9097216,34103296,43331584,12083200,24342528,8376320,42209280,2928640,7413760,78080.18977823903,0,0,,4,4,9,3,3,15,3,4,4,4,3,10.733,18.2,0.8,66,0.933,9.267,7.733,0.933,93.333,10.333,5.733,0,0.005765330311610807,0.003338384170457604,0.04510795293791071,0.003926250277158376,0.0030987573039256027,0.061677821395475736,0.006530085769233223,0.0013201810487581621,0.006936772315833605,0.0024071230481932738,0.00932517038060548,0.007492309601511071,0.0999201918727831,0.049898696738293835,0.004777763147066085,0.21171935447231677,0.0548208572892711,0.0042812093436166735,0.009477004148956573,0.004550721509833858
1705756615,3.3855378815156842,4.826120911340526,0.18126029752381864,22.732031035251214,0.26210081768352933,2.95119579189306,0.6193034429062461,1.2075466776985053,1.5253558700722,0.22317162728411602,0.1570294623873646,90427392,32407552,9097216,34103296,43347968,12083200,24342528,8376320,42491904,2924544,7413760,78080.18977823903,0,0,,4,4,9,3,3,15,3,4,4,4,3,10.733,18.2,0.8,66,0.933,9.267,7.733,0.933,93.333,10.333,5.733,0,0.005766849994787265,0.003337463018547913,0.0449625502374863,0.003926268959140577,0.0030956099115608316,0.06166252421633443,0.006507751739246089,0.0013217400064993,0.006936413857494179,0.0024037368588923184,0.009324520600843347,0.00747811799897215,0.09939887692701185,0.04989056295472115,0.004772097840809497,0.21168695193988368,0.05445928628914252,0.004281351537291005,0.009476564203272026,0.004549214496891487
1705756616,3.3855378815156842,4.717257767080386,0.18126029752381864,23.117697566855753,0.26210081768352933,3.005454325877302,0.6193034429062461,1.2289563567805117,1.5561499886588717,0.22317162728411602,0.1570294623873646,90427392,32407552,9097216,34103296,43347968,12083200,24342528,8376320,42491904,2924544,7413760,78080.18977823903,0,0,,4,4,9,3,3,15,3,4,4,4,3,13.2,22.933,1,80.333,0.933,9.267,12.8,0.933,119.533,17.533,7.333,0,0.00554509794373784,0.003276662113412431,0.05451848330630277,0.004038153665588803,0.0030926569376882097,0.06392007850654982,0.006486805317753868,0.001770327442324093,0.007118723647755093,0.0025284391514662835,0.009385712701144893,0.0063189608578513344,0.15973805760015797,0.05606582531444572,0.004766782487838777,0.2159557573725009,0.05411493131606516,0.004369962201833893,0.009599116645387415,0.004594871019414836
1705756617,3.3855378815156842,4.608394622820245,0.18126029752381864,23.139991896272285,0.26210081768352933,4.1341678688907395,0.7309559063417572,1.250366035862518,1.5869441072455435,0.22317162728411602,0.1570294623873646,90427392,32407552,9097216,34103296,43347968,12697600,24342528,8376320,42491904,2924544,7413760,78080.18977823903,0,0,,4,4,9,3,3,15,3,4,4,4,3,13.2,22.933,1,80.333,0.933,9.267,12.8,0.933,119.533,17.533,7.333,0,0.005546258574981521,0.003275949671430051,0.054131043002743295,0.004038275183758364,0.0030898809077971683,0.06390578496805072,0.0064671210832352236,0.0017713902727190636,0.007118504992617154,0.0025256414938722516,0.00938519333478463,0.006304253094265004,0.1586488117416449,0.05606427027081827,0.004761785634034904,0.21593054844774073,0.05378659136359408,0.004370060428644533,0.00959884719890255,0.004593647316784294
1705756618,3.3855378815156842,4.499531478560105,0.15579876423081315,23.139991896272285,0.26210081768352933,4.2086035828158135,0.7309559063417572,1.7071017650521676,1.847647115200307,0.22317162728411602,0.1570294623873646,90427392,32407552,9097216,34103296,43347968,12697600,24342528,8966144,42491904,2924544,7413760,78080.18977823903,0,0,,4,4,9,3,3,15,3,4,4,4,3,13.2,22.933,1,80.333,0.933,9.267,12.8,0.933,119.533,17.533,7.333,0,0.005547372069452307,0.0032752668797747086,0.053762822670658905,0.004038391825245301,0.0030770257779603573,0.06389211705609223,0.00644858828735159,0.0017724085785272505,0.007118295508953917,0.0025229724484731914,0.009384695061475505,0.006290103190631199,0.15759429450493412,0.05606277764634353,0.0047386464003286435,0.21590640939589156,0.053473174597763906,0.004370154540491792,0.00959858905433194,0.004592479869458778
1705756619,4.49787617235286,4.796909939255216,0.1527777592720828,23.139991896272285,0.28605021547685944,4.283039296740887,0.7309559063417572,1.7366313809040697,1.847647115200307,0.22317162728411602,0.1570294623873646,90427392,33943552,9097216,34103296,43347968,12697600,24342528,8966144,42491904,2924544,7413760,69593.58434144354,0,0,,4,4,9,3,3,15,3,4,4,4,3,13.2,23.067,1.067,80.533,1,9.267,12.8,1.067,119.667,17.533,8.4,0,0.005548441241551551,0.0032716524206385916,0.0745094324729655,0.004045043201894596,0.003067203171989718,0.06387903457495256,0.007355129617533221,0.0017758932249700022,0.007118094631573541,0.0024540660169528467,0.009384216621812005,0.006217492361570081,0.19661718919701685,0.0570213985155137,0.004720965709581493,0.21588327352369183,0.04992850000000016,0.0043707145833518524,0.009598341515195464,0.004568343736662128
1705756620,4.49787617235286,4.796909939255216,0.22291986228994104,23.139991896272285,0.28605021547685944,4.35747501066596,0.7309559063417572,1.7661609967559715,1.847647115200307,0.22317162728411602,0.1570294623873646,90427392,33943552,9461760,34103296,43347968,12697600,24342528,8966144,42491904,2924544,7413760,69593.58434144354,0,0,,4,4,9,3,3,15,3,4,4,4,3,13.2,23.067,1.067,80.533,1,13.4,12.8,1.067,119.667,17.533,8.4,0,0.005549468685999675,0.003270994248023848,0.07439382674904504,0.004045236421847385,0.0030653015024787356,0.06801042888078336,0.007345037936554546,0.0017768592081526067,0.007117901840789335,0.002452995789454908,0.009383756854692777,0.00620353265569143,0.19646124478589777,0.05703230500958165,0.004717542704461724,0.2202922666011727,0.04942849999999989,0.004370806769331397,0.00959810394108855,0.004567570974291794
1705756621,4.49787617235286,4.796909939255216,0.27331912420073634,23.139991896272285,0.28605021547685944,4.431910724591034,0.7309559063417572,1.7717769511141173,1.847647115200307,0.22317162728411602,0.2215258002941452,90427392,33943552,9461760,34103296,43347968,12697600,24342528,8966144,42491904,2924544,7413760,69593.58434144354,0,0,,4,4,9,3,3,15,3,4,4,4,3,13.2,23.067,1.067,80.533,1,13.4,12.8,1.067,119.667,17.533,8.4,0,0.005550456798860189,0.0032703620230876214,0.07428400029994747,0.004045422325056872,0.0030635044955890835,0.06800374693624057,0.007335503955936667,0.0017777870709175252,0.007117716657930442,0.002451972752724872,0.009383314687912685,0.006190073933057555,0.196312481293026,0.05704279194148529,0.00471430809206035,0.22028189745612928,0.04892849999999986,0.004370895317392486,0.009597875742150002,0.004566832286218495
1705756622,4.49787617235286,4.796909939255216,0.27331912420073634,26.489587147330056,0.28605021547685944,4.466142835504392,0.7309559063417572,1.7717769511141173,1.847647115200307,0.22317162728411602,0.22740397773925738,90427392,33943552,9461760,37994496,43347968,12697600,24342528,8966144,42491904,2924544,7548928,69593.58434144354,0,0,,4,4,9,3,3,15,3,4,4,4,3,13.2,23.067,1.067,80.533,1,13.4,12.8,1.067,119.667,17.533,8.4,0,0.005551407796194576,0.0032697542410569627,0.074179530324091,0.004045601319399854,0.0030618037422165917,0.06799733481885824,0.007326482688153731,0.0017786790261107954,0.0071175386413737125,0.0024509938528379065,0.009382889129814996,0.006177089700277576,0.1961704138815745,0.05705288306456047,0.004711246735989865,0.22027194182483995,0.04842849999999991,0.0043709804387120745,0.00959765637417214,0.004566125467342667
1705756623,4.755535698906209,4.796909939255216,0.27331912420073634,26.489587147330056,0.28605021547685944,4.466142835504392,0.7309559063417572,1.7717769511141173,1.847647115200307,0.22317162728411602,0.22740397773925738,92958720,33943552,9461760,37994496,43347968,12697600,24342528,8966144,42491904,2924544,7548928,44096.11575230384,0,0,,4,4,9,3,3,15,3,4,4,4,3,13.2,25.267,1.067,80.533,1,13.4,12.8,1.067,119.667,17.533,8.4,0,0.005552323730653795,0.0032338127064208255,0.07408003428000091,0.004045773782989684,0.003060191710598255,0.06799117650805273,0.007317933857607945,0.0017795371185587126,0.00711736738302751,0.0024500562938156623,0.00938247926186692,0.005312444292614963,0.19603460040058981,0.05706260037230644,0.00470834507907686,0.22026237545495803,0.04792850000000004,0.004371062328432593,0.009597445334267832,0.004565448498816114
1705756624,4.755535698906209,4.796909939255216,0.27331912420073634,22.401843632211833,0.28605021547685944,4.809457129042175,0.7309559063417572,1.7717769511141173,1.847647115200307,0.22317162728411602,0.22740397773925738,92958720,33943552,9461760,37994496,43347968,12697600,24342528,8966144,42491904,2924544,7548928,44096.11575230384,0,0,,4,4,9,3,3,15,3,4,4,4,3,13.2,25.267,1.067,80.533,1,13.4,12.8,1.067,119.667,17.533,8.4,0,0.005553206506267829,0.003232987200104786,0.07398516520566419,0.0040459400668425155,0.003058661634801992,0.06798525722689155,0.007309821299470107,0.00178036324071777,0.007117202505208523,0.0024491575109554936,0.009382084232041482,0.00529112607948887,0.19590463678849096,0.05707196425840123,0.004705590942643587,0.22025317595428692,0.04742849999999993,0.004371141167155489,0.009597242157021795,0.004564799528784246
1705756625,4.755535698906209,4.796909939255216,0.27331912420073634,22.98353972445012,0.28605021547685944,4.904637868209471,0.7309559063417572,2.0117463814260863,1.8476471152003067,0.22317162728411602,0.22740397773925738,92958720,33943552,9461760,37994496,43347968,12697600,24342528,8966144,42491904,2924544,7548928,44096.11575230384,0,0,,4,4,9,3,3,15,3,4,4,4,3,13.2,25.267,1.067,80.533,1,13.4,12.8,1.067,119.667,17.533,8.4,0,0.005551636315271077,0.003232195094128425,0.07389460767605152,0.004046100497261941,0.003057207419802349,0.06797956332371226,0.007302112448266996,0.00178115914660737,0.007117043657861274,0.002448295147401822,0.009377344411409748,0.005270540868987782,0.19578015305799756,0.05708099365956895,0.0047029733556442285,0.22024432261579316,0.04692849999999986,0.004371217122270835,0.009597046411064259,0.004564176855469359
1705756626,4.755535698906209,4.796909939255216,0.27331912420073634,23.565235816688414,0.28605021547685944,4.999818607376767,0.7309559063417571,2.0545358544957795,1.8476471152003067,0.22317162728411602,0.22740397773925738,92958720,33943552,9461760,37994496,43347968,12697600,24342528,8966144,42491904,2924544,7548928,44096.11575230384,0,0,,4,4,9,3,3,15,3,4,4,4,3,15.133,25.267,1.067,80.533,1,13.4,12.8,1.067,129,17.533,8.4,0,0.004869342926539426,0.003231434401598904,0.0738080742995534,0.0040432688332683745,0.003055823560333639,0.06797408216701131,0.007294777900963819,0.0013997974446571906,0.007116890516077243,0.0024474670335089864,0.009259782458969834,0.005250651494873074,0.19566080977845685,0.05711050948924574,0.00470048240860055,0.2202357962620095,0.04642850000000003,0.004294119637475626,0.009596857696013783,0.004563578912269463
