time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705681011,13.466426863214018,1.4402019213663046,0.1775723178322959,0.17423854149839685,5.726179278045684,23.227056687676143,0.4551765540577418,0.10178686482539409,7.418884500685094,1.3276580751243892,0,0.2722821511260785,11.599728284309503,0.9107476415094341,0.93577291381669,431984640,167940096,11239424,861310976,188362752,647675904,85409792,7421952,533028864,187715584,8941568,5734400,604696576,13959168,100356096,,1530261.519302615,0,927708.3447033783,99040.86402837108,0,,1167350.6611947105,23,13,12,8,11,32,12,10,5,22,2,6,10,25,13,5.667,3.6,24.2,1.8,1.667,1.867,14.8,0.017672865047108195,0.0032179487179487183,0.0312978642560745,0.04866888663800411,0.002736172344568711,0.008500283641424057,0.003249688622464764,0.04084088759165081,0.004992307692307693,0.08716418011557496,0.4996436371996781,0.004910205290811589,0.14404042857142849,0.005561648248035239
1705681012,13.466426863214018,1.4402019213663046,0.1775723178322959,0.17783825105449086,5.726179278045684,22.757486456749394,0.4551765540577418,0.10178686482539409,7.418884500685094,1.3276580751243892,0,0.2722821511260785,11.599728284309503,0.9107476415094341,0.93577291381669,431984640,167940096,11239424,861310976,188362752,647675904,85409792,7421952,533028864,187715584,8941568,5734400,604696576,13959168,100356096,,1530261.519302615,0,927708.3447033783,99040.86402837108,0,,1167350.6611947105,23,13,12,8,11,32,12,10,5,22,2,6,10,25,13,5.667,3.6,24.2,1.8,1.667,1.867,14.8,0.0176538475865843,0.0032179487179487183,0.03135624414473284,0.04860342621582575,0.0027312964850289144,0.008486047935430742,0.0032490943996051976,0.04091579284547221,0.004992307692307693,0.08732832410457905,0.4974529691749776,0.0049033421184409235,0.14125471428571396,0.005550281337998996
1705681013,13.466426863214018,1.4765012224120024,0.1775723178322959,0.18143796061058484,5.726179278045684,22.28791622582264,0.4551765540577418,0.10178686482539409,7.418884500685094,1.3276580751243892,0,0.2722821511260785,11.599728284309503,0.9107476415094341,0.93577291381669,431984640,167964672,11239424,861310976,188362752,647675904,85409792,7421952,533028864,187715584,8941568,5734400,604696576,13959168,100356096,,1838186.141531866,0,927708.3447033783,99040.86402837108,0,,1167350.6611947105,23,13,12,8,11,32,12,10,5,22,2,6,10,25,13,5.667,3.6,24.2,1.8,1.667,1.867,14.8,0.017627064278830075,0.0032179487179487183,0.03141891544966071,0.04854121132242297,0.0027266411385474735,0.008472565134718786,0.0032485219806631044,0.04084238857341326,0.004992307692307693,0.08749058719349365,0.4953234998323833,0.004896789336293176,0.13846899999999998,0.005539300797866935
1705681014,13.466426863214018,1.432754857485235,0.1775723178322959,0.18503767016667888,5.726179278045684,21.8183459948959,0.4551765540577418,0.10178686482539409,7.418884500685094,1.3276580751243892,0,0.2722821511260785,11.599728284309503,0.8520567124501551,0.8965873199291277,431984640,167964672,11239424,861310976,188362752,647675904,85409792,7421952,533028864,187715584,8941568,5734400,604696576,14024704,100515840,,1770504.1513309937,0,927708.3447033783,99040.86402837108,0,,1230598.5671365845,23,13,12,8,11,32,12,10,5,22,2,6,10,26,13,5.667,3.6,24.2,1.8,1.667,1.867,14.8,0.017585039250715574,0.0032179487179487183,0.03150792183558076,0.0484820064265642,0.002722191676701714,0.008459777048054078,0.003245495226496064,0.040565373211318756,0.004992307692307693,0.08766519234942097,0.4932527000220408,0.004890526353663159,0.13568328571428573,0.005481144237805954
1705681015,13.466426863214018,1.432754857485235,0.1775723178322959,0.2159825733656411,5.726179278045684,21.34877576396915,0.4551765540577418,0.10178686482539409,4.428902540262334,1.3276580751243892,0.00007715156424796199,0.2722821511260785,11.599728284309503,0.8520567124501551,0.8965873199291277,431984640,167964672,11239424,861310976,188362752,647675904,85409792,7421952,533028864,187715584,8941568,5734400,604696576,14024704,100515840,,1770504.1513309937,0,927708.3447033783,122410.75875809394,0,,1230598.5671365845,23,13,12,8,11,32,12,10,5,22,2,6,10,26,13,5.667,3.6,24.2,1.8,1.667,1.867,14.8,0.0175346305350045,0.0032179487179487183,0.031582168208811705,0.04842559824904639,0.0027179347369725676,0.008447631330306135,0.003245696961672978,0.04028772969637769,0.004992307692307693,0.08783839882756389,0.4912381780628328,0.004884534361708877,0.13289757142857153,0.005484468279244581
1705681016,13.466426863214018,1.432754857485235,0.1775723178322959,0.2159825733656411,5.726179278045684,20.879205533042402,0.4551765540577418,0.10178686482539409,4.428902540262334,1.3276580751243892,0.00007715156424796199,0.2722821511260785,11.599728284309503,0.8520567124501551,0.8965873199291277,431984640,167964672,11239424,861310976,188362752,647675904,85409792,7421952,533028864,187715584,8941568,5734400,604696576,14024704,100515840,,1770504.1513309937,0,927708.3447033783,122410.75875809394,0,,1230598.5671365845,23,13,12,8,11,32,12,10,5,22,2,6,10,26,13,5.667,3.6,24.2,1.8,1.667,1.067,14.8,0.017468907063125105,0.0032179487179487183,0.031632660793823486,0.04837179319547904,0.0027138580887095414,0.008096507134153122,0.003245896123494547,0.039878865843484795,0.004992307692307693,0.08792780716147404,0.489277670527671,0.004878796144786227,0.021361894279700415,0.0054877385620210415
1705681017,13.466426863214018,1.432754857485235,0.1775723178322959,0.2159825733656411,5.726179278045684,20.409635302115653,0.4551765540577418,0.07680921642111593,4.428902540262334,1.3276580751243892,0.00007715156424796199,0.2722821511260785,11.599728284309503,0.41501997533717533,0.8965873199291277,431984640,167964672,11239424,861310976,188362752,647675904,85409792,7421952,533028864,187715584,8941568,5734400,604696576,14024704,100515840,,1770504.1513309937,0,927708.3447033783,122410.75875809394,0,,1230598.5671365845,23,13,12,8,11,32,12,10,5,22,2,6,10,26,13,7.8,3.8,24.4,1.133,1.667,1.067,14.8,0.016661059434772453,0.003191616766467066,0.031474496434937604,0.0488447532465196,0.0027099505157726364,0.008092415388867376,0.003240481021869392,0.030496908328934067,0.004944910179640718,0.0865056339285714,0.4690926351112679,0.004873295915257865,0.021300595512516344,0.005385876583967042
1705681018,13.466426863214018,1.432754857485235,0.1775723178322959,0.2159825733656411,5.726179278045684,19.940065071188904,0.4288720273896551,0.07511276867402603,4.428902540262334,1.3276580751243892,0.00007715156424796199,0.2722821511260785,9.624168212739646,0.42680336936873836,0.8965873199291277,431984640,167964672,11239424,861310976,188362752,647675904,85356544,7421952,533028864,187715584,8941568,5734400,604696576,14024704,100515840,,1770504.1513309937,0,773187.7486814102,122410.75875809394,0,,1230598.5671365845,23,13,12,8,11,32,12,10,5,22,2,6,10,26,13,7.8,3.8,25.4,1.133,1.267,1.067,14.867,0.0165907062558914,0.003191616766467066,0.03163588966836734,0.04878561732295239,0.0027983679038260695,0.00808850569303595,0.003252283847840102,0.02970233960465669,0.004944910179640718,0.08539151620370372,0.4665641104026553,0.004907775230740457,0.02124172891973928,0.00562253787592232
1705681019,13.466426863214018,1.432754857485235,0.1775723178322959,0.2159825733656411,5.726179278045684,19.470494840262155,0.4288720273896551,0.07806422871310142,4.428902540262334,1.3276580751243892,0.00007715156424796199,0.2722821511260785,9.624168212739646,0.4385867634003015,0.8965873199291277,431984640,167964672,11239424,861310976,188362752,647675904,85356544,7651328,533028864,187715584,8941568,5734400,604696576,14024704,100515840,,1770504.1513309937,0,773187.7486814102,122410.75875809394,0,,1230598.5671365845,23,13,12,8,11,32,12,10,5,22,2,6,10,26,13,9.267,3.8,25.4,1.133,1.267,1.067,14.867,0.01572690708602939,0.003191616766467066,0.031740056335034,0.04872904691426015,0.0027945108057966976,0.008084766161471378,0.003252713333641451,0.024430675524200557,0.004944910179640718,0.08607207175925921,0.46409020217729385,0.004902167018466859,0.02118515256376728,0.005629996877342521
1705681020,10.903469347526116,1.432754857485235,0.1775723178322959,0.2159825733656411,5.726179278045684,14.863181421486196,0.4288720273896551,0.07806422871310142,3.3757855450766665,1.3276580751243892,0.00007715156424796199,0.2722821511260785,9.624168212739646,0.4503701574318646,0.8965873199291277,431984640,167964672,11239424,861310976,188362752,648585216,85356544,7651328,533299200,187715584,8941568,5734400,604696576,14024704,100515840,,1770504.1513309937,0,773187.7486814102,82385.01765520939,0,,1230598.5671365845,23,13,12,8,11,32,12,10,5,22,2,6,10,26,13,9.267,3.8,25.4,1.133,1.267,1.067,14.867,0.01565503124848107,0.003191616766467066,0.03179209183673468,0.04867487861403121,0.002790802732491355,0.008081185921525178,0.003253137895130939,0.024378455348760895,0.004944910179640718,0.08641203703703701,0.4616691597572441,0.0048967754878228185,0.02113073534057444,0.005637337107212701
