time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,payment_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705615740,1.080895338337668,14.919594478632803,0.1825200027199143,0.21378872754300887,4.508795103092778,1.15407691216132,0.40186653553793983,0.08497370532132986,0.2839806975591938,0.8581299448573292,0,0.260145925702738,0.2690221914008204,1.1272563293177538,1.2331285382015849,217059328,140623872,6377472,432455680,98689024,331296768,71737344,4485120,267866112,98451456,4575232,2879488,307113984,9277440,116027392,2038610.3415303896,0,847616.1206384329,35295.89176845688,0,0,2291833.0627111946,17,12,7,4,9,16,5,5,3,11,1,3,5,25,13,7.066,4.2,24.867,1.667,1.8,1.733,14.667,0,0,0,0,0,,0.044642853741645595,0.0030670391061452516,0.039726027397260284,0.040451388888888884,0.002064516129032258,0.003,0.005302469135802469,0.21161772779320193,0.004720670391061453,0.13350000000000004,0.08115384615384615,0.004412903225806453,0.0046,0.009169135802469135
1705615741,1.3534595300260883,14.919594478632803,0.1825200027199143,0.21378872754300887,4.508795103092778,1.15407691216132,0.40186653553793983,0.08075953767272091,0.2839806975591938,0.8254704547118318,0,0.260145925702738,0.2690221914008204,1.0275112526073364,1.2331285382015849,217059328,140623872,6377472,432455680,98689024,331296768,71737344,4485120,267866112,98451456,4575232,2879488,307113984,9273344,116027392,2038610.3415303896,0,847616.1206384329,35295.89176845688,0,0,2291833.0627111946,17,12,7,4,9,16,5,5,3,11,1,3,5,25,13,7.066,4.2,24.867,1.667,1.8,1.733,14.667,0,0,0,0,0,,0.044642853741645595,0.0030670391061452516,0.039726027397260284,0.040451388888888884,0.002064516129032258,0.003,0.005302469135802469,0.21161772779320193,0.004720670391061453,0.13350000000000004,0.08115384615384615,0.004412903225806453,0.0046,0.009169135802469135
1705615742,1.3534595300260883,14.919594478632803,0.1825200027199143,0.21378872754300887,4.508795103092778,0.9436454131901051,0.39692255892258604,0.08075953767272091,0.2839806975591938,0.8254704547118318,0,0.260145925702738,0.2690221914008204,1.0275112526073364,1.2124550980933764,217059328,140623872,6377472,432455680,98689024,331296768,71741440,4485120,267866112,98451456,4575232,2879488,307113984,9273344,116117504,2038610.3415303896,0,901028.0583613915,35295.89176845688,0,0,2115059.4086764297,17,12,7,4,9,16,5,5,3,11,1,3,5,25,13,7.066,3.8,24.867,1.667,1.8,1.733,14.667,0,0,0,0,0,,0.044642853741645595,0.003067796610169492,0.039726027397260284,0.040451388888888884,0.002064516129032258,0.003,0.005302469135802469,0.21161772779320193,0.004722033898305085,0.13350000000000004,0.08115384615384615,0.004412903225806453,0.0046,0.009169135802469135
1705615743,1.3534595300260883,14.919594478632803,0.1825200027199143,0.17957693404380995,4.508795103092778,0.9244107979874164,0.39692255892258604,0.08075953767272091,0.2839806975591938,0.8254704547118318,0.0001727202182783039,0.260145925702738,0.2690221914008204,1.0275112526073364,1.2124550980933764,217059328,140623872,6377472,432455680,98689024,331296768,71741440,4485120,267866112,98451456,4575232,2879488,307113984,9273344,116117504,2038610.3415303896,0,901028.0583613915,35295.89176845688,0,0,2115059.4086764297,17,12,7,4,9,16,5,5,3,11,1,3,5,25,13,7.066,3.8,24.267,1.667,1.8,1.733,14.667,0,0,0,0,0,,0.044642853741645595,0.003067796610169492,0.03885964912280702,0.040451388888888884,0.002064516129032258,0.003,0.005302469135802469,0.21161772779320193,0.004722033898305085,0.12486486486486467,0.08115384615384615,0.004412903225806453,0.0046,0.009169135802469135
1705615744,1.3534595300260883,14.919594478632803,0.1825200027199143,0.18309537132608478,4.508795103092778,0.9051761827847277,0.39692255892258604,0.08075953767272091,0.2839806975591938,0.8254704547118318,0.0001727202182783039,0.260145925702738,0.2690221914008204,1.0275112526073364,1.1646033822292983,217059328,140623872,6377472,432455680,98689024,331296768,71741440,4485120,267866112,98451456,4575232,2879488,307113984,9273344,116117504,2038610.3415303896,0,901028.0583613915,35295.89176845688,0,0,1243763.4308137905,17,12,7,4,9,16,5,5,3,11,1,3,5,25,13,7.066,3.8,24.267,1.667,1.8,1.733,14.667,0,0,0,0,0,,0.044642853741645595,0.003067796610169492,0.03885964912280702,0.040451388888888884,0.002064516129032258,0.003,0.005302469135802469,0.21161772779320193,0.004722033898305085,0.12486486486486467,0.08115384615384615,0.004412903225806453,0.0046,0.009169135802469135
1705615745,1.3534595300260883,14.919594478632803,0.10797249999999538,0.21110623693648822,4.508795103092778,0.8859415675820391,0.39692255892258604,0.08075953767272091,0.2839806975591938,0.8254704547118318,0.0001727202182783039,0.260145925702738,0.2690221914008204,1.0275112526073364,1.1646033822292983,217059328,140623872,6377472,432455680,98689024,331296768,71741440,4485120,267866112,98451456,4575232,2879488,307113984,9273344,116117504,2038610.3415303896,0,901028.0583613915,35295.89176845688,0,0,1243763.4308137905,17,12,7,4,9,16,5,5,3,11,1,3,5,25,13,7.066,3.8,24.267,1.667,1.8,1.733,14.667,0,0,0,0,0,,0.04464285374164561,0.003067796610169492,0.03885964912280702,0.040451388888888884,0.002064516129032258,0.003,0.005302469135802469,0.21161772779320195,0.004722033898305085,0.12486486486486467,0.08115384615384615,0.004412903225806453,0.0046,0.009169135802469135
1705615746,1.3534595300260883,12.74551945987003,0.10797249999999538,0.21110623693648822,4.508795103092778,1.0032967220385305,0.39692255892258604,0.08075953767272091,0.2839806975591938,0.6676378157649661,0.0001727202182783039,0.260145925702738,0.2690221914008204,1.0275112526073364,1.1646033822292983,217059328,140623872,6377472,432455680,98689024,331284480,71741440,4485120,267866112,98451456,4575232,2879488,307113984,9273344,116117504,1741545.1751238822,0,901028.0583613915,35295.89176845688,0,0,1243763.4308137905,17,12,7,4,9,14,5,5,3,11,1,3,5,25,13,7.066,3.8,24.267,1.667,1.8,1.733,14.667,0,0,0,0,0,,0.04464285374164561,0.003067796610169492,0.03885964912280702,0.040451388888888884,0.002064516129032258,0.003,0.005302469135802469,0.21161772779320195,0.004722033898305085,0.12486486486486467,0.08115384615384615,0.004412903225806453,0.0046,0.009169135802469135
1705615747,1.3534595300260883,12.496859551892815,0.10797249999999538,0.21110623693648822,4.508795103092778,1.0032967220385305,0.39692255892258604,0.07766214950794202,0.2839806975591938,0.6811383580161079,0.0001727202182783039,0.2664310105187287,0.2690221914008204,1.0275112526073364,1.1646033822292983,217059328,140623872,6377472,432455680,98689024,331284480,71741440,4485120,267866112,98451456,4575232,3010560,307113984,9273344,116117504,1707568.3360983755,0,901028.0583613915,35295.89176845688,0,0,1243763.4308137905,17,12,7,4,9,14,5,5,3,11,1,3,5,25,13,7.066,3.8,24.267,1.667,1.8,1.733,14.667,0,0,0,0,0,,0.04464285374164561,0.003067796610169492,0.03885964912280702,0.040451388888888884,0.002129032258064516,0.003,0.005302469135802469,0.21161772779320195,0.004722033898305085,0.12486486486486467,0.08115384615384615,0.004425806451612903,0.0046,0.009169135802469135
1705615748,1.3534595300260883,12.248199643915603,0.10797249999999538,0.21110623693648822,4.508795103092778,0.9736154928895001,0.39692255892258604,0.07766214950794202,0.2839806975591938,0.6946389002672497,0.0001727202182783039,0.2664310105187287,0.2690221914008204,1.0275112526073364,1.1646033822292983,217059328,140623872,6377472,432455680,98689024,331284480,71741440,4485120,267866112,98451456,4575232,3010560,307113984,9273344,116117504,1673591.4970728692,0,901028.0583613915,35295.89176845688,0,0,1243763.4308137905,17,12,7,4,9,14,5,5,3,11,1,3,5,25,13,6.932,3.8,24.267,1.533,1.667,1.6,14.267,0,0,0,0,0,,0.04473214348069831,0.003067796610169492,0.03885964912280702,0.04049295774647888,0.0021147540983606555,0.003,0.005213567839195981,0.2118383252552822,0.004722033898305085,0.12486486486486467,0.08153846153846155,0.0044229508196721315,0.0046,0.009133165829145728
1705615749,1.3534595300260883,15.144266420171512,0.10797249999999538,0.21110623693648822,4.508795103092778,0.9736154928895001,0.39692255892258604,0.07766214950794202,0.28144131447330817,0.7081394425183916,0.0001727202182783039,0.26246730697377546,0.2690221914008204,1.0275112526073364,1.1646033822292983,217059328,140673024,6377472,432455680,98689024,331284480,71741440,4485120,267866112,98451456,4575232,3010560,307113984,9273344,116117504,2846635.5124189043,0,901028.0583613915,28159.42801161852,0,0,1243763.4308137905,17,12,7,4,9,14,5,5,3,11,1,3,5,25,13,6.932,3.8,24.267,1.533,1.667,1.6,14.267,0,0,0,0,0,,0.04473214348069831,0.003067796610169492,0.03885964912280702,0.04049295774647888,0.0021147540983606555,0.003,0.005213567839195981,0.2118383252552822,0.004722033898305085,0.12486486486486467,0.08153846153846155,0.0044229508196721315,0.0046,0.009133165829145728
