time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,payment_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705768125,17.99899251796428,1.744651784931146,0.17425316822062803,0.18894145972731596,5.736853502891237,22.298196515884904,0.437294463990809,0.08482557855080974,8.18663360757355,1.3468518233235758,0,0.3332453153591365,8.125765061573627,1.1439728391224504,1.1360017920724377,197443584,69521408,4886528,430501888,82014208,318574592,36282368,2834432,260018176,88064000,4485120,2863104,286806016,5525504,34848768,1841241.9963161126,0,843100.9310452119,,83092.52789360983,63099.98019322609,,1197632.577990521,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,7.2,4.267,23.6,3.4,2.933,3.333,22.067,0.01900841966776424,0.0030915032679738564,0.03136719868843658,0.08089499857801936,0.0027479881736123834,0.008940277260658751,0.004896947695188879,0.04078043913132016,0.004764705882352942,0.08725949630959329,0.24703380813682865,0.00473614992322813,0.02224959999006443,0.009208739288454051
1705768126,17.99899251796428,1.744651784931146,0.17425316822062803,0.18894145972731596,5.591800607769196,22.298196515884904,0.437294463990809,0.08482557855080974,8.18663360757355,1.3468518233235758,0,0.3332453153591365,8.125765061573627,1.1656400950122263,1.1360017920724377,197443584,69521408,4886528,430501888,88055808,318574592,36282368,2834432,260018176,88064000,4485120,2863104,286806016,5525504,34848768,1841241.9963161126,0,843100.9310452119,,83092.52789360983,63099.98019322609,,1197632.577990521,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,7.2,4.267,23.6,3.4,2.933,3.333,22.067,0.018996782667301503,0.0030915032679738564,0.03141392213074205,0.08057083945965816,0.002746603374967956,0.008931465657422671,0.004896222794299326,0.0407300741193192,0.004764705882352942,0.08738982560856207,0.24555245916410304,0.004733098737432842,0.02219089042044677,0.009209010185088639
1705768127,17.99899251796428,1.744651784931146,0.17425316822062803,0.19700436277367853,5.591800607769196,22.298196515884904,0.437294463990809,0.08482557855080974,8.18663360757355,1.3468518233235758,0,0.3332453153591365,8.125765061573627,1.1873073509020025,1.1360017920724377,197443584,69521408,4886528,430505984,88055808,318574592,36282368,2834432,260018176,88064000,4485120,2863104,286806016,5525504,34848768,1841241.9963161126,0,843100.9310452119,,83092.52789360983,63099.98019322609,,1197632.577990521,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,6.6,4.267,23.6,2.667,2.267,2.6,20.067,0.01905397069214372,0.0030915032679738564,0.031460155119841286,0.07531911597589419,0.002741550294644205,0.008618115410097913,0.004892943016178157,0.04086743688279964,0.004764705882352942,0.08751903845697359,0.24761281475170438,0.004791323359819487,0.021706075289619823,0.009195675939660627
1705768128,13.014863698038726,1.744651784931146,0.17425316822062803,0.19700436277367853,5.591800607769196,22.298196515884904,0.437294463990809,0.08482557855080974,8.18663360757355,1.3468518233235758,0,0.3332453153591365,8.125765061573627,1.2089746067917784,1.1360017920724377,190615552,69521408,4886528,430505984,88055808,318574592,36282368,2834432,260018176,88064000,4485120,2863104,286806016,5525504,34848768,1841241.9963161126,0,843100.9310452119,,83092.52789360983,63099.98019322609,,1197632.577990521,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,6.6,4.267,23.6,2.667,2.267,2.6,20.067,0.0190439332319732,0.0030915032679738564,0.031505905337802564,0.07496797695393206,0.002740145527730919,0.00861014437920408,0.0048922286027009,0.04082326478803162,0.004764705882352942,0.0876471491395566,0.24606509830357215,0.004788624991167463,0.021635628892494263,0.00919576277692067
1705768129,13.014863698038726,1.744651784931146,0.17425316822062803,0.19700436277367853,5.591800607769196,22.298196515884904,0.437294463990809,0.08482557855080974,8.18663360757355,1.3468518233235758,0.00013156427695396028,0.3332453153591365,8.125765061573627,1.2306418626815543,1.1360017920724377,190615552,69521408,4886528,430505984,88055808,318574592,36282368,2834432,260018176,88064000,4485120,2863104,286806016,5525504,34848768,1841241.9963161126,0,843100.9310452119,,83092.52789360983,63099.98019322609,,1197632.577990521,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,6.6,4.267,23.6,2.667,2.267,1.733,20.067,0.01902978273015834,0.0030915032679738564,0.03155118030709305,0.07463624389390205,0.0027388119308794905,0.008558940270084343,0.004891542144452548,0.040733744158165254,0.004764705882352942,0.08777417169838145,0.2446075023320326,0.004786063330649765,0.021779086699359355,0.009195846289622587
1705768130,13.014863698038726,1.744651784931146,0.17425316822062803,0.19700436277367853,5.591800607769196,22.298196515884904,0.437294463990809,0.08482557855080974,8.18663360757355,1.3468518233235758,0.00013156427695396028,0.3332453153591365,8.125765061573627,1.2523091185713304,1.1360017920724377,190615552,69521408,4886528,430505984,88055808,318574592,36282368,2834432,260018176,88064000,4485120,2863104,286806016,5525504,34848768,1841241.9963161126,0,843100.9310452119,,83092.52789360983,63099.98019322609,,1197632.577990521,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,6.267,4.133,23.133,1.533,2.267,1.733,17.2,0.018515516998760497,0.0031242236024844722,0.0324676158767503,0.07508747642385828,0.0027375442291523674,0.008550790390424974,0.004881282994716086,0.03955157846353339,0.004823602484472049,0.08821714420851325,0.24931389620558647,0.00478362824581951,0.021704789167454445,0.009196124586942328
1705768131,8.491939766730534,1.744651784931146,0.17425316822062803,0.19700436277367853,4.999385810600082,22.298196515884904,0.437294463990809,0.08482557855080974,8.18663360757355,1.3468518233235758,0.00013156427695396028,0.3332453153591365,8.125765061573627,1.2739763744611063,0.6314566666666677,190615552,69521408,4886528,430505984,88055808,318574592,36282368,2834432,260018176,88064000,4485120,2863104,286806016,5525504,34848768,1841241.9963161126,0,843100.9310452119,,83092.52789360983,63099.98019322609,,423253.33333333326,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,6.267,4.133,23.133,1.533,2.267,1.733,17.2,0.01849654316333541,0.0031242236024844722,0.032507300103592346,0.07474245417884165,0.0027363376563297004,0.008543096651796268,0.004902009951184331,0.03940495291828923,0.004823602484472049,0.08832847656812777,0.24789698522979767,0.0047813105814082275,0.02163415793369434,0.009201540075048233
1705768132,8.491939766730534,1.744651784931146,0.17425316822062803,0.19700436277367853,5.097772125558937,22.298196515884904,0.437294463990809,0.07198581347750216,8.18663360757355,1.3468518233235758,0.00013156427695396028,0.3332453153591365,8.125765061573627,1.2956436303508825,0.6314566666666677,190615552,69521408,4886528,430505984,88055808,318574592,36282368,2834432,260018176,88064000,4485120,2863104,286806016,5525504,34848768,1841241.9963161126,0,843100.9310452119,,83092.52789360983,63099.98019322609,,423253.33333333326,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,6.267,3.667,23.133,1.533,2.267,1.733,13,0.01845732655620021,0.003125,0.03254659850465362,0.07441435446060415,0.0027351878950268647,0.00853582180201204,0.004906410317997528,0.03892547247188861,0.004825,0.0884389585718923,0.24655455167742418,0.004779102044299658,0.021566928155930407,0.009184320684520025
1705768133,8.491939766730534,1.744651784931146,0.17425316822062803,0.19700436277367853,5.903178897531282,22.298196515884904,0.437294463990809,0.07057205383498867,10.648076129868604,1.3468518233235758,0.00013156427695396028,0.3332453153591365,7.356164832165921,1.3000353533865596,0.6314566666666677,190615552,69521408,4886528,430505984,88055808,318574592,36282368,2834432,260018176,88064000,4485120,2863104,287416320,5525504,34848768,1841241.9963161126,0,843100.9310452119,,108608.8032526074,63099.98019322609,,423253.33333333326,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,6.267,3.667,23.133,1.533,2.267,1.733,13,0.01844879633191077,0.003125,0.032585516679440575,0.07410196205582278,0.002734091025076137,0.008528932537807723,0.004918124879445377,0.03891323781977037,0.004825,0.08854859992526065,0.2452808737648224,0.004776995104377884,0.021502859900751174,0.00918713223183409
1705768134,8.491939766730534,1.744651784931146,0.17425316822062803,0.19700436277367853,5.903178897531282,19.200295686046058,0.3696413662908976,0.06915829419247518,10.648076129868604,1.3468518233235758,0.00013156427695396028,0.3332453153591365,7.356164832165921,1.3000353533865596,0.6314566666666677,190615552,69521408,4886528,430505984,88055808,318574592,36282368,2834432,260018176,88064000,4485120,2863104,287416320,5525504,34848768,1841241.9963161126,0,712666.1911714256,,108608.8032526074,63099.98019322609,,423253.33333333326,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,6.267,3.667,23.133,1.533,2.267,1.733,13,0.018440475641518076,0.003125,0.03262180550832451,0.07380417538442248,0.0027330434788718438,0.008522398995092082,0.004929454687213621,0.038901361686440455,0.004825,0.08866013902142174,0.24407080118081415,0.004774982908751352,0.02144173528238238,0.009189818256887026
1705768135,8.491939766730534,1.744651784931146,0.20172513816372017,0.19700436277367853,5.903178897531282,18.61097574008765,0.3623531252243842,0.24865719592389937,10.648076129868604,1.3468518233235758,0.00013156427695396028,0.3332453153591365,7.356164832165921,1.3000353533865596,0.6314566666666677,190615552,69521408,4886528,430505984,88055808,319336448,36282368,3100672,260018176,88064000,4485120,2863104,287416320,5525504,34848768,1841241.9963161126,0,698614.5089873389,,108608.8032526074,63099.98019322609,,423253.33333333326,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,6.267,3.667,23.133,1.533,1.467,1.733,13,0.018400675103075036,0.003125,0.03266745047145011,0.07351999352083456,0.0027661346578045343,0.008516194316172968,0.00494041839035255,0.03849895675984551,0.004825,0.08878818291381026,0.24291968547880768,0.004799258124066113,0.021383355987093275,0.009192386982093893
1705768136,8.491939766730534,1.744651784931146,0.20172513816372017,0.19700436277367853,5.903178897531282,18.61097574008765,0.2663674999999999,0.30892003261276746,8.744998723557837,0.9612729442885274,0.00013156427695396028,0.28138401315637085,7.356164832165921,1.3000353533865596,0.6314566666666677,190615552,69521408,4886528,430505984,88055808,319336448,36282368,3100672,260018176,88064000,4485120,2863104,287416320,5525504,34848768,1841241.9963161126,0,716800,,89197.69489128514,92493.30623568501,,423253.33333333326,9,5,5,4,8,17,7,4,3,11,1,3,6,12,6,6.267,3.667,23.133,1.533,1.467,1.733,13,0.01834064621158519,0.003125,0.032661762853049926,0.07324850495438474,0.0027650878037452703,0.008510294280729408,0.004951033451846859,0.037879993916881204,0.004825,0.0888141219933955,0.24182332040121635,0.004797254795629016,0.021327541123839694,0.009194845927063036
