time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705677560,1.345104594948674,3.9684738128587296,0.17798909117179637,0.14354094104529463,5.166596668066659,1.0006147956311162,0.4014178443169672,0.08658914728682167,0.3207827076223051,0.67123406986644,0.00015379114342363757,0.20349906454591324,0.41756460607112034,0.8265715691096893,0.8583280955374075,217460736,84901888,6262784,430620672,99241984,328704000,43315200,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53071872,0,1304924.336052292,0,1012490.0890816662,18639.362912400455,0,0,1005273.7122504564,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,8.733,3.867,26.933,1.467,1.4,1.467,16.4,0,0,0,0,0.016887755102040818,0.00305524861878453,0.02795566502463054,0.022857142857142854,0.002217391304347826,0.0030659340659340657,0.003177377892030849,0.038205128205128204,0.004699447513812155,0.0719387755102041,0.044,0.004443478260869566,0.004718681318681318,0.004919280205655527
1705677561,1.345104594948674,3.9684738128587296,0.17798909117179637,0.14712634974761685,4.284229939483743,1.0006147956311162,0.4014178443169672,0.08658914728682167,0.3207827076223051,0.6569519621312276,0.00015061863846659908,0.20832000349728697,0.41756460607112034,0.8265715691096893,0.9004140402916938,217460736,84901888,6262784,430620672,99241984,328704000,43315200,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,1304924.336052292,0,1012490.0890816662,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,8.733,3.867,26.933,1.467,1.4,1.467,16.4,0,0,0,0,0.016887755102040818,0.00305524861878453,0.02795566502463054,0.022857142857142854,0.002217391304347826,0.0030659340659340657,0.003177377892030849,0.038205128205128204,0.004699447513812155,0.0719387755102041,0.044,0.004443478260869566,0.004718681318681318,0.004919280205655527
1705677562,1.345104594948674,3.9684738128587296,0.17798909117179637,0.1507117584499391,4.368937855996031,1.0006147956311162,0.4014178443169672,0.08658914728682167,0.3207827076223051,0.6426698543960153,0,0.21314094244866072,0.41756460607112034,0.8265715691096893,0.9004140402916938,217460736,84901888,6262784,430620672,99241984,328704000,43315200,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,1304924.336052292,0,1012490.0890816662,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,8.733,3.867,26.933,1.467,1.4,1.467,16.4,0,0,0,0,0.016887755102040818,0.00305524861878453,0.02795566502463054,0.022857142857142854,0.002217391304347826,0.0030659340659340657,0.003177377892030849,0.038205128205128204,0.004699447513812155,0.0719387755102041,0.044,0.004443478260869566,0.004718681318681318,0.004919280205655527
1705677563,1.345104594948674,3.9684738128587296,0.17798909117179637,0.1542971671522613,5.082474990737291,1.0006147956311162,0.4014178443169672,0.08658914728682167,0.3207827076223051,0.628387746660803,0,0.2179618814000345,0.41756460607112034,0.8265715691096893,0.9004140402916938,217460736,84901888,6262784,430620672,99241984,328704000,43315200,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,1304924.336052292,0,1012490.0890816662,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,8.733,3.867,26.933,1.467,1.8,1.467,16.4,0,0,0,0,0.016887755102040818,0.00305524861878453,0.02795566502463054,0.022857142857142854,0.0021111111111111118,0.0030659340659340657,0.003177377892030849,0.038205128205128204,0.004699447513812155,0.0719387755102041,0.044,0.004422222222222223,0.004718681318681318,0.004919280205655527
1705677564,1.345104594948674,4.312066744952461,0.17798909117179637,0.1578825758545835,5.082474990737291,1.0006147956311162,0.4014178443169672,0.08658914728682167,0.3207827076223051,0.6141056389255908,0,0.2260172506760426,0.41756460607112034,0.7784374595783216,0.9004140402916938,217460736,84934656,6262784,430620672,99241984,328704000,43315200,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,2094624.7963938029,0,1012490.0890816662,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,8.733,3.867,26.933,1.467,1.8,1.467,16.4,0,0,0,0,0.016887755102040818,0.00305524861878453,0.02795566502463054,0.022857142857142854,0.0021111111111111118,0.0030659340659340657,0.003177377892030849,0.038205128205128204,0.004699447513812155,0.0719387755102041,0.044,0.004422222222222223,0.004718681318681318,0.004919280205655527
1705677565,1.345104594948674,4.312066744952461,0.180475141963148,0.16146798455690575,5.082474990737291,1.0006147956311162,0.4014178443169672,0.08658914728682167,0.3207827076223051,0.5461713223192216,0,0.23087564259960497,0.41756460607112034,0.7784374595783216,0.9004140402916938,217460736,84934656,6262784,430620672,99241984,328704000,43315200,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,2094624.7963938029,0,1012490.0890816662,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,9.733,3.867,26.933,1.467,1.8,1.467,16.4,0,0,0,0,0.017232142857142863,0.00305524861878453,0.02795566502463054,0.022857142857142854,0.0021111111111111118,0.0030659340659340657,0.003177377892030849,0.0391883116883117,0.004699447513812155,0.0719387755102041,0.044,0.004422222222222223,0.004718681318681318,0.004919280205655527
1705677566,1.345104594948674,4.312066744952461,0.180475141963148,0.16505339325922794,5.082474990737291,1.060045613284833,0.34331930164949137,0.08658914728682167,0.3207827076223051,0.533011201787218,0,0.2357340345231673,0.41756460607112034,0.7784374595783216,0.9004140402916938,217460736,84934656,6262784,430620672,99241984,328740864,43315200,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,2094624.7963938029,0,865949.0235219127,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,9.733,3.867,26.933,1.467,1.8,1.467,18.2,0,0,0,0,0.017232142857142863,0.00305524861878453,0.02795566502463054,0.022857142857142854,0.0021111111111111118,0.0030659340659340657,0.00316600790513834,0.0391883116883117,0.004699447513812155,0.0719387755102041,0.044,0.004422222222222223,0.004718681318681318,0.004898814229249013
1705677567,1.345104594948674,4.312066744952461,0.180475141963148,0.1686388019615502,5.082474990737291,1.060045613284833,0.33662900424420855,0.08658914728682167,0.3207827076223051,0.5198510812552141,0,0.29150351541373914,0.41756460607112034,0.7784374595783216,0.9004140402916938,217460736,84934656,6262784,430620672,99241984,328740864,43315200,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,2094624.7963938029,0,849074.1887038851,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,9.733,3.867,26.933,1.467,1.8,1.467,18.2,0,0,0,0,0.017232142857142863,0.00305524861878453,0.02795566502463054,0.022857142857142854,0.0021111111111111118,0.0030659340659340657,0.00316600790513834,0.0391883116883117,0.004699447513812155,0.0719387755102041,0.044,0.004422222222222223,0.004718681318681318,0.004898814229249013
1705677568,1.345104594948674,4.312066744952461,0.180475141963148,0.1722242106638724,5.082474990737291,1.060045613284833,0.39502486442699475,0.08658914728682167,0.3207827076223051,0.5066909607232103,0,0.29150351541373914,0.41756460607112034,0.7784374595783216,0.9004140402916938,217460736,84934656,6262784,430620672,99241984,328740864,43327488,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,2094624.7963938029,0,986188.4296032942,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,9.733,3.867,26.933,1.467,1.8,1.467,18.2,0,0,0,0,0.017232142857142863,0.00305524861878453,0.02795566502463054,0.022857142857142854,0.0021111111111111118,0.0030659340659340657,0.00316600790513834,0.0391883116883117,0.004699447513812155,0.0719387755102041,0.044,0.004422222222222223,0.004718681318681318,0.004898814229249013
1705677569,1.345104594948674,4.312066744952461,0.180475141963148,0.1449025000000015,5.082474990737291,1.060045613284833,0.39502486442699475,0.07897034239365984,0.3207827076223051,0.865687832960999,0,0.29150351541373914,0.41756460607112034,0.7784374595783216,0.9004140402916938,217460736,84934656,6262784,430620672,99241984,328740864,43327488,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,2094624.7963938029,0,986188.4296032942,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,9.533,4,26.133,2.533,2.267,1.933,20.467,0,0,0,0,0.017536407766990295,0.0030439560439560437,0.028094951923076924,0.022692307692307692,0.0020508474576271187,0.003045454545454545,0.0031544607190412783,0.0398355263157895,0.004679120879120879,0.07113756613756615,0.045,0.004410169491525424,0.004681818181818182,0.004878029294274301
1705677570,1.345104594948674,4.312066744952461,0.180475141963148,0.1449025000000015,5.082474990737291,1.010439354111844,0.39502486442699475,0.07897034239365984,0.3207827076223051,0.865687832960999,0,0.29150351541373914,0.41756460607112034,0.7784374595783216,0.9004140402916938,217460736,84934656,6262784,430620672,99241984,328740864,43327488,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,2094624.7963938029,0,986188.4296032942,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,9.533,4,26.133,2.533,2.267,2.533,20.467,0,0,0,0,0.017536407766990295,0.0030439560439560437,0.028094951923076924,0.022692307692307692,0.0020508474576271187,0.0030465116279069764,0.0031544607190412783,0.0398355263157895,0.004679120879120879,0.07113756613756615,0.045,0.004410169491525424,0.004683720930232557,0.004878029294274301
1705677571,1.1930399414803763,4.808256617625977,0.180475141963148,0.1449025000000015,5.082474990737291,1.010439354111844,0.39502486442699475,0.07897034239365984,0.3207827076223051,0.865687832960999,0,0.29150351541373914,0.41756460607112034,0.7784374595783216,0.9004140402916938,217460736,84934656,6262784,430620672,99241984,328740864,43327488,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,2596048.065617024,0,986188.4296032942,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,9.533,4,25.067,2.533,2.267,2.533,20.467,0,0,0,0,0.017536407766990295,0.0030439560439560437,0.028125,0.022692307692307692,0.0020508474576271187,0.0030465116279069764,0.0031544607190412783,0.0398355263157895,0.004679120879120879,0.07126315789473688,0.045,0.004410169491525424,0.004683720930232557,0.004878029294274301
1705677572,1.1696223211161616,4.808256617625977,0.180475141963148,0.21112877939529814,5.082474990737291,1.010439354111844,0.39502486442699475,0.07897034239365984,0.3207827076223051,0.865687832960999,0,0.29150351541373914,0.4177862362972124,0.7784374595783216,0.9004140402916938,217460736,84934656,6262784,430620672,99241984,328740864,43327488,4526080,269713408,97824768,4141056,2867200,303177728,8175616,53149696,0,2596048.065617024,0,986188.4296032942,18639.362912400455,0,0,1552473.9422403495,10,6,6,4,7,22,5,5,3,11,1,3,6,18,8,9.533,4,25.067,2.533,2.267,2.533,20.467,0,0,0,0,0.017536407766990295,0.0030439560439560437,0.028125,0.022692307692307692,0.0020508474576271187,0.0030465116279069764,0.0031544607190412783,0.0398355263157895,0.004679120879120879,0.07126315789473688,0.045,0.004410169491525424,0.004683720930232557,0.004878029294274301
