time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,payment_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,orders_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705757822,1.607617627277245,6.8966601572281006,0.18279368176190414,0.14785999999999966,4.849661958631772,1.709744900933471,0.41667924978144477,0.0867876389574938,0.2627051412983559,0.7266730695566306,0.00025739130434781804,0.3342205016533638,0.3362032617845451,0.8309754267492052,1.0640183079153813,211324928,94285824,6262784,430739456,101359616,332349440,46116864,4648960,275972096,94425088,4546560,2842624,306372608,8294400,59551744,2973912.172650343,0,878900.103313995,0,18485.01170315297,0,24776.191628357123,1617133.9727128209,10,6,6,4,7,16,5,7,3,11,1,3,6,17,9,7.733,4.2,24.8,1.667,1.667,1.667,16.4,0,0,0.02,0.0030317460317460317,0.03278245192307692,0.0375,0.0027560975609756096,0.003186046511627907,0.003221105527638191,0.0429245283018868,0.004657142857142856,0.08065436241610738,0.0475,0.004590243902439024,0.004934883720930232,0.0049979899497487445
1705757823,1.315413028299265,6.8966601572281006,0.14223766291372278,0.14785999999999966,4.849661958631772,2.0728996444832286,0.41667924978144477,0.0867876389574938,0.2684299991886412,0.870044961432179,0.00025739130434781804,0.3342205016533638,0.37502959728288,0.8309754267492052,1.0640183079153813,211324928,94285824,6262784,430739456,101359616,332349440,46116864,4648960,275972096,94425088,4546560,2842624,306376704,8294400,59551744,2973912.172650343,0,878900.103313995,0,18887.83619519679,0,24776.191628357123,1617133.9727128209,10,6,6,4,7,16,5,7,3,11,1,3,6,17,9,7.733,4.2,24.8,1.667,1.933,1.667,16.4,0,0,0.02,0.0030317460317460317,0.03278245192307692,0.0375,0.002761904761904762,0.003186046511627907,0.003221105527638191,0.0429245283018868,0.004657142857142856,0.08065436241610738,0.0475,0.00459047619047619,0.004934883720930232,0.0049979899497487445
1705757824,1.5571801180191793,6.713967890813074,0.17250425284269355,0.17689407821928402,4.849661958631772,1.5996656006795693,0.41667924978144477,0.0867876389574938,0.2741548570789265,0.870044961432179,0.00016802524919960418,0.3342205016533638,0.37502959728288,0.8309754267492052,1.0640183079153813,211345408,94310400,6262784,430739456,101359616,332443648,46116864,4648960,275972096,94425088,4546560,2842624,306376704,8294400,59551744,2665930.3380537257,0,878900.103313995,0,19290.660687240616,0,24776.191628357123,1617133.9727128209,10,6,6,4,7,16,5,7,3,11,1,3,6,17,9,7.733,4.2,24.8,1.667,1.933,1.667,17.467,0,0,0.02,0.0030317460317460317,0.03278245192307692,0.0375,0.002761904761904762,0.003186046511627907,0.003229299363057325,0.0429245283018868,0.004657142857142856,0.08065436241610738,0.0475,0.00459047619047619,0.004934883720930232,0.0051388888888888925
1705757825,1.5571801180191793,6.713967890813074,0.17250425284269355,0.17319193244698122,4.849661958631772,1.8968179373874596,0.41667924978144477,0.0867876389574938,0.27987971496921177,0.870044961432179,0.00016802524919960418,0.3342205016533638,0.37502959728288,0.7941896746112823,1.0499724319789001,211345408,94310400,6262784,430739456,101359616,332443648,46116864,4648960,275972096,94425088,4546560,2842624,306376704,8294400,59551744,2665930.3380537257,0,878900.103313995,0,19693.48517928444,0,24776.191628357123,1698688.721083543,10,6,6,4,7,16,5,7,3,11,1,3,6,17,9,7.733,4.2,24.8,1.667,1.933,1.667,17.467,0,0,0.02,0.0030317460317460317,0.03278245192307692,0.0375,0.002761904761904762,0.003186046511627907,0.003229299363057325,0.0429245283018868,0.004657142857142856,0.08065436241610738,0.0475,0.00459047619047619,0.004934883720930232,0.0051388888888888925
1705757826,1.5571801180191793,6.713967890813074,0.17250425284269355,0.16948978667467848,4.849661958631772,1.8968179373874596,0.41667924978144477,0.0867876389574938,0.34349147341711667,0.870044961432179,0.00016802524919960418,0.3342205016533638,0.37502959728288,0.7941896746112823,1.0499724319789001,211345408,94310400,6262784,430739456,101359616,332443648,46116864,4648960,275972096,94425088,4546560,2842624,306376704,8294400,59551744,2665930.3380537257,0,878900.103313995,0,24169.469522629377,0,24776.191628357123,1698688.721083543,10,6,6,4,7,16,5,7,3,11,1,3,6,17,9,7.733,4.2,24.8,1.667,1.933,1.667,17.467,0,0,0.02,0.0030317460317460317,0.03278245192307692,0.0375,0.002761904761904762,0.003186046511627907,0.003229299363057325,0.0429245283018868,0.004657142857142856,0.08065436241610738,0.0475,0.00459047619047619,0.004934883720930232,0.0051388888888888925
1705757827,1.5571801180191793,6.713967890813074,0.17250425284269355,0.16578764090237574,4.849661958631772,1.8968179373874596,0.41667924978144477,0.0867876389574938,0.34349147341711667,0.870044961432179,0.00016802524919960418,0.3342205016533638,0.37502959728288,0.7941896746112823,1.0499724319789001,211345408,94310400,6262784,430739456,101359616,332443648,46116864,4648960,275972096,94425088,4546560,2842624,306376704,8294400,59551744,2665930.3380537257,0,878900.103313995,0,24169.469522629377,0,24776.191628357123,1698688.721083543,10,6,6,4,7,16,5,7,3,11,1,3,6,17,9,7.733,4.2,24.8,1.667,1.933,1.867,17.467,0,0,0.02,0.0030317460317460317,0.03278245192307692,0.0375,0.002761904761904762,0.003162790697674419,0.003229299363057325,0.0429245283018868,0.004657142857142856,0.08065436241610738,0.0475,0.00459047619047619,0.004893023255813954,0.0051388888888888925
1705757828,1.5571801180191793,6.713967890813074,0.17250425284269355,0.162085495130073,4.849661958631772,1.8968179373874596,0.41667924978144477,0.0867876389574938,0.34349147341711667,0.870044961432179,0.00016802524919960418,0.3342205016533638,0.37502959728288,0.7941896746112823,1.0499724319789001,211345408,94310400,6262784,430739456,101359616,332443648,46116864,4648960,275972096,94425088,4546560,2842624,306376704,8294400,59551744,2665930.3380537257,0,878900.103313995,0,24169.469522629377,0,24776.191628357123,1698688.721083543,10,6,6,4,7,16,5,7,3,11,1,3,6,17,9,7.733,3.8,23.333,2.333,2.267,2.2,19.4,0,0,0.019612676056338027,0.003022099447513812,0.03196875,0.0375,0.002761904761904762,0.0030898876404494378,0.003194805194805195,0.0422938144329897,0.004639779005524861,0.0798369565217391,0.0475,0.00459047619047619,0.004761797752808989,0.004950649350649351
1705757829,1.5571801180191793,6.713967890813074,0.17250425284269355,0.15838334935777026,4.516072563222699,1.8968179373874596,0.41667924978144477,0.0867876389574938,0.34349147341711667,0.870044961432179,0.00016802524919960418,0.3342205016533638,0.37502959728288,0.8013833504624754,1.0499724319789001,211345408,94310400,6262784,430739456,101359616,332443648,46116864,4648960,275972096,94425088,4546560,2842624,306376704,8273920,59551744,2665930.3380537257,0,878900.103313995,0,24169.469522629377,0,24776.191628357123,1698688.721083543,10,6,6,4,7,16,5,7,3,11,1,3,6,17,9,7.733,3.8,23.333,2.333,2.267,2.2,19.4,0,0,0.019612676056338027,0.003022099447513812,0.03196875,0.0375,0.002761904761904762,0.0030898876404494378,0.003194805194805195,0.0422938144329897,0.004639779005524861,0.0798369565217391,0.0475,0.00459047619047619,0.004761797752808989,0.004950649350649351
1705757830,1.5184403324356235,6.713967890813074,0.17250425284269355,0.15468120358546747,4.447266948266404,1.8968179373874596,0.3551662634812887,0.3141194255480657,0.34349147341711667,0.870044961432179,0.00016802524919960418,0.3342205016533638,0.37502959728288,0.8013833504624754,1.0499724319789001,211345408,94310400,6262784,430739456,107020288,332443648,46116864,4734976,275972096,94425088,4546560,2842624,306376704,8273920,59551744,2665930.3380537257,0,860627.0980680813,161215.11312673218,24169.469522629377,0,24776.191628357123,1698688.721083543,10,6,6,4,8,16,5,7,3,11,1,3,6,17,9,7.733,3.8,23.333,2.333,2.267,2.2,19.4,0,0,0.019612676056338027,0.003022099447513812,0.03196875,0.0375,0.002761904761904762,0.0030898876404494378,0.003194805194805195,0.0422938144329897,0.004639779005524861,0.0798369565217391,0.0475,0.00459047619047619,0.004761797752808989,0.004950649350649351
1705757831,1.5184403324356235,6.713967890813074,0.17250425284269355,0.15097905781316473,4.447266948266404,1.8968179373874596,0.3519169725420152,0.3141194255480657,0.34349147341711667,0.870044961432179,0.00016802524919960418,0.3250352028481129,0.37502959728288,0.8013833504624754,1.0499724319789001,211345408,94310400,6262784,430739456,107020288,332443648,46149632,4734976,275972096,94425088,4546560,2842624,306376704,8273920,59551744,2665930.3380537257,0,764083.6421853754,162634.11035525321,24169.469522629377,0,32646.988495974914,1698688.721083543,10,6,6,4,8,16,5,7,3,11,1,3,6,17,9,7.867,3.8,23.933,2.333,2.267,2.2,19.4,0,0,0.01946601941747573,0.003022099447513812,0.031168407310704964,0.0375,0.002761904761904762,0.0030898876404494378,0.003194805194805195,0.04173913043478261,0.004639779005524861,0.07900000000000001,0.0475,0.00459047619047619,0.004761797752808989,0.004950649350649351
