time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705818696,47.645475907931775,3.2778440872862205,0.10758610454060671,0.21986272677472873,4.077787969120245,1.2326303077354468,0.41322163867643585,0.06759301081596128,0.756635672020286,0.8210831579462502,0,0.2979442033477993,0.3363329356332509,0.8284335309060111,1.0383603174937333,216678400,81747968,6180864,431177728,106971136,335527936,41328640,4476928,271089664,95195136,4538368,2891776,298627072,8114176,46276608,0,1413117.3529791909,,0,997887.2536294106,133168.60654138762,0,0,1586761.2691327871,12,8,6,4,8,17,7,5,3,11,1,3,6,17,8,8.266,4.133,23.867,2.132,1.999,1.866,18.263,0,0,0.01610521608963654,0.003054644808743169,0.029494949494949494,0.030754634388902507,0.0019684277699523758,0.0030599884422267977,0.0033416184721055515,0.0354025639296531,0.004698360655737705,0.06180555555555557,0.0461509268777805,0.004443681717479319,0.004707979196008235,0.006774788364911286
1705818697,46.700696218996434,3.9319925365805837,0.11056138398033587,0.21986272677472873,4.077787969120245,1.2326303077354468,0.41322163867643585,0.06613001405034177,0.756635672020286,0.8210831579462502,0,0.2979442033477993,0.3363329356332509,0.8284335309060111,1.0383603174937333,216678400,81788928,6180864,431177728,106971136,335527936,41328640,4476928,271089664,95195136,4538368,2891776,298627072,8114176,46276608,0,1665269.5669252677,,0,997887.2536294106,133168.60654138762,0,0,1586761.2691327871,12,8,6,4,8,17,7,5,3,11,1,3,6,17,8,8.266,4.133,23.867,2.132,1.999,1.866,18.263,0,0,0.01610521608963654,0.003054644808743169,0.029494949494949494,0.030754634388902507,0.0019684277699523758,0.0030599884422267977,0.0033416184721055515,0.0354025639296531,0.004698360655737705,0.06180555555555557,0.0461509268777805,0.004443681717479319,0.004707979196008235,0.006774788364911286
1705818698,35.67365065622467,3.9319925365805837,0.08553333333333413,0.21986272677472873,4.077787969120245,1.2326303077354468,0.41322163867643585,0.06466701728472227,0.756635672020286,0.8210831579462502,0,0.2979442033477993,0.3363329356332509,0.8284335309060111,1.0383603174937333,216707072,81788928,6180864,431177728,106971136,335527936,41328640,4476928,271089664,95195136,4538368,2891776,298627072,8114176,46276608,0,1665269.5669252677,,0,997887.2536294106,133168.60654138762,0,0,1586761.2691327871,13,8,6,4,8,17,7,5,3,11,1,3,6,17,8,8.266,4.133,23.867,2.132,1.999,1.866,18.263,0,0,0.016105216089636543,0.003054644808743169,0.029494949494949494,0.030754634388902507,0.0019684277699523753,0.0030599884422267977,0.0033416184721055515,0.03540256392965311,0.004698360655737705,0.06180555555555557,0.0461509268777805,0.0044436817174793196,0.004707979196008235,0.006774788364911289
1705818699,35.67365065622467,3.9319925365805837,0.08553333333333413,0.21986272677472873,4.077787969120245,1.2326303077354468,0.41322163867643585,0.06320402051910275,0.756635672020286,0.8210831579462502,0,0.2979442033477993,0.3363329356332509,0.8389775205956015,1.0383603174937333,216707072,81788928,6180864,431177728,106971136,335527936,41328640,4476928,271089664,95195136,4538368,2891776,298627072,8126464,46276608,0,1665269.5669252677,,0,997887.2536294106,133168.60654138762,0,0,1586761.2691327871,13,8,6,4,8,17,7,5,3,11,1,3,6,17,8,7.932,4.267,24.533,1.999,1.999,1.866,17.53,0,0,0.015947670054195437,0.0030310880829015545,0.0289794921875,0.03066470336858973,0.0019684277699523753,0.0030599884422267977,0.0033387502706303815,0.03306209584117624,0.004655958549222798,0.05713740458015269,0.04613294067371795,0.0044436817174793196,0.004707979196008235,0.006713844409957667
1705818700,35.67365065622467,3.9319925365805837,0.08553333333333413,0.21623931623931933,4.077787969120245,1.2326303077354468,0.41322163867643585,0.06174102375348324,0.756635672020286,0.7745224648368649,0,0.29410890816719437,0.3363329356332509,0.8389775205956015,1.0383603174937333,216707072,81788928,6180864,431177728,106971136,335527936,41328640,4476928,271089664,95191040,4538368,2887680,298627072,8126464,46276608,0,1665269.5669252677,,0,997887.2536294106,133168.60654138762,0,0,1586761.2691327871,13,8,6,4,8,17,7,5,3,11,1,3,6,17,8,7.932,4.267,24.533,1.999,1.999,1.866,17.53,0,0,0.015947670054195437,0.0030310880829015545,0.0289794921875,0.03066470336858973,0.0019684277699523753,0.0030599884422267977,0.0033387502706303815,0.03306209584117624,0.004655958549222798,0.05713740458015269,0.04613294067371795,0.0044436817174793196,0.004707979196008235,0.006713844409957667
1705818701,35.67365065622467,3.9319925365805837,0.08553333333333413,0.21623931623931933,4.077787969120245,1.2326303077354468,0.41322163867643585,0.06027802698786373,0.8431524073845226,0.7745224648368649,0,0.29410890816719437,0.33926686635289105,0.8389775205956015,1.0383603174937333,216707072,81788928,6180864,431177728,106971136,335527936,41328640,4476928,271089664,95191040,4538368,2887680,298627072,8126464,46276608,0,1665269.5669252677,,0,997887.2536294106,110580.90553126782,0,0,1586761.2691327871,13,8,6,4,8,17,7,5,3,11,1,3,6,17,8,7.932,4.267,24.533,1.999,1.999,1.866,17.53,0,0,0.015947670054195437,0.0030310880829015545,0.0289794921875,0.03066470336858973,0.0019684277699523753,0.0030599884422267977,0.0033387502706303815,0.03306209584117624,0.004655958549222798,0.05713740458015269,0.04613294067371795,0.0044436817174793196,0.004707979196008235,0.006713844409957667
1705818702,35.67365065622467,3.9319925365805837,0.45670504510296794,0.21623931623931933,3.4766200777726937,1.2326303077354468,0.41322163867643585,0.05881503022224421,0.7026974999999959,0.7745224648368649,0,0.29410890816719437,0.33926686635289105,0.8389775205956015,1.0383603174937333,216707072,81788928,6307840,431177728,106971136,335527936,41328640,4476928,271089664,95191040,4538368,2887680,298627072,8126464,46276608,0,1665269.5669252677,,0,997887.2536294106,92160.00000000001,0,0,1586761.2691327871,13,8,6,4,8,17,7,5,3,11,1,3,6,17,8,7.932,4.267,24.533,1.999,1.999,1.866,17.53,0,0,0.015947670054195437,0.0030310880829015545,0.0289794921875,0.03066470336858973,0.0019684277699523753,0.0030599884422267977,0.0033387502706303815,0.03306209584117624,0.004655958549222798,0.05713740458015269,0.04613294067371795,0.0044436817174793196,0.004707979196008235,0.006713844409957667
1705818703,35.67365065622467,3.9319925365805837,0.46719737857268173,0.21623931623931933,3.4086569449540227,1.2326303077354468,0.41322163867643585,0.057352033456624686,0.7026974999999959,0.7745224648368649,0,0.29410890816719437,0.33926686635289105,0.8537349338439238,1.0383603174937333,216707072,81788928,6307840,431177728,106971136,335527936,41328640,4476928,271089664,95191040,4538368,2887680,298627072,8126464,46276608,0,1665269.5669252677,,0,997887.2536294106,92160.00000000001,0,0,1586761.2691327871,13,8,6,4,8,17,7,5,3,11,1,3,6,17,8,7.932,4.067,24.533,1.999,1.999,1.866,18.263,0,0,0.015947670054195437,0.0030204081632653063,0.0289794921875,0.03066470336858973,0.0019684277699523753,0.0030599884422267977,0.00330722095868773,0.03306209584117624,0.004636734693877552,0.05713740458015269,0.04613294067371795,0.0044436817174793196,0.004707979196008235,0.0063407909818160154
1705818704,35.67365065622467,3.9319925365805837,0.4776897120423955,0.21623931623931933,3.3406938121353513,1.2326303077354468,0.4148951067085019,0.054648133865858775,0.7026974999999959,0.7745224648368649,0,0.29410890816719437,0.33926686635289105,0.8537349338439238,1.0383603174937333,216707072,81788928,6307840,431177728,106971136,335527936,41328640,4476928,271089664,95191040,4538368,2887680,298627072,8126464,46276608,0,1665269.5669252677,,0,1083401.1876669347,92160.00000000001,0,0,1586761.2691327871,13,8,6,4,8,17,7,5,3,11,1,3,6,17,8,7.932,4.067,24.533,1.999,1.999,1.866,18.263,0,0,0.015947670054195437,0.0030204081632653063,0.0289794921875,0.03066470336858973,0.0019684277699523753,0.0030599884422267977,0.00330722095868773,0.03306209584117624,0.004636734693877552,0.05713740458015269,0.04613294067371795,0.0044436817174793196,0.004707979196008235,0.0063407909818160154
1705818705,35.67365065622467,3.9319925365805837,0.4881820455121093,0.21623931623931933,3.272730679316681,1.2326303077354468,0.4148951067085019,0.053196887481063285,0.7026974999999959,0.5925999790801231,0,0.29563615690733336,0.33926686635289105,0.8537349338439238,1.0383603174937333,216707072,81788928,6307840,431177728,106971136,335527936,41328640,4476928,271089664,95191040,4538368,2887680,298627072,8126464,46276608,0,1665269.5669252677,,0,1083401.1876669347,92160.00000000001,0,0,1586761.2691327871,13,8,6,4,8,17,7,5,3,11,1,3,6,17,8,7.932,4.067,24.533,1.999,1.999,1.866,18.263,0,0,0.015947670054195437,0.0030204081632653063,0.0289794921875,0.03066470336858973,0.0019684277699523753,0.0030599884422267977,0.00330722095868773,0.03306209584117624,0.004636734693877552,0.05713740458015269,0.04613294067371795,0.0044436817174793196,0.004707979196008235,0.0063407909818160154
