time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,payment_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705761382,5.204471247563346,2.7404501924281717,0.14660401810054846,0.1696549839226034,4.944292281402651,1.6516308616309223,0.44812936481543114,0.09150318652757233,1.0331164367868704,0.7826229631157535,0.0001791223007264297,0.3181749208095446,1.1035532117229985,1.0981828955164912,1.2224483119602256,212148224,75358208,5959680,430534656,103161856,326291456,38146048,4550656,256708608,93204480,4661248,2842624,295899136,7962624,41238528,1933804.7077776785,0,976211.0630750472,0,28153.78270631902,0,23307.600386942584,1688353.83407485,11,7,6,4,7,14,5,5,3,11,1,3,6,17,8,7.133,3.267,21.467,2.867,2.8,2.867,21.6,0,0,0.013631221719457014,0.0030581395348837207,0.03238795518207283,0.03723958333333333,0.002405405405405405,0.003390243902439024,0.00501716247139588,0.023540723981900456,0.004704651162790697,0.08178700361010831,0.047656250000000004,0.0044810810810810816,0.006937499999999999,0.009049199084668192
1705761383,5.204471247563346,2.7404501924281717,0.16909453000531036,0.16609717550338354,4.944292281402651,1.3974448720259232,0.44812936481543114,0.09150318652757233,1.0331164367868704,0.7826229631157535,0.0001791223007264297,0.3181749208095446,1.1035532117229985,1.0981828955164912,1.2224483119602254,212148224,75358208,5959680,430534656,103161856,326291456,38146048,4550656,256708608,93204480,4661248,2842624,295899136,7962624,41238528,1933804.7077776785,0,976211.0630750472,0,28153.78270631902,0,23307.600386942584,1688353.8340748495,11,7,6,4,7,14,5,5,3,11,1,3,6,17,8,7.133,3.267,21.467,2.867,2.8,2.867,21.6,0,0,0.013631221719457014,0.0030581395348837207,0.03238795518207283,0.03723958333333333,0.002405405405405405,0.003390243902439024,0.00501716247139588,0.023540723981900456,0.004704651162790697,0.08178700361010831,0.047656250000000004,0.0044810810810810816,0.006937499999999999,0.009049199084668192
1705761384,5.204471247563346,2.7404501924281717,0.16909453000531036,0.1625393670841637,4.944292281402651,0.920142500000054,0.44812936481543114,0.09150318652757233,1.0331164367868704,0.7826229631157535,0.0001791223007264297,0.3181749208095446,1.2133473645257469,1.0981828955164912,1.0165880162261236,212148224,75358208,5959680,430534656,103161856,326291456,38146048,4550656,256708608,93204480,4661248,2842624,295899136,7962624,41238528,1933804.7077776785,0,976211.0630750472,0,28153.78270631902,0,23307.600386942584,1404035.048416645,11,7,6,4,7,14,5,5,3,11,1,3,6,17,8,7.133,3.267,21.467,2.867,2.8,2.867,21.6,0,0,0.013631221719457014,0.0030581395348837207,0.03238795518207283,0.03723958333333333,0.002405405405405405,0.003390243902439024,0.00501716247139588,0.023540723981900456,0.004704651162790697,0.08178700361010831,0.047656250000000004,0.0044810810810810816,0.006937499999999999,0.009049199084668192
1705761385,5.204471247563346,2.7404501924281717,0.16909453000531036,0.15898155866494385,4.944292281402651,1.2031432723853839,0.44812936481543114,0.07341314490998291,1.0331164367868704,0.7826229631157535,0.0001791223007264297,0.3181749208095446,1.2133473645257469,0.9267473940022374,0.9962138776934532,212148224,75358208,5959680,430534656,103161856,326287360,38146048,4550656,256708608,93204480,4661248,2842624,295899136,7962624,41238528,1933804.7077776785,0,976211.0630750472,0,28153.78270631902,0,23307.600386942584,1375895.8178487308,11,7,6,4,7,14,5,5,3,11,1,3,6,17,8,7.133,3.267,21.467,2.867,2.2,2.867,21.6,0,0,0.013631221719457014,0.0030581395348837207,0.03238795518207283,0.03723958333333333,0.0026153846153846153,0.003390243902439024,0.00501716247139588,0.023540723981900456,0.004704651162790697,0.08178700361010831,0.047656250000000004,0.004523076923076923,0.006937499999999999,0.009049199084668192
1705761386,5.204471247563346,2.7404501924281717,0.16909453000531036,0.10532999999999977,4.944292281402651,1.2278229656329938,0.44315292113641563,0.08594430154334445,1.0331164367868704,0.7826229631157535,0.0001791223007264297,0.3181749208095446,1.2133473645257469,0.9084443457436291,0.9758397391607828,212148224,75358208,5959680,430534656,103161856,326287360,38158336,4550656,256708608,93204480,4661248,2842624,295899136,7962624,41238528,1933804.7077776785,0,847224.869709813,0,28153.78270631902,0,23307.600386942584,1347756.5872808166,11,7,6,4,7,14,5,5,3,11,1,3,6,17,8,7.133,3.267,21.467,2.867,2.2,2.867,21.6,0,0,0.013631221719457014,0.0030581395348837207,0.03238795518207283,0.03723958333333333,0.0026153846153846153,0.003390243902439024,0.00501716247139588,0.023540723981900456,0.004704651162790697,0.08178700361010831,0.047656250000000004,0.004523076923076923,0.006937499999999999,0.009049199084668192
1705761387,5.204471247563346,2.7404501924281717,0.16909453000531036,0.10532999999999977,4.18228070182192,1.2525026588806034,0.44315292113641563,0.08594430154334445,1.0331164367868704,0.7636710862425505,0.0001791223007264297,0.3181749208095446,1.2133473645257469,0.890141297485021,0.9554656006281124,212148224,75358208,5959680,430534656,103161856,326287360,38158336,4550656,256708608,93204480,4661248,2842624,295899136,7962624,41238528,1933804.7077776785,0,847224.869709813,0,28153.78270631902,0,23307.600386942584,1319617.3567129027,11,7,6,4,7,14,5,5,3,11,1,3,6,17,8,7.133,3.267,21.467,2.867,2.2,2.133,21.6,0,0,0.013631221719457014,0.0030581395348837207,0.03238795518207283,0.03723958333333333,0.0026153846153846153,0.00348,0.00501716247139588,0.023540723981900456,0.004704651162790697,0.08178700361010831,0.047656250000000004,0.004523076923076923,0.007416666666666668,0.009049199084668192
1705761388,2.5958676828952036,2.7404501924281717,0.14709439223756388,0.10532999999999977,4.099875830465209,1.4807815948565763,0.44315292113641563,0.08594430154334445,1.0331164367868704,0.7636710862425505,0.00012996624487805858,0.3181749208095446,1.2133473645257469,0.8718382492264127,0.935091462095442,212148224,75358208,5959680,430534656,103161856,326287360,38158336,4550656,256708608,93204480,4661248,2842624,295899136,7962624,41238528,1933804.7077776785,0,847224.869709813,0,28153.78270631902,0,23307.600386942584,1291478.1261449885,11,7,6,4,7,14,5,5,3,11,1,3,6,17,8,7.133,3.267,21.467,2.867,2.2,2.133,21.6,0,0,0.013631221719457014,0.0030581395348837207,0.03238795518207283,0.03723958333333333,0.0026153846153846153,0.00348,0.00501716247139588,0.023540723981900456,0.004704651162790697,0.08178700361010831,0.047656250000000004,0.004523076923076923,0.007416666666666668,0.009049199084668192
1705761389,2.5958676828952036,2.7404501924281717,0.1442761500708087,0.10532999999999977,4.017470959108498,1.4807815948565763,0.44315292113641563,0.08594430154334444,1.0331164367868704,0.7636710862425505,0.00012996624487805858,0.33495556375819957,1.2133473645257469,0.8535352009678048,0.9147173235627715,212148224,75358208,5959680,430534656,103161856,326287360,38158336,4550656,256708608,93204480,4661248,2842624,295899136,7962624,41238528,1933804.7077776785,0,847224.869709813,0,28153.78270631902,0,34890.25809932139,1263338.895577074,11,7,6,4,7,14,5,5,3,11,1,3,6,17,8,7.6,4,23.667,2.067,2.2,2.133,16.067,0,0,0.013474770642201836,0.0030446927374301676,0.03183379120879121,0.03707865168539326,0.0026153846153846153,0.00348,0.004942028985507248,0.02335550458715597,0.004680446927374302,0.0807620817843866,0.04741573033707866,0.004523076923076923,0.007416666666666668,0.009015037593984964
1705761390,2.5958676828952036,2.7404501924281717,0.14145790790405352,0.10532999999999977,3.579468731810733,1.4807815948565763,0.44315292113641563,0.08594430154334444,0.8803414739291316,0.7636710862425505,0.00012996624487805858,0.33495556375819957,1.2133473645257469,0.8352321527091965,0.894343185030101,212148224,75358208,5959680,430534656,106659840,326287360,38158336,4550656,256708608,93204480,4661248,2842624,295899136,7962624,41238528,1933804.7077776785,0,847224.869709813,0,23990.46388367013,0,34890.25809932139,1235199.66500916,11,7,6,4,7,14,5,5,3,11,1,3,6,17,8,7.6,4,23.667,2.067,2.2,2.133,16.067,0,0,0.013474770642201836,0.0030446927374301676,0.03183379120879121,0.03707865168539326,0.0026153846153846153,0.00348,0.004942028985507248,0.02335550458715597,0.004680446927374302,0.0807620817843866,0.04741573033707866,0.004523076923076923,0.007416666666666668,0.009015037593984964
1705761391,2.5958676828952036,2.7404501924281717,0.13863966573729836,0.10532999999999977,3.6531795024252336,1.4807815948565763,0.44315292113641563,0.08594430154334444,1.1494008281929338,0.7636710862425505,0.00012996624487805858,0.3349555637581995,1.2133473645257469,0.8169291044505882,0.8739690464974307,212148224,75358208,5959680,430534656,106659840,326287360,38158336,4550656,256708608,93204480,4661248,2842624,295899136,7962624,41238528,1933804.7077776785,0,847224.869709813,0,36143.6996712503,0,34890.258099321385,1207060.4344412459,11,7,6,4,7,14,5,5,3,11,1,3,6,17,8,7.6,4,23.667,2.067,2.2,2.133,16.067,0,0,0.013474770642201836,0.0030446927374301676,0.03183379120879121,0.03707865168539326,0.0026153846153846153,0.00348,0.004942028985507248,0.02335550458715597,0.004680446927374302,0.0807620817843866,0.04741573033707866,0.004523076923076923,0.007416666666666668,0.009015037593984964
