time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705700091,1.5995498631026652,4.108104682705554,47.061314721094355,0.20604382767965357,4.8359043521075415,2.076550750811039,0.4107872378263229,0.09945707942312339,0.5291749268384722,0.6803203431593489,0.0002332754964334104,0.3137278294758624,0.44538734476641095,0.9148312827384564,1.00556894553882,206848000,83259392,6361088,430678016,99303424,330596352,41746432,4517888,257134592,94519296,4026368,2850816,299061248,8065024,48402432,2340623.4713389957,0,0,603832.8191410312,19333.522137260454,0,24433.309472679553,1253005.7937427578,10,6,6,4,7,14,5,4,3,11,1,3,6,17,8,7.867,4.6,24.4,2.6,2.533,2.4,19.867,0,0.016900000000000002,0.003127659574468085,0.030567685589519653,0.03424657534246575,0.0026799999999999997,0.003,0.003398852223816356,0.03461538461538462,0.004829787234042554,0.07323809523809524,0.04684931506849316,0.004535999999999999,0.0046,0.007147286821705427
1705700092,1.5995498631026652,4.108104682705554,47.061314721094355,0.20604382767965357,4.8359043521075415,2.1259239594160344,0.4762198444543507,0.09945707942312339,0.5291749268384722,0.6670126496563263,0.0002332754964334104,0.3268982768204564,0.44538734476641084,0.9148312827384564,1.00556894553882,206848000,83259392,6361088,430678016,99303424,330596352,41746432,4517888,257134592,94519296,4026368,2850816,299061248,8065024,48402432,2340623.4713389957,0,0,700014.86104919,19333.522137260454,0,34152.30683713174,1253005.7937427578,10,6,6,4,7,14,5,4,3,11,1,3,6,17,8,7.867,4.6,24.4,2.6,2.533,2.4,19.867,0,0.016900000000000002,0.003127659574468085,0.030567685589519653,0.03424657534246575,0.0026799999999999997,0.003,0.003398852223816356,0.03461538461538462,0.004829787234042554,0.07323809523809524,0.04684931506849316,0.004535999999999999,0.0046,0.007147286821705427
1705700093,1.5995498631026652,3.046407500000008,47.061314721094355,0.20604382767965357,4.977829099307124,2.1752971680210296,0.4762198444543507,0.09998970875784766,0.5291749268384722,0.6744598454364821,0.0002332754964334104,0.3268982768204564,0.44538734476641084,0.8838848483825793,1.00556894553882,206848000,83259392,6361088,430678016,99303424,330596352,41746432,4517888,257134592,94519296,4026368,2850816,299061248,8077312,48402432,1955840.0000000002,0,0,700014.86104919,19333.522137260454,0,34152.30683713174,1253005.7937427578,10,6,6,4,7,14,5,4,3,11,1,3,6,17,8,7.867,4.6,24.133,2.6,2.533,2.4,19.867,0,0.016900000000000002,0.003127659574468085,0.03021948608137045,0.03424657534246575,0.0026799999999999997,0.003,0.003398852223816356,0.03461538461538462,0.004829787234042554,0.07188725490196077,0.04684931506849316,0.004535999999999999,0.0046,0.007147286821705427
1705700094,1.5995498631026652,3.3170417616273657,47.061314721094355,0.20604382767965357,4.702780310902798,2.2246703766260247,0.4762198444543507,0.09998970875784766,0.5291749268384722,0.7686994326711258,0.0002332754964334104,0.3268982768204564,0.44538734476641084,0.7695607831409627,1.00556894553882,206848000,83283968,6361088,430678016,98631680,330596352,41746432,4517888,257134592,94609408,4026368,2850816,299061248,8077312,48402432,1950542.9800132618,0,0,700014.86104919,19333.522137260454,0,34152.30683713174,1253005.7937427578,10,6,6,4,7,14,5,4,3,11,1,3,6,17,8,7.867,4.6,24.133,2.6,2.533,2.4,19.867,0,0.016900000000000002,0.003127659574468085,0.03021948608137045,0.03424657534246575,0.0026799999999999997,0.003,0.003398852223816356,0.03461538461538462,0.004829787234042554,0.07188725490196077,0.04684931506849316,0.004535999999999999,0.0046,0.007147286821705427
1705700095,1.5995498631026652,3.384121819093186,47.061314721094355,0.20604382767965357,4.702780310902798,2.2740435852310203,0.4762198444543507,0.09998970875784766,0.5291749268384722,0.7686994326711258,0,0.3112665289256202,0.44538734476641084,0.7848591377910559,1.00556894553882,206848000,83283968,6361088,430678016,98631680,330596352,41746432,4517888,257134592,94609408,4026368,2850816,299061248,8077312,48402432,1989988.5295696377,0,0,700014.86104919,19333.522137260454,0,25388.429752066117,1253005.7937427578,10,6,6,4,7,14,5,4,3,11,1,3,6,17,8,7.867,4.6,24.133,2.6,2.533,2.4,19.867,0,0.016900000000000002,0.003127659574468085,0.03021948608137045,0.03424657534246575,0.0026799999999999997,0.003,0.003398852223816356,0.03461538461538462,0.004829787234042554,0.07188725490196077,0.04684931506849316,0.004535999999999999,0.0046,0.007147286821705427
1705700096,1.4743860309207666,3.451201876559007,32.061596822839476,0.20604382767965357,4.702780310902798,2.323416793836015,0.4762198444543507,0.09998970875784766,0.5291749268384722,0.7686994326711258,0,0.3112665289256202,0.44538734476641084,0.9179012790055912,1.00556894553882,206839808,83283968,6361088,430678016,98631680,330596352,41746432,4517888,257134592,94609408,4026368,2850816,299061248,8077312,48402432,2029434.0791260144,84404.56342144209,0,700014.86104919,19333.522137260454,0,25388.429752066117,1253005.7937427578,11,6,6,4,7,14,5,4,3,11,1,3,6,17,8,7.867,4.6,24.133,2.6,2.533,2.4,19.867,0,0.016900000000000002,0.003127659574468085,0.03021948608137045,0.03424657534246575,0.0026799999999999997,0.003,0.003398852223816356,0.03461538461538462,0.004829787234042554,0.07188725490196077,0.04684931506849316,0.004535999999999999,0.0046,0.007147286821705427
1705700097,1.5329496794072643,4.024803447949239,32.061596822839476,0.17621554955922905,4.702780310902798,2.3727900024410102,0.4762198444543507,0.09998970875784766,0.5291749268384722,0.7686994326711258,0,0.3112665289256202,0.44538734476641084,0.9179012790055912,1.00556894553882,206839808,83283968,6361088,430678016,98631680,330596352,41746432,4517888,257134592,94609408,4026368,2850816,299061248,8077312,48402432,2366732.9733825894,84404.56342144209,0,700014.86104919,19333.522137260454,0,25388.429752066117,1253005.7937427578,11,6,6,4,7,14,5,4,3,11,1,3,6,17,8,7.6,4.6,24.133,2.267,2.267,2.067,19.067,0,0.01687,0.003127659574468085,0.03021948608137045,0.034703947368421056,0.0026842105263157894,0.0030697674418604646,0.0033971428571428573,0.03457692307692311,0.004829787234042554,0.07188725490196077,0.046940789473684214,0.0045368421052631586,0.004725581395348837,0.007119230769230768
1705700098,1.5329496794072643,4.024803447949239,32.061596822839476,0.17278148576456817,4.702780310902798,2.4221632110460054,0.4762198444543507,0.09998970875784766,0.5291749268384722,0.7686994326711258,0,0.3112665289256202,0.44538734476641084,0.9179012790055912,1.00556894553882,206839808,83283968,6361088,430678016,98631680,330596352,41746432,4517888,257134592,94609408,4026368,2850816,299061248,8077312,48402432,2366732.9733825894,84404.56342144209,0,700014.86104919,19333.522137260454,0,25388.429752066117,1253005.7937427578,11,6,6,4,7,14,5,4,3,11,1,3,6,17,8,7.6,4.6,24.133,2.267,2.267,2.067,19.067,0,0.01687,0.003127659574468085,0.03021948608137045,0.034703947368421056,0.0026842105263157894,0.0030697674418604646,0.0033971428571428573,0.03457692307692311,0.004829787234042554,0.07188725490196077,0.046940789473684214,0.0045368421052631586,0.004725581395348837,0.007119230769230768
1705700099,1.5329496794072643,4.024803447949239,32.061596822839476,0.13071000000000055,4.702780310902798,2.4715364196510006,0.4762198444543507,0.09998970875784766,0.5291749268384722,0.7686994326711258,0,0.3112665289256202,0.44538734476641084,0.9179012790055912,1.00556894553882,206839808,83283968,6361088,430678016,98631680,330596352,41746432,4517888,257134592,94609408,4026368,2850816,299061248,8077312,48402432,2366732.9733825894,84404.56342144209,0,700014.86104919,19333.522137260454,0,25388.429752066117,1253005.7937427578,11,6,6,4,7,14,5,4,3,11,1,3,6,17,8,7.6,4.6,24.133,2.267,2.267,2.067,19.067,0,0.01687,0.003127659574468085,0.03021948608137045,0.034703947368421056,0.0026842105263157894,0.0030697674418604646,0.0033971428571428573,0.03457692307692311,0.004829787234042554,0.07188725490196077,0.046940789473684214,0.0045368421052631586,0.004725581395348837,0.007119230769230768
1705700100,1.5329496794072643,4.024803447949239,32.061596822839476,0.13071000000000055,4.702780310902798,2.962392516299712,0.4762198444543507,0.09998970875784766,0.5291749268384722,0.7686994326711258,0,0.3112665289256202,0.44538734476641084,0.9179012790055912,1.00556894553882,206839808,83283968,6361088,430678016,98631680,330596352,41746432,4517888,257134592,94609408,4026368,2850816,299061248,8077312,48402432,2366732.9733825894,84404.56342144209,0,700014.86104919,19333.522137260454,0,25388.429752066117,1253005.7937427578,11,6,6,4,7,14,5,4,3,11,1,3,6,17,8,7.467,4.267,23.267,2,2.267,2.067,18.2,0,0.016809623430962345,0.0030967741935483866,0.03019722814498934,0.035,0.0026842105263157894,0.0030697674418604646,0.0033726884779516357,0.0348046875,0.0047741935483870965,0.07075129533678759,0.04700000000000001,0.0045368421052631586,0.004725581395348837,0.006919354838709681
