time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,payment_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705637815,1.6674069696074798,39.964972491484026,0.1753937261297144,0.19810407422347268,4.144324205914547,0.9662989209211527,0.3909717203834752,0.05244467217277857,0.25424619391924685,0.8497733590442988,0.0000820258643257151,0.26091140313691996,0.23013795682207236,0.7582469965752142,1.08755299818288,216977408,216174592,6021120,432435200,108802048,331210752,111828992,4800512,268288000,98459648,4575232,2891776,306651136,8699904,198795264,4332617.238669112,0,0,700525.1240545358,18394.934207571747,0,0,1157762.9719362003,45,33,6,4,16,18,5,5,3,11,1,3,5,18,9,8.667,4.067,23.267,1.933,2.2,2,17,0,0,0,0,0,0,0.5235294117647061,0.0031219512195121953,0.043458549222797925,0.1535714285714286,0.002627118644067797,0.003051948051948052,0.0047984084880636595,2.048148148148149,0.004819512195121951,0.9640243902439026,0.7625,0.004742372881355933,0.0046935064935064936,0.009002994011976045
1705637816,1.6674069696074798,38.1654753379293,0.1753937261297144,0.19810407422347268,4.144324205914547,0.9662989209211527,0.3909717203834752,0.05118603276525648,0.26288532451727326,0.8497733590442988,0.0000820258643257151,0.26091140313691996,0.23013795682207236,0.7779135010480218,1.08755299818288,216977408,216199168,6021120,432435200,108802048,331210752,111828992,4800512,268288000,98459648,4575232,2891776,306651136,8699904,198795264,3859135.260943515,0,0,700525.1240545358,14880.746943743074,0,0,1157762.9719362003,45,33,6,4,16,18,5,5,3,11,1,3,5,18,9,8.667,4.067,23.267,1.933,2.2,2,17,0,0,0,0,0,0,0.5235294117647061,0.0031219512195121953,0.043458549222797925,0.1535714285714286,0.002627118644067797,0.003051948051948052,0.0047984084880636595,2.048148148148149,0.004819512195121951,0.9640243902439026,0.7625,0.004742372881355933,0.0046935064935064936,0.009002994011976045
1705637817,1.6674069696074798,38.1654753379293,0.1753937261297144,0.19810407422347268,4.258696129239175,0.9662989209211527,0.3909717203834752,0.0499273933577344,0.26288532451727326,0.8497733590442988,0,0.26091140313691996,0.23013795682207236,0.7975800055208294,0.9181394298909419,216977408,216199168,6021120,432435200,98242560,331210752,111828992,4800512,268288000,98459648,4575232,2891776,306651136,8699904,198795264,3859135.260943515,0,0,700525.1240545358,14880.746943743074,0,0,977412.4449828388,45,33,6,4,15,18,5,5,3,11,1,3,5,18,9,8.667,4.067,23.267,1.933,2.2,2,17,0,0,0,0,0,0,0.5235294117647061,0.0031219512195121953,0.043458549222797925,0.1535714285714286,0.002627118644067797,0.003051948051948052,0.0047984084880636595,2.048148148148149,0.004819512195121951,0.9640243902439026,0.7625,0.004742372881355933,0.0046935064935064936,0.009002994011976045
1705637818,1.6674069696074798,38.1654753379293,0.1753937261297144,0.19810407422347268,4.385366998100772,0.9662989209211527,0.3909717203834752,0.05433693793163871,0.26288532451727326,0.8497733590442988,0,0.26091140313691996,0.23013795682207236,0.817246509993637,1.2668732958418387,216977408,216199168,6021120,432435200,98242560,331210752,111828992,4800512,268288000,98459648,4575232,2891776,306651136,8699904,198856704,3859135.260943515,0,0,700525.1240545358,14880.746943743074,0,0,2992774.369461486,45,33,6,4,15,18,5,5,3,11,1,3,5,18,9,8.533,4.067,23.267,1.933,2.2,2.4,17,0,0,0,0,0,0,0.4606481481481482,0.0031219512195121953,0.043458549222797925,0.1535714285714286,0.002627118644067797,0.0030476190476190477,0.0047984084880636595,2.012025316455697,0.004819512195121951,0.9640243902439026,0.7625,0.004742372881355933,0.004685714285714286,0.009002994011976045
1705637819,1.6674069696074798,38.1654753379293,0.1753937261297144,0.19810407422347268,4.385366998100772,0.9662989209211527,0.3909717203834752,0.0529297373947374,0.26288532451727326,0.8497733590442988,0,0.26091140313691996,0.23013795682207233,0.8369130144664446,1.2668732958418387,216977408,216199168,6021120,432435200,98242560,331210752,111828992,4800512,268288000,98459648,4575232,2891776,306651136,8699904,198856704,3859135.260943515,0,0,700525.1240545358,14880.746943743074,0,0,2992774.369461486,45,33,6,4,15,18,5,5,3,11,1,3,5,18,9,7.933,4,23.4,2.467,2.2,2.4,18.867,0,0,0,0,0,0,0.4160156249999999,0.0030833333333333333,0.045000000000000005,0.14642857142857138,0.002627118644067797,0.0030476190476190477,0.005047425474254743,1.963698630136986,0.00475,0.915789473684211,0.6964285714285714,0.004742372881355932,0.004685714285714286,0.009074525745257453
1705637820,1.6674069696074798,38.1654753379293,0.1753937261297144,0.19810407422347268,4.385366998100772,0.9662989209211527,0.3909717203834752,0.0515225368578361,0.26288532451727326,0.8497733590442988,0,0.26091140313691996,0.24778185323022014,0.8565795189392522,1.2668732958418387,216977408,216199168,6021120,432435200,98242560,331210752,111828992,4800512,268288000,98459648,4575232,2891776,306651136,8699904,198856704,3859135.260943515,0,0,700525.1240545358,14880.746943743074,0,0,2992774.369461486,45,33,6,4,15,18,5,5,3,11,1,3,5,18,9,7.933,4,23.4,2.467,2.2,2.4,20.267,0,0,0,0,0,0,0.4160156249999999,0.0030833333333333333,0.045000000000000005,0.14642857142857138,0.002627118644067797,0.0030476190476190477,0.005254854368932038,1.963698630136986,0.00475,0.915789473684211,0.6964285714285714,0.004742372881355932,0.004685714285714286,0.00912864077669903
1705637821,1.6674069696074798,38.1654753379293,0.1753937261297144,0.19810407422347268,4.385366998100772,1.0769041487841062,0.3909717203834752,0.08730054737198215,0.1710655851063971,0.8497733590442988,0,0.26091140313691996,0.24778185323022014,0.8762460234120597,1.2668732958418387,216977408,216199168,6021120,432435200,98242560,331210752,111828992,4792320,268288000,98459648,4575232,2891776,306651136,8699904,198856704,3859135.260943515,0,0,700525.1240545358,0,0,0,2992774.369461486,45,33,6,4,15,18,5,5,3,11,1,3,5,18,9,7.933,4,23.4,2.467,2.2,2.4,20.267,0,0,0,0,0,0,0.4160156249999999,0.0030833333333333333,0.045000000000000005,0.14642857142857138,0.002627118644067797,0.0030476190476190477,0.005254854368932038,1.963698630136986,0.00475,0.915789473684211,0.6964285714285714,0.004742372881355932,0.004685714285714286,0.00912864077669903
1705637822,1.4340112541824217,38.1654753379293,0.1753937261297144,0.19810407422347268,4.385366998100772,1.0769041487841062,0.3909717203834752,0.08730054737198215,0.1756756474964151,0.8497733590442988,0,0.26091140313691996,0.24778185323022014,0.8959125278848673,1.2668732958418387,216977408,216199168,6021120,432435200,98242560,331210752,111828992,4792320,268288000,98459648,4575232,2891776,306651136,8699904,198856704,3859135.260943515,0,0,700525.1240545358,0,0,0,2992774.369461486,45,33,6,4,15,18,5,5,3,11,1,3,5,18,9,7.933,4.333,23.4,2.467,2.2,2.4,20.267,0,0,0,0,0,0,0.4160156249999999,0.0030828402366863904,0.045000000000000005,0.14642857142857138,0.002627118644067797,0.0030476190476190477,0.005254854368932038,1.963698630136986,0.0047491124260355035,0.915789473684211,0.6964285714285714,0.004742372881355932,0.004685714285714286,0.00912864077669903
1705637823,1.4057685092182681,38.1654753379293,0.1753937261297144,0.19810407422347268,4.385366998100772,1.0769041487841062,0.3909717203834752,0.08730054737198215,0.18028570988643305,0.7318838288477727,0,0.21772469978202,0.24778185323022014,0.9155790323576749,1.2668732958418387,216977408,216199168,6021120,432435200,98242560,331210752,111828992,4792320,268288000,98459648,4575232,2891776,306651136,8699904,198856704,3859135.260943515,0,0,700525.1240545358,0,0,0,2992774.369461486,45,33,6,4,15,18,5,5,3,11,1,3,5,18,9,7.933,4.333,24.667,2.467,2.2,2.4,20.267,0,0,0,0,0,0,0.4160156249999999,0.0030828402366863904,0.04548429319371728,0.14642857142857138,0.002627118644067797,0.0030476190476190477,0.005254854368932038,1.963698630136986,0.0047491124260355035,0.8409722222222219,0.6964285714285714,0.004742372881355932,0.004685714285714286,0.00912864077669903
1705637824,1.3775257642541143,38.1654753379293,0.1753937261297144,0.19810407422347268,4.385366998100772,1.0769041487841062,0.3909717203834752,0.08730054737198215,0.18489577227645104,0.7177209395303676,0,0.22210825676042723,0.24778185323022014,0.9352455368304825,1.2668732958418387,216977408,216199168,6021120,432435200,98242560,331210752,111828992,4792320,268288000,98459648,4575232,2891776,306651136,8699904,198856704,3859135.260943515,0,0,700525.1240545358,0,0,0,2992774.369461486,45,33,6,4,15,18,5,5,3,11,1,3,5,18,9,7.933,4.333,24.667,2.467,2.2,2.4,20.267,0,0,0,0,0,0,0.4160156249999999,0.0030828402366863904,0.04548429319371728,0.14642857142857138,0.002627118644067797,0.0030476190476190477,0.005254854368932038,1.963698630136986,0.0047491124260355035,0.8409722222222219,0.6964285714285714,0.004742372881355932,0.004685714285714286,0.00912864077669903
