time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,payment_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,orders_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705754637,1.7042046411886411,5.03361700326009,0.18490733067128884,0.20250295804132126,4.741752002971264,1.5706260542205346,0.4248646266213337,0.09008911576398206,0.21915277839335148,0.8153566653101534,0.00011853022520743102,0.2719743687298453,0.6371224866438332,0.810159078698401,0.8741292233602312,210460672,82284544,6115328,430505984,100397056,328724480,40734720,4706304,275542016,92991488,4546560,2973696,304492544,8060928,47128576,2245785.1729539777,0,911253.8303320319,0,28371.324099722995,0,0,1448690.1431736269,11,6,5,4,9,14,7,4,3,11,1,3,6,17,9,9.267,3.667,25.458,1.533,1.4,1.467,15.733,0,0,0.018309859154929577,0.003056818181818182,0.029839682044926843,0.0375,0.0027866666666666665,0.0031707317073170734,0.00325207756232687,0.04016666666666667,0.004702272727272728,0.07678987717292604,0.0475,0.0046426666666666665,0.004907317073170731,0.005551136363636368
1705754638,1.7042046411886411,5.03361700326009,0.18490733067128884,0.20250295804132126,4.741752002971264,1.5706260542205346,0.4248646266213337,0.09008911576398206,0.22463050230840217,0.8153566653101534,0.00011853022520743102,0.32550502663011144,0.6216713808012168,0.810159078698401,0.8572742073234625,210460672,82284544,6115328,430505984,100397056,328724480,40734720,4706304,275542016,92991488,4546560,2973696,304492544,8060928,47128576,2245785.1729539777,0,911253.8303320319,0,29080.465373961215,0,0,1420756.40644116,11,6,5,4,9,14,7,4,3,11,1,3,6,17,9,9.267,3.667,25.458,1.533,1.4,1.467,15.733,0,0,0.018309859154929577,0.003056818181818182,0.029839682044926843,0.0375,0.0027866666666666665,0.0031707317073170734,0.00325207756232687,0.04016666666666667,0.004702272727272728,0.07678987717292604,0.0475,0.0046426666666666665,0.004907317073170731,0.005551136363636368
1705754639,1.7042046411886411,5.03361700326009,0.18490733067128884,0.20250295804132126,4.741752002971264,1.570626054220535,0.4248646266213337,0.09008911576398206,0.230108226223453,0.6708007231895405,0.0001519797360351993,0.32550502663011144,0.6062202749586002,0.810159078698401,0.8404191912866935,210460672,82284544,6115328,430505984,100397056,328724480,40734720,4706304,275542016,92991488,4546560,2973696,304492544,8060928,47128576,2245785.1729539777,0,911253.8303320319,0,29789.606648199446,0,0,1392822.669708693,11,6,5,4,9,14,7,4,3,11,1,3,6,17,9,9.267,3.667,25.458,1.533,1.4,1.467,15.733,0,0,0.018309859154929577,0.003056818181818182,0.029839682044926843,0.0375,0.0027866666666666665,0.0031707317073170734,0.00325207756232687,0.04016666666666667,0.004702272727272728,0.07678987717292604,0.0475,0.0046426666666666665,0.004907317073170731,0.005551136363636368
1705754640,1.7042046411886411,5.03361700326009,0.18490733067128884,0.20250295804132126,4.113733293244404,1.570626054220535,0.4248646266213337,0.09008911576398206,0.23558595013850378,0.6572114454343715,0.0001519797360351993,0.32550502663011144,0.9360671633765684,0.810159078698401,1.016667829727846,210460672,82284544,6115328,430505984,100397056,328724480,40734720,4706304,275542016,92991488,4546560,2973696,304492544,8060928,47173632,2245785.1729539777,0,911253.8303320319,0,30498.74792243768,0,0,1486336.3572923937,11,6,5,4,9,14,7,4,3,11,1,3,6,17,9,9.267,3.667,25.458,1.533,1.4,1.467,15.733,0,0,0.018309859154929577,0.003056818181818182,0.029839682044926843,0.0375,0.0027866666666666665,0.003170731707317073,0.00325207756232687,0.04016666666666667,0.004702272727272728,0.07678987717292604,0.0475,0.0046426666666666665,0.004907317073170731,0.005551136363636368
1705754641,1.7042046411886411,5.03361700326009,0.18490733067128884,0.20250295804132126,4.0347040931948825,1.570626054220535,0.4248646266213337,0.09008911576398206,0.2410636740535545,0.6436221676792022,0.0001519797360351993,0.32550502663011144,0.7523869702581734,0.810159078698401,1.016667829727846,210460672,82284544,6115328,430505984,100397056,328724480,40734720,4706304,275542016,92991488,4546560,2973696,304492544,8060928,47173632,2245785.1729539777,0,911253.8303320319,0,31207.8891966759,0,0,1486336.3572923937,11,6,5,4,9,14,7,4,3,11,1,3,6,17,9,9.267,3.667,25.458,1.533,1.4,1.467,15.733,0,0,0.018309859154929577,0.003056818181818182,0.029839682044926843,0.0375,0.0027866666666666665,0.003170731707317073,0.00325207756232687,0.04016666666666667,0.004702272727272728,0.07678987717292604,0.0475,0.0046426666666666665,0.004907317073170731,0.005551136363636368
1705754642,1.6584258654474406,5.03361700326009,0.1721265991882044,0.20250295804132126,3.9556748931453614,1.570626054220535,0.4248646266213337,0.09008911576398206,0.24654139796860533,0.8400021477663272,0.0001519797360351993,0.32550502663011144,0.7523869702581734,0.810159078698401,1.0183154703908202,210460672,82284544,6115328,430505984,100397056,328724480,40734720,4706304,275542016,92979200,4546560,2973696,304492544,8060928,47173632,2245785.1729539777,0,911253.8303320319,0,31917.03047091413,0,0,1472200.9310382158,11,6,5,4,9,14,7,4,3,11,1,3,6,17,9,9.267,3.667,25.458,1.533,1.4,1.467,15.733,0,0,0.018309859154929577,0.003056818181818182,0.029839682044926843,0.0375,0.0027866666666666665,0.003170731707317073,0.00325207756232687,0.04016666666666667,0.004702272727272728,0.07678987717292604,0.0475,0.0046426666666666665,0.004907317073170731,0.005551136363636368
1705754643,1.6584258654474406,5.03361700326009,0.1721265991882044,0.20250295804132126,3.8766456930958406,1.337933441437612,0.4248646266213337,0.09008911576398206,0.25201912188365605,0.8400021477663272,0.0001519797360351993,0.32550502663011144,0.7523869702581734,0.810159078698401,1.0183154703908202,210460672,82284544,6115328,430505984,100397056,328724480,40734720,4706304,275542016,92979200,4546560,2973696,304492544,8060928,47173632,2245785.1729539777,0,911253.8303320319,0,32626.17174515235,0,0,1472200.9310382158,11,6,5,4,9,14,7,4,3,11,1,3,6,17,9,9.267,3.667,25.458,1.533,1.933,1.467,15.733,0,0,0.018309859154929577,0.003056818181818182,0.029839682044926843,0.0375,0.002688311688311688,0.003170731707317073,0.00325207756232687,0.04016666666666667,0.004702272727272728,0.07678987717292604,0.0475,0.0046207792207792215,0.004907317073170731,0.005551136363636368
1705754644,1.6584258654474406,5.03361700326009,0.1721265991882044,0.20250295804132126,4.709249199553883,1.3117563405339365,0.4248646266213337,0.09008911576398206,0.25749684579870685,0.8400021477663272,0.0001519797360351993,0.2737700714600881,0.7523869702581734,0.810159078698401,1.0183154703908202,210460672,82284544,6115328,430505984,103624704,328724480,40734720,4706304,275542016,92979200,4546560,2973696,304492544,8060928,47173632,2245785.1729539777,0,911253.8303320319,0,33335.31301939058,0,0,1472200.9310382158,11,6,5,4,8,14,7,4,3,11,1,3,6,17,9,9.267,3.667,25.458,1.533,1.933,1.467,19.267,0,0,0.018309859154929577,0.0030568181818181822,0.029839682044926843,0.0375,0.002688311688311688,0.003170731707317073,0.0032388888888888884,0.04016666666666667,0.004702272727272728,0.07678987717292604,0.0475,0.0046207792207792215,0.004907317073170731,0.00532530120481927
1705754645,1.6584258654474406,5.03361700326009,0.1721265991882044,0.20444886440908447,4.709249199553883,1.2855792396302608,0.4248646266213337,0.09008911576398206,0.26297456971375766,0.8400021477663272,0.00010215786077855311,0.2683449876829196,0.7523869702581734,0.810159078698401,1.0183154703908202,210460672,82284544,6115328,430505984,103624704,328724480,40734720,4706304,275542016,92979200,4546560,2973696,304492544,8060928,47173632,2245785.1729539777,0,911253.8303320319,0,34044.45429362881,0,0,1472200.9310382158,11,6,5,4,8,14,7,4,3,11,1,3,6,17,9,9.267,3.667,25.458,1.533,1.933,1.467,19.267,0,0,0.018309859154929577,0.0030568181818181822,0.029839682044926843,0.0375,0.002688311688311688,0.003170731707317073,0.0032388888888888884,0.04016666666666667,0.004702272727272728,0.07678987717292604,0.0475,0.0046207792207792215,0.004907317073170731,0.00532530120481927
1705754646,1.6584258654474406,4.794290934003199,0.1721265991882044,0.20444886440908447,4.709249199553883,1.4979795570698362,0.4248646266213337,0.09008911576398206,0.2684522936288084,0.8680423497969838,0.00010215786077855311,0.3333822005903169,0.7523869702581734,0.7982566656900055,1.0183154703908202,210460672,82284544,6115328,430505984,103624704,328724480,40734720,4706304,275542016,92979200,4546560,2846720,304492544,8044544,47173632,2538870.5836296612,0,911253.8303320319,0,34753.595567867036,0,0,1472200.9310382158,11,6,5,4,8,15,7,4,3,11,1,3,6,17,9,9.267,3.667,25.458,1.533,1.933,1.467,19.267,0,0,0.018309859154929577,0.0030568181818181822,0.029839682044926843,0.0375,0.002688311688311688,0.003170731707317073,0.0032388888888888884,0.04016666666666667,0.004702272727272728,0.07678987717292604,0.0475,0.0046207792207792215,0.004907317073170731,0.00532530120481927
