time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705704757,1.5925190492437284,2.574109917428749,15.509322033898293,0.232020425319925,5.077445822543281,1.5906239944555878,0.4278092034857062,0.08628290825707938,0.24831999999999965,0.8410434208354001,0.00020147135138436323,0.2600306464036618,1.4791246830558882,0.8879084272450185,1.0431361466968019,205688832,73936896,6242304,430612480,106733568,318930944,39182336,4407296,277749760,92565504,4669440,2891776,298053632,7712768,40341504,2000177.5725827934,14346612159.541275,0,1052022.6265097081,40960,0,0,1697663.9035418236,10,6,5,4,7,14,6,4,3,11,1,3,7,15,7,10.466,4.533,26.464,2,2.133,2.267,20.532,0.012167278421845945,0.0031016921830551193,0.028682776939979768,0.03655176155073696,0.0023055555555555555,0.0033170731707317072,0.003657353209593506,0.023149052368139314,0.004783045929499215,0.07890171650041386,0.04731035231014739,0.004461111111111111,0.006346153846153846,0.008065508686790757
1705704758,1.5925190492437284,2.574109917428749,15.509322033898293,0.232020425319925,5.077445822543281,1.3649807256421087,0.4278092034857062,0.08628290825707938,0.24831999999999965,0.8409816591371359,0.00020147135138436323,0.31391304347826077,1.4791246830558882,0.8879084272450185,1.0424307711805298,205688832,73936896,6242304,430612480,106733568,318930944,39182336,4407296,277749760,92573696,4669440,2891776,298053632,7712768,40378368,2000177.5725827934,14346612159.541275,0,1052022.6265097081,40960,0,0,1462146.4630462795,10,6,5,4,7,14,6,4,3,11,1,3,7,15,7,10.466,4.333,26.464,2,2.133,2.267,20.532,0.012167278421845945,0.003088394697054799,0.028682776939979768,0.03654683868568276,0.0023055555555555555,0.0033170731707317072,0.003657353209593506,0.023149052368139314,0.0047591104546986385,0.07890171650041386,0.04730936773713655,0.004461111111111111,0.006346153846153846,0.008065508686790757
1705704759,1.5925190492437284,2.574109917428749,15.509322033898293,0.232020425319925,5.077445822543281,1.3384703257345154,0.4278092034857062,0.09004545296832162,0.24831999999999965,0.8409816591371359,0.00020147135138436323,0.31391304347826077,1.4791246830558882,0.8879084272450185,1.0424307711805298,205688832,73936896,6242304,430612480,106733568,318930944,39182336,4407296,277749760,92573696,4669440,2891776,298053632,7712768,40378368,2000177.5725827934,14346612159.541275,0,1052022.6265097081,40960,0,0,1462146.4630462795,10,6,5,4,7,14,6,4,3,11,1,3,7,15,7,10.466,4.333,26.464,2,2.133,2.267,20.532,0.012167278421845945,0.003088394697054799,0.028682776939979768,0.03654191221517868,0.0023055555555555555,0.0033170731707317072,0.003657353209593506,0.023149052368139314,0.0047591104546986385,0.07890171650041386,0.04730838244303574,0.004461111111111111,0.006346153846153846,0.008065508686790757
1705704760,1.5925190492437284,2.616667432774072,15.509322033898293,0.232020425319925,5.077445822543281,1.6567386107986681,0.35474830422208686,0.09004545296832162,0.5020621878756548,0.8409816591371359,0.00020147135138436323,0.31391304347826077,1.4791246830558882,0.8879084272450185,1.0424307711805298,205688832,73936896,6242304,430612480,106733568,319086592,39182336,4407296,277602304,92573696,4669440,2891776,298053632,7712768,40378368,2193445.185014939,14346612159.541275,0,872359.0790399021,32336.101665808,0,0,1462146.4630462795,10,6,5,4,7,15,6,4,3,11,1,3,7,15,7,7.934,4,24.136,2.2,2.133,2.267,18.601,0.01181159420289855,0.003088888888888889,0.028935881769143933,0.03653846153846154,0.0023055555555555555,0.0033170731707317072,0.0036332288401253916,0.022942028985507245,0.0047599999999999995,0.07943617018343649,0.04730769230769231,0.004461111111111111,0.006346153846153846,0.00797979797979798
1705704761,1.5925190492437284,2.616667432774072,13.109149872193907,0.232020425319925,5.077445822543281,1.6567386107986681,0.34761815083065845,0.07449965802310632,0.5129837059934633,0.8409816591371359,0.00020147135138436323,0.31391304347826077,1.4791246830558882,0.8879084272450185,1.0424307711805298,205688832,73936896,6283264,430612480,106733568,319086592,39182336,4407296,277602304,92573696,4669440,2891776,298053632,7712768,40378368,2193445.185014939,11833885228.399033,0,854825.3685980737,33039.51914820539,0,0,1462146.4630462795,10,6,5,4,7,15,6,4,3,11,1,3,7,15,7,7.934,4,24.136,2.2,2.133,2.267,18.601,0.01181159420289855,0.003088888888888889,0.028935881769143933,0.03653846153846154,0.0023055555555555555,0.0033170731707317072,0.0036332288401253916,0.022942028985507245,0.0047599999999999995,0.07943617018343649,0.04730769230769231,0.004461111111111111,0.006346153846153846,0.00797979797979798
1705704762,1.5925190492437284,2.616667432774072,13.109149872193907,0.232020425319925,5.077445822543281,1.6567386107986681,0.4217821593015038,0.075988048682958,0.5239052241112717,0.5177109000065954,0.00016710285723008322,0.31391304347826077,1.4791246830558882,0.8879084272450185,1.0424307711805298,205688832,73936896,6283264,430612480,106733568,319086592,39206912,4407296,277602304,92573696,4669440,2891776,298053632,7712768,40378368,2193445.185014939,11833885228.399033,0,860816.5682734376,33742.93663060278,0,0,1462146.4630462795,10,6,5,4,7,15,6,4,3,11,1,3,7,15,7,8.334,4,24.136,2.6,2.733,2.667,19.801,0.011947115384615382,0.003088888888888889,0.028935881769143933,0.03651685393258427,0.0021641791044776123,0.0032682926829268296,0.0036125,0.022966346153846153,0.0047599999999999995,0.07943617018343649,0.04730337078651685,0.004432835820895523,0.005772727272727275,0.007942408376963351
1705704763,1.5925190492437284,2.616667432774072,8.291883762898548,0.23129493513274724,4.139070366464502,1.5764188666265462,0.4217821593015038,0.08930343959110117,0.5348267422290802,0.5307558306196235,0.00016374500137367713,0.31391304347826077,1.4791246830558882,0.8879084272450185,1.0424307711805296,205688832,73936896,6283264,430620672,106733568,319086592,39206912,4407296,277602304,92573696,4669440,2891776,298053632,7712768,40378368,2193445.185014939,7275560038.869093,0,860816.5682734376,34446.35411300017,0,0,1462146.4630462793,10,6,5,4,7,15,6,4,3,11,1,3,7,15,7,8.334,4,24.136,2.6,2.733,2.667,19.801,0.011947115384615382,0.003088888888888889,0.028935881769143933,0.03651685393258427,0.0021641791044776123,0.0032682926829268296,0.0036125,0.022966346153846153,0.0047599999999999995,0.07943617018343649,0.04730337078651685,0.004432835820895523,0.005772727272727275,0.007942408376963351
1705704764,1.5698115224284708,2.616667432774072,8.291883762898548,0.23129493513274724,4.054446269422113,1.5764188666265462,0.4217821593015038,0.08930343959110117,0.5457482603468886,0.5438007612326516,0.0001603871455172711,0.31391304347826077,1.4791246830558882,0.8879084272450185,1.0424307711805296,205697024,73936896,6283264,430620672,106733568,319086592,39206912,4407296,277602304,92573696,4669440,2891776,298053632,7712768,40378368,2193445.185014939,7275560038.869093,0,860816.5682734376,35149.771595397564,0,0,1462146.4630462793,10,6,5,4,7,15,6,4,3,11,1,3,7,15,7,8.334,4,23.936,2.6,2.733,2.667,19.801,0.011947115384615382,0.003088888888888889,0.02951289398280802,0.03651685393258427,0.0021641791044776123,0.0032682926829268296,0.0036125,0.022966346153846153,0.0047599999999999995,0.07958801498127342,0.04730337078651685,0.004432835820895523,0.005772727272727275,0.007942408376963351
1705704765,1.5698115224284708,2.616667432774072,8.291883762898548,0.23129493513274724,3.969822172379725,1.5764188666265462,0.4217821593015038,0.08930343959110117,0.556669778464697,0.5568456918456798,0.00015702928966086505,0.31391304347826077,1.4791246830558882,0.8879084272450185,1.0424307711805296,205697024,73936896,6283264,430620672,106733568,319086592,39206912,4407296,277602304,92573696,4669440,2891776,298053632,7712768,40378368,2193445.185014939,7275560038.869093,0,860816.5682734376,35853.189077794945,0,0,1462146.4630462793,10,6,5,4,7,15,6,4,3,11,1,3,7,15,7,8.334,4,23.936,2.6,2.733,2.667,19.801,0.011947115384615382,0.003088888888888889,0.02951289398280802,0.03651685393258427,0.0021641791044776123,0.0032682926829268296,0.0036125,0.022966346153846153,0.0047599999999999995,0.07958801498127342,0.04730337078651685,0.004432835820895523,0.005772727272727275,0.007942408376963351
1705704766,1.5698115224284708,2.616667432774072,8.291883762898548,0.23129493513274724,3.885198075337337,1.5764188666265462,0.4217821593015038,0.08930343959110117,0.5675912965825056,0.569890622458708,0.00011966710786358593,0.3135776117633092,1.4791246830558882,0.8879084272450185,1.0424307711805296,205697024,73936896,6283264,430620672,106733568,319086592,39206912,4407296,277602304,92573696,4669440,2891776,298053632,7712768,40378368,2193445.185014939,7275560038.869093,0,860816.5682734376,36556.60656019234,0,0,1462146.4630462793,10,6,5,4,7,15,6,4,3,11,1,3,7,15,7,7.267,4,23.936,2.6,2.733,2.667,19.801,0.011514778325123152,0.003088888888888889,0.02951289398280802,0.03651685393258427,0.0021641791044776123,0.0032682926829268296,0.0036125,0.022539408866995073,0.0047599999999999995,0.07958801498127342,0.04730337078651685,0.004432835820895523,0.005772727272727275,0.007942408376963351
