time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,payment_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,orders_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705825726,1.274415930001813,3.9500290528762214,0.165240594147469,0.18902554196179175,4.438881818770072,1.5246764528991406,0.46352005463054363,19.838419782870968,0.34554229837624584,0.7652856583838661,0.00016458396830234227,0.2632161846140274,0.3851057753564223,1.1318044966736378,1.1628008342022977,206991360,81063936,6152192,430608384,99180544,331718656,40714240,4558848,252690432,93212672,4767744,2883584,305745920,8269824,46534656,2380011.6211504936,0,913165.5586575347,0,51443.43769624113,0,0,,1691361.8352450468,10,6,6,4,8,17,9,7,3,11,1,3,6,21,10,8.4,4,23.333,2.467,2.4,2.533,20.067,0,0,0.015468750000000002,0.0030227272727272724,0.02939038031319911,0.022205882352941173,0.002,0.003048780487804878,0.004515418502202643,0.024643750000000006,0.0046409090909090905,0.07190322580645161,0.06687500000000006,0.02875000000000003,0.00468780487804878,0.008873900293255133
1705825727,1.274415930001813,3.9500290528762214,0.165240594147469,0.18902554196179175,4.438881818770072,1.5239206849932594,0.46352005463054363,19.838419782870968,0.34554229837624584,0.7652856583838661,0.00016458396830234227,0.2632161846140274,0.3851057753564223,1.1318044966736378,1.1628008342022977,206991360,81063936,6152192,430608384,99180544,331698176,40714240,4558848,252690432,93212672,4767744,2883584,305745920,8269824,46534656,2380011.6211504936,0,913165.5586575347,0,51443.43769624113,0,0,,1691361.8352450468,10,6,6,4,8,17,9,7,3,11,1,3,6,21,10,8.4,4,22.8,2.467,2.4,2.533,20.067,0,0,0.015468750000000002,0.0030227272727272724,0.029708149779735685,0.022205882352941173,0.002,0.003048780487804878,0.004515418502202643,0.024643750000000006,0.0046409090909090905,0.07123417721518992,0.06687500000000006,0.02875000000000003,0.00468780487804878,0.008873900293255133
1705825728,1.274415930001813,3.9500290528762214,0.1630194820510409,0.18902554196179175,4.438881818770072,1.5239206849932594,0.46352005463054363,19.838419782870968,0.3893521086007774,0.7652856583838661,0.00016458396830234227,0.2632161846140274,0.3851057753564223,1.1318044966736378,1.1628008342022977,206991360,81063936,6152192,430608384,99180544,331698176,40714240,4558848,252690432,93212672,4767744,2883584,305745920,8269824,46534656,2380011.6211504936,0,913165.5586575347,0,29628.915197839564,0,0,,1691361.8352450468,10,6,6,4,8,17,9,7,3,11,1,3,6,21,10,8.4,4,22.8,2.467,2.533,2.533,20.067,0,0,0.015468750000000002,0.0030227272727272724,0.029708149779735685,0.022205882352941173,0.001333333333333333,0.003048780487804878,0.004515418502202643,0.024643750000000006,0.0046409090909090905,0.07123417721518992,0.06687500000000006,0.004876190476190476,0.00468780487804878,0.008873900293255133
1705825729,1.274415930001813,3.9500290528762214,0.1630194820510409,0.18902554196179175,4.438881818770072,1.5239206849932594,0.46352005463054363,19.838419782870968,0.3893521086007774,0.7652856583838661,0.00016458396830234227,0.2632161846140274,0.3851057753564223,1.1318044966736378,1.1628008342022977,206991360,81063936,6152192,430608384,99180544,331698176,40714240,4558848,252690432,93212672,4767744,2883584,305745920,8269824,46534656,2380011.6211504936,0,913165.5586575347,0,29628.915197839564,0,0,,1691361.8352450468,10,6,6,4,8,17,9,7,3,11,1,3,6,21,10,8.4,4,22.8,2.467,2.533,2.533,20.067,0,0,0.015468750000000002,0.0030227272727272724,0.029708149779735685,0.022205882352941173,0.001333333333333333,0.003048780487804878,0.004515418502202643,0.024643750000000006,0.0046409090909090905,0.07123417721518992,0.06687500000000006,0.004876190476190476,0.00468780487804878,0.008873900293255133
1705825730,1.274415930001813,3.9500290528762214,0.1630194820510409,0.18902554196179175,4.438881818770072,1.5239206849932594,0.46352005463054363,19.838419782870968,0.3893521086007774,0.7652856583838661,0.00016458396830234227,0.2632161846140274,0.4379354675546416,1.1318044966736378,1.1628008342022977,206991360,81063936,6152192,430608384,99180544,331698176,40714240,4558848,252690432,93212672,4767744,2883584,305745920,8269824,46534656,2380011.6211504936,0,913165.5586575347,0,29628.915197839564,0,0,,1691361.8352450468,10,6,6,4,8,17,9,7,3,11,1,3,6,21,10,8.4,4,22.8,2.467,2.533,2.533,20.067,0,0,0.015468750000000002,0.0030227272727272724,0.029708149779735685,0.022205882352941173,0.001333333333333333,0.003048780487804878,0.004515418502202643,0.024643750000000006,0.0046409090909090905,0.07123417721518992,0.06687500000000006,0.004876190476190476,0.00468780487804878,0.008873900293255133
1705825731,1.274415930001813,3.9500290528762214,0.1630194820510409,0.18902554196179175,4.438881818770072,1.506278366111968,0.46352005463054363,19.838419782870968,0.3893521086007774,0.7652856583838661,0.00016458396830234227,0.2632161846140274,0.4379354675546416,1.1318044966736378,1.1628008342022977,206991360,81063936,6152192,430608384,99180544,331698176,40714240,4558848,252690432,93212672,4767744,2883584,305745920,8269824,46534656,2380011.6211504936,0,913165.5586575347,0,29628.915197839564,0,0,,1691361.8352450468,10,6,6,4,8,17,9,7,3,11,1,3,6,21,10,8.4,4.267,23.667,2.533,2.533,2.533,20.533,0,0,0.015268595041322315,0.0030227272727272724,0.030032822757111596,0.021625,0.001333333333333333,0.003048780487804878,0.004625550660792952,0.024243801652892565,0.0046409090909090905,0.07115853658536583,0.054375000000000055,0.004876190476190476,0.00468780487804878,0.008916666666666668
1705825732,1.258733628272154,3.3472546194073103,0.1630194820510409,0.18902554196179175,4.438881818770072,1.506278366111968,0.46352005463054363,19.838419782870968,0.3893521086007774,0.7652856583838661,0.00016458396830234227,0.2632161846140274,0.4379354675546416,1.1318044966736378,1.1628008342022977,206999552,81063936,6152192,430608384,99180544,331698176,40714240,4558848,252690432,93212672,4767744,2883584,305745920,8269824,46534656,2016821.8477629286,0,913165.5586575347,0,29628.915197839564,0,0,,1691361.8352450468,10,6,6,4,8,17,9,7,3,11,1,3,6,21,10,8.4,4.267,23.667,2.533,2.533,2.533,20.533,0,0,0.015268595041322315,0.0030227272727272724,0.030032822757111596,0.021625,0.001333333333333333,0.003048780487804878,0.004625550660792952,0.024243801652892565,0.0046409090909090905,0.07115853658536583,0.054375000000000055,0.004876190476190476,0.00468780487804878,0.008916666666666668
1705825733,1.258733628272154,3.2814208018593733,0.1630194820510409,0.18902554196179175,4.438881818770072,1.506278366111968,0.46352005463054363,19.838419782870968,0.3893521086007774,0.7652856583838661,0.00016458396830234227,0.2632161846140274,0.4379354675546416,1.1318044966736378,1.1628008342022977,206999552,81063936,6152192,430608384,99180544,331698176,40714240,4558848,252690432,93212672,4767744,2883584,305745920,8269824,46534656,1977154.9874104203,0,913165.5586575347,0,29628.915197839564,0,0,,1691361.8352450468,10,6,6,4,8,17,9,7,3,11,1,3,6,21,10,8.2,4.267,23.667,2.533,2.533,2.4,20.533,0,0,0.014736842105263158,0.0030227272727272724,0.030032822757111596,0.021625,0.001333333333333333,0.003043478260869565,0.004625550660792952,0.02382186234817814,0.0046409090909090905,0.07115853658536583,0.054375000000000055,0.004876190476190476,0.004678260869565217,0.008916666666666668
1705825734,1.279627276577718,3.215586984311437,0.1630194820510409,0.18902554196179175,4.438881818770072,1.506278366111968,0.49175492574404006,19.838419782870968,0.3893521086007774,0.7652856583838661,0.00016458396830234227,0.2632161846140274,0.4379354675546416,0.9719999895460794,1.1628008342022977,206999552,81063936,6152192,430608384,99180544,331698176,40714240,4558848,252690432,93212672,4767744,2883584,305745920,8269824,46534656,1937488.127057912,0,1114821.6081888643,0,29628.915197839564,0,0,,1691361.8352450468,10,6,6,4,8,17,9,7,3,11,1,3,6,21,10,8.2,4.267,23.667,2.533,2.533,2.4,20.533,0,0,0.014736842105263158,0.0030227272727272724,0.030032822757111596,0.021625,0.001333333333333333,0.003043478260869565,0.004625550660792952,0.02382186234817814,0.0046409090909090905,0.07115853658536583,0.054375000000000055,0.004876190476190476,0.004678260869565217,0.008916666666666668
1705825735,1.279627276577718,3.2156404244079555,0.1630194820510409,0.19166760786085346,4.438881818770072,1.506278366111968,0.49175492574404006,13.989829184459982,0.3893521086007774,0.8103366183146856,0.0001355993599512306,0.26065446382317403,0.4379354675546415,0.9531365812681856,1.1939133205863728,206999552,81063936,6152192,430608384,99180544,331698176,40714240,4558848,252690432,93229056,4767744,2883584,305745920,8269824,46534656,2138031.7466963236,0,1114821.6081888643,0,29628.915197839564,0,0,,1783896.324622902,10,6,6,4,8,17,9,7,3,11,1,3,6,21,10,8.2,4.267,23.667,2.533,2.533,2.4,20.533,0,0,0.014736842105263158,0.0030227272727272724,0.030032822757111596,0.021625,0.001333333333333333,0.003043478260869565,0.004625550660792952,0.02382186234817814,0.0046409090909090905,0.07115853658536583,0.054375000000000055,0.004876190476190476,0.004678260869565217,0.008916666666666668
