time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,istio-init_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,currencyservice_diskio,emailservice_diskio,frontend_diskio,paymentservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,istio-init_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705655593,2.9094422292284863,5.612409785359452,0.14385178802240411,14.58709475481362,0.262834921329541,2.034180486074228,0.380090302719343,0.6206779789266594,0.6280661907852045,0.1928780682675663,0.0868950067794612,86609920,35192832,7905280,30273536,43044864,11542528,2666496,29007872,8364032,41332736,2875392,7196672,246884.27299703268,28793.701377823596,0,0,0,0,0,0,,4,4,9,3,3,14,0,3,3,4,4,2,6.267,11.067,0.267,44.333,0.533,5,4.133,0.533,62.067,7.733,2.267,,0.133,0.007251375882359339,0.003784689899941098,0.13473406533504653,0.004795008383535886,0.0031338747824534783,0.1193653174871873,0.007383625313983591,0.0015279143633179241,0.007510002289352331,0.0031040669612260666,0.009664390750590054,0.016925876611091743,0.2269468130670093,0.06152791239049135,0.0048409746084162614,0.23482698436788593,0.017709299999999973,0.004326768294377273,0.009625276630073369,0.0048916727182583076
1705655594,2.9094422292284863,5.612409785359452,0.18614723531527438,14.58709475481362,0.262834921329541,2.0438635253128257,0.4373084697759307,0.6206779789266594,0.6280661907852045,0.1739967069064336,0.0868950067794612,86609920,35192832,8286208,30273536,43044864,11542528,2666496,29007872,8364032,41332736,2875392,7196672,246884.27299703268,28793.701377823596,0,0,0,0,0,0,,4,4,9,3,3,14,0,3,3,4,4,2,6.267,11.067,0.267,44.333,0.533,5,4.133,0.533,62.067,7.733,2.267,,0.133,0.007250803225501622,0.0037825079586475538,0.13436926132743693,0.0047934830299615145,0.0031281558374983984,0.11928045111934835,0.007357894639772287,0.0015299128165028536,0.007510202575161607,0.0031024994062338455,0.009663157148706965,0.01681559779876099,0.22687385226548742,0.06154167169424677,0.004830680507497117,0.23483302725418842,0.01680930000000001,0.004326877618699674,0.009625504856109418,0.004888948125794597
1705655595,2.9094422292284863,5.612409785359452,0.18614723531527438,14.58709475481362,0.262834921329541,2.0438635253128257,0.4460970881984301,0.8125472019352123,0.9254027617951669,0.145815,0.0868950067794612,86609920,35192832,8286208,30273536,43044864,11542528,2666496,29007872,8364032,41709568,2875392,7196672,246884.27299703268,28793.701377823596,0,0,0,0,0,0,,4,4,9,3,3,14,0,3,3,4,4,2,8.267,11.067,0.267,44.333,0.533,5,4.133,0.533,62.067,7.733,2.267,,0.133,0.006422621238675508,0.003780481140853758,0.13403081313441462,0.004792059297139355,0.003122905485681511,0.11920131291028448,0.007334287196232487,0.0015317814980917847,0.007510390180641076,0.0031010579669335054,0.009514019294901026,0.016713168466147954,0.22680616262688294,0.06155451543814738,0.004821229874226721,0.23483866226852612,0.01590930000000001,0.004326979843935685,0.009625718632887094,0.004886442737036889
1705655596,2.9094422292284863,5.612409785359452,0.18614723531527438,14.58709475481362,0.262834921329541,2.0438635253128257,0.5273171053499571,0.8274531524797832,0.9254027617951669,0.17378777296174236,0.11630217483491852,86609920,35192832,8286208,30273536,43044864,11542528,2666496,29007872,8364032,41709568,2875392,7196672,246884.27299703268,28793.701377823596,0,0,0,0,0,0,,4,4,9,3,3,14,0,3,3,4,4,2,10.733,15.333,0.667,53.067,0.533,5,9.467,0.533,84.267,11.333,4.133,,0.133,0.006537001583274265,0.0037138473899615827,0.14648933417430823,0.004945427061421318,0.0031180684009602896,0.09983396745084759,0.00731255059124538,0.0018604792936731584,0.007508629051814728,0.003113580063170776,0.009470108797661084,0.016711453123376678,0.2292978668348616,0.06650852116492986,0.004812523121728521,0.2355109774458071,0.015009300000000043,0.004400634888044666,0.009602833239026757,0.004871551983595442
1705655597,2.842589014761542,5.612409785359452,0.18614723531527438,18.972574570412707,0.262834921329541,2.0438635253128257,0.5273171053499571,0.8423591030243538,0.9254027617951669,0.1703055405502221,0.11630217483491852,86609920,35192832,8286208,30273536,43044864,11542528,2666496,29007872,8364032,41709568,2875392,7196672,209379.8785431912,28793.701377823596,0,0,0,0,0,0,,4,4,9,3,3,14,0,3,3,4,4,2,10.733,15.333,0.667,53.067,0.533,5,9.467,0.533,84.267,11.333,4.133,,0.133,0.006536800703226758,0.0037124742676915524,0.14620768254664518,0.004944283667821997,0.003113597637169146,0.09973343480857785,0.007292470911080741,0.0018620580095278503,0.00750876127009016,0.003110571079481443,0.009469230621162249,0.016608744507189105,0.22924153650932902,0.06651987484381125,0.0048044757469044635,0.23549128522829685,0.014109299999999998,0.004400771048929977,0.00960295178361427,0.004865959283413465
1705655598,2.9033937081756216,5.612409785359452,0.18614723531527438,19.333298031254717,0.262834921329541,2.0438635253128257,0.5273171053499571,0.8572650535689244,0.9254027617951669,0.16682330813870183,0.11630217483491852,86609920,35192832,8286208,30273536,43044864,11542528,2666496,29007872,8364032,41709568,2875392,7196672,213858.64042392126,28793.701377823596,0,0,0,0,0,0,,4,4,9,3,3,14,0,3,3,4,4,2,10.733,15.333,0.667,65.2,0.533,9.933,9.467,0.533,84.267,11.333,4.133,,0.133,0.006536612069448159,0.003711188659581082,0.14594314401591907,0.005239744639841698,0.00310945309934693,0.09840734221775208,0.0072738656568464444,0.001863542592131729,0.00750888575995129,0.0031077961293864663,0.009468405981018498,0.016512688711326662,0.2291886288031838,0.07235640860274546,0.004797015578824474,0.23730266813793982,0.013209299999999983,0.004400899091022583,0.009603063399041023,0.004860801573866496
1705655599,3.3845389620815896,5.612409785359452,0.18614723531527438,19.694021492096727,0.262834921329541,2.465453829576971,0.4457455434615301,0.872171004113495,1.0956396978052771,0.16334107572718154,0.11630217483491852,89112576,35192832,8286208,30273536,43044864,11542528,2666496,29007872,8364032,41709568,2875392,7196672,112330.44351464434,28793.701377823596,0,0,0,0,0,0,,4,4,9,3,3,14,0,3,3,4,4,2,10.733,15.333,0.667,65.2,0.533,9.933,9.467,0.533,84.267,11.333,4.133,,0.133,0.006536434595208055,0.0037099824576058813,0.14569420488552767,0.005238460202046736,0.003105600337921081,0.09832653724311591,0.007256578181836579,0.0018649412169962933,0.007509003179767802,0.0031052289308730057,0.00946763012642894,0.016422659621667387,0.22913884097710552,0.072376898205222,0.004790080608257946,0.23729126882680873,0.012309299999999981,0.004401019719442961,0.009603168675589736,0.004856030005431512
1705655600,4.195536087866108,5.612409785359452,0.18614723531527438,20.054744952938737,0.27552843108067915,2.5162948403413132,0.4369569250390308,0.8870769546580658,1.0956396978052771,0.15985884331566125,0.11630217483491852,89112576,35192832,8286208,30273536,43044864,11542528,2666496,29007872,8364032,41709568,2875392,7196672,139246.86192468618,28793.701377823596,0,0,0,0,0,0,,4,4,9,3,3,14,0,3,3,4,4,2,10.733,18.533,0.667,65.2,0.533,9.933,9.467,0.533,84.267,11.333,4.133,,0.133,0.0065362673186634065,0.003512731689967569,0.14545952486646715,0.005237247583810134,0.0031020095889013563,0.09825057127097944,0.007240473270432569,0.001866261139541124,0.0075091141151937876,0.0031028469952314244,0.009466898852556095,0.009645650489218673,0.22909190497329343,0.07239619393371056,0.0047836172600224415,0.23728053420848033,0.01140929999999998,0.004401133559955625,0.009603268138347595,0.004851602779074868
1705655601,4.195536087866108,4.765933669509795,0.18614723531527438,20.41546841378075,0.27552843108067915,2.5671358511056566,0.4281683066165315,0.8943570326742393,1.0956396978052771,0.156376610904141,0.11630217483491852,89112576,35192832,8286208,30273536,43044864,11542528,2666496,29007872,8364032,41709568,2875392,7196672,139246.86192468618,24450.971350017186,0,0,0,0,0,0,,4,4,9,3,3,14,0,3,3,4,4,2,10.733,18.533,0.667,65.2,0.533,9.933,9.467,0.533,84.267,11.333,4.667,,0.133,0.006536109385419457,0.0035114232942312167,0.14523791293695099,0.0052361009252556035,0.0030986550034529255,0.09817902226302504,0.007225433594285202,0.001867508820988478,0.007509219088937094,0.0030679260530663043,0.009466208424288367,0.009633986973539255,0.2290475825873902,0.07241439718003272,0.004777579006215266,0.2372704077926606,0.01050930000000003,0.004401241169827251,0.009603362255965295,0.004778674030358685
1705655602,4.195536087866108,4.6723935064204705,0.26221147758015306,20.776191874622757,0.27552843108067915,3.5199890244970304,0.6125462962962963,0.8943570326742393,1.0956396978052771,0.1528943784926207,0.11630217483491852,89112576,35192832,8286208,30273536,43044864,12644352,2666496,28893184,8364032,41709568,2875392,7196672,139246.86192468618,23971.07632705346,0,0,0,0,0,0,,4,4,9,3,3,18,0,3,3,4,4,2,10.733,18.533,0.667,65.2,0.6,9.933,9.467,0.533,84.267,11.333,4.667,,0.133,0.006535960033933453,0.003510190495587531,0.1450283071255401,0.005235014987117278,0.003095514024642618,0.09811151587242585,0.007211356849186641,0.0018686900341373792,0.007509318568994889,0.003066219212005799,0.009465555512430253,0.009622954541941063,0.229005661425108,0.07243159817091319,0.004771925244356713,0.23726083931396927,0.009991066079456329,0.004401343046949482,0.009603451448040886,0.0047755140486378965
