time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,checkoutservice_diskio,currencyservice_diskio,emailservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,cartservice_error,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705627136,0.6055449251163931,2.1866596469938626,0.4605850871192298,32.479849398916805,0.28446681065093454,8.12993261244343,0.7270559354726429,4.574085633056217,3.044775727900825,0.29345432019455425,0.28247284151555213,113324032,43511808,11280384,47042560,43552768,16105472,40529920,24838144,45834240,3014656,9117696,91506.7949984476,131857.87292261882,0,0,0,0,0,4,5,9,4,3,24,4,4,4,4,2,16.067,26.333,0.933,85.333,1,14.333,14.2,0.867,145.267,18.933,6.733,0,0,0,0,0.003011834319526627,0.0030733258062656623,0.118,0.0035736174025352238,0.003,0.04924738219895287,0.004185185185185185,0.0024422169811320754,0.007641076115485564,0.0029492063492063494,0.004635502958579882,0.004731986451278192,0.22360000000000002,0.03546387590638858,0.0046,0.1774657534246575,0.00865625,0.004494732704402516,0.00983267716535433,0.00458984126984127
1705627137,0.5940690625932226,2.195339200178417,0.4605850871192298,32.479849398916805,0.2903638096849356,8.12993261244343,0.7270559354726429,4.574085633056217,3.044775727900825,0.29345432019455425,0.28247284151555213,113324032,43511808,11280384,47042560,43552768,16105472,40529920,24838144,45834240,3014656,9117696,89772.6224279545,131857.87292261882,0,0,0,0,0,4,5,9,4,3,24,4,4,4,4,2,16.067,26.333,0.933,85.333,1,14.333,14.2,0.867,145.267,18.933,6.733,0,0,0,0,0.003011834319526627,0.0030733258062656623,0.118,0.0035736174025352238,0.003,0.04924738219895287,0.004185185185185185,0.0024422169811320754,0.007641076115485564,0.0029492063492063494,0.004635502958579882,0.004731986451278192,0.22360000000000002,0.03546387590638858,0.0046,0.1774657534246575,0.00865625,0.004494732704402516,0.00983267716535433,0.00458984126984127
1705627138,0.5825932000700519,2.195339200178417,0.4605850871192298,32.479849398916805,0.2962608087189366,8.12993261244343,0.7270559354726429,4.574085633056217,2.9668302012305587,0.29345432019455425,0.28247284151555213,113324032,43511808,11280384,47042560,43552768,16105472,40529920,24838144,45813760,3014656,9117696,88038.44985746141,131857.87292261882,0,0,0,0,0,4,5,9,4,3,24,4,4,4,4,2,16.533,26.333,0.933,85.333,1,14.333,14.2,0.867,145.267,18.933,6.733,0,0,0,0,0.003014513788098694,0.0030733258062656623,0.118,0.0035736174025352238,0.003,0.04924738219895287,0.004185185185185185,0.0024422169811320754,0.007641076115485564,0.0029492063492063494,0.004640058055152395,0.004731986451278192,0.22360000000000002,0.03546387590638858,0.0046,0.1774657534246575,0.00865625,0.004494732704402516,0.00983267716535433,0.00458984126984127
1705627139,0.5711173375468812,2.195339200178417,0.4605850871192298,32.479849398916805,0.3538199420400623,8.12993261244343,0.7270559354726429,4.574085633056217,2.9668302012305587,0.29345432019455425,0.2658870621872081,113324032,43511808,11280384,47042560,43552768,16105472,40529920,24838144,45813760,3014656,9117696,86304.27728696831,131857.87292261882,0,0,0,0,0,4,5,9,4,3,24,4,4,4,4,2,16.533,26.333,0.933,85.333,1,14.333,14.2,0.867,145.267,18.933,6.733,0,0,0,0,0.003014513788098694,0.0030733258062656623,0.118,0.0035736174025352238,0.003,0.04924738219895287,0.004185185185185185,0.0024422169811320754,0.007641076115485564,0.0029492063492063494,0.004640058055152395,0.004731986451278192,0.22360000000000002,0.03546387590638858,0.0046,0.1774657534246575,0.00865625,0.004494732704402516,0.00983267716535433,0.00458984126984127
1705627140,0.5596414750237104,2.195339200178417,0.4605850871192298,32.479849398916805,0.3632987537738615,8.12993261244343,0.7270559354726429,4.574085633056217,2.9668302012305587,0.29345432019455425,0.2658870621872081,113324032,43511808,11280384,47042560,43552768,16105472,40529920,24838144,45813760,3014656,9117696,84570.10471647521,131857.87292261882,0,0,0,0,0,4,5,9,4,3,24,4,4,4,4,2,16.533,26.333,0.933,85.333,1,14.333,14.2,0.867,145.267,18.933,6.733,0,0,0,0,0.003014513788098694,0.0030733258062656623,0.118,0.0035736174025352238,0.003,0.04924738219895287,0.004185185185185185,0.0024422169811320754,0.007641076115485564,0.0029492063492063494,0.004640058055152395,0.004731986451278192,0.22360000000000002,0.03546387590638858,0.0046,0.1774657534246575,0.00865625,0.004494732704402516,0.00983267716535433,0.00458984126984127
1705627141,0.7369155325781893,2.195339200178417,0.4605850871192298,32.29687257287839,0.3632987537738615,8.12993261244343,0.7270559354726429,4.574085633056217,2.9668302012305587,0.29101977872214196,0.2658870621872081,113328128,43511808,11280384,46841856,43552768,16105472,40529920,24838144,45813760,3014656,9117696,70067.66517144378,131857.87292261882,0,0,0,0,0,4,5,9,4,3,24,4,4,4,4,2,16.533,26.333,0.933,85.333,1,14.333,14.2,0.867,145.267,18.933,6.733,0,0,0,0,0.003014513788098694,0.0030733258062656623,0.118,0.0035736174025352238,0.003,0.04924738219895287,0.004185185185185185,0.0024422169811320754,0.007641076115485564,0.0029492063492063494,0.004640058055152395,0.004731986451278192,0.22360000000000002,0.03546387590638858,0.0046,0.1774657534246575,0.00865625,0.004494732704402516,0.00983267716535433,0.00458984126984127
1705627142,0.7369155325781893,2.195339200178417,0.4605850871192298,32.29687257287839,0.3632987537738615,8.12993261244343,0.7270559354726429,4.574085633056217,2.9668302012305587,0.29101977872214196,0.2658870621872081,113328128,43511808,11280384,46841856,43552768,16105472,40529920,24838144,45813760,3014656,9117696,70067.66517144378,131857.87292261882,0,0,0,0,0,4,5,9,4,3,24,4,4,4,4,2,16.533,26.333,0.933,85.333,1,14.333,14.2,0.933,145.267,18.933,7,0,0,0,0,0.003014513788098694,0.0030733258062656623,0.118,0.0035736174025352238,0.003,0.04924738219895287,0.004185170431069534,0.0024422169811320754,0.007641076115485564,0.002908196721311476,0.004640058055152395,0.004731986451278192,0.22360000000000002,0.03546387590638858,0.0046,0.1774657534246575,0.008656239496206829,0.004494732704402516,0.00983267716535433,0.004581639344262295
1705627143,0.7369155325781893,2.195339200178417,0.4605850871192298,32.62350349129047,0.3632987537738615,8.12993261244343,0.7270559354726429,4.574085633056217,2.9668302012305587,0.29101977872214196,0.2658870621872081,113328128,43511808,11280384,46841856,43552768,16105472,40529920,24838144,45813760,3014656,9117696,70067.66517144378,131857.87292261882,0,0,0,0,0,4,5,9,4,3,24,4,4,4,4,2,16.533,26.333,0.933,85.333,1,12.867,14.2,0.933,145.267,18.933,7,0,0,0,0,0.003014513788098694,0.0030733258062656623,0.118,0.0035736174025352238,0.003,0.048501275510204084,0.004185170431069534,0.0024422169811320754,0.007641076115485564,0.002908196721311476,0.004640058055152395,0.004731986451278192,0.22360000000000002,0.03546387590638858,0.0046,0.1784666666666667,0.008656239496206829,0.004494732704402516,0.00983267716535433,0.004581639344262295
1705627144,0.7369155325781893,2.195339200178417,0.455807572175029,32.62350349129047,0.3632987537738615,8.12993261244343,0.7270559354726429,4.574085633056217,2.9668302012305587,0.29101977872214196,0.2658870621872081,113328128,43511808,11280384,46841856,43552768,16105472,40529920,24838144,45813760,3014656,9117696,70067.66517144378,191306.88618384567,0,0,0,0,0,4,5,9,4,3,24,4,4,4,4,2,15.867,26,0.867,84.467,1,12.867,13.6,0.933,143.133,18.667,7.4,0,0,0,0,0.00301432664756447,0.003081104389317847,0.127,0.0035625820421388665,0.003,0.04735401459854015,0.004185170431069534,0.0024331935290593165,0.007608125819134994,0.0029066666666666668,0.004639541547277937,0.0047459879007721245,0.22540000000000002,0.03554399701406023,0.0046,0.17787946428571422,0.008656239496206829,0.004493029758338326,0.009773263433813894,0.004581333333333333
1705627145,0.7369155325781893,2.195339200178417,0.455807572175029,32.62350349129047,0.3632987537738615,8.12993261244343,0.7270559354726429,4.574085633056217,2.9668302012305587,0.24577684167152808,0.2658870621872081,113328128,43511808,11280384,46841856,43552768,16105472,40529920,24838144,45813760,3014656,9117696,70067.66517144378,191306.88618384567,0,0,0,0,0,4,5,9,4,3,24,4,4,4,4,2,15.867,26,0.867,84.467,1,12.867,13.6,0.933,143.133,18.667,7.4,0,0,0,0,0.00301432664756447,0.003081104389317847,0.127,0.0035625820421388665,0.003,0.04735401459854015,0.004185170431069534,0.0024331935290593165,0.007608125819134994,0.0029066666666666668,0.004639541547277937,0.0047459879007721245,0.22540000000000002,0.03554399701406023,0.0046,0.17787946428571422,0.008656239496206829,0.004493029758338326,0.009773263433813894,0.004581333333333333
