time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705784721,1.9090824179929953,3.9804163400802213,0.15472027513870953,0.23482573828436598,5.019694185856647,1.1462304660003166,0.45502288479142605,0.0959154351395734,0.6008664863319367,0.9351038367623195,0.00012038014783527244,0.28812743569758675,0.41099267896482433,1.0405744043520304,1.240163419233197,211443712,82481152,6041600,423878656,99119104,335388672,41369600,4505600,280973312,92659712,4718592,2883584,301744128,9379840,49373184,2285103.0476278295,0,728463.4497188441,72063.513008291,0,0,0,1066570.8898267038,14,9,9,4,7,14,6,7,3,11,1,3,5,35,18,7.133,3.8,24.6,2.2,2.2,2.133,17.8,0.017569767441860465,0.0030561797752808994,0.03208446866485014,0.034210526315789476,0.0023150684931506848,0.0030421052631578946,0.006071428571428571,0.03880813953488372,0.004701123595505619,0.08155629139072847,0.0468421052631579,0.004463013698630137,0.00467578947368421,0.009274436090225564
1705784722,1.949959205874312,3.9804163400802213,0.15775136125256534,0.23482573828436598,4.942915938717915,0.9638023392394995,0.45502288479142605,0.0959154351395734,0.6008664863319367,0.9351038367623195,0,0.28812743569758675,0.41099267896482433,1.1986841769730445,1.240163419233197,211443712,82481152,6041600,423878656,100007936,335388672,41369600,4505600,280973312,92659712,4718592,2883584,301744128,9379840,49373184,2285103.0476278295,0,728463.4497188441,72063.513008291,0,0,0,1066570.8898267038,14,9,9,4,7,14,6,7,3,11,1,3,5,35,18,7.133,3.8,24.6,2.2,2.2,2.133,17.8,0.017569767441860465,0.0030561797752808994,0.03208446866485014,0.034210526315789476,0.0023150684931506848,0.0030421052631578946,0.006071428571428571,0.03880813953488372,0.004701123595505619,0.08155629139072847,0.0468421052631579,0.004463013698630137,0.00467578947368421,0.009274436090225564
1705784723,1.949959205874312,3.9804163400802213,0.1818651668313447,0.23482573828436598,4.919520960807946,0.9827276371693234,0.45502288479142605,0.0959154351395734,0.6008664863319367,0.9351038367623195,0,0.28812743569758675,0.41099267896482433,1.1986841769730445,1.240163419233197,211443712,82481152,6041600,423878656,100007936,335388672,41369600,4505600,280973312,92659712,4718592,2883584,301744128,9379840,49373184,2285103.0476278295,0,728463.4497188441,72063.513008291,0,0,0,1066570.8898267038,14,9,9,4,7,14,6,7,3,11,1,3,5,35,18,8.267,3.733,24.933,2,2.2,2.133,17.867,0.016990291262135925,0.0030790960451977404,0.03283783783783783,0.03425324675324676,0.0023150684931506848,0.0030421052631578946,0.006044061302681992,0.03714285714285716,0.004742372881355933,0.08211726384364822,0.04685064935064935,0.004463013698630137,0.00467578947368421,0.009277777777777779
1705784724,1.949959205874312,3.9804163400802213,0.1818651668313447,0.23482573828436598,4.919520960807946,1.1355178757894353,0.45502288479142605,0.0959154351395734,0.6008664863319367,0.9351038367623195,0,0.28812743569758675,0.41099267896482433,1.1986841769730445,1.240163419233197,211443712,82481152,6041600,423878656,100007936,335388672,41369600,4505600,280973312,92659712,4718592,2883584,301744128,9379840,49373184,2285103.0476278295,0,728463.4497188441,72063.513008291,0,0,0,1066570.8898267038,14,9,9,4,7,14,6,7,3,11,1,3,5,35,18,8.267,3.733,24.533,2,2.2,2.133,17.867,0.016990291262135925,0.0030790960451977404,0.033333333333333326,0.03425324675324676,0.0023150684931506848,0.0030421052631578946,0.006044061302681992,0.03714285714285716,0.004742372881355933,0.08251612903225806,0.04685064935064935,0.004463013698630137,0.00467578947368421,0.009277777777777779
1705784725,1.949959205874312,3.9208028567485584,0.1818651668313447,0.23482573828436598,4.919520960807946,1.1355178757894353,0.45502288479142605,0.0959154351395734,0.7039839213934737,0.9351038367623195,0,0.28812743569758675,0.41099267896482433,1.1986841769730445,1.240519379844971,211443712,82522112,6041600,423878656,100007936,335388672,41369600,4505600,280973312,92659712,4718592,2883584,301744128,9379840,49475584,2126856.1965222196,0,728463.4497188441,97567.36638380229,0,0,0,1190697.6744186045,14,9,9,4,7,14,6,7,3,11,1,3,5,35,18,8.267,3.733,24.533,2,2.2,2.133,17.867,0.016990291262135925,0.0030790960451977404,0.033333333333333326,0.03425324675324676,0.0023150684931506848,0.0030421052631578946,0.006044061302681992,0.03714285714285716,0.004742372881355933,0.08251612903225806,0.04685064935064935,0.004463013698630137,0.00467578947368421,0.009277777777777779
1705784726,1.949959205874312,3.9208028567485584,0.1818651668313447,0.23482573828436598,4.919520960807946,1.1355178757894353,0.45502288479142605,0.0959154351395734,0.7039839213934737,0.9351038367623195,0,0.28812743569758675,0.41099267896482433,1.1986841769730445,1.240519379844971,211443712,82522112,6041600,423878656,100007936,335388672,41369600,4505600,280973312,92659712,4718592,2883584,301744128,9379840,49475584,2126856.1965222196,0,728463.4497188441,97567.36638380229,0,0,0,1190697.6744186045,14,9,9,4,7,14,6,7,3,11,1,3,5,35,18,8.267,3.733,24.533,2,2.2,2.133,17.867,0.016990291262135925,0.0030790960451977404,0.033333333333333326,0.03425324675324676,0.0023150684931506848,0.0030421052631578946,0.006044061302681992,0.03714285714285716,0.004742372881355933,0.08251612903225806,0.04685064935064935,0.004463013698630137,0.00467578947368421,0.009277777777777779
1705784727,1.949959205874312,3.9083795497972513,0.1818651668313447,0.23482573828436598,4.919520960807946,1.1355178757894353,0.45502288479142605,0.0959154351395734,0.7039839213934737,0.9351038367623195,0,0.28812743569758675,0.41099267896482433,1.1986841769730445,1.240519379844971,211443712,82522112,6041600,423878656,100007936,335388672,41369600,4505600,280973312,92659712,4718592,2883584,301744128,9379840,49475584,2347989.0012583304,0,728463.4497188441,97567.36638380229,0,0,0,1190697.6744186045,14,9,9,4,7,14,6,7,3,11,1,3,5,35,18,8.267,3.733,24.533,2,2.2,2.133,17.867,0.016990291262135925,0.0030790960451977404,0.033333333333333326,0.03425324675324676,0.0023150684931506848,0.0030421052631578946,0.006044061302681992,0.03714285714285716,0.004742372881355933,0.08251612903225806,0.04685064935064935,0.004463013698630137,0.00467578947368421,0.009277777777777779
1705784728,1.949959205874312,3.9083795497972513,0.1818651668313447,0.23482573828436598,4.919520960807946,1.1355178757894353,0.45502288479142605,0.0959154351395734,0.7039839213934737,0.9351038367623195,0,0.28812743569758675,0.41099267896482433,1.1986841769730445,1.240519379844971,211443712,82522112,6041600,423878656,100007936,335388672,41369600,4505600,280973312,92659712,4718592,2883584,301744128,9379840,49475584,2347989.0012583304,0,728463.4497188441,97567.36638380229,0,0,0,1190697.6744186045,14,9,9,4,7,14,6,7,3,11,1,3,5,35,18,8.267,3.733,24.533,2,2.2,2.133,17.867,0.016990291262135925,0.0030790960451977404,0.033333333333333326,0.03425324675324676,0.0023150684931506848,0.0030421052631578946,0.006044061302681992,0.03714285714285716,0.004742372881355933,0.08251612903225806,0.04685064935064935,0.004463013698630137,0.00467578947368421,0.009277777777777779
1705784729,1.9227814358749515,3.9083795497972513,0.1818651668313447,0.23515590625091498,4.919520960807946,1.1355178757894353,0.47488934039619696,0.08397119777327314,0.677688177179876,0.9351038367623195,0,0.2872558084046686,0.41099267896482433,1.1986841769730445,1.240519379844971,211484672,82522112,6041600,423878656,100007936,335388672,41447424,4505600,281161728,92659712,4718592,2883584,301744128,9379840,49475584,2347989.0012583304,0,958537.1163195703,62616.80457090444,0,0,0,1190697.6744186045,13,9,9,4,7,14,6,7,3,11,1,3,5,35,18,8.267,3.733,24.533,2,2.2,2.133,17.867,0.016990291262135925,0.0030790960451977404,0.033333333333333326,0.03425324675324676,0.0023150684931506848,0.0030421052631578946,0.006044061302681992,0.03714285714285716,0.004742372881355933,0.08251612903225806,0.04685064935064935,0.004463013698630137,0.00467578947368421,0.009277777777777779
1705784730,1.9227814358749515,3.9083795497972513,0.1818651668313447,0.23515590625091498,4.919520960807946,1.1355178757894353,0.47488934039619696,0.08397119777327314,0.677688177179876,0.8058075487553251,0.00022434238098760153,0.28725580840466863,0.41099267896482433,1.0228938127416782,1.240519379844971,211484672,82522112,6041600,423878656,100007936,335388672,41447424,4505600,281161728,92659712,4718592,2883584,301744128,9379840,49475584,2347989.0012583304,0,958537.1163195703,62616.80457090444,0,0,0,1190697.6744186045,13,9,9,4,7,14,6,7,3,11,1,3,5,35,18,8.267,3.733,24.533,2,2.2,2.133,17.867,0.016990291262135925,0.0030790960451977404,0.033333333333333326,0.03425324675324676,0.0023150684931506848,0.0030421052631578946,0.006044061302681992,0.03714285714285716,0.004742372881355933,0.08251612903225806,0.04685064935064935,0.004463013698630137,0.00467578947368421,0.009277777777777779
